MPOLICY,PN,POLICY_BILL_DAY,PAID_TO_DATE,BILLED_TO_DATE,MBILLDAY_before,MBILLDAY_after,MSTATUS,MISSDT,MPAIDTO
010815524C,9010815524,              0,    20261001,      20261001,0,1,22,19861001,20261001
010815642C,9010815642,              0,    20261017,      20261017,0,17,22,19861017,20261017
010815680C,9010815680,              0,    20261015,      20261015,0,15,22,19861015,20261015
010815681C,9010815681,              0,    20261101,      20261101,0,1,22,19861101,20261101
010815768C,9010815768,              0,    20261017,      20261017,0,17,22,19861017,20261017
010815772C,9010815772,              0,    20261009,      20261009,0,9,44,19861009,20261009
010815946C,9010815946,              0,    20261020,      20261020,0,20,22,19861020,20261020
010816151C,9010816151,              0,    20260801,      20260801,0,1,22,19861101,20260801
010816336C,9010816336,              0,    20260714,      20261014,0,14,44,19861014,20260714
010816337C,9010816337,              0,    20260714,      20261014,0,14,44,19861014,20260714
010816784C,9010816784,              0,    20260627,      20260727,0,27,22,19861027,20260627
010816803C,9010816803,              0,    20261023,      20261023,0,23,22,19861023,20261023
010816969C,9010816969,              0,    20241106,      20241106,0,6,22,19861106,20241106
010816990C,9010816990,              0,    20261020,      20261020,0,20,22,19861020,20261020
010816991C,9010816991,              0,    20261020,      20261020,0,20,22,19861020,20261020
010817116C,9010817116,              0,    20260719,      20261019,0,19,22,19861019,20260719
010817366C,9010817366,              0,    20261023,      20261023,0,23,22,19861023,20261023
010817367C,9010817367,              0,    20261023,      20261023,0,23,22,19861023,20261023
010817483C,9010817483,              0,    20261101,      20261101,0,1,22,19861101,20261101
010817649C,9010817649,              0,    20030628,      20260928,0,28,45,19861028,20030628
010817650C,9010817650,              0,    20030628,      20260928,0,28,45,19861028,20030628
010817808C,9010817808,              0,    20261101,      20261101,0,1,22,19861101,20261101
010817835C,9010817835,              0,    20261022,      20261022,0,22,22,19861022,20261022
010817836C,9010817836,              0,    20261022,      20261022,0,22,22,19861022,20261022
010818008C,9010818008,              0,    20261101,      20261101,0,1,22,19861101,20261101
010818768C,9010818768,              0,    20261106,      20261106,0,6,22,19861106,20261106
010818794C,9010818794,              0,    19910314,      20260814,0,14,45,19861114,19910314
010819247C,9010819247,              0,    20260901,      20260901,0,1,22,19861201,20260901
010819271C,9010819271,              0,    20260905,      20260905,0,5,22,19861205,20260905
010819280C,9010819280,              0,    20261119,      20261119,0,19,22,19861119,20261119
010819774C,9010819774,              0,    20260624,      20261224,0,24,22,19861224,20260624
010820995C,9010820995,              0,    20261120,      20261120,0,20,22,19861120,20261120
010820996C,9010820996,              0,    20261121,      20261121,0,21,22,19861121,20261121
010821678C,9010821678,              0,    20260928,      20260928,0,28,22,19861228,20260928
010822097C,9010822097,              0,    20261203,      20261203,0,3,22,19861203,20261203
010822098C,9010822098,              0,    20261203,      20261203,0,3,22,19861203,20261203
010822851C,9010822851,              0,    20270112,      20270112,0,12,22,19870112,20270112
010822990C,9010822990,              0,    20270202,      20270202,0,2,22,19870202,20270202
010823222C,9010823222,              0,    20261209,      20261209,0,9,44,19861209,20261209
010823600C,9010823600,              0,    20261215,      20261215,0,15,22,19861215,20261215
010823735C,9010823735,              0,    20050611,      20050911,0,11,44,19861211,20050611
010823737C,9010823737,              0,    20261212,      20261212,0,12,22,19861212,20261212
010823866C,9010823866,              0,    20260716,      20260816,0,16,22,19861216,20260716
010823869C,9010823869,              0,    20240516,      20260816,0,16,45,19861216,20240516
010824297C,9010824297,              0,    20261227,      20261227,0,27,22,19861227,20261227
010824611C,9010824611,              0,    20260806,      20260806,0,6,22,19870206,20260806
010824689C,9010824689,              0,    20260701,      20270101,0,1,22,19870101,20260701
010824709C,9010824709,              0,    20270101,      20270101,0,1,22,19870101,20270101
010824810C,9010824810,              0,    19970802,      19970802,0,2,44,19870102,19970802
010825353C,9010825353,              0,    20270108,      20270108,0,8,22,19870108,20270108
010825649C,9010825649,              0,    20260712,      20261012,0,12,22,19870112,20260712
010825719C,9010825719,              0,    20270108,      20270108,0,8,22,19870108,20270108
010825759C,9010825759,              0,    20270113,      20270113,0,13,22,19870113,20270113
010826123C,9010826123,              0,    20260713,      20270113,0,13,22,19870113,20260713
010826130C,9010826130,              0,    20270116,      20270116,0,16,22,19870116,20270116
010826422C,9010826422,              0,    20060120,      20270120,0,20,45,19870120,20060120
010826524C,9010826524,              0,    20270121,      20270121,0,21,22,19870121,20270121
010826547C,9010826547,              0,    20260706,      20260706,0,6,22,19870206,20260706
010826551C,9010826551,              0,    20250205,      20260205,0,5,22,19870205,20250205
010827254C,9010827254,              0,    20260714,      20261014,0,14,22,19870114,20260714
010827434C,9010827434,              0,    20260801,      20260801,0,1,22,19870201,20260801
010827507C,9010827507,              0,    20260727,      20260727,0,27,22,19870127,20260727
010827528C,9010827528,              0,    20270203,      20270203,0,3,22,19870203,20270203
010827575C,9010827575,              0,    20260821,      20260821,0,21,22,19870221,20260821
010827674C,9010827674,              0,    20250202,      20250202,0,2,44,19870202,20250202
010827699C,9010827699,              0,    20260726,      20260726,0,26,22,19870126,20260726
010827700C,9010827700,              0,    20260726,      20260726,0,26,22,19870126,20260726
010827865C,9010827865,              0,    19980401,      20261001,0,1,45,19870201,19980401
010828369C,9010828369,              0,    20270203,      20270203,0,3,22,19870203,20270203
010828370C,9010828370,              0,    20270203,      20270203,0,3,22,19870203,20270203
010828599C,9010828599,              0,    20270115,      20270115,0,15,22,19870115,20270115
010829627C,9010829627,              0,    20270206,      20270206,0,6,22,19870206,20270206
010830094C,9010830094,              0,    20270219,      20270219,0,19,22,19870219,20270219
010830309C,9010830309,              0,    20270218,      20270218,0,18,22,19870218,20270218
010830330C,9010830330,              0,    20260701,      20260801,0,1,22,19870301,20260701
010831097C,9010831097,              0,    20270301,      20270301,0,1,22,19870301,20270301
010831284C,9010831284,              0,    20060713,      20061013,0,13,44,19870413,20060713
010831478C,9010831478,              0,    20260903,      20260903,0,3,22,19870303,20260903
010831492C,9010831492,              0,    20260828,      20260828,0,28,22,19870228,20260828
010832106C,9010832106,              0,    20260919,      20260919,0,19,22,19870319,20260919
010833377C,9010833377,              0,    20270319,      20270319,0,19,22,19870319,20270319
010833378C,9010833378,              0,    20260919,      20260919,0,19,22,19870319,20260919
010833382C,9010833382,              0,    20260718,      20260718,0,18,22,19870318,20260718
010833737C,9010833737,              0,    20261001,      20261001,0,1,22,19870401,20261001
010833991C,9010833991,              0,    20270113,      20270113,0,13,22,19870113,20270113
010834274C,9010834274,              0,    20270401,      20270401,0,1,22,19870401,20270401
010834574C,9010834574,              0,    20270401,      20270401,0,1,22,19870401,20270401
010834575C,9010834575,              0,    20270401,      20270401,0,1,22,19870401,20270401
010834737C,9010834737,              0,    20260702,      20261002,0,2,22,19870402,20260702
010835892C,9010835892,              0,    19980101,      20260801,0,1,45,19870501,19980101
010836252C,9010836252,              0,    20270414,      20270414,0,14,22,19870414,20270414
010836908C,9010836908,              0,    20270608,      20270608,0,8,22,19870608,20270608
010837163C,9010837163,              0,    20001022,      20001022,0,22,44,19870422,20001022
010837733C,9010837733,              0,    20261101,      20261101,0,1,22,19870501,20261101
010837734C,9010837734,              0,    20261101,      20261101,0,1,22,19870501,20261101
010838710C,9010838710,              0,    20270505,      20270505,0,5,22,19870505,20270505
010839122C,9010839122,              0,    20270511,      20270511,0,11,22,19870511,20270511
010840186C,9010840186,              0,    20260714,      20260714,0,14,22,19870714,20260714
010840404C,9010840404,              0,    20270605,      20270605,0,5,22,19870605,20270605
010840436C,9010840436,              0,    20260827,      20260827,0,27,22,19870527,20260827
010840778C,9010840778,              0,    20260826,      20260826,0,26,22,19870526,20260826
010840971C,9010840971,              0,    20260901,      20260901,0,1,22,19870601,20260901
010841421C,9010841421,              0,    19980701,      20260801,0,1,45,19870601,19980701
010841760C,9010841760,              0,    20260906,      20260906,0,6,22,19870606,20260906
010841782C,9010841782,              0,    20260615,      20260915,0,15,22,19870615,20260615
010841783C,9010841783,              0,    20260915,      20260915,0,15,22,19870615,20260915
010841972C,9010841972,              0,    20260909,      20260909,0,9,22,19870609,20260909
010842282C,9010842282,              0,    20260714,      20261014,0,14,22,19870714,20260714
010842315C,9010842315,              0,    20270615,      20270615,0,15,22,19870615,20270615
010842857C,9010842857,              0,    20270616,      20270616,0,16,22,19870616,20270616
010843241C,9010843241,              0,    20270621,      20270621,0,21,22,19870621,20270621
010844324C,9010844324,              0,    20260701,      20270701,0,1,22,19870701,20260701
010844402C,9010844402,              0,    20260702,      20270702,0,2,22,19870702,20260702
010844403C,9010844403,              0,    20260702,      20270702,0,2,22,19870702,20260702
010844428C,9010844428,              0,    20260725,      20260825,0,25,22,19870625,20260725
010844607C,9010844607,              0,    20260715,      20270715,0,15,22,19870715,20260715
010844919C,9010844919,              0,    20260707,      20261007,0,7,44,19870707,20260707
010845099C,9010845099,              0,    20260706,      20270706,0,6,22,19870706,20260706
010845307C,9010845307,              0,    20260716,      20270716,0,16,22,19870716,20260716
010845709C,9010845709,              0,    20260820,      20260820,0,20,22,19870820,20260820
010845716C,9010845716,              0,    20260717,      20270117,0,17,22,19870717,20260717
010845863C,9010845863,              0,    20260714,      20270714,0,14,22,19870714,20260714
010845864C,9010845864,              0,    20260714,      20261014,0,14,22,19870714,20260714
010846781C,9010846781,              0,    20260724,      20260724,0,24,22,19870724,20260724
010847118C,9010847118,              0,    20260801,      20260801,0,1,22,19870801,20260801
010847123C,9010847123,              0,    20260801,      20260801,0,1,22,19870801,20260801
010847191C,9010847191,              0,    20260801,      20260801,0,1,22,19870801,20260801
010847467C,9010847467,              0,    20260801,      20260801,0,1,22,19870801,20260801
010847479C,9010847479,              0,    20260801,      20260801,0,1,22,19870801,20260801
010847480C,9010847480,              0,    20260801,      20260801,0,1,22,19870801,20260801
010847947C,9010847947,              0,    20260805,      20260805,0,5,22,19870805,20260805
010848255C,9010848255,              0,    20260803,      20260803,0,3,22,19870803,20260803
010848256C,9010848256,              0,    20260803,      20260803,0,3,22,19870803,20260803
010848292C,9010848292,              0,    20261001,      20261001,0,1,22,19871001,20261001
010848314C,9010848314,              0,    19990701,      20261001,0,1,45,19870901,19990701
010848398C,9010848398,              0,    20260808,      20260808,0,8,22,19870808,20260808
010849296C,9010849296,              0,    20260907,      20260907,0,7,22,19870907,20260907
010849882C,9010849882,              0,    20190901,      20190901,0,1,22,19870901,20190901
010851112C,9010851112,              0,    20260819,      20260819,0,19,22,19870819,20260819
010851278C,9010851278,              0,    20260901,      20260901,0,1,22,19870901,20260901
010851579C,9010851579,              0,    20260901,      20260901,0,1,22,19870901,20260901
010851580C,9010851580,              0,    20260901,      20260901,0,1,22,19870901,20260901
010852966C,9010852966,              0,    20260910,      20260910,0,10,22,19870910,20260910
010853539C,9010853539,              0,    20261004,      20261004,0,4,22,19871004,20261004
010855945C,9010855945,              0,    20260707,      20260807,0,7,22,19871007,20260707
010856342C,9010856342,              0,    20260708,      20261008,0,8,44,19871008,20260708
010856920C,9010856920,              0,    19990402,      20261002,0,2,45,19871002,19990402
010857727C,9010857727,              0,    20261015,      20261015,0,15,22,19871015,20261015
010858124C,9010858124,              0,    20260720,      20261020,0,20,22,19871020,20260720
010858434C,9010858434,              0,    20260523,      20260723,0,23,22,19871023,20260523
010858435C,9010858435,              0,    20260523,      20260723,0,23,22,19871023,20260523
010858613C,9010858613,              0,    20261025,      20261025,0,25,22,19871025,20261025
010858614C,9010858614,              0,    20261025,      20261025,0,25,22,19871025,20261025
010859280C,9010859280,              0,    20260728,      20260728,0,28,22,19871028,20260728
010862097C,9010862097,              0,    20261225,      20261225,0,25,22,19871225,20261225
010863394C,9010863394,              0,    20261121,      20261121,0,21,22,19871121,20261121
010863838C,9010863838,              0,    20260712,      20261012,0,12,22,19880112,20260712
010863936C,9010863936,              0,    20260901,      20260901,0,1,22,19871201,20260901
010864397C,9010864397,              0,    20260915,      20260915,0,15,22,19880115,20260915
010864471C,9010864471,              0,    20261201,      20261201,0,1,22,19871201,20261201
010866751C,9010866751,              0,    20261212,      20261212,0,12,22,19871212,20261212
010869344C,9010869344,              0,    20270101,      20270101,0,1,22,19880101,20270101
010871793C,9010871793,              0,    20260718,      20270118,0,18,22,19880118,20260718
010872114C,9010872114,              0,    20020820,      20020820,0,20,44,19880120,20020820
010872324C,9010872324,              0,    20260517,      20260817,0,17,22,19880117,20260517
010872327C,9010872327,              0,    20270118,      20270118,0,18,22,19880118,20270118
010872328C,9010872328,              0,    20270118,      20270118,0,18,22,19880118,20270118
010872331C,9010872331,              0,    20270120,      20270120,0,20,22,19880120,20270120
010872416C,9010872416,              0,    20260720,      20260720,0,20,22,19880120,20260720
010872522C,9010872522,              0,    20260720,      20260720,0,20,22,19880120,20260720
010873140C,9010873140,              0,    20270125,      20270125,0,25,22,19880125,20270125
010873154C,9010873154,              0,    20270125,      20270125,0,25,22,19880125,20270125
010873155C,9010873155,              0,    20260726,      20260726,0,26,22,19880126,20260726
010873283C,9010873283,              0,    20260723,      20260723,0,23,22,19880123,20260723
010873725C,9010873725,              0,    20270128,      20270128,0,28,22,19880128,20270128
010874806C,9010874806,              0,    20260802,      20260802,0,2,22,19880202,20260802
010875130C,9010875130,              0,    19970601,      20260801,0,1,45,19880201,19970601
010875937C,9010875937,              0,    20270211,      20270211,0,11,22,19880211,20270211
010877009C,9010877009,              0,    20240127,      20240727,0,27,44,19880127,20240127
010877469C,9010877469,              0,    20260717,      20260717,0,17,22,19880217,20260717
010877715C,9010877715,              0,    20270219,      20270219,0,19,22,19880219,20270219
010878099C,9010878099,              0,    20260811,      20260811,0,11,22,19880211,20260811
010878316C,9010878316,              0,    20260724,      20260724,0,24,22,19880224,20260724
010878589C,9010878589,              0,    20260822,      20260822,0,22,22,19880222,20260822
010878592C,9010878592,              0,    20270401,      20270401,0,1,22,19880401,20270401
010879786C,9010879786,              0,    20260601,      20260801,0,1,22,19880301,20260601
010880362C,9010880362,              0,    20260903,      20260903,0,3,22,19880303,20260903
010880950C,9010880950,              0,    20260704,      20260704,0,4,22,19880304,20260704
010880951C,9010880951,              0,    20260704,      20260704,0,4,22,19880304,20260704
010881301C,9010881301,              0,    20270301,      20270301,0,1,22,19880301,20270301
010881307C,9010881307,              0,    20260711,      20260811,0,11,22,19880311,20260711
010881308C,9010881308,              0,    20260725,      20260825,0,25,22,19880225,20260725
010881309C,9010881309,              0,    20260725,      20260825,0,25,22,19880225,20260725
010882408C,9010882408,              0,    20270311,      20270311,0,11,22,19880311,20270311
010882416C,9010882416,              0,    20270314,      20270314,0,14,22,19880314,20270314
010883172C,9010883172,              0,    20260714,      20260714,0,14,22,19880314,20260714
010883244C,9010883244,              0,    20260714,      20260714,0,14,22,19880314,20260714
010883731C,9010883731,              0,    20270324,      20270324,0,24,22,19880324,20270324
010884969C,9010884969,              0,    20131015,      20140415,0,15,44,19880415,20131015
010885441C,9010885441,              0,    20270322,      20270322,0,22,22,19880322,20270322
010886099C,9010886099,              0,    20260907,      20260907,0,7,44,19880607,20260907
010887617C,9010887617,              0,    20270401,      20270401,0,1,22,19880401,20270401
010888941C,9010888941,              0,    20260913,      20260913,0,13,22,19880613,20260913
010889177C,9010889177,              0,    20261001,      20261001,0,1,22,19880401,20261001
010889439C,9010889439,              0,    20031014,      20040414,0,14,44,19880414,20031014
010889785C,9010889785,              0,    20270414,      20270414,0,14,22,19880414,20270414
010890614C,9010890614,              0,    20260721,      20260721,0,21,22,19880421,20260721
010891074C,9010891074,              0,    20030423,      20270423,0,23,45,19880423,20030423
010891087C,9010891087,              0,    20270525,      20270525,0,25,22,19880525,20270525
010891309C,9010891309,              0,    20270518,      20270518,0,18,22,19880518,20270518
010891328C,9010891328,              0,    20270501,      20270501,0,1,22,19880501,20270501
010891993C,9010891993,              0,    20260727,      20260727,0,27,22,19880427,20260727
010892016C,9010892016,              0,    20270425,      20270425,0,25,22,19880425,20270425
010892691C,9010892691,              0,    20260728,      20260728,0,28,22,19880428,20260728
010893115C,9010893115,              0,    20270426,      20270426,0,26,22,19880426,20270426
010894939C,9010894939,              0,    20261111,      20261111,0,11,22,19880511,20261111
010894941C,9010894941,              0,    20261111,      20261111,0,11,22,19880511,20261111
010895689C,9010895689,              0,    20270507,      20270507,0,7,22,19880507,20270507
010896932C,9010896932,              0,    20270517,      20270517,0,17,22,19880517,20270517
010897521C,9010897521,              0,    20270520,      20270520,0,20,22,19880520,20270520
010897662C,9010897662,              0,    20260720,      20260720,0,20,22,19880520,20260720
010897663C,9010897663,              0,    20260720,      20260720,0,20,22,19880520,20260720
010900623C,9010900623,              0,    20260602,      20260902,0,2,44,19880602,20260602
010901657C,9010901657,              0,    20260301,      20260301,0,1,44,19880601,20260301
010901787C,9010901787,              0,    20270606,      20270606,0,6,22,19880606,20270606
010901832C,9010901832,              0,    20260601,      20260801,0,1,22,19880601,20260601
010902903C,9010902903,              0,    20260920,      20260920,0,20,22,19880620,20260920
010902972C,9010902972,              0,    20270607,      20270607,0,7,22,19880607,20270607
010903411C,9010903411,              0,    20261206,      20261206,0,6,22,19880606,20261206
010904802C,9010904802,              0,    20260915,      20260915,0,15,22,19880615,20260915
010904805C,9010904805,              0,    20260701,      20270701,0,1,22,19880701,20260701
010905200C,9010905200,              0,    20270617,      20270617,0,17,22,19880617,20270617
010907726C,9010907726,              0,    20260801,      20260801,0,1,22,19880701,20260801
010908669C,9010908669,              0,    20260701,      20260701,0,1,22,19880701,20260701
010909687C,9010909687,              0,    20260701,      20261001,0,1,22,19880701,20260701
010911853C,9010911853,              0,    20260714,      20270714,0,14,22,19880714,20260714
010913059C,9010913059,              0,    20260715,      20270115,0,15,22,19880715,20260715
010913060C,9010913060,              0,    20260715,      20270115,0,15,22,19880715,20260715
010913799C,9010913799,              0,    20260724,      20270724,0,24,22,19880724,20260724
010916889C,9010916889,              0,    20260806,      20260806,0,6,22,19880806,20260806
010917599C,9010917599,              0,    20260703,      20260703,0,3,22,19880803,20260703
010917602C,9010917602,              0,    20260803,      20260803,0,3,44,19880803,20260803
010917603C,9010917603,              0,    20260803,      20260803,0,3,44,19880803,20260803
010917604C,9010917604,              0,    20260703,      20260703,0,3,44,19880803,20260703
010920186C,9010920186,              0,    20240814,      20241114,0,14,44,19880814,20240814
010924513C,9010924513,              0,    20260828,      20260828,0,28,22,19880828,20260828
010924660C,9010924660,              0,    20260904,      20260904,0,4,22,19880904,20260904
010926025C,9010926025,              0,    20000908,      20000908,0,8,44,19880908,20000908
010926357C,9010926357,              0,    20260906,      20260906,0,6,22,19880906,20260906
010927989C,9010927989,              0,    20260910,      20260910,0,10,22,19880910,20260910
010928016C,9010928016,              0,    20260721,      20260821,0,21,22,19881021,20260721
010928491C,9010928491,              0,    20260701,      20261001,0,1,22,19881001,20260701
010928507C,9010928507,              0,    20261001,      20261001,0,1,22,19881001,20261001
010934017C,9010934017,              0,    20260715,      20260815,0,15,44,19881015,20260715
010934894C,9010934894,              0,    19991006,      19991006,0,6,44,19881006,19991006
010934895C,9010934895,              0,    19991006,      19991006,0,6,44,19881006,19991006
010936178C,9010936178,              0,    20260716,      20261016,0,16,22,19881016,20260716
010936179C,9010936179,              0,    20260716,      20261016,0,16,44,19881016,20260716
010937087C,9010937087,              0,    20241017,      20250417,0,17,44,19881017,20241017
010937092C,9010937092,              0,    20261020,      20261020,0,20,44,19881020,20261020
010937739C,9010937739,              0,    20261012,      20261012,0,12,44,19881012,20261012
010938121C,9010938121,              0,    20260724,      20261024,0,24,22,19881024,20260724
010938321C,9010938321,              0,    20261025,      20261025,0,25,22,19881025,20261025
010942246C,9010942246,              0,    20260810,      20260810,0,10,22,19881110,20260810
010943847C,9010943847,              0,    20261119,      20261119,0,19,22,19881119,20261119
010943849C,9010943849,              0,    20251101,      20251101,0,1,22,19881101,20251101
010943851C,9010943851,              0,    20090701,      20091001,0,1,44,19881201,20090701
010944558C,9010944558,              0,    20261023,      20261023,0,23,22,19881023,20261023
010947226C,9010947226,              0,    20150402,      20150402,0,2,44,19890102,20150402
010947245C,9010947245,              0,    20261206,      20261206,0,6,22,19881206,20261206
010947870C,9010947870,              0,    20261215,      20261215,0,15,22,19881215,20261215
010948241C,9010948241,              0,    20261201,      20261201,0,1,22,19881201,20261201
010948278C,9010948278,              0,    20260701,      20260801,0,1,44,19891201,20260701
010949672C,9010949672,              0,    20221113,      20230213,0,13,44,19881213,20221113
010950970C,9010950970,              0,    20260913,      20260913,0,13,44,19881213,20260913
010951456C,9010951456,              0,    20261216,      20261216,0,16,22,19881216,20261216
010952064C,9010952064,              0,    20260720,      20260720,0,20,22,19881220,20260720
010952366C,9010952366,              0,    20260916,      20260916,0,16,22,19881216,20260916
010952386C,9010952386,              0,    20260901,      20260901,0,1,44,19890301,20260901
010953834C,9010953834,              0,    20260927,      20260927,0,27,22,19881227,20260927
010955034C,9010955034,              0,    20260703,      20270103,0,3,22,19890103,20260703
010955783C,9010955783,              0,    20270120,      20270120,0,20,22,19890120,20270120
010956992C,9010956992,              0,    20270101,      20270101,0,1,22,19890101,20270101
010958268C,9010958268,              0,    20260725,      20260725,0,25,22,19890125,20260725
010959100C,9010959100,              0,    20260707,      20270107,0,7,22,19890107,20260707
010963588C,9010963588,              0,    20270210,      20270210,0,10,22,19890210,20270210
010969231C,9010969231,              0,    20260221,      20260221,0,21,22,19890221,20260221
010969329C,9010969329,              0,    20260822,      20260822,0,22,22,19890222,20260822
010969653C,9010969653,              0,    20270302,      20270302,0,2,22,19890302,20270302
010971482C,9010971482,              0,    20270320,      20270320,0,20,22,19890320,20270320
010971570C,9010971570,              0,    20270310,      20270310,0,10,22,19890310,20270310
010974858C,9010974858,              0,    20270320,      20270320,0,20,22,19890320,20270320
010978232C,9010978232,              0,    20270401,      20270401,0,1,22,19890401,20270401
010980832C,9010980832,              0,    20000408,      20000408,0,8,44,19890408,20000408
010985217C,9010985217,              0,    20260801,      20260801,0,1,44,19890601,20260801
010986419C,9010986419,              0,    20260708,      20260708,0,8,22,19890508,20260708
010986699C,9010986699,              0,    20270502,      20270502,0,2,22,19890502,20270502
010987089C,9010987089,              0,    20260509,      20260809,0,9,22,19890509,20260509
010987095C,9010987095,              0,    20260810,      20260810,0,10,22,19890510,20260810
010987611C,9010987611,              0,    20260815,      20260815,0,15,22,19890515,20260815
010990850C,9010990850,              0,    20270528,      20270528,0,28,22,19890528,20270528
010991108C,9010991108,              0,    20270527,      20270527,0,27,22,19890527,20270527
010991950C,9010991950,              0,    20260706,      20260706,0,6,22,19890606,20260706
010992096C,9010992096,              0,    20270628,      20270628,0,28,22,19890628,20270628
010992126C,9010992126,              0,    20270618,      20270618,0,18,22,19890618,20270618
010992127C,9010992127,              0,    20270618,      20270618,0,18,22,19890618,20270618
010993098C,9010993098,              0,    20260914,      20260914,0,14,22,19890614,20260914
010993200C,9010993200,              0,    20260719,      20260819,0,19,44,19890619,20260719
010993841C,9010993841,              0,    20260701,      20270701,0,1,22,19890701,20260701
010996690C,9010996690,              0,    20260801,      20260801,0,1,22,19890801,20260801
010998652C,9010998652,              0,    20260801,      20260801,0,1,44,19890801,20260801
010998890C,9010998890,              0,    20260716,      20260716,0,16,22,19890816,20260716
010999694C,9010999694,              0,    20260901,      20260901,0,1,44,19890901,20260901
011000000C,9011000000,              0,    20260607,      20260907,0,7,22,19890907,20260607
011000026C,9011000026,              0,    20260901,      20260901,0,1,22,19890901,20260901
011001302C,9011001302,              0,    20260912,      20260912,0,12,44,19890912,20260912
011002254C,9011002254,              0,    20260905,      20260905,0,5,22,19890905,20260905
011002616C,9011002616,              0,    20260928,      20260928,0,28,22,19890928,20260928
011003325C,9011003325,              0,    20260708,      20260808,0,8,44,19891008,20260708
011005041C,9011005041,              0,    20260724,      20261024,0,24,44,19891024,20260724
011005635C,9011005635,              0,    20260715,      20260815,0,15,22,19891215,20260715
011006631C,9011006631,              0,    20261101,      20261101,0,1,22,19891101,20261101
011006697C,9011006697,              0,    20261113,      20261113,0,13,22,19891113,20261113
011006989C,9011006989,              0,    20260715,      20260815,0,15,22,19891215,20260715
011006990C,9011006990,              0,    20260715,      20260815,0,15,22,19891215,20260715
011008137C,9011008137,              0,    20261201,      20261201,0,1,22,19891201,20261201
011008198C,9011008198,              0,    20261201,      20261201,0,1,22,19891201,20261201
011008707C,9011008707,              0,    20261208,      20261208,0,8,22,19891208,20261208
011011703C,9011011703,              0,    20270111,      20270111,0,11,22,19900111,20270111
011012401C,9011012401,              0,    20270119,      20270119,0,19,22,19900119,20270119
011014579C,9011014579,              0,    20260815,      20260815,0,15,22,19900215,20260815
011014580C,9011014580,              0,    20260815,      20260815,0,15,22,19900215,20260815
011020938C,9011020938,              0,    20260701,      20270701,0,1,22,19900701,20260701
011023481C,9011023481,              0,    20260820,      20260820,0,20,44,19900820,20260820
011024164C,9011024164,              0,    20260714,      20270714,0,14,22,19900714,20260714
011025405C,9011025405,              0,    20260811,      20260811,0,11,22,19900811,20260811
011028990C,9011028990,              0,    20261018,      20261018,0,18,22,19901018,20261018
011032090C,9011032090,              0,    20260701,      20260801,0,1,44,19910201,20260701
011032672C,9011032672,              0,    20270101,      20270101,0,1,22,19910101,20270101
011032898C,9011032898,              0,    20270109,      20270109,0,9,22,19910109,20270109
011033576C,9011033576,              0,    20260618,      20260818,0,18,22,19910118,20260618
011036041C,9011036041,              0,    20270305,      20270305,0,5,22,19910305,20270305
011038778C,9011038778,              0,    20270510,      20270510,0,10,22,19910510,20270510
011038780C,9011038780,              0,    20270513,      20270513,0,13,22,19910513,20270513
011038794C,9011038794,              0,    20260726,      20260726,0,26,22,19910426,20260726
011040294C,9011040294,              0,    20260901,      20260901,0,1,22,19910601,20260901
011041220C,9011041220,              0,    20260814,      20260814,0,14,22,19910614,20260814
011042316C,9011042316,              0,    20260516,      20260816,0,16,22,19910716,20260516
011042946C,9011042946,              0,    20260815,      20260815,0,15,22,19910815,20260815
011045141C,9011045141,              0,    20260911,      20260911,0,11,22,19910911,20260911
011045350C,9011045350,              0,    20261101,      20261101,0,1,22,19911101,20261101
011045583C,9011045583,              0,    20090916,      20100916,0,16,44,19910916,20090916
011045619C,9011045619,              0,    20260917,      20260917,0,17,22,19910917,20260917
011045850C,9011045850,              0,    20261108,      20261108,0,8,22,19911108,20261108
011047682C,9011047682,              0,    20260704,      20260704,0,4,22,19911104,20260704
011047683C,9011047683,              0,    20260704,      20260704,0,4,22,19911104,20260704
011047684C,9011047684,              0,    20260704,      20260704,0,4,22,19911104,20260704
011048543C,9011048543,              0,    20221215,      20221215,0,15,22,19911215,20221215
011050114C,9011050114,              0,    20261226,      20261226,0,26,22,19911226,20261226
011050653C,9011050653,              0,    20270115,      20270115,0,15,22,19920115,20270115
011051051C,9011051051,              0,    20270115,      20270115,0,15,22,19920115,20270115
011052737C,9011052737,              0,    20270218,      20270218,0,18,22,19920218,20270218
011054839C,9011054839,              0,    20260924,      20260924,0,24,44,19920324,20260924
011054840C,9011054840,              0,    20260923,      20260923,0,23,44,19920323,20260923
011054841C,9011054841,              0,    20260923,      20260923,0,23,22,19920323,20260923
011054987C,9011054987,              0,    20270402,      20270402,0,2,22,19920402,20270402
011059175C,9011059175,              0,    20270608,      20270608,0,8,22,19920608,20270608
011060427C,9011060427,              0,    20260709,      20261009,0,9,22,19920709,20260709
011060621C,9011060621,              0,    20260819,      20260819,0,19,22,19920819,20260819
011060625C,9011060625,              0,    20260715,      20270715,0,15,22,19920715,20260715
011061046C,9011061046,              0,    20260715,      20270715,0,15,22,19920715,20260715
011061723C,9011061723,              0,    20260601,      20260801,0,1,22,19920801,20260601
011063727C,9011063727,              0,    20261209,      20261209,0,9,22,19921209,20261209
011064373C,9011064373,              0,    20260701,      20261001,0,1,22,19921001,20260701
011064626C,9011064626,              0,    20260713,      20261013,0,13,22,19921013,20260713
011064715C,9011064715,              0,    20260726,      20260726,0,26,22,19921026,20260726
