emitted_plan,source_coverage_id,source_row_identifier,form,descr,planname,authority_layer_used,fallback_layer_used,pre_overlay_plan,crosswalk_ql_plan_code,product_catalog_crosswalk_used,master_crosswalk_fallback_used,raw_passthrough_occurred,overlay_applied,uat_overlay_enabled,authorized_by_policy_form_crosswalk,rulebook_lineage,recommended_remediation,business_review_status
982JPO,8286 GI 2+,8286 GI 2+,8286 GI 2+,JUVENILE FUTURE PURCHASE OPTION,JUV FUTURE PURCHASE OPTION - L17,POLICY_FORM_CROSSWALK,,982JPO,982JPO,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
A60MIR,863,863,863,MONTHLY INCOME RIDER,"MONTHLY INCOME RIDER- 960 LP85-M, 960 PO",POLICY_FORM_CROSSWALK,,A60MIR,A60MIR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
960GIO,889 960,889 960,889 960,960 GUARANTEE INSURABILITY OPTION,GUARANTEE INSURABILITY OPTION - 960 OL,POLICY_FORM_CROSSWALK,,960GIO,960GIO,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
A96DAR,896 DAR,896 DAR,896 DAR,DEPOSIT ANNUITY RIDER,DEPOSIT ANNUITY RIDER - 665 STME95,POLICY_FORM_CROSSWALK,,A96DAR,A96DAR,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1666AI,897 666,897 666,897 666,ADDITIONAL INSUREDS 666 WL,ADDITIONAL INSUREDS 666 WL,POLICY_FORM_CROSSWALK,,1666AI,1666AI,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
165PUA,960 65 PUA,960 65 PUA,960 65 PUA,PAID UP ADDS - LIFE PAID UP AT AGE 65,PUAS FOR 960 LP65,POLICY_FORM_CROSSWALK,,165PUA,165PUA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
185PUA,960 LP PUA,960 LP PUA,960 LP PUA,PAID UP ADDS - LIFE PU AT AGE 85-88,PUA - 960 LP85-M,POLICY_FORM_CROSSWALK,,185PUA,185PUA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
196065,960 LP65,960 LP65,960 LP65,LIFE PAID UP AT AGE 65,LIFE PAID UP AT AGE 65,POLICY_FORM_CROSSWALK,,196065,196065,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
196085,960 LP85-M,960 LP85-M,960 LP85-M,LIFE PAID UP AT AGE 85-88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,POLICY_FORM_CROSSWALK,,196085,196085,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1960OL,960 OL,960 OL,960 OL,ORDINARY WHOLE LIFE,ORDINARY WHOLE LIFE,POLICY_FORM_CROSSWALK,,1960OL,1960OL,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1OLPUA,960 OL PUA,960 OL PUA,960 OL PUA,PAID UP ADDS - ORDINARY WHOLE LIFE,PUAS FOR 960 OL,POLICY_FORM_CROSSWALK,,1OLPUA,1OLPUA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1960PO,960 PO,960 PO,960 PO,PREFERRED ORDINARY WHOLE LIFE,PREFERRED ORDINARY WHOLE LIFE,POLICY_FORM_CROSSWALK,,1960PO,1960PO,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1POPUA,960 PO PUA,960 PO PUA,960 PO PUA,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,PUAS FOR 960 PO,POLICY_FORM_CROSSWALK,,1POPUA,1POPUA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
2961ME,961 ME65,961 ME65,961 ME65,MODIFIED ENDOWMENT AT 65,MODIFIED ENDOWMENT AT 65,POLICY_FORM_CROSSWALK,,961 ME65,2961ME,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
261PUA,961 PUA,961 PUA,961 PUA,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,POLICY_FORM_CROSSWALK,,961 PUA,261PUA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1970JB,970 JEB,970 JEB,970 JEB,JUVENILE EST BUILD PU AT 85 LIFE,JUVENILE EST BUILD PU AT 85 LIFE,POLICY_FORM_CROSSWALK,,970 JEB,1970JB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1970PA,970 PUA,970 PUA,970 PUA,PAID UP ADDS - JUV EST BUILD PU AT 85,PAID UP ADDS - JUV EST BUILD PU AT 85,POLICY_FORM_CROSSWALK,,970 PUA,1970PA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
280END,980 END65,980 END65,980 END65,ENDOWMENT AT AGE 65,ENDOWMENT AT AGE 65,POLICY_FORM_CROSSWALK,,280END,280END,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
280PUA,980 PUA,980 PUA,980 PUA,PAID UP ADDS - ENDOWMENT AT AGE 65,PUAS FOR 980 END65,POLICY_FORM_CROSSWALK,,280PUA,280PUA,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1991PL,991 PWL,991 PWL,991 PWL,PENSION WHOLE LIFE,ALL PENSION WHOLE LIFE IN RPU STATUS,POLICY_FORM_CROSSWALK,,1991PL,1991PL,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9DIS20,DISCHO20 B,DISCHO20 B,DISCHO20 B,HOME OFFICE DISCOUNT 20% 1YR,HOME OFFICE DISCOUNT 20% 1YR,POLICY_FORM_CROSSWALK,,9DIS20,9DIS20,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9DIS24,DISCHO2475,DISCHO2475,DISCHO2475,HOME OFFICE DISCOUNT - 24.75%,"DISCNT 24.75% - L10 LP95, L10 OLD, 619DT",POLICY_FORM_CROSSWALK,,9DIS25,9DIS24,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9DS24B,DISCHO247B,DISCHO247B,DISCHO247B,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,POLICY_FORM_CROSSWALK,,DISCHO247B,9DS24B,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9DS24C,DISCHO247C,DISCHO247C,DISCHO247C,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,POLICY_FORM_CROSSWALK,,9DIS25,9DS24C,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9DIS29,DISCHO25,DISCHO25,DISCHO29,HOME OFFICE DISCOUNT 29% - MODERULE 37,HOME OFFICE DISCOUNT 29% - MODERULE 37,MASTER_CROSSWALK_LEGACY_FALLBACK,,9DIS25,9DIS25,N,Y,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Master_Crosswalk legacy product fallback -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9DIS70,DISCHO29,DISCHO29,DISCHO70,HOME OFFICE DISCOUNT - 70/13%,DISCOUNT 70/13% -  L01 10Y LT,PRODUCT_CATALOG_CROSSWALK,,DISCHO29,9DIS29,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9DIS80,DISCHO70,DISCHO70,DISCHO80,HOME OFFICE DISCOUNT 80% 1 YR,HOME OFFICE DISCOUNT 80% 1 YR,PRODUCT_CATALOG_CROSSWALK,,9DIS70,9DIS70,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9DIS90,DISCHO80,DISCHO80,DISCHO90,HOME OFFICE DISCOUNT 90% 1 YR,HOME OFFICE DISCOUNT 90% 1 YR,PRODUCT_CATALOG_CROSSWALK,,9DIS80,9DIS80,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
5L0110,DISCHO90,DISCHO90,L01 10Y LT,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,PRODUCT_CATALOG_CROSSWALK,,9DIS90,9DIS90,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
5L01MA,L01 10Y LT,L01 10Y LT,L01 10Y MA,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,PRODUCT_CATALOG_CROSSWALK,,5L0110,5L0110,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
5L0510,L01 10Y MA,L01 10Y MA,L05 10Y LT,TEN YEAR TERM TO AGE 85,TEN YEAR TERM TO AGE 85,PRODUCT_CATALOG_CROSSWALK,,L01 10Y MA,5L01MA,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
5L075Y,L05 10Y LT,L05 10Y LT,L07 5Y LT,FIVE YEAR TERM TO AGE 85,FIVE YEAR TERM TO AGE 85,PRODUCT_CATALOG_CROSSWALK,,5L0510,5L0510,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9ADB10,L07 5Y LT,L07 5Y LT,L10 ADB,L10 ACCIDENTAL DEATH BENEFIT,"ACC DB - L10 LP95, L10 OLD, L10 SR OLD",PRODUCT_CATALOG_CROSSWALK,,5L075Y,5L075Y,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
5CDT10,L10 ADB,L10 ADB,L10 CDT,L10 CHILD TERM RIDER,"CTR - L10 LP95, L10 OLD",PRODUCT_CATALOG_CROSSWALK,,9ADB10,9ADB10,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9GPO10,L10 CDT,L10 CDT,L10 GPO,L10 GPO OLD,"GPO OLD - L10 LP95, L10 OLD",PRODUCT_CATALOG_CROSSWALK,,5CDT10,5CDT10,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9JPO10,L10 GPO,L10 GPO,L10 JPO,L10 JUVENILE PURCHASE OPTION - OLD,"JUV PURCH OPTION - L10 LP95, OLD, SR OLD",PRODUCT_CATALOG_CROSSWALK,,9GPO10,9GPO10,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1L1095,L10 JPO,L10 JPO,L10 LP95,L10 - LPU95     POST 1997 LIFE,WHOLE LIFE PAYABLE TO AGE 95 - JR,PRODUCT_CATALOG_CROSSWALK,,9JPO10,9JPO10,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1L10SR,L10 LP95,L10 LP95,L10 LP95SR,L10 - LPU95   POST 1997  SENIOR LIFE,WHOLE LIFE PAYABLE TO AGE 95 - SR,PRODUCT_CATALOG_CROSSWALK,,1L1095,1L1095,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1L10OD,L10 LP95SR,L10 LP95SR,L10 OLD,L10 - LPU95       PRE 1997,L10 PRE97 VS L10 OLD,PRODUCT_CATALOG_CROSSWALK,,1L10SR,1L10SR,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1L10PR,L10 PRE97,L10 PRE97,L10 PREUNI,L10 - LPU95       PRE 1997,L10 PREUNI,PRODUCT_CATALOG_CROSSWALK,,L10 PRE97,1L10OD,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
7SDT10,L10 PREUNI,L10 PREUNI,L10 SDT,L10 SPOUSE DECREASING TERM,L10 SPOUSE DECR TERM - L10 OLD,PRODUCT_CATALOG_CROSSWALK,,L10 PREUNI,1L10PR,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
910SWP,L10 SDT,L10 SDT,L10 SPSWP,L10 SPOUSE WP,L10 SPOUSE WP,PRODUCT_CATALOG_CROSSWALK,,7SDT10,7SDT10,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1L10SO,L10 SPSWP,L10 SPSWP,L10 SR OLD,L10 - LPU95  SR.     PRE 1997,WHOLE LIFE PAYABLE TO AGE 95 - SR,PRODUCT_CATALOG_CROSSWALK,,L10 SPSWP,910SWP,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9WPL10,L10 SR OLD,L10 SR OLD,L10 WP,L10 WAIVER OF PREMIUM   POST 1997,WAIVER OF PREMIUM - L10 LP95,PRODUCT_CATALOG_CROSSWALK,,1L10SO,1L10SO,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9CDTWP,L10 WP,L10 WP,L10 WP CDT,L10 CHILD WP,CHILD WAIVER OF PREM -  L10 LP95,PRODUCT_CATALOG_CROSSWALK,,9WPL10,9WPL10,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9OLDWP,L10 WP CDT,L10 WP CDT,L10 WP OLD,WAIVER OF PREMIUM - L10,WAIVER OF PREMIUM - L10 OLD,PRODUCT_CATALOG_CROSSWALK,,9CDTWP,9CDTWP,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
910RWP,L10 WP OLD,L10 WP OLD,L10 WP SRN,L10 WAIVER OF PREMIUM   POST 1997,L10 WAIVER OF PREMIUM   POST 1997,PRODUCT_CATALOG_CROSSWALK,,9OLDWP,9OLDWP,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1L14SC,L10 WP SRN,L10 WP SRN,L14,WHOLE LIFE,SECURECHOICE LIFE: GRADED DB WL,PRODUCT_CATALOG_CROSSWALK,,L10 WP SRN,910RWP,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1L15GD,L14,L14,L15,GRADED DEATH BENEFIT WHOLE LIFE,"WL - 100% YR 4, 101% OF CV AFTER 100",PRODUCT_CATALOG_CROSSWALK,,1L14SC,1L14SC,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9ADB15,L15,L15,L15 ADB,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,PRODUCT_CATALOG_CROSSWALK,,1L15GD,1L15GD,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1L16GD,L15 ADB,L15 ADB,L16,GRADED DEATH BENEFIT WHOLE LIFE,"WL - 100% YR 3, 101% OF CV AFTER 100",PRODUCT_CATALOG_CROSSWALK,,9ADB15,9ADB15,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9L16PF,L16,L16,L16POLFEE,GRADED DEATH BENEFIT,GRADED DEATH BENEFIT,PRODUCT_CATALOG_CROSSWALK,,1L16GD,1L16GD,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
10L171,L16POLFEE,L16POLFEE,L17 1,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WL - L17,PRODUCT_CATALOG_CROSSWALK,,9L16PF,9L16PF,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
117JPO,L17 1,L17 1,L17 1 JPO,L17 JUVENILE PURCHASE OPTION,JUVENILE PURCHASE OPTION - L17,PRODUCT_CATALOG_CROSSWALK,,10L171,10L171,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
10L172,L17 1 JPO,L17 1 JPO,L17 2+,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WL - L17,PRODUCT_CATALOG_CROSSWALK,,117JPO,117JPO,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
17MJPO,L17 2+,L17 2+,L17 2+ JPO,L17 MULTI JUVENILE PURCHASE OPTION,MULTI JUVENILE PURCHASE OPTION - L17,PRODUCT_CATALOG_CROSSWALK,,10L172,10L172,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1L17SP,L17 2+ JPO,L17 2+ JPO,L17,SINGLE PREMIUM WHOLE LIFE,WHOLE LIFE: LEV DB TO 100; 101% CV,PRODUCT_CATALOG_CROSSWALK,,17MJPO,17MJPO,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9SLADB,L17 BASE,L17 BASE,SAL ADB,SAL ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT - SAL ML,PRODUCT_CATALOG_CROSSWALK,,1L17SP,1L17SP,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1SALML,SAL ADB,SAL ADB,SAL ML,MODIFIED LIFE,STANDARD AMERICAN MODIFIED LIFE,PRODUCT_CATALOG_CROSSWALK,,9SLADB,9SLADB,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1SALMI,SAL ML,SAL ML,SAL MULTPL,MULTIPLE INSUREDS SAL MODIFIED LIFE,MULTIPLE INSUREDS - SAL ML,PRODUCT_CATALOG_CROSSWALK,,1SALML,1SALML,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
1SALOL,SAL MULTPL,SAL MULTPL,SAL OL,ORDINARY WHOLE LIFE,STANDARD AMERICAN ORDINARY LIFE,PRODUCT_CATALOG_CROSSWALK,,1SALMI,1SALMI,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9WP646,SAL OL,SAL OL,WP 646,WAIVER OF PREMIUM,WAIVER OF PREMIUM,PRODUCT_CATALOG_CROSSWALK,,1SALOL,1SALOL,Y,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> product_catalog_crosswalk.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
