MPOLICY,MSTATUS,MPLAN,MEFFDATE,MPAIDTO,MPAYUP_BEFORE,MPAYUP_AFTER,MLASTANN_BEFORE,MLASTANN_AFTER_SYS,MLASTANN_AFTER_VAL,PAYUP_CHANGED,MLAST_CHANGED_SYS,IS_PUA_PLAN
014100DC,45,1SALML,19490705,19970405,19970405,19970405,76,29,28,N,Y,N
014100EC,45,1SALML,19560101,19970401,19970401,19970401,69,29,28,N,Y,N
014112C,45,1SALML,19490801,19690801,19690801,19690801,76,57,56,N,Y,N
014126AC,45,1SALML,19491201,19710601,19710601,19710601,76,55,54,N,Y,N
01422D089C,45,1SALML,19620901,19910801,19910801,19910801,63,35,34,N,Y,N
015000055C,44,17CSI5,19950718,20241218,20380718,20241218,30,2,1,Y,Y,N
018009BC,45,1SALML,19561108,19860208,19860208,19860208,69,40,39,N,Y,N
018021C,45,1SALML,19470116,19680416,19680416,19680416,78,58,57,N,Y,N
018166CC,45,1SALML,19490728,19700128,19700128,19700128,76,56,55,N,Y,N
018167CC,45,1SALML,19520926,19800926,19800926,19800926,73,46,45,N,Y,N
018167DC,45,1SALML,19571205,19800905,19800905,19800905,68,46,45,N,Y,N
018167EC,45,1SALML,19511101,19800901,19800901,19800901,74,46,45,N,Y,N
018185C,45,1SALML,19491028,19900428,19900428,19900428,76,36,35,N,Y,N
018187C,45,1SALML,19491228,19660728,19660728,19660728,76,60,59,N,Y,N
018222AC,45,1SALML,19510402,19680502,19680502,19680502,74,58,57,N,Y,N
018222BC,45,1SALML,19510402,19680502,19680502,19680502,74,58,57,N,Y,N
018234C,45,1SALML,19510720,19730120,19730120,19730120,74,53,52,N,Y,N
018236BC,45,1SALML,19510720,19960120,19960120,19960120,74,30,29,N,Y,N
018237CC,45,1SALML,19510720,19800720,19800720,19800720,74,46,45,N,Y,N
018237EC,45,1SALML,19510720,19800720,19800720,19800720,74,46,45,N,Y,N
018237FC,45,1SALML,19590901,19800701,19800701,19800701,66,46,45,N,Y,N
018237GC,45,1SALML,19650201,19800701,19800701,19800701,60,46,45,N,Y,N
018258AC,45,1SALML,19510927,19830827,19830827,19830827,74,43,42,N,Y,N
018258BC,45,1SALML,19510927,19830827,19830827,19830827,74,43,42,N,Y,N
018258CC,45,1SALML,19510927,19830827,19830827,19830827,74,43,42,N,Y,N
018284CC,45,1SALML,19521028,19951028,19951028,19951028,73,31,30,N,Y,N
018284DC,45,1SALML,19540701,19951001,19951001,19951001,71,31,30,N,Y,N
018306FC,45,1SALML,19520514,19750514,19750514,19750514,73,51,50,N,Y,N
018313AC,45,1SALML,19520522,20070722,20070722,20070722,73,19,18,N,Y,N
018313BC,45,1SALML,19520522,19840622,19840622,19840622,73,42,41,N,Y,N
018313DC,45,1SALML,19520522,19770622,19770622,19770622,73,49,48,N,Y,N
018330AC,45,1SALML,19520628,19840728,19840728,19840728,73,42,41,N,Y,N
018330BC,45,1SALML,19520628,19860728,19860728,19860728,73,40,39,N,Y,N
018330CC,45,1SALML,19580801,19860701,19860701,19860701,67,40,39,N,Y,N
018355C,45,1SALML,19520926,19770426,19770426,19770426,73,49,48,N,Y,N
018386C,45,1SALML,19521113,19740613,19740613,19740613,73,52,51,N,Y,N
018465CC,45,1SALML,19530401,19960701,19960701,19960701,72,30,29,N,Y,N
018491C,45,1SALML,19540610,19710610,19710610,19710610,71,55,54,N,Y,N
018492C,45,1SALML,19540610,19710610,19710610,19710610,71,55,54,N,Y,N
018495BC,45,1SALML,19540610,19760310,19760310,19760310,71,50,49,N,Y,N
018495CC,45,1SALML,19540610,19680910,19680910,19680910,71,58,57,N,Y,N
018499AC,45,1SALML,19540610,19840110,19840110,19840110,71,42,41,N,Y,N
018499BC,45,1SALML,19540610,19840110,19840110,19840110,71,42,41,N,Y,N
018499DC,45,1SALML,19540610,19840110,19840110,19840110,71,42,41,N,Y,N
018509C,45,1SALML,19540625,19741225,19741225,19741225,71,52,51,N,Y,N
018510C,45,1SALML,19540625,19881225,19881225,19881225,71,38,37,N,Y,N
018528C,45,1SALML,19540715,19771215,19771215,19771215,71,49,48,N,Y,N
018529C,45,1SALML,19540715,19780315,19780315,19780315,71,48,47,N,Y,N
018586C,45,1SALML,19560120,19810420,19810420,19810420,69,45,44,N,Y,N
018645AC,45,1SALML,19530828,19761128,19761128,19761128,72,50,49,N,Y,N
018645CC,45,1SALML,19530828,19891128,19891128,19891128,72,37,36,N,Y,N
018712C,45,1SALML,19620601,19951001,19951001,19951001,63,31,30,N,Y,N
018719C,45,1SALML,19570901,19840401,19840401,19840401,68,42,41,N,Y,N
018721C,45,1SALML,19581001,19870201,19870201,19870201,67,39,38,N,Y,N
018845BC,45,1SALML,19531128,19890828,19890828,19890828,72,37,36,N,Y,N
018845CC,45,1SALML,19531128,19890828,19890828,19890828,72,37,36,N,Y,N
018900C,45,1SALML,19490901,19630901,19630901,19630901,76,63,62,N,Y,N
018909C,45,1SALML,19491201,19650101,19650101,19650101,76,61,60,N,Y,N
018912C,45,1SALML,19451108,19660808,19660808,19660808,80,60,59,N,Y,N
01FG8314BC,45,1SALML,19640101,20040701,20040701,20040701,61,22,21,N,Y,N
01FG8314DC,45,1SALML,19520522,19730522,19730522,19730522,73,53,52,N,Y,N
01FG8314EC,45,1SALML,19610501,19870701,19870701,19870701,64,39,38,N,Y,N
01FG8314FC,45,1SALML,19520926,19870726,19870726,19870726,73,39,38,N,Y,N
01ML4140BC,45,1SALML,19501106,19681006,19681006,19681006,75,58,57,N,Y,N
01ML4140CC,45,1SALML,19501106,19670406,19670406,19670406,75,59,58,N,Y,N
01ML4150C,45,1SALML,19540519,19940819,19940819,19940819,71,32,31,N,Y,N
01ML8314BC,45,1SALML,19520522,20040722,20040722,20040722,73,22,21,N,Y,N
01ML8378BC,45,1SALML,19521028,19660328,19660328,19660328,73,60,59,N,Y,N
01ML8378CC,45,1SALML,19521028,19660328,19660328,19660328,73,60,59,N,Y,N
01ML8378DC,45,1SALML,19521028,19660328,19660328,19660328,73,60,59,N,Y,N
01ML8378EC,45,1SALML,19521028,19660328,19660328,19660328,73,60,59,N,Y,N
01ML8597C,45,1SALML,19561001,19921001,19921001,19921001,69,34,33,N,Y,N
