old_value,new_value,original_source,mapping_class,quarantine_reason,rollback_action,removed_from_master_crosswalk,governance_status
901ML8378C,01ML8378CC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8378D,01ML8378DC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8378E,01ML8378EC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8438,01ML8438C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8450B,01ML8450BC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8457,01ML8457C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8464,01ML8464C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8487,01ML8487C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8493,01ML8493C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8501,01ML8501C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8515,01ML8515C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8522,01ML8522C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8535,01ML8535C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8556,01ML8556C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8557,01ML8557C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8565,01ML8565C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8570,01ML8570C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8584,01ML8584C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8597,01ML8597C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8678,01ML8678C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8772,01ML8772C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8791,01ML8791C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
901ML8804,01ML8804C,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
658 CEN I,1658C1,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1578 FTR,778FTR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1576 658,976658,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1580 JPO,980JPO,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1577 ADB,977ADB,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1578FTR WP,9FTRWP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1578 CTR,578CTR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1578CTR WP,9CTRWP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
8042 STR,542STR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
8042STR WP,9STRWP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
DISCHO80,9DIS80,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
DISCHO90,9DIS90,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
658 CEN SD,1658CS,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
659 CEN II,1659C2,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1576 659,976659,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
8043 CTR,543CTR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
659 CEN SD,1659CS,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
659 CEN SR,1659CR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
659 SR GD,1659SR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
666 WL,1666WL,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
897 666,1666AI,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
668 SPWL,1668SP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
679 CEN SD,1679CS,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 LP95,1L1095,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 JPO,9JPO10,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 WP,9WPL10,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 ADB,9ADB10,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 GPO,9GPO10,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 CDT,5CDT10,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 WP CDT,9CDTWP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
DISCHO2475,9DIS25,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 LP95SR,1L10SR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 OLD,1L10OD,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
DISCHO247C,9DIS25,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 WP OLD,9OLDWP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 SDT,7SDT10,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 SR OLD,1L10SO,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L10 WP OLD,9WPO10,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L14,1L14SC,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
,,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L17,1L17SP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L17 2+ JPO,17MJPO,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L17 1 JPO,117JPO,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
8286 GI 1,986JPO,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L17 1,10L171,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L17 2+,10L172,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
8286 GI 2+,982JPO,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
10827 CSI3,17CSI3,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
10827 CSI5,17CSI5,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
10827 CSI7,17CSI7,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
991 PWL,1991PL,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L15,1L15GD,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L15 ADB,9ADB15,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L16,1L16GD,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
619 DT,7619DT,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
DISCHO25,9DIS25,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
619 DT SP,719SDT,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
619 DT CH,719CDT,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
619 SPS PU,7619PU,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
647 FLP,7647FP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
647 FLP SP,7647SP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
647 FLP CH,7647CH,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
667 ART,5667AT,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1595,9595WP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L01 10Y LT,5L0110,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
8115 L01,9L01WP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
DISCHO70,9DIS70,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1596 L01,901ADB,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L05 10Y LT,5L0510,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
8115,9L05WP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1596,996ADB,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
L07 5Y LT,5L075Y,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
621 END85,221END,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0822 620,920ADB,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
622 END85,222END,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
665 STME95,2665ST,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0823 665,9665WP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0822 665,965ADB,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
896 DAR,A96DAR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0823 896,9896WP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
665 PUA,265PUA,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
980 END65,280END,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
980 PUA,280PUA,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
670 GL8588,170588,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
670 PUA,170PUA,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
670 GL85-8,170858,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
670 GL85-M,17085M,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
960 LP65,196065,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
960 65 PUA,165PUA,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0823 960LP,9065WP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
828,528CTR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
960 LP85-M,196085,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
960 LP PUA,185PUA,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0823 96085,9085WP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0822 960,960ADB,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
826,560STR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0823 960SP,960SWP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
863,A60MIR,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
960 OL,1960OL,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
960 OL PUA,1OLPUA,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0823 960OL,90OLWP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
889 960,960GIO,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0824 P DTH,90PDTH,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
960 PO,1960PO,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
960 PO PUA,1POPUA,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0823 960PO,90POWP,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
0822 960PO,9POADB,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
SAL ML,1SALML,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
SAL MULTPL,1SALMI,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
SAL ADB,9SLADB,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
SAL OL,1SALOL,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
"*Plan Code  is 6 Digits, Beginning with:",,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
FIRST POSITION,,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
1,,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
2,,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
3,,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
4,,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
5,,Master_Crosswalk.csv,PRODUCT_OR_ENTITY,Legacy product mapping — migrate authority to product_catalog_crosswalk.csv,Restore from this quarantine file if needed,N,QUARANTINED_COPY
