SOURCE_PLAN_CODE,IN_TRACKER,IN_PLAN_DBF,IN_CROSSWALK,IN_RATE_REQUIREMENTS,IN_RESERVE_STAGING,IN_DRAFT_OUTPUT,PLAN_NAME,PRODUCT_FAMILY,POSSIBLE_ALIAS,SOURCE_AUTHORITY_STATUS,RECONCILIATION_STATUS,NOTES
P8MS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P9FJ,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P9FN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P9FS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P9MJ,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P9MN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
P9MS,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
PLP,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
PLP6,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
Q1FN,Y,Y,Y,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q1FS,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q1MN,Y,Y,Y,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q1MS,Y,Y,Y,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q2FN,Y,Y,Y,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q2FS,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q2MN,Y,Y,Y,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q2MS,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q3FN,Y,Y,Y,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q3FS,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q3MN,Y,Y,Y,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
Q3MS,Y,Y,N,Y,Y,Y,Term Life,Term Life,,UNKNOWN,MATCHED,
QLFN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
QLFS,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
QLMN,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
QLMS,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R2,Y,Y,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R28,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R28A,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R28G,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R29,Y,N,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,TRACKER_ONLY,
R29G,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R2G,Y,Y,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R68,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R68A,Y,Y,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R68G,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
R69,Y,N,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,TRACKER_ONLY,
R69G,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RE1,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RE2,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RJ,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RS5,Y,Y,Y,Y,N,N,Paid-Up / Nonforfeiture,Paid-Up / Nonforfeiture,,UNKNOWN,MATCHED,
RW,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RW1,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RW18,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RW2,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RW28,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RW8,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RW8A,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RW8G,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RW9,Y,N,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,TRACKER_ONLY,
RW9G,Y,Y,Y,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
RWC,Y,Y,Y,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
S28G,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
SLP2,Y,Y,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
SLP5,Y,Y,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
SLPW,Y,Y,N,Y,Y,Y,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
SRW,Y,Y,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
SRW2,Y,Y,N,Y,N,N,Traditional Permanent Life,Traditional Permanent Life,,UNKNOWN,MATCHED,
T10F,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
T10M,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
T18F,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
T18M,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
T25,Y,Y,N,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
T28,Y,Y,N,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
T58F,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
T58M,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
T5F,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
T5M,Y,Y,N,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
TAF,N,N,N,N,Y,Y,,,,UNKNOWN,SOURCE_ONLY,
TAFA,Y,Y,Y,Y,Y,Y,Rider,Rider,,UNKNOWN,MATCHED,
TAFB,Y,Y,N,Y,Y,Y,Rider,Rider,,UNKNOWN,MATCHED,
TAFC,Y,Y,N,Y,Y,Y,Rider,Rider,,UNKNOWN,MATCHED,
TAFD,Y,Y,N,Y,Y,Y,Rider,Rider,,UNKNOWN,MATCHED,
TR1F,Y,Y,N,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
TR1M,Y,Y,N,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
TR5F,Y,Y,N,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
TR5M,Y,Y,N,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
X18F,Y,Y,Y,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
X18M,Y,Y,Y,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
X58F,Y,Y,Y,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
X58M,Y,Y,Y,Y,N,N,Term Life,Term Life,,UNKNOWN,MATCHED,
XR1F,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
XR1M,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
XR5F,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
XR5M,Y,Y,Y,Y,N,N,Rider,Rider,,UNKNOWN,MATCHED,
