sheet,row,policy_form,rate_type_col,col,segment,assessment
Non-ISWL,47,0822 960,Notify Messages/Letters (NT),O,ADB,none
Non-ISWL,47,0822 960,Commissions(CC),P,BASE,none
Non-ISWL,48,826,Premiums (PR),B,826,dark_green
Non-ISWL,48,826,Commissions(CC),P,BASE,none
Non-ISWL,49,0823 960SP,Premiums (PR),B,0823 960SP,dark_green
Non-ISWL,49,0823 960SP,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,49,0823 960SP,Reserve Factors (RV),F,WPAD061 2,red
Non-ISWL,49,0823 960SP,Net Valuation Premiums (NP),G,WPAD061 2,red
Non-ISWL,49,0823 960SP,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,49,0823 960SP,Commissions(CC),P,BASE,none
Non-ISWL,50,828,Premiums (PR),B,828,dark_green
Non-ISWL,50,828,Reserve Factors (RV),F,828,dark_green
Non-ISWL,50,828,Net Valuation Premiums (NP),G,828,dark_green
Non-ISWL,50,828,Commissions(CC),P,BASE,none
Non-ISWL,51,0823 960CH,Premiums (PR),B,0823 960CH,dark_green
Non-ISWL,51,0823 960CH,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,51,0823 960CH,Reserve Factors (RV),F,WPAD061 2,red
Non-ISWL,51,0823 960CH,Net Valuation Premiums (NP),G,WPAD061 2,red
Non-ISWL,51,0823 960CH,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,51,0823 960CH,Commissions(CC),P,BASE,none
Non-ISWL,52,863,Premiums (PR),B,863,dark_green
Non-ISWL,52,863,Death Benefits (DB),E,863,dark_green
Non-ISWL,52,863,Reserve Factors (RV),F,863,dark_green
Non-ISWL,52,863,Net Valuation Premiums (NP),G,863,dark_green
Non-ISWL,52,863,Commissions(CC),P,BASE,none
Non-ISWL,53,621 END85,Premiums (PR),B,620 END85,purple
Non-ISWL,53,621 END85,Cash Values (CV),C,621 END85,dark_green
Non-ISWL,53,621 END85,Dividends (DV),D,621 END85,dark_green
Non-ISWL,53,621 END85,Reserve Factors (RV),F,621 END85,dark_green
Non-ISWL,53,621 END85,Net Valuation Premiums (NP),G,621 END85,dark_green
Non-ISWL,53,621 END85,Non-Deduction Reserve  (NN),I,621 END85,dark_green
Non-ISWL,53,621 END85,Non-Ded Valuation Prem (PN),J,621 END85,dark_green
Non-ISWL,53,621 END85,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,53,621 END85,"Endowment,Deposit Return (RD)",N,620 END85,none
Non-ISWL,53,621 END85,Notify Messages/Letters (NT),O,AA8,none
Non-ISWL,53,621 END85,Ext Term/Reduced Paid Up (ET),S,621 END85,none
Non-ISWL,53,621 END85,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,53,621 END85,Dividend Option Setup,W,LIFE,none
Non-ISWL,53,621 END85,Billng Setup (BS),X,LIFE,none
Non-ISWL,53,621 END85,Non Forfeiture Rules (NO),Z,ENDOW,none
Non-ISWL,54,0822 620,Premiums (PR),B,0822 620,dark_green
Non-ISWL,54,0822 620,Notify Messages/Letters (NT),O,ADB,none
Non-ISWL,54,0822 620,Commissions(CC),P,BASE,none
Non-ISWL,55,0823 620,Premiums (PR),B,0823 620,purple
Non-ISWL,55,0823 620,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,55,0823 620,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,55,0823 620,Commissions(CC),P,BASE,none
Non-ISWL,56,L07 5Y LT,Premiums (PR),B,L07 5Y LT,dark_green
Non-ISWL,56,L07 5Y LT,Reserve Factors (RV),F,L07 5Y,red
Non-ISWL,56,L07 5Y LT,Net Valuation Premiums (NP),G,L07 5Y,red
Non-ISWL,56,L07 5Y LT,Notify Messages/Letters (NT),O,5YR LV TRM,none
Non-ISWL,56,L07 5Y LT,Commissions(CC),P,HA1,none
Non-ISWL,57,10827 CSI5,Premiums (PR),B,10827 CSI5,dark_green
Non-ISWL,57,10827 CSI5,Cash Values (CV),C,10827 CSI5,dark_green
Non-ISWL,57,10827 CSI5,Death Benefits (DB),E,10827 CSI5,dark_green
Non-ISWL,57,10827 CSI5,Reserve Factors (RV),F,10827 CSI5,dark_green
Non-ISWL,57,10827 CSI5,Net Valuation Premiums (NP),G,10827 CSI5,dark_green
Non-ISWL,57,10827 CSI5,Non-Deduction Reserve  (NN),I,10827 CSI5,dark_green
Non-ISWL,57,10827 CSI5,Non-Ded Valuation Prem (PN),J,10827 CSI5,dark_green
Non-ISWL,57,10827 CSI5,Loan Interest Rates (LN),M,74 ADV,none
Non-ISWL,57,10827 CSI5,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,57,10827 CSI5,Commissions(CC),P,JA1,none
Non-ISWL,57,10827 CSI5,Ext Term/Reduced Paid Up (ET),S,10827,none
Non-ISWL,57,10827 CSI5,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,57,10827 CSI5,Billng Setup (BS),X,LIFE,none
Non-ISWL,57,10827 CSI5,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,58,SAL OL,Premiums (PR),B,SAL OL,dark_green
Non-ISWL,58,SAL OL,Cash Values (CV),C,SAL OL,dark_green
Non-ISWL,58,SAL OL,Reserve Factors (RV),F,SAL OL,dark_green
Non-ISWL,58,SAL OL,Net Valuation Premiums (NP),G,SAL OL,dark_green
Non-ISWL,58,SAL OL,Non-Forfeiture Factors (NF),H,SAL OL,dark_green
Non-ISWL,58,SAL OL,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,58,SAL OL,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,58,SAL OL,Commissions(CC),P,AA1,none
Non-ISWL,58,SAL OL,Ext Term/Reduced Paid Up (ET),S,SAL OL,none
Non-ISWL,58,SAL OL,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,58,SAL OL,Dividend Option Setup,W,LIFE,none
Non-ISWL,58,SAL OL,Billng Setup (BS),X,LIFE,none
Non-ISWL,58,SAL OL,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,59,L15,Premiums (PR),B,L15,dark_green
Non-ISWL,59,L15,Cash Values (CV),C,L15,dark_green
Non-ISWL,59,L15,Reserve Factors (RV),F,L15,dark_green
Non-ISWL,59,L15,Net Valuation Premiums (NP),G,L15,dark_green
Non-ISWL,59,L15,Non-Forfeiture Factors (NF),H,L15,dark_green
Non-ISWL,59,L15,Non-Deduction Reserve  (NN),I,L14L15,none
Non-ISWL,59,L15,Non-Ded Valuation Prem (PN),J,L14L15,none
Non-ISWL,59,L15,Loan Interest Rates (LN),M,L15,none
Non-ISWL,59,L15,"Endowment,Deposit Return (RD)",N,L15,none
Non-ISWL,59,L15,Commissions(CC),P,DB3,none
Non-ISWL,59,L15,Retention Limits (RE),Q,L15,none
Non-ISWL,59,L15,Treaty Selection (TR),R,L15,none
Non-ISWL,59,L15,Ext Term/Reduced Paid Up (ET),S,L15,none
Non-ISWL,59,L15,IBA Accounts (IB),T,L15,none
Non-ISWL,59,L15,New Business Defaults (NB),U,L15,none
Non-ISWL,59,L15,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,59,L15,Billng Setup (BS),X,LIFE,none
Non-ISWL,59,L15,Non Forfeiture Rules (NO),Z,L15,none
Non-ISWL,60,L15 ADB,Commissions(CC),P,BASE,none
Non-ISWL,61,10827 CSI7,Premiums (PR),B,10827 CSI7,dark_green
Non-ISWL,61,10827 CSI7,Cash Values (CV),C,10827 CSI7,dark_green
Non-ISWL,61,10827 CSI7,Death Benefits (DB),E,10827 CSI7,dark_green
Non-ISWL,61,10827 CSI7,Reserve Factors (RV),F,10827 CSI7,dark_green
Non-ISWL,61,10827 CSI7,Net Valuation Premiums (NP),G,10827 CSI7,dark_green
Non-ISWL,61,10827 CSI7,Loan Interest Rates (LN),M,74 ADV,none
Non-ISWL,61,10827 CSI7,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,61,10827 CSI7,Commissions(CC),P,JA1,none
Non-ISWL,61,10827 CSI7,Ext Term/Reduced Paid Up (ET),S,10827,none
Non-ISWL,61,10827 CSI7,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,61,10827 CSI7,Billng Setup (BS),X,LIFE,none
Non-ISWL,61,10827 CSI7,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,62,619 DT,Premiums (PR),B,619 DT,dark_green
Non-ISWL,62,619 DT,Death Benefits (DB),E,619 DT,dark_green
Non-ISWL,62,619 DT,Reserve Factors (RV),F,619 DT,dark_green
Non-ISWL,62,619 DT,Net Valuation Premiums (NP),G,619 DT,dark_green
Non-ISWL,62,619 DT,Non-Deduction Reserve  (NN),I,619 DT,dark_green
Non-ISWL,62,619 DT,Non-Ded Valuation Prem (PN),J,619 DT,dark_green
Non-ISWL,62,619 DT,Notify Messages/Letters (NT),O,619 DT,none
Non-ISWL,62,619 DT,Commissions(CC),P,BA3,none
Non-ISWL,62,619 DT,IBA Accounts (IB),T,IBA01 45,none
Non-ISWL,63,619 DT SP,Premiums (PR),B,619 DT SP,dark_green
Non-ISWL,63,619 DT SP,Death Benefits (DB),E,619 DT SP,dark_green
Non-ISWL,63,619 DT SP,Reserve Factors (RV),F,619 DT SP,dark_green
Non-ISWL,63,619 DT SP,Net Valuation Premiums (NP),G,619 DT SP,dark_green
Non-ISWL,63,619 DT SP,Notify Messages/Letters (NT),O,SPS TRM RD,none
Non-ISWL,63,619 DT SP,Commissions(CC),P,BASE,none
Non-ISWL,64,619 DT CH,Premiums (PR),B,619 DT CH,dark_green
Non-ISWL,64,619 DT CH,Death Benefits (DB),E,619 DT CH,dark_green
Non-ISWL,64,619 DT CH,Notify Messages/Letters (NT),O,CTR 22,none
Non-ISWL,64,619 DT CH,Commissions(CC),P,BASE,none
Non-ISWL,65,DISCHO25,Premiums (PR),B,DISCHO25,peach
Non-ISWL,65,DISCHO25,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,65,DISCHO25,Commissions(CC),P,AA1,none
Non-ISWL,66,991 PWL,Premiums (PR),B,991 PWL,dark_green
Non-ISWL,66,991 PWL,Cash Values (CV),C,991 PWL,dark_green
Non-ISWL,66,991 PWL,Dividends (DV),D,991 PWL,dark_green
Non-ISWL,66,991 PWL,Reserve Factors (RV),F,991 PWL,dark_green
Non-ISWL,66,991 PWL,Net Valuation Premiums (NP),G,991 PWL,dark_green
Non-ISWL,66,991 PWL,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,66,991 PWL,"Endowment,Deposit Return (RD)",N,ENDOW103F,none
Non-ISWL,66,991 PWL,Commissions(CC),P,EA2,none
Non-ISWL,66,991 PWL,Ext Term/Reduced Paid Up (ET),S,991 PWL,none
Non-ISWL,66,991 PWL,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,66,991 PWL,Dividend Option Setup,W,LIFE,none
Non-ISWL,66,991 PWL,Billng Setup (BS),X,LIFE,none
Non-ISWL,66,991 PWL,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,67,666 WL,Premiums (PR),B,666 WL,dark_green
Non-ISWL,67,666 WL,Cash Values (CV),C,666 WL,dark_green
Non-ISWL,67,666 WL,Reserve Factors (RV),F,666 WL,dark_green
Non-ISWL,67,666 WL,Net Valuation Premiums (NP),G,666 WL,dark_green
Non-ISWL,67,666 WL,Non-Deduction Reserve  (NN),I,666 WL,dark_green
Non-ISWL,67,666 WL,Non-Ded Valuation Prem (PN),J,666 WL,dark_green
Non-ISWL,67,666 WL,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,67,666 WL,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,67,666 WL,Commissions(CC),P,FA7,none
Non-ISWL,67,666 WL,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,67,666 WL,Dividend Option Setup,W,LIFE,none
Non-ISWL,67,666 WL,Billng Setup (BS),X,LIFE,none
Non-ISWL,67,666 WL,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,68,897 666,Premiums (PR),B,666 WL,dark_green
Non-ISWL,68,897 666,Cash Values (CV),C,666 WL,dark_green
Non-ISWL,68,897 666,Reserve Factors (RV),F,666 WL,dark_green
Non-ISWL,68,897 666,Net Valuation Premiums (NP),G,666 WL,dark_green
Non-ISWL,68,897 666,Commissions(CC),P,BASE,none
Non-ISWL,69,10827 CSI3,Premiums (PR),B,10827 CSI3,dark_green
Non-ISWL,69,10827 CSI3,Cash Values (CV),C,10827 CSI3,dark_green
Non-ISWL,69,10827 CSI3,Death Benefits (DB),E,10827 CSI3,dark_green
Non-ISWL,69,10827 CSI3,Reserve Factors (RV),F,10827 CSI3,dark_green
Non-ISWL,69,10827 CSI3,Net Valuation Premiums (NP),G,10827 CSI3,dark_green
Non-ISWL,69,10827 CSI3,Non-Deduction Reserve  (NN),I,10827 CSI3,dark_green
Non-ISWL,69,10827 CSI3,Non-Ded Valuation Prem (PN),J,10827 CSI5,dark_green
Non-ISWL,69,10827 CSI3,Loan Interest Rates (LN),M,74 ADV,none
Non-ISWL,69,10827 CSI3,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,69,10827 CSI3,Commissions(CC),P,JA1,none
Non-ISWL,69,10827 CSI3,Ext Term/Reduced Paid Up (ET),S,10827,none
Non-ISWL,69,10827 CSI3,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,69,10827 CSI3,Billng Setup (BS),X,LIFE,none
Non-ISWL,69,10827 CSI3,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,70,10827 MN5K,Premiums (PR),B,10827 CSI5,dark_green
Non-ISWL,70,10827 MN5K,Cash Values (CV),C,10827 MN5K,dark_green
Non-ISWL,70,10827 MN5K,Death Benefits (DB),E,10827 MN5K,dark_green
Non-ISWL,70,10827 MN5K,Reserve Factors (RV),F,10827 MN5K,dark_green
Non-ISWL,70,10827 MN5K,Net Valuation Premiums (NP),G,10827 MN5K,dark_green
Non-ISWL,70,10827 MN5K,Loan Interest Rates (LN),M,74 ADV,none
Non-ISWL,70,10827 MN5K,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,70,10827 MN5K,Commissions(CC),P,JA1,none
Non-ISWL,70,10827 MN5K,Ext Term/Reduced Paid Up (ET),S,10827,none
Non-ISWL,70,10827 MN5K,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,70,10827 MN5K,Billng Setup (BS),X,LIFE,none
Non-ISWL,70,10827 MN5K,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,71,622 END85,Cash Values (CV),C,622 END85,dark_green
Non-ISWL,71,622 END85,Dividends (DV),D,622 END85,dark_green
Non-ISWL,71,622 END85,Reserve Factors (RV),F,622 END85,dark_green
Non-ISWL,71,622 END85,Net Valuation Premiums (NP),G,622 END85,dark_green
Non-ISWL,71,622 END85,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,71,622 END85,"Endowment,Deposit Return (RD)",N,620 END85,none
Non-ISWL,71,622 END85,Commissions(CC),P,AA9B1,none
Non-ISWL,71,622 END85,Ext Term/Reduced Paid Up (ET),S,622 END85,none
Non-ISWL,71,622 END85,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,71,622 END85,Dividend Option Setup,W,LIFE,none
Non-ISWL,71,622 END85,Billng Setup (BS),X,LIFE,none
Non-ISWL,71,622 END85,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,72,665 STME95,Premiums (PR),B,665 STME95,yellow
Non-ISWL,72,665 STME95,Cash Values (CV),C,665 STME95,dark_green
Non-ISWL,72,665 STME95,Dividends (DV),D,665 STME95,dark_green
Non-ISWL,72,665 STME95,Death Benefits (DB),E,665 STME95,dark_green
Non-ISWL,72,665 STME95,Reserve Factors (RV),F,665 STME95,dark_green
Non-ISWL,72,665 STME95,Net Valuation Premiums (NP),G,665 STME95,dark_green
Non-ISWL,72,665 STME95,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,72,665 STME95,"Endowment,Deposit Return (RD)",N,665 STME95,none
Non-ISWL,72,665 STME95,Notify Messages/Letters (NT),O,AGE 95,none
Non-ISWL,72,665 STME95,Commissions(CC),P,EA5,none
Non-ISWL,72,665 STME95,Ext Term/Reduced Paid Up (ET),S,665 STME95,none
Non-ISWL,72,665 STME95,IBA Accounts (IB),T,896 DAR,none
Non-ISWL,72,665 STME95,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,72,665 STME95,Dividend Option Setup,W,LIFE,none
Non-ISWL,72,665 STME95,Billng Setup (BS),X,LIFE,none
Non-ISWL,72,665 STME95,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,73,0823 665,Premiums (PR),B,0823 665,dark_green
Non-ISWL,73,0823 665,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,73,0823 665,Reserve Factors (RV),F,WP AD 02,red
Non-ISWL,73,0823 665,Net Valuation Premiums (NP),G,WP AD 02,red
Non-ISWL,73,0823 665,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,73,0823 665,Commissions(CC),P,BASE,none
Non-ISWL,74,0822 665,Premiums (PR),B,0822 665,dark_green
Non-ISWL,74,0822 665,Reserve Factors (RV),F,ADB 25 66,red
Non-ISWL,74,0822 665,Net Valuation Premiums (NP),G,ADB 25 66,red
Non-ISWL,74,0822 665,Notify Messages/Letters (NT),O,ADB,none
Non-ISWL,74,0822 665,Commissions(CC),P,BASE,none
Non-ISWL,75,896 DAR,Premiums (PR),B,896 DAR,dark_green
Non-ISWL,75,896 DAR,Cash Values (CV),C,896 DAR,dark_green
Non-ISWL,75,896 DAR,Dividends (DV),D,896 DAR,dark_green
Non-ISWL,75,896 DAR,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,75,896 DAR,Reserve Factors (RV),F,896 DAR,dark_green
Non-ISWL,75,896 DAR,Net Valuation Premiums (NP),G,896 DAR,dark_green
Non-ISWL,75,896 DAR,Notify Messages/Letters (NT),O,ANNUITY RD,none
Non-ISWL,75,896 DAR,Commissions(CC),P,BASE,none
Non-ISWL,75,896 DAR,Dividend Option Setup,W,896 DAR,none
Non-ISWL,75,896 DAR,Billng Setup (BS),X,LIFE,none
Non-ISWL,75,896 DAR,Non Forfeiture Rules (NO),Z,896 DAR,none
Non-ISWL,76,0823 896,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,76,0823 896,Reserve Factors (RV),F,WP AD 02,red
Non-ISWL,76,0823 896,Net Valuation Premiums (NP),G,WP AD 02,red
Non-ISWL,76,0823 896,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,76,0823 896,Commissions(CC),P,BASE,none
Non-ISWL,77,980 END65,Premiums (PR),B,980 END65,dark_green
Non-ISWL,77,980 END65,Cash Values (CV),C,980 END65,dark_green
Non-ISWL,77,980 END65,Dividends (DV),D,980 END65,dark_green
Non-ISWL,77,980 END65,Reserve Factors (RV),F,980 END65,dark_green
Non-ISWL,77,980 END65,Net Valuation Premiums (NP),G,980 END65,dark_green
Non-ISWL,77,980 END65,Non-Deduction Reserve  (NN),I,980 END65,dark_green
Non-ISWL,77,980 END65,Non-Ded Valuation Prem (PN),J,980 END65,dark_green
Non-ISWL,77,980 END65,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,77,980 END65,"Endowment,Deposit Return (RD)",N,980 END65,none
Non-ISWL,77,980 END65,Commissions(CC),P,DA7,none
Non-ISWL,77,980 END65,Ext Term/Reduced Paid Up (ET),S,980 END65,none
Non-ISWL,77,980 END65,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,77,980 END65,Dividend Option Setup,W,LIFE,none
Non-ISWL,77,980 END65,Billng Setup (BS),X,LIFE,none
Non-ISWL,77,980 END65,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,78,L16,Premiums (PR),B,L16,dark_green
Non-ISWL,78,L16,Cash Values (CV),C,L16,dark_green
Non-ISWL,78,L16,Death Benefits (DB),E,L16,dark_green
Non-ISWL,78,L16,Reserve Factors (RV),F,L16,dark_green
Non-ISWL,78,L16,Net Valuation Premiums (NP),G,L16,dark_green
Non-ISWL,78,L16,Non-Forfeiture Factors (NF),H,L16,dark_green
Non-ISWL,78,L16,Non-Deduction Reserve  (NN),I,L14L15,none
Non-ISWL,78,L16,Non-Ded Valuation Prem (PN),J,L14L15,none
Non-ISWL,78,L16,Loan Interest Rates (LN),M,L15,none
Non-ISWL,78,L16,"Endowment,Deposit Return (RD)",N,L15,none
Non-ISWL,78,L16,Commissions(CC),P,DB3,none
Non-ISWL,78,L16,Retention Limits (RE),Q,L15,none
Non-ISWL,78,L16,Treaty Selection (TR),R,L15,none
Non-ISWL,78,L16,Ext Term/Reduced Paid Up (ET),S,L15,none
Non-ISWL,78,L16,IBA Accounts (IB),T,L15,none
Non-ISWL,78,L16,New Business Defaults (NB),U,L15,none
Non-ISWL,78,L16,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,78,L16,Billng Setup (BS),X,LIFE,none
Non-ISWL,78,L16,Non Forfeiture Rules (NO),Z,L15,none
Non-ISWL,79,L16POLFEE,Death Benefits (DB),E,L16POLFEE,dark_green
Non-ISWL,79,L16POLFEE,Commissions(CC),P,BASE,none
Non-ISWL,80,619 SPS PU,Death Benefits (DB),E,619 DT SP,yellow
Non-ISWL,80,619 SPS PU,Reserve Factors (RV),F,619 SPS PU,dark_green
Non-ISWL,80,619 SPS PU,Net Valuation Premiums (NP),G,619 SPS PU,dark_green
Non-ISWL,80,619 SPS PU,Notify Messages/Letters (NT),O,SPS PD UP,none
Non-ISWL,80,619 SPS PU,Commissions(CC),P,AA1,none
Non-ISWL,81,647 FLP,Premiums (PR),B,647 FLP,dark_green
Non-ISWL,81,647 FLP,Death Benefits (DB),E,647 FLP,dark_green
Non-ISWL,81,647 FLP,Reserve Factors (RV),F,647 FLP,dark_green
Non-ISWL,81,647 FLP,Net Valuation Premiums (NP),G,647 FLP,dark_green
Non-ISWL,81,647 FLP,Commissions(CC),P,FA8,none
Non-ISWL,82,647 FLP SP,Death Benefits (DB),E,647 FLP SP,dark_green
Non-ISWL,82,647 FLP SP,Commissions(CC),P,BASE,none
Non-ISWL,83,647 FLP CH,Commissions(CC),P,BASE,none
Non-ISWL,84,670 GL858,Premiums (PR),B,GL LP85,purple
Non-ISWL,84,670 GL858,Cash Values (CV),C,670 GL85-8,dark_green
Non-ISWL,84,670 GL858,Dividends (DV),D,670 GL85-8,dark_green
Non-ISWL,84,670 GL858,Reserve Factors (RV),F,670 GL8588,peach
Non-ISWL,84,670 GL858,Net Valuation Premiums (NP),G,670 GL8588,peach
Non-ISWL,84,670 GL858,Non-Deduction Reserve  (NN),I,670 GL8588,none
Non-ISWL,84,670 GL858,Non-Ded Valuation Prem (PN),J,670 GL8588,none
Non-ISWL,84,670 GL858,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,84,670 GL858,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,84,670 GL858,Notify Messages/Letters (NT),O,AGE 88,none
Non-ISWL,84,670 GL858,Commissions(CC),P,AA4,none
Non-ISWL,84,670 GL858,Ext Term/Reduced Paid Up (ET),S,670 GL85-8,none
Non-ISWL,84,670 GL858,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,84,670 GL858,Dividend Option Setup,W,LIFE,none
Non-ISWL,84,670 GL858,Billng Setup (BS),X,LIFE,none
Non-ISWL,84,670 GL858,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,85,960 LP85-M,Premiums (PR),B,960 LP85-8,purple
Non-ISWL,85,960 LP85-M,Cash Values (CV),C,960 LP85-8,red
Non-ISWL,85,960 LP85-M,Dividends (DV),D,960 LP85-8,red
Non-ISWL,85,960 LP85-M,Reserve Factors (RV),F,960 LP85-8,red
Non-ISWL,85,960 LP85-M,Net Valuation Premiums (NP),G,960 LP85-8,red
Non-ISWL,85,960 LP85-M,Non-Deduction Reserve  (NN),I,960 LP85-8,none
Non-ISWL,85,960 LP85-M,Non-Ded Valuation Prem (PN),J,960 LP85-8,none
Non-ISWL,85,960 LP85-M,Tax Reserve Factors (TX),K,960 LP858A,none
Non-ISWL,85,960 LP85-M,Tax Valuation Premiums (TP),L,960 LP858A,none
Non-ISWL,85,960 LP85-M,Loan Interest Rates (LN),M,5 ADV,none
Non-ISWL,85,960 LP85-M,"Endowment,Deposit Return (RD)",N,ENDOW100,none
Non-ISWL,85,960 LP85-M,Notify Messages/Letters (NT),O,AGE 85,none
Non-ISWL,85,960 LP85-M,Commissions(CC),P,CA7,none
Non-ISWL,85,960 LP85-M,Ext Term/Reduced Paid Up (ET),S,960 LP85-8,none
Non-ISWL,85,960 LP85-M,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,85,960 LP85-M,Dividend Option Setup,W,LIFE,none
Non-ISWL,85,960 LP85-M,Billng Setup (BS),X,LIFE,none
Non-ISWL,85,960 LP85-M,Non Forfeiture Rules (NO),Z,DEFAULT,none
Non-ISWL,86,0823 96085,Premiums (PR),B,0823 96085,dark_green
Non-ISWL,86,0823 96085,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,86,0823 96085,Reserve Factors (RV),F,WPAD061 2,red
Non-ISWL,86,0823 96085,Net Valuation Premiums (NP),G,WPAD061 2,red
Non-ISWL,86,0823 96085,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,86,0823 96085,Commissions(CC),P,BASE,none
Non-ISWL,87,L01 10Y MA,Premiums (PR),B,L01 10Y MA,dark_green
Non-ISWL,87,L01 10Y MA,Reserve Factors (RV),F,L01 10Y MA,dark_green
Non-ISWL,87,L01 10Y MA,Net Valuation Premiums (NP),G,L01 10Y MA,dark_green
Non-ISWL,87,L01 10Y MA,Non-Deduction Reserve  (NN),I,L01 10Y MA,dark_green
Non-ISWL,87,L01 10Y MA,Non-Ded Valuation Prem (PN),J,L01 10Y MA,dark_green
Non-ISWL,87,L01 10Y MA,Notify Messages/Letters (NT),O,10YR LV TM,none
Non-ISWL,87,L01 10Y MA,Commissions(CC),P,DA9,none
Non-ISWL,88,8115 L01,Premiums (PR),B,8115 L01,dark_green
Non-ISWL,88,8115 L01,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,88,8115 L01,Reserve Factors (RV),F,WP AD 24,red
Non-ISWL,88,8115 L01,Net Valuation Premiums (NP),G,WP AD 24,red
Non-ISWL,88,8115 L01,Notify Messages/Letters (NT),O,DISAB WP,none
Non-ISWL,88,8115 L01,Commissions(CC),P,BASE,none
Non-ISWL,89,1596 L01,Premiums (PR),B,1596,dark_green
Non-ISWL,89,1596 L01,Reserve Factors (RV),F,ADB 25 68,red
Non-ISWL,89,1596 L01,Net Valuation Premiums (NP),G,ADB 25 68,red
Non-ISWL,89,1596 L01,Commissions(CC),P,BASE,none
Non-ISWL,90,DISCH070,Premiums (PR),B,DISCHO70,peach
Non-ISWL,90,DISCH070,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,90,DISCH070,Commissions(CC),P,AA1,none
ISWL,2,659 CEN II,Cash Values (CV),C,659 CEN II,dark_green
ISWL,2,659 CEN II,Net Valuation Premiums (NP),D,659 CEN II,dark_green
ISWL,2,659 CEN II,Reserve Factors (RV),F,659 CEN II,dark_green
ISWL,2,659 CEN II,Non-Forfeiture Factors (NF),G,659 CEN II,dark_green
ISWL,2,659 CEN II,Guar COI Rates (U5),H,659 CEN II,dark_green
ISWL,2,659 CEN II,Curr COI Rates (U6),I,659 CEN II,dark_green
ISWL,2,659 CEN II,Tax Reserve Factors (TX),J,659 CEN II,dark_green
ISWL,2,659 CEN II,Tax Valuation Premiums (TP),K,659 CEN II,dark_green
ISWL,2,659 CEN II,Targe Permiums (UH),M,659 CEN II,none
