MPOLICY,MPHASE,MSTATUS,MPLAN,MREINCO,MTREATY,MTYPE,MUWCLASS,MINITAMT,MRETAINED,MCEDED,MPCTCEDED,MBILLTO,MMODE,MMODEPREM,MCLAIMAMT,MCLAIMDATE,MRECOVERBL,MRECVDDATE
011223989C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,06,195.00,0.00,,0.00,
011224135C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,15.95,0.00,,0.00,
011224135C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,15.95,0.00,,0.00,
011224135C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,15.95,0.00,,0.00,
011224365C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,06,157.80,0.00,,0.00,
011224365C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,06,157.80,0.00,,0.00,
011224365C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,06,157.80,0.00,,0.00,
011224556C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,24.05,0.00,,0.00,
011224556C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,24.05,0.00,,0.00,
011224556C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,24.05,0.00,,0.00,
011224874C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,24.05,0.00,,0.00,
011224874C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,24.05,0.00,,0.00,
011224874C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,24.05,0.00,,0.00,
011225266C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,40.00,0.00,,0.00,
011225266C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,40.00,0.00,,0.00,
011225266C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,40.00,0.00,,0.00,
011225329C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,32.60,0.00,,0.00,
011225329C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,32.60,0.00,,0.00,
011225329C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,32.60,0.00,,0.00,
011225416C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,36.90,0.00,,0.00,
011225416C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,36.90,0.00,,0.00,
011225416C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,36.90,0.00,,0.00,
011225528C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,64.00,0.00,,0.00,
011225528C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,64.00,0.00,,0.00,
011225528C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,64.00,0.00,,0.00,
011225617C,1,22,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,66.30,0.00,,0.00,
011225617C,1,22,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,66.30,0.00,,0.00,
011225617C,1,22,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,66.30,0.00,,0.00,
011225793C,1,55,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,110.00,0.00,,0.00,
011225793C,1,55,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,110.00,0.00,,0.00,
011225793C,1,55,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,110.00,0.00,,0.00,
011226091C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,92.50,0.00,,0.00,
011226091C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,92.50,0.00,,0.00,
011226091C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,92.50,0.00,,0.00,
011226092C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,60.75,0.00,,0.00,
011226092C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,60.75,0.00,,0.00,
011226092C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,60.75,0.00,,0.00,
011226577C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,77.50,0.00,,0.00,
011226577C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,77.50,0.00,,0.00,
011226577C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,77.50,0.00,,0.00,
011227527C,1,22,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,81.10,0.00,,0.00,
011227527C,1,22,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,81.10,0.00,,0.00,
011227527C,1,22,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,81.10,0.00,,0.00,
011227528C,1,53,1L14SC,L,L14,CO,NS,20000.00,0.00,6666.00,,,01,50.80,0.00,,0.00,
011227528C,1,53,1L14SC,L,L14CSI,CO,NS,20000.00,0.00,6666.00,,,01,50.80,0.00,,0.00,
011227528C,1,53,1L14SC,L,L14CSO,CO,NS,20000.00,0.00,6668.00,,,01,50.80,0.00,,0.00,
011227604C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,45.60,0.00,,0.00,
011227604C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,45.60,0.00,,0.00,
011227604C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,45.60,0.00,,0.00,
011227605C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,59.85,0.00,,0.00,
011227605C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,59.85,0.00,,0.00,
011227605C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,59.85,0.00,,0.00,
011228944C,1,57,1L14SC,L,L14,CO,NS,6000.00,0.00,1999.80,,,01,26.10,0.00,,0.00,
011228944C,1,57,1L14SC,L,L14CSI,CO,NS,6000.00,0.00,1999.80,,,01,26.10,0.00,,0.00,
011228944C,1,57,1L14SC,L,L14CSO,CO,NS,6000.00,0.00,2000.40,,,01,26.10,0.00,,0.00,
011228945C,1,22,1L14SC,L,L14,CO,NS,50000.00,0.00,16665.00,,,01,155.99,0.00,,0.00,
011228945C,1,22,1L14SC,L,L14CSI,CO,NS,50000.00,0.00,16665.00,,,01,155.99,0.00,,0.00,
011228945C,1,22,1L14SC,L,L14CSO,CO,NS,50000.00,0.00,16670.00,,,01,155.99,0.00,,0.00,
011229146C,1,22,1L14SC,L,L14,CO,NS,50000.00,0.00,16665.00,,,01,119.50,0.00,,0.00,
011229146C,1,22,1L14SC,L,L14CSI,CO,NS,50000.00,0.00,16665.00,,,01,119.50,0.00,,0.00,
011229146C,1,22,1L14SC,L,L14CSO,CO,NS,50000.00,0.00,16670.00,,,01,119.50,0.00,,0.00,
011229408C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,47.20,0.00,,0.00,
011229408C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,47.20,0.00,,0.00,
011229408C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,47.20,0.00,,0.00,
011229564C,1,22,1L14SC,L,L14,CO,NS,20000.00,0.00,6666.00,,,01,65.80,0.00,,0.00,
011229564C,1,22,1L14SC,L,L14CSI,CO,NS,20000.00,0.00,6666.00,,,01,65.80,0.00,,0.00,
011229564C,1,22,1L14SC,L,L14CSO,CO,NS,20000.00,0.00,6668.00,,,01,65.80,0.00,,0.00,
011229565C,1,53,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,76.05,0.00,,0.00,
011229565C,1,53,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,76.05,0.00,,0.00,
011229565C,1,53,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,76.05,0.00,,0.00,
011229897C,1,22,1L14SC,L,L14,CO,NS,16000.00,0.00,5332.80,,,01,66.84,0.00,,0.00,
011229897C,1,22,1L14SC,L,L14CSI,CO,NS,16000.00,0.00,5332.80,,,01,66.84,0.00,,0.00,
011229897C,1,22,1L14SC,L,L14CSO,CO,NS,16000.00,0.00,5334.40,,,01,66.84,0.00,,0.00,
011230043C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,48.50,0.00,,0.00,
011230043C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,48.50,0.00,,0.00,
011230043C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,48.50,0.00,,0.00,
011230763C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,12,267.00,0.00,,0.00,
011230763C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,12,267.00,0.00,,0.00,
011230763C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,12,267.00,0.00,,0.00,
011230767C,1,55,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,65.25,0.00,,0.00,
011230767C,1,55,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,65.25,0.00,,0.00,
011230767C,1,55,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,65.25,0.00,,0.00,
011231670C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,50.40,0.00,,0.00,
011231670C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,50.40,0.00,,0.00,
011231670C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,50.40,0.00,,0.00,
011231856C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,123.75,0.00,,0.00,
011231856C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,123.75,0.00,,0.00,
011231856C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,123.75,0.00,,0.00,
011232740C,1,22,1L14SC,L,L14,CO,NS,7000.00,0.00,2333.10,,,01,29.95,0.00,,0.00,
011232740C,1,22,1L14SC,L,L14CSI,CO,NS,7000.00,0.00,2333.10,,,01,29.95,0.00,,0.00,
011232740C,1,22,1L14SC,L,L14CSO,CO,NS,7000.00,0.00,2333.80,,,01,29.95,0.00,,0.00,
011233593C,1,53,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,42.05,0.00,,0.00,
011233593C,1,53,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,42.05,0.00,,0.00,
011233593C,1,53,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,42.05,0.00,,0.00,
011233776C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,55.20,0.00,,0.00,
011233776C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,55.20,0.00,,0.00,
011233776C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,55.20,0.00,,0.00,
011233827C,1,22,1L14SC,L,L14,CO,NS,20000.00,0.00,6666.00,,,01,28.40,0.00,,0.00,
011233827C,1,22,1L14SC,L,L14CSI,CO,NS,20000.00,0.00,6666.00,,,01,28.40,0.00,,0.00,
011233827C,1,22,1L14SC,L,L14CSO,CO,NS,20000.00,0.00,6668.00,,,01,28.40,0.00,,0.00,
011233828C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,23.00,0.00,,0.00,
011233828C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,23.00,0.00,,0.00,
011233828C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,23.00,0.00,,0.00,
011234281C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,58.50,0.00,,0.00,
011234281C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,58.50,0.00,,0.00,
011234281C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,58.50,0.00,,0.00,
011235627C,1,53,1L14SC,L,L14,CO,NS,16000.00,0.00,5332.80,,,01,63.64,0.00,,0.00,
011235627C,1,53,1L14SC,L,L14CSI,CO,NS,16000.00,0.00,5332.80,,,01,63.64,0.00,,0.00,
011235627C,1,53,1L14SC,L,L14CSO,CO,NS,16000.00,0.00,5334.40,,,01,63.64,0.00,,0.00,
011235717C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,29.10,0.00,,0.00,
011235717C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,29.10,0.00,,0.00,
011235717C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,29.10,0.00,,0.00,
011235718C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,01,46.00,0.00,,0.00,
011235718C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,01,46.00,0.00,,0.00,
011235718C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,01,46.00,0.00,,0.00,
011235719C,1,53,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,41.25,0.00,,0.00,
011235719C,1,53,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,41.25,0.00,,0.00,
011235719C,1,53,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,41.25,0.00,,0.00,
011236347C,1,22,1L14SC,L,L14,CO,R,20000.00,0.00,6666.00,,,01,43.00,0.00,,0.00,
011236347C,1,22,1L14SC,L,L14CSI,CO,R,20000.00,0.00,6666.00,,,01,43.00,0.00,,0.00,
011236347C,1,22,1L14SC,L,L14CSO,CO,R,20000.00,0.00,6668.00,,,01,43.00,0.00,,0.00,
011236350C,1,22,1L14SC,L,L14,CO,NS,20000.00,0.00,6666.00,,,01,36.20,0.00,,0.00,
011236350C,1,22,1L14SC,L,L14CSI,CO,NS,20000.00,0.00,6666.00,,,01,36.20,0.00,,0.00,
011236350C,1,22,1L14SC,L,L14CSO,CO,NS,20000.00,0.00,6668.00,,,01,36.20,0.00,,0.00,
011236729C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,34.80,0.00,,0.00,
011236729C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,34.80,0.00,,0.00,
011236729C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,34.80,0.00,,0.00,
011237180C,1,53,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,117.00,0.00,,0.00,
011237180C,1,53,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,117.00,0.00,,0.00,
011237180C,1,53,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,117.00,0.00,,0.00,
011237181C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,03,72.15,0.00,,0.00,
011237181C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,03,72.15,0.00,,0.00,
011237181C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,03,72.15,0.00,,0.00,
011237657C,1,53,1L14SC,L,L14,CO,NS,7000.00,0.00,2333.10,,,01,39.54,0.00,,0.00,
011237657C,1,53,1L14SC,L,L14CSI,CO,NS,7000.00,0.00,2333.10,,,01,39.54,0.00,,0.00,
011237657C,1,53,1L14SC,L,L14CSO,CO,NS,7000.00,0.00,2333.80,,,01,39.54,0.00,,0.00,
011237659C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,81.15,0.00,,0.00,
011237659C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,81.15,0.00,,0.00,
011237659C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,81.15,0.00,,0.00,
011237660C,1,53,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,45.60,0.00,,0.00,
011237660C,1,53,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,45.60,0.00,,0.00,
011237660C,1,53,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,45.60,0.00,,0.00,
011237663C,1,22,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,40.00,0.00,,0.00,
011237663C,1,22,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,40.00,0.00,,0.00,
011237663C,1,22,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,40.00,0.00,,0.00,
011238321C,1,53,1L15GD,F,L15,CO,SM,10000.00,0.00,3333.00,,,01,57.80,0.00,,0.00,
011238321C,1,53,1L15GD,F,L15CSI,CO,SM,10000.00,0.00,3333.00,,,01,57.80,0.00,,0.00,
011238321C,1,53,1L15GD,F,L15CSO,CO,SM,10000.00,0.00,3334.00,,,01,57.80,0.00,,0.00,
011238372C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,81.50,0.00,,0.00,
011238372C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,81.50,0.00,,0.00,
011238372C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,81.50,0.00,,0.00,
011238989C,1,22,1L14SC,L,L14,CO,NS,50000.00,0.00,16665.00,,,01,81.50,0.00,,0.00,
011238989C,1,22,1L14SC,L,L14CSI,CO,NS,50000.00,0.00,16665.00,,,01,81.50,0.00,,0.00,
011238989C,1,22,1L14SC,L,L14CSO,CO,NS,50000.00,0.00,16670.00,,,01,81.50,0.00,,0.00,
011239201C,1,45,1L15GD,F,L15,CO,SM,25000.00,0.00,8332.50,,,01,220.49,0.00,,0.00,
011239201C,1,45,1L15GD,F,L15CSI,CO,SM,25000.00,0.00,8332.50,,,01,220.49,0.00,,0.00,
011239201C,1,45,1L15GD,F,L15CSO,CO,SM,25000.00,0.00,8335.00,,,01,220.49,0.00,,0.00,
011239255C,1,53,1L14SC,L,L14,CO,NS,6000.00,0.00,1999.80,,,01,38.52,0.00,,0.00,
011239255C,1,53,1L14SC,L,L14CSI,CO,NS,6000.00,0.00,1999.80,,,01,38.52,0.00,,0.00,
011239255C,1,53,1L14SC,L,L14CSO,CO,NS,6000.00,0.00,2000.40,,,01,38.52,0.00,,0.00,
011240164C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,37.50,0.00,,0.00,
011240164C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,37.50,0.00,,0.00,
011240164C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,37.50,0.00,,0.00,
011241516C,1,22,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,03,62.25,0.00,,0.00,
011241516C,1,22,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,03,62.25,0.00,,0.00,
011241516C,1,22,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,03,62.25,0.00,,0.00,
011243725C,1,53,1L14SC,L,L14,CO,R,50000.00,0.00,16665.00,,,01,110.50,0.00,,0.00,
011243725C,1,53,1L14SC,L,L14CSI,CO,R,50000.00,0.00,16665.00,,,01,110.50,0.00,,0.00,
011243725C,1,53,1L14SC,L,L14CSO,CO,R,50000.00,0.00,16670.00,,,01,110.50,0.00,,0.00,
011243733C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,58.25,0.00,,0.00,
011243733C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,58.25,0.00,,0.00,
011243733C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,58.25,0.00,,0.00,
011243759C,1,53,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,51.30,0.00,,0.00,
011243759C,1,53,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,51.30,0.00,,0.00,
011243759C,1,53,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,51.30,0.00,,0.00,
011243760C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,37.50,0.00,,0.00,
011243760C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,37.50,0.00,,0.00,
011243760C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,37.50,0.00,,0.00,
011244378C,1,53,1L14SC,L,L14,CO,R,30000.00,0.00,9999.00,,,01,133.19,0.00,,0.00,
011244378C,1,53,1L14SC,L,L14CSI,CO,R,30000.00,0.00,9999.00,,,01,133.19,0.00,,0.00,
011244378C,1,53,1L14SC,L,L14CSO,CO,R,30000.00,0.00,10002.00,,,01,133.19,0.00,,0.00,
011244788C,1,22,1L14SC,L,L14,CO,NS,50000.00,0.00,16665.00,,,01,81.50,0.00,,0.00,
011244788C,1,22,1L14SC,L,L14CSI,CO,NS,50000.00,0.00,16665.00,,,01,81.50,0.00,,0.00,
011244788C,1,22,1L14SC,L,L14CSO,CO,NS,50000.00,0.00,16670.00,,,01,81.50,0.00,,0.00,
011244850C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,55.25,0.00,,0.00,
011244850C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,55.25,0.00,,0.00,
011244850C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,55.25,0.00,,0.00,
011246246C,1,53,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,47.70,0.00,,0.00,
011246246C,1,53,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,47.70,0.00,,0.00,
011246246C,1,53,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,47.70,0.00,,0.00,
011246931C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,40.00,0.00,,0.00,
011246931C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,40.00,0.00,,0.00,
011246931C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,40.00,0.00,,0.00,
011247184C,1,53,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,34.90,0.00,,0.00,
011247184C,1,53,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,34.90,0.00,,0.00,
011247184C,1,53,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,34.90,0.00,,0.00,
011247278C,1,55,1L14SC,L,L14,CO,NS,5000.00,0.00,1666.50,,,12,460.20,0.00,,0.00,
011247278C,1,55,1L14SC,L,L14CSI,CO,NS,5000.00,0.00,1666.50,,,12,460.20,0.00,,0.00,
011247278C,1,55,1L14SC,L,L14CSO,CO,NS,5000.00,0.00,1667.00,,,12,460.20,0.00,,0.00,
011248017C,1,22,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,73.70,0.00,,0.00,
011248017C,1,22,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,73.70,0.00,,0.00,
011248017C,1,22,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,73.70,0.00,,0.00,
011249066C,1,53,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,47.70,0.00,,0.00,
011249066C,1,53,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,47.70,0.00,,0.00,
011249066C,1,53,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,47.70,0.00,,0.00,
011250371C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,79.50,0.00,,0.00,
011250371C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,79.50,0.00,,0.00,
011250371C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,79.50,0.00,,0.00,
011250919C,1,22,1L14SC,L,L14,CO,NS,25000.00,0.00,8332.50,,,01,60.50,0.00,,0.00,
011250919C,1,22,1L14SC,L,L14CSI,CO,NS,25000.00,0.00,8332.50,,,01,60.50,0.00,,0.00,
011250919C,1,22,1L14SC,L,L14CSO,CO,NS,25000.00,0.00,8335.00,,,01,60.50,0.00,,0.00,
011250920C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,67.20,0.00,,0.00,
011250920C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,67.20,0.00,,0.00,
011250920C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,67.20,0.00,,0.00,
011250929C,1,55,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,43.80,0.00,,0.00,
011250929C,1,55,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,43.80,0.00,,0.00,
011250929C,1,55,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,43.80,0.00,,0.00,
011251369C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,01,47.70,0.00,,0.00,
011251369C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,01,47.70,0.00,,0.00,
011251369C,1,22,1L14SC,L,L14CSO,CO,NS,15000.00,0.00,5001.00,,,01,47.70,0.00,,0.00,
011251747C,1,22,1L14SC,L,L14,CO,NS,10000.00,0.00,3333.00,,,01,55.20,0.00,,0.00,
011251747C,1,22,1L14SC,L,L14CSI,CO,NS,10000.00,0.00,3333.00,,,01,55.20,0.00,,0.00,
011251747C,1,22,1L14SC,L,L14CSO,CO,NS,10000.00,0.00,3334.00,,,01,55.20,0.00,,0.00,
011252219C,1,22,1L14SC,L,L14,CO,NS,9000.00,0.00,2999.70,,,01,52.95,0.00,,0.00,
011252219C,1,22,1L14SC,L,L14CSI,CO,NS,9000.00,0.00,2999.70,,,01,52.95,0.00,,0.00,
011252219C,1,22,1L14SC,L,L14CSO,CO,NS,9000.00,0.00,3000.60,,,01,52.95,0.00,,0.00,
011252220C,1,57,1L14SC,L,L14,CO,T,5000.00,0.00,1666.50,,,01,28.55,0.00,,0.00,
011252220C,1,57,1L14SC,L,L14CSI,CO,T,5000.00,0.00,1666.50,,,01,28.55,0.00,,0.00,
011252220C,1,57,1L14SC,L,L14CSO,CO,T,5000.00,0.00,1667.00,,,01,28.55,0.00,,0.00,
011252294C,1,22,1L14SC,L,L14,CO,NS,15000.00,0.00,4999.50,,,03,177.30,0.00,,0.00,
011252294C,1,22,1L14SC,L,L14CSI,CO,NS,15000.00,0.00,4999.50,,,03,177.30,0.00,,0.00,
