mpolicy,lifepro,tier,payout_rows,pe_count,payout_amount,claimstat,header_mpaid,payee_source,pair_note
010927552C,9010927552,1,1,1,7894.91,1,7894.91,PE_SINGLE,
010927885C,9010927885,1,1,1,25584.06,3,25584.06,PE_SINGLE,
010928491C,9010928491,1,1,1,7.2,99,0.00,PE_SINGLE,
010928497C,9010928497,1,3,1,24.66,99,0.00,PE_SINGLE,
010930278C,9010930278,1,1,1,11162.38,99,0.00,PE_SINGLE,
010936183C,9010936183,1,1,1,10330.57,3,10330.57,PE_SINGLE,
010937735C,9010937735,1,3,1,310.56,99,0.00,PE_SINGLE,
010938121C,9010938121,1,1,1,17.01,99,0.00,PE_SINGLE,
010938962C,9010938962,1,1,1,6279.5,1,6279.50,PE_SINGLE,
010942239C,9010942239,1,1,1,16647.99,3,16647.99,PE_SINGLE,
010942439C,9010942439,1,1,1,38713.96,1,38713.96,PE_SINGLE,
010944558C,9010944558,1,1,1,20.36,99,0.00,PE_SINGLE,
010946392C,9010946392,1,1,1,7170.64,1,7170.64,PE_SINGLE,
010946394C,9010946394,1,1,1,12033.31,3,12033.31,PE_SINGLE,
010947489C,9010947489,1,1,1,21708.34,1,21708.34,PE_SINGLE,
010952069C,9010952069,2,4,5,17207.73,3,17296.70,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
010952386C,9010952386,1,1,1,20.0,99,0.00,PE_SINGLE,
010958438C,9010958438,1,1,1,23123.5,1,23123.50,PE_SINGLE,
010961712C,9010961712,1,1,1,7202.39,1,7202.39,PE_SINGLE,
010965984C,9010965984,1,1,1,7667.78,1,7667.78,PE_SINGLE,
010968811C,9010968811,1,1,1,25184.04,3,25184.04,PE_SINGLE,
010968814C,9010968814,2,2,2,25370.66,3,25370.66,PE_MULTI_PAIR_OK,PAIR_OK
010975741C,9010975741,1,1,1,9160.22,1,9160.22,PE_SINGLE,
010979717C,9010979717,1,1,1,1817.85,99,0.00,PE_SINGLE,
010983828C,9010983828,1,1,1,100142.5,3,100142.50,PE_SINGLE,
010985597C,9010985597,1,1,1,7476.8,1,7825.87,PE_SINGLE,
010988454C,9010988454,1,1,1,25641.69,3,26061.15,PE_SINGLE,
010991641C,9010991641,1,1,1,4698.13,1,4698.13,PE_SINGLE,
010991643C,9010991643,1,1,1,4340.75,1,4340.75,PE_SINGLE,
010994968C,9010994968,1,1,1,2637.7,1,3381.97,PE_SINGLE,
010996999C,9010996999,1,1,1,5023.7,1,5023.70,PE_SINGLE,
011001743C,9011001743,1,1,1,4879.44,1,4879.44,PE_SINGLE,
011003108C,9011003108,1,1,1,3.44,1,3739.01,PE_SINGLE,
011004587C,9011004587,1,1,1,75220.31,3,75313.22,PE_SINGLE,
011005190C,9011005190,1,1,1,3900.11,1,3900.11,PE_SINGLE,
011005435C,9011005435,1,1,1,20.42,1,8103.33,PE_SINGLE,
011005635C,9011005635,1,1,1,4.95,99,0.00,PE_SINGLE,
011005855C,9011005855,2,1,2,11937.83,3,11949.30,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011007835C,9011007835,1,1,1,4929.3,1,4929.30,PE_SINGLE,
011010387C,9011010387,1,1,1,7109.85,1,9167.94,PE_SINGLE,
011014276C,9011014276,1,1,1,10658.42,3,10658.42,PE_SINGLE,
011014578C,9011014578,1,1,1,304.31,1,5869.37,PE_SINGLE,
011014579C,9011014579,2,15,2,212.43,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011014580C,9011014580,2,1,2,4.0,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011018779C,9011018779,1,1,1,8615.31,1,8615.31,PE_SINGLE,
011025088C,9011025088,1,3,1,24661.83,3,24719.10,PE_SINGLE,
011026547C,9011026547,1,1,1,27753.65,1,27753.65,PE_SINGLE,
011030877C,9011030877,2,1,2,6432.05,1,6432.05,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011035652C,9011035652,1,1,1,8756.09,99,0.00,PE_SINGLE,
011038065C,9011038065,1,2,1,7498.89,99,0.00,PE_SINGLE,
011040023C,9011040023,1,1,1,28259.55,1,28259.55,PE_SINGLE,
011040527C,9011040527,1,1,1,3404.12,1,3482.04,PE_SINGLE,
011041120C,9011041120,2,4,4,25124.92,3,25124.92,PE_MULTI_PAIR_OK,PAIR_OK
011044132C,9011044132,1,1,1,20642.85,3,20731.39,PE_SINGLE,
011045618C,9011045618,1,1,1,21628.52,3,21648.90,PE_SINGLE,
011046268C,9011046268,1,1,1,30105.42,1,30105.42,PE_SINGLE,
011048440C,9011048440,1,1,1,22176.95,1,22176.95,PE_SINGLE,
011053428C,9011053428,2,4,3,67035.2,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011054324C,9011054324,1,1,1,24996.47,1,24996.47,PE_SINGLE,
011056407C,9011056407,1,1,1,100257.55,3,100257.55,PE_SINGLE,
011056915C,9011056915,1,1,1,4017.95,1,4017.95,PE_SINGLE,
011057904C,9011057904,1,1,1,33.16,99,0.00,PE_SINGLE,
011059202C,9011059202,1,1,1,1340.42,1,2845.58,PE_SINGLE,
011061607C,9011061607,1,1,1,2615.24,1,4247.93,PE_SINGLE,
011062307C,9011062307,3,1,0,100188.08,3,100188.08,ESTATE_IN,
011064372C,9011064372,1,1,1,100412.53,3,100497.67,PE_SINGLE,
011065199C,9011065199,1,1,1,8874.99,1,8874.99,PE_SINGLE,
011065353C,9011065353,1,2,1,20.0,99,0.00,PE_SINGLE,
011066023C,9011066023,1,1,1,29.09,99,0.00,PE_SINGLE,
011067441C,9011067441,1,1,1,6612.08,1,7463.36,PE_SINGLE,
011072405C,9011072405,1,1,1,25237.73,1,25254.38,PE_SINGLE,
011073652C,9011073652,1,1,1,2754.4,1,3413.62,PE_SINGLE,
011074703C,9011074703,1,1,1,1158.33,1,2539.65,PE_SINGLE,
011074898C,9011074898,1,1,1,1616.67,1,5725.00,PE_SINGLE,
011076209C,9011076209,1,1,1,5771.15,1,5771.15,PE_SINGLE,
011078262C,9011078262,2,5,4,11965.05,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011079130C,9011079130,1,1,1,2864.64,1,3185.36,PE_SINGLE,
011080169C,9011080169,1,1,1,340.0,99,0.00,PE_SINGLE,
011081966C,9011081966,1,1,1,5520.44,1,5520.44,PE_SINGLE,
011081967C,9011081967,1,1,1,6986.51,1,6986.51,PE_SINGLE,
011083028C,9011083028,1,1,1,101188.34,3,101378.90,PE_SINGLE,
011084438C,9011084438,1,1,1,3172.65,1,3172.65,PE_SINGLE,
011085375C,9011085375,1,1,1,8390.57,1,8390.57,PE_SINGLE,
011085842C,9011085842,1,1,1,25368.79,3,25368.79,PE_SINGLE,
011086178C,9011086178,1,1,1,30237.76,3,30269.51,PE_SINGLE,
011087227C,9011087227,1,1,1,50228.3,3,50228.30,PE_SINGLE,
011088883C,9011088883,1,1,1,3641.28,1,4025.04,PE_SINGLE,
011089397C,9011089397,1,2,1,7.67,99,0.00,PE_SINGLE,
011090414C,9011090414,2,6,3,10013.34,3,15028.28,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011090807C,9011090807,1,1,1,9286.43,3,9396.92,PE_SINGLE,
011096068C,9011096068,2,1,2,918.29,1,6277.53,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011098198C,9011098198,1,1,1,5000.0,99,0.00,PE_SINGLE,
011098238C,9011098238,2,2,2,37062.25,3,37062.25,PE_MULTI_PAIR_OK,PAIR_OK
011098620C,9011098620,1,1,1,5000.0,99,0.00,PE_SINGLE,
011098649C,9011098649,1,1,1,5000.0,99,0.00,PE_SINGLE,
011098913C,9011098913,1,1,1,20143.57,3,20185.29,PE_SINGLE,
011100907C,9011100907,1,1,1,5104.9,3,5104.90,PE_SINGLE,
011102788C,9011102788,2,1,2,5133.04,3,5142.71,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011103202C,9011103202,2,2,2,25420.22,3,25420.22,PE_MULTI_PAIR_OK,PAIR_OK
011103665C,9011103665,1,1,1,3146.98,1,3142.95,PE_SINGLE,
011103996C,9011103996,1,1,1,5107.06,3,5107.06,PE_SINGLE,
011104064C,9011104064,1,1,1,5394.07,1,5454.08,PE_SINGLE,
011104096C,9011104096,1,1,1,5518.0,3,5753.62,PE_SINGLE,
011104572C,9011104572,1,1,1,7064.22,1,7038.63,PE_SINGLE,
011104828C,9011104828,1,1,1,6362.95,3,6383.31,PE_SINGLE,
011105332C,9011105332,1,1,1,2206.5,1,2206.50,PE_SINGLE,
011105666C,9011105666,1,1,1,4127.48,1,4110.52,PE_SINGLE,
011105951C,9011105951,1,1,1,30520.5,3,30552.13,PE_SINGLE,
011106177C,9011106177,1,1,1,4490.0,1,4490.00,PE_SINGLE,
011106738C,9011106738,1,1,1,3897.5,1,3897.50,PE_SINGLE,
011107641C,9011107641,1,1,1,5222.13,3,5237.86,PE_SINGLE,
011107848C,9011107848,2,4,4,5193.62,3,5209.75,PE_MULTI_PAIR_OK,PAIR_OK
011108310C,9011108310,1,1,1,3825.0,1,3825.00,PE_SINGLE,
011109446C,9011109446,1,1,1,4.82,1,24266.67,PE_SINGLE,
011109852C,9011109852,1,1,1,24534.8,1,24534.80,PE_SINGLE,
011110116C,9011110116,1,1,1,3198.01,1,3138.89,PE_SINGLE,
011110271C,9011110271,1,1,1,11209.37,1,30202.29,PE_SINGLE,
011110299C,9011110299,1,1,1,3580.3,1,3575.08,PE_SINGLE,
011110339C,9011110339,1,1,1,3765.86,1,3557.47,PE_SINGLE,
011110946C,9011110946,1,1,1,21723.57,1,21723.57,PE_SINGLE,
011110968C,9011110968,1,1,1,59297.11,1,59297.11,PE_SINGLE,
011112366C,9011112366,1,1,1,7197.32,1,7197.32,PE_SINGLE,
011112743C,9011112743,1,1,1,5138.18,1,5155.10,PE_SINGLE,
011112744C,9011112744,1,1,1,5256.73,3,5357.81,PE_SINGLE,
011115690C,9011115690,1,1,1,5999.15,3,6643.72,PE_SINGLE,
011115885C,9011115885,1,1,1,3484.77,1,3477.27,PE_SINGLE,
011116003C,9011116003,1,1,1,5708.33,1,5708.33,PE_SINGLE,
011116180C,9011116180,2,2,2,5324.63,3,5389.97,PE_MULTI_PAIR_OK,PAIR_OK
011118183C,9011118183,1,1,1,3160.7,1,3149.79,PE_SINGLE,
011118229C,9011118229,1,1,1,2716.57,1,3091.43,PE_SINGLE,
011120482C,9011120482,2,1,2,1425.15,1,2834.10,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011121183C,9011121183,1,1,1,20.0,99,0.00,PE_SINGLE,
011121984C,9011121984,2,5,2,40.15,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011122141C,9011122141,1,1,1,3201.83,3,3201.83,PE_SINGLE,
011122680C,9011122680,1,1,1,2000.0,99,0.00,PE_SINGLE,
011123322C,9011123322,1,1,1,25185.28,3,25185.28,PE_SINGLE,
011124169C,9011124169,1,1,1,3192.3,1,3188.28,PE_SINGLE,
011124301C,9011124301,1,2,1,3263.74,99,0.00,PE_SINGLE,
011125619C,9011125619,1,1,1,2945.0,1,2945.00,PE_SINGLE,
011127439C,9011127439,1,1,1,8.36,99,0.00,PE_SINGLE,
011128643C,9011128643,1,1,1,50759.5,3,50759.50,PE_SINGLE,
011129883C,9011129883,1,1,1,128.37,99,0.00,PE_SINGLE,
011130666C,9011130666,1,1,1,4488.7,1,4488.70,PE_SINGLE,
011130752C,9011130752,1,1,1,3000.0,99,0.00,PE_SINGLE,
011130778C,9011130778,1,1,1,3206.42,1,3192.45,PE_SINGLE,
011130902C,9011130902,1,1,1,25144.69,3,25144.69,PE_SINGLE,
011131381C,9011131381,1,1,1,5000.0,99,0.00,PE_SINGLE,
011132389C,9011132389,2,4,2,30174.72,3,30174.72,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011135494C,9011135494,1,1,1,520.32,1,7180.00,PE_SINGLE,
011135811C,9011135811,1,1,1,3348.33,1,3348.33,PE_SINGLE,
011136690C,9011136690,1,1,1,119795.38,3,119795.38,PE_SINGLE,
011138044C,9011138044,1,1,1,12.72,99,0.00,PE_SINGLE,
011138259C,9011138259,1,1,1,3610.23,1,3593.14,PE_SINGLE,
011138486C,9011138486,1,1,1,3561.73,1,3558.69,PE_SINGLE,
011138884C,9011138884,1,3,1,15146.13,3,15146.13,PE_SINGLE,
011139002C,9011139002,1,1,1,25.0,99,0.00,PE_SINGLE,
011139256C,9011139256,1,1,1,5124.43,3,5124.43,PE_SINGLE,
011140025C,9011140025,1,1,1,3000.0,99,0.00,PE_SINGLE,
011140409C,9011140409,1,1,1,50234.02,3,50267.15,PE_SINGLE,
011141895C,9011141895,1,3,1,15073.52,1,15102.85,PE_SINGLE,
011144050C,9011144050,1,1,1,3700.61,1,3700.61,PE_SINGLE,
011145527C,9011145527,1,1,1,4211.16,1,4121.07,PE_SINGLE,
011145715C,9011145715,2,2,2,15594.1,3,15641.06,PE_MULTI_PAIR_OK,PAIR_OK
011145881C,9011145881,1,3,1,9.0,99,0.00,PE_SINGLE,
011145926C,9011145926,1,1,1,5000.0,99,0.00,PE_SINGLE,
011146268C,9011146268,2,4,3,15000.0,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011148532C,9011148532,1,2,1,5026.61,99,0.00,PE_SINGLE,
011149370C,9011149370,1,1,1,7651.03,3,7651.03,PE_SINGLE,
011150263C,9011150263,1,1,1,3209.32,1,3078.22,PE_SINGLE,
011150435C,9011150435,1,1,1,2911.67,1,2911.67,PE_SINGLE,
011150971C,9011150971,1,1,1,5000.0,99,0.00,PE_SINGLE,
011151909C,9011151909,1,3,1,9495.81,99,0.00,PE_SINGLE,
011152874C,9011152874,1,1,1,2120.11,1,2096.79,PE_SINGLE,
011153790C,9011153790,1,1,1,4341.91,1,4333.29,PE_SINGLE,
011154364C,9011154364,1,1,1,25240.35,3,25240.35,PE_SINGLE,
011154479C,9011154479,1,1,1,3014.69,1,3009.04,PE_SINGLE,
011154852C,9011154852,1,1,1,1027.18,1,8342.40,PE_SINGLE,
011154856C,9011154856,1,1,1,2114.63,1,2114.63,PE_SINGLE,
011155232C,9011155232,2,2,2,5129.15,3,5129.15,PE_MULTI_PAIR_OK,PAIR_OK
011156655C,9011156655,2,4,4,5145.67,3,5145.67,PE_MULTI_PAIR_OK,PAIR_OK
011156964C,9011156964,1,1,1,3669.73,1,3648.16,PE_SINGLE,
011157291C,9011157291,1,1,1,10287.69,3,10287.69,PE_SINGLE,
011158068C,9011158068,1,1,1,8.07,1,3531.25,PE_SINGLE,
011158551C,9011158551,1,1,1,5275.73,3,5320.18,PE_SINGLE,
011159295C,9011159295,1,1,1,5162.26,3,5162.26,PE_SINGLE,
011159476C,9011159476,1,1,1,4058.75,1,4058.75,PE_SINGLE,
011160075C,9011160075,1,1,1,5255.25,3,5255.25,PE_SINGLE,
011160408C,9011160408,1,1,1,4458.36,1,4458.36,PE_SINGLE,
011160440C,9011160440,1,1,1,3406.09,1,3406.09,PE_SINGLE,
011160478C,9011160478,1,1,1,14.38,99,0.00,PE_SINGLE,
011160479C,9011160479,1,1,1,22.49,99,0.00,PE_SINGLE,
011160480C,9011160480,1,1,1,19.94,99,0.00,PE_SINGLE,
011160990C,9011160990,1,1,1,4547.26,1,4547.26,PE_SINGLE,
011162391C,9011162391,1,1,1,5102.35,3,5102.35,PE_SINGLE,
011175414C,9011175414,1,1,1,26483.75,3,27287.29,PE_SINGLE,
011176237C,9011176237,1,1,1,3241.67,1,3241.67,PE_SINGLE,
011176413C,9011176413,1,1,1,6.14,99,0.00,PE_SINGLE,
011177870C,9011177870,2,2,2,6505.15,99,0.00,PE_MULTI_PAIR_OK,PAIR_OK
011178457C,9011178457,1,1,1,10189.5,3,10189.50,PE_SINGLE,
011178660C,9011178660,1,1,1,4890.43,1,4814.85,PE_SINGLE,
011179609C,9011179609,1,1,1,2475.0,1,2475.00,PE_SINGLE,
011179610C,9011179610,1,1,1,3272.28,1,3267.01,PE_SINGLE,
011179948C,9011179948,1,1,1,3781.87,1,3759.86,PE_SINGLE,
011180733C,9011180733,1,1,1,4617.95,1,4617.95,PE_SINGLE,
011180927C,9011180927,1,1,1,7975.0,1,7975.00,PE_SINGLE,
011181208C,9011181208,2,7,7,5180.18,3,5180.18,PE_MULTI_PAIR_OK,PAIR_OK
011181683C,9011181683,1,1,1,25271.06,3,25311.85,PE_SINGLE,
011183334C,9011183334,1,1,1,3418.94,1,3418.94,PE_SINGLE,
011183505C,9011183505,1,1,1,5032.62,1,0.00,PE_SINGLE,
011183653C,9011183653,1,3,1,111.36,99,0.00,PE_SINGLE,
011184139C,9011184139,1,1,1,2856.25,1,2856.25,PE_SINGLE,
011184291C,9011184291,1,1,1,5246.65,3,5284.21,PE_SINGLE,
011184470C,9011184470,1,1,1,2855.0,1,2855.00,PE_SINGLE,
011184745C,9011184745,1,1,1,25132.48,3,25132.48,PE_SINGLE,
011184752C,9011184752,1,1,1,2191.93,1,2188.08,PE_SINGLE,
011185531C,9011185531,1,1,1,2264.09,1,2242.49,PE_SINGLE,
011185638C,9011185638,1,1,1,3567.2,1,3551.50,PE_SINGLE,
011187167C,9011187167,1,1,1,3145.0,1,3145.00,PE_SINGLE,
011187601C,9011187601,1,1,1,5114.88,3,5114.88,PE_SINGLE,
011187904C,9011187904,1,1,1,5269.64,3,5269.64,PE_SINGLE,
011188377C,9011188377,1,1,1,3160.03,1,3103.30,PE_SINGLE,
011189325C,9011189325,1,1,1,6977.52,1,6893.77,PE_SINGLE,
011189851C,9011189851,1,1,1,105.21,99,0.00,PE_SINGLE,
011189913C,9011189913,1,1,1,7166.16,1,7108.49,PE_SINGLE,
011190239C,9011190239,1,1,1,4450.0,1,4450.00,PE_SINGLE,
011190388C,9011190388,1,1,1,6.5,99,0.00,PE_SINGLE,
011190410C,9011190410,1,1,1,5110.84,3,5115.17,PE_SINGLE,
011190459C,9011190459,1,4,1,132.62,99,0.00,PE_SINGLE,
011190516C,9011190516,1,1,1,6083.33,1,6083.33,PE_SINGLE,
011190613C,9011190613,2,2,2,5205.54,99,5216.21,PE_MULTI_PAIR_OK,PAIR_OK
011190722C,9011190722,1,1,1,3583.36,1,3552.11,PE_SINGLE,
011190724C,9011190724,1,1,1,48.0,99,0.00,PE_SINGLE,
011191289C,9011191289,1,1,1,8132.88,3,8132.88,PE_SINGLE,
011191584C,9011191584,1,1,1,8498.14,3,8760.47,PE_SINGLE,
011191896C,9011191896,1,1,1,3230.71,1,3183.36,PE_SINGLE,
011192032C,9011192032,2,2,2,8398.32,3,8398.32,PE_MULTI_PAIR_OK,PAIR_OK
011192322C,9011192322,1,3,1,8922.54,99,0.00,PE_SINGLE,
011192476C,9011192476,1,1,1,4988.83,1,4972.47,PE_SINGLE,
011192586C,9011192586,1,1,1,4643.4,1,4626.58,PE_SINGLE,
011194208C,9011194208,2,1,2,1104.49,1,2195.60,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011194273C,9011194273,1,1,1,5271.23,3,5286.11,PE_SINGLE,
011194498C,9011194498,1,1,1,7841.61,1,7580.75,PE_SINGLE,
011194622C,9011194622,1,1,1,4457.5,1,4457.50,PE_SINGLE,
011194623C,9011194623,1,1,1,2295.0,1,2295.00,PE_SINGLE,
011195087C,9011195087,1,1,1,50347.28,3,50347.28,PE_SINGLE,
011195139C,9011195139,1,3,1,38214.15,99,0.00,PE_SINGLE,
011195437C,9011195437,1,1,1,2430.0,1,2430.00,PE_SINGLE,
011195567C,9011195567,1,1,1,24.83,99,0.00,PE_SINGLE,
011195601C,9011195601,1,2,1,14415.73,99,0.00,PE_SINGLE,
011195602C,9011195602,1,2,1,4668.65,99,0.00,PE_SINGLE,
011195829C,9011195829,1,1,1,2201.86,1,2142.46,PE_SINGLE,
011196168C,9011196168,1,1,1,4174.55,1,4170.59,PE_SINGLE,
011196281C,9011196281,1,1,1,2893.91,1,2883.08,PE_SINGLE,
011196296C,9011196296,1,1,1,2496.0,1,2496.00,PE_SINGLE,
011196444C,9011196444,1,1,1,4138.16,1,5160.55,PE_SINGLE,
011196513C,9011196513,1,1,1,5361.6,1,5346.89,PE_SINGLE,
011196570C,9011196570,1,1,1,3356.31,1,3284.03,PE_SINGLE,
011196571C,9011196571,1,1,1,2703.04,1,2614.15,PE_SINGLE,
011196777C,9011196777,1,1,1,2491.33,1,2481.51,PE_SINGLE,
011196869C,9011196869,1,3,1,88.74,99,0.00,PE_SINGLE,
011197222C,9011197222,2,4,2,30166.92,3,45467.81,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011197288C,9011197288,1,1,1,6142.71,1,6114.40,PE_SINGLE,
011197559C,9011197559,1,1,1,25113.71,3,25113.71,PE_SINGLE,
011197647C,9011197647,1,1,1,8781.98,1,8772.68,PE_SINGLE,
011197714C,9011197714,1,1,1,16.14,99,0.00,PE_SINGLE,
011197743C,9011197743,1,1,1,4581.78,1,4581.78,PE_SINGLE,
011198073C,9011198073,1,1,1,4.7,99,0.00,PE_SINGLE,
011198246C,9011198246,1,1,1,1269.74,1,3615.62,PE_SINGLE,
011198305C,9011198305,1,1,1,1400.0,99,0.00,PE_SINGLE,
011198306C,9011198306,1,1,1,1000.0,99,0.00,PE_SINGLE,
011198344C,9011198344,2,2,2,105244.48,3,108421.40,PE_MULTI_PAIR_OK,PAIR_OK
011198366C,9011198366,2,3,3,10121.7,3,10121.70,PE_MULTI_PAIR_OK,PAIR_OK
011198799C,9011198799,1,1,1,47.04,99,0.00,PE_SINGLE,
011198806C,9011198806,1,1,1,15145.25,3,15145.25,PE_SINGLE,
011198951C,9011198951,1,2,1,2797.65,99,0.00,PE_SINGLE,
011199527C,9011199527,2,3,2,29979.13,99,20091.97,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011199549C,9011199549,1,1,1,8.83,99,0.00,PE_SINGLE,
011199612C,9011199612,1,1,1,5194.55,1,5598.63,PE_SINGLE,
011199632C,9011199632,2,2,2,12276.81,3,12440.34,PE_MULTI_PAIR_OK,PAIR_OK
011199709C,9011199709,1,1,1,2993.01,1,2923.55,PE_SINGLE,
011199710C,9011199710,1,1,1,2851.6,1,2799.95,PE_SINGLE,
011199782C,9011199782,1,1,1,2.14,99,0.00,PE_SINGLE,
011199974C,9011199974,1,3,1,5797.28,99,0.00,PE_SINGLE,
011200196C,9011200196,2,2,2,5644.05,99,0.00,PE_MULTI_PAIR_OK,PAIR_OK
011200251C,9011200251,1,2,1,16320.68,3,16381.44,PE_SINGLE,
011200872C,9011200872,1,1,1,279.72,99,0.00,PE_SINGLE,
011201953C,9011201953,1,1,1,6502.78,1,6489.64,PE_SINGLE,
011202767C,9011202767,1,1,1,4472.0,1,4472.00,PE_SINGLE,
011203001C,9011203001,1,1,1,3639.8,1,3639.80,PE_SINGLE,
011203311C,9011203311,1,1,1,5177.01,3,5191.00,PE_SINGLE,
011204579C,9011204579,1,1,1,8821.29,1,8782.90,PE_SINGLE,
011205082C,9011205082,1,1,1,4271.72,1,4267.23,PE_SINGLE,
011206380C,9011206380,1,2,1,661.11,99,0.00,PE_SINGLE,
011206410C,9011206410,1,1,1,2507.03,1,5868.49,PE_SINGLE,
011206462C,9011206462,2,6,2,20120.33,99,17772.50,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011206644C,9011206644,1,1,1,74.7,99,0.00,PE_SINGLE,
011207095C,9011207095,1,1,1,2521.9,1,2511.58,PE_SINGLE,
011207112C,9011207112,1,1,1,16.54,99,0.00,PE_SINGLE,
011207222C,9011207222,2,2,2,4885.38,99,0.00,PE_MULTI_PAIR_OK,PAIR_OK
011207871C,9011207871,1,1,1,35132.32,3,35158.80,PE_SINGLE,
011208194C,9011208194,1,1,1,4.0,99,0.00,PE_SINGLE,
011208304C,9011208304,1,1,1,3264.2,1,3240.23,PE_SINGLE,
011208787C,9011208787,2,2,3,36660.0,1,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011209916C,9011209916,1,1,1,6577.68,1,8664.15,PE_SINGLE,
011210611C,9011210611,1,1,1,36.63,99,0.00,PE_SINGLE,
011211133C,9011211133,1,1,1,4.0,99,0.00,PE_SINGLE,
011211323C,9011211323,1,1,1,209.28,1,5238.50,PE_SINGLE,
011211451C,9011211451,1,1,1,3142.57,1,3136.08,PE_SINGLE,
011211973C,9011211973,1,1,1,2648.33,1,2648.33,PE_SINGLE,
011214181C,9011214181,2,2,2,5121.11,3,5121.11,PE_MULTI_PAIR_OK,PAIR_OK
011214338C,9011214338,1,3,1,23108.07,1,7688.08,PE_SINGLE,
011215550C,9011215550,1,1,1,11.83,99,0.00,PE_SINGLE,
011215903C,9011215903,1,1,1,9796.69,1,9796.69,PE_SINGLE,
011216680C,9011216680,2,1,2,15331.67,3,15331.67,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011217615C,9011217615,1,1,1,9701.52,1,9665.07,PE_SINGLE,
011217684C,9011217684,1,1,1,10137.66,3,10150.07,PE_SINGLE,
011217687C,9011217687,1,1,1,21041.0,1,21041.00,PE_SINGLE,
011217839C,9011217839,1,1,1,4379.17,1,4379.17,PE_SINGLE,
011217970C,9011217970,2,4,2,23965.05,1,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011219517C,9011219517,1,3,1,2372.25,99,0.00,PE_SINGLE,
011220582C,9011220582,2,2,2,50178.53,3,50225.80,PE_MULTI_PAIR_OK,PAIR_OK
011220928C,9011220928,1,1,1,156.28,99,0.00,PE_SINGLE,
011221211C,9011221211,1,1,1,1692.44,1,1939.16,PE_SINGLE,
011221309C,9011221309,1,1,1,11770.89,3,12902.24,PE_SINGLE,
011222039C,9011222039,1,1,1,5352.46,3,5402.67,PE_SINGLE,
011222584C,9011222584,1,1,1,5447.3,1,5432.07,PE_SINGLE,
011223989C,9011223989,1,1,1,5190.74,3,5190.74,PE_SINGLE,
011224349C,9011224349,1,3,1,6120.39,99,0.00,PE_SINGLE,
011226091C,9011226091,1,1,1,25137.26,3,25137.26,PE_SINGLE,
011227429C,9011227429,1,5,1,3429.95,99,0.00,PE_SINGLE,
011230767C,9011230767,2,1,2,345.81,99,0.00,PE_MULTI_PRIMARY_PE_ALL,PRIMARY_PE_ALL
011237180C,9011237180,1,1,1,25300.3,3,25300.30,PE_SINGLE,
011240164C,9011240164,1,1,1,1483.0,99,0.00,PE_SINGLE,
011243725C,9011243725,2,2,2,50203.51,3,50250.80,PE_MULTI_PAIR_OK,PAIR_OK
011246930C,9011246930,1,1,1,4.98,99,0.00,PE_SINGLE,
011247278C,9011247278,1,1,1,2479.69,1,2444.39,PE_SINGLE,
011250929C,9011250929,1,1,1,5163.15,1,5163.15,PE_SINGLE,
011251167C,9011251167,1,1,1,153.61,99,0.00,PE_SINGLE,
011252477C,9011252477,1,1,1,3867.59,1,3853.01,PE_SINGLE,
011254240C,9011254240,1,1,1,3450.63,1,3439.04,PE_SINGLE,
011255947C,9011255947,1,1,1,5762.45,1,5760.78,PE_SINGLE,
011256689C,9011256689,1,1,1,8893.69,1,8703.59,PE_SINGLE,
011257515C,9011257515,1,1,1,3924.54,1,3918.03,PE_SINGLE,
011258185C,9011258185,1,1,1,5050.0,99,0.00,PE_SINGLE,
011259930C,9011259930,1,1,1,3.52,99,0.00,PE_SINGLE,
011260157C,9011260157,1,1,1,2212.5,1,2212.50,PE_SINGLE,
011261272C,9011261272,1,1,1,2520.83,1,2520.83,PE_SINGLE,
011261276C,9011261276,1,1,1,25228.18,3,25254.35,PE_SINGLE,
