lifepro_coverage_id,plan_before,plan_after,plan_crosswalk_authority,form_before,form_after,form_crosswalk_authority,descr_before,descr_after,descr_crosswalk_authority,planname_before,planname_after,friendly_name_crosswalk_authority,plan_changed,form_changed,descr_changed,planname_changed,passthrough_before,passthrough_after,uat_status
8043CTR WP,8043CTR WP,943CWP,943CWP,NA,8043CTR WP,8043CTR WP,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
8046 JPO,8046 JPO,9JPO46,9JPO46,8046,8046 JPO,8046 JPO,JUVENILE FUTURE PURCHASE OPTION RIDER,JUVENILE FUTURE PURCHASE OPTION RIDER,JUVENILE FUTURE PURCHASE OPTION RIDER,JUVENILE FUTURE PURCHASE OPTION RIDER,JUVENILE FUTURE PURCHASE OPTION RIDER,JUVENILE FUTURE PURCHASE OPTION RIDER,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
8115,9L05WP,9L05WP,9L05WP,8115,8115,8115,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM - L05 10YLT,DISABILITY WAIVER OF PREMIUM - L05 10YLT,N,N,N,Y,N,N,AUTHORITY_ALIGNED
8115 L01,9L01WP,9L01WP,9L01WP,8115,8115 L01,8115 L01,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM - L01 10YLT,DISABILITY WAIVER OF PREMIUM - L01 10YLT,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
826,560STR,560STR,560STR,826,826,826,PAID UP SPOUSE TERM RIDER,PAID UP SPOUSE TERM RIDER,PAID UP SPOUSE TERM RIDER,PAID UP SPOUSE TERM RIDER,"PAID UP STR - 960 LP85-M, 960 OL, 960 PO","PAID UP STR - 960 LP85-M, 960 OL, 960 PO",N,N,N,Y,N,N,AUTHORITY_ALIGNED
828,528CTR,528CTR,528CTR,828,828,828,CHILD'S TERM INSURANCE,CHILD'S TERM INSURANCE,CHILD'S TERM INSURANCE,CHILD'S TERM INSURANCE,"CTR FOR 960 LP65, 960 OL, 960 PO","CTR FOR 960 LP65, 960 OL, 960 PO",N,N,N,Y,N,N,AUTHORITY_ALIGNED
8286 GI 1,986JPO,986JPO,986JPO,8286,8286 GI 1,8286 GI 1,JUVENILE FUTURE PURCHASE OPTION,JUVENILE FUTURE PURCHASE OPTION,JUVENILE FUTURE PURCHASE OPTION,JUVENILE FUTURE PURCHASE OPTION,JUV FUTURE PURCHASE OPTION - L17,JUV FUTURE PURCHASE OPTION - L17,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
8286 GI 2+,982JPO,982JPO,982JPO,8286,8286 GI 2+,8286 GI 2+,JUVENILE FUTURE PURCHASE OPTION,JUVENILE FUTURE PURCHASE OPTION,JUVENILE FUTURE PURCHASE OPTION,JUVENILE FUTURE PURCHASE OPTION,JUV FUTURE PURCHASE OPTION - L17,JUV FUTURE PURCHASE OPTION - L17,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
863,A60MIR,A60MIR,A60MIR,863,863,863,MONTHLY INCOME RIDER,MONTHLY INCOME RIDER,MONTHLY INCOME RIDER,MONTHLY INCOME RIDER,"MONTHLY INCOME RIDER- 960 LP85-M, 960 PO","MONTHLY INCOME RIDER- 960 LP85-M, 960 PO",N,N,N,Y,N,N,AUTHORITY_ALIGNED
889 960,960GIO,960GIO,960GIO,889,889 960,889 960,960 GUARANTEE INSURABILITY OPTION,960 GUARANTEE INSURABILITY OPTION,960 GUARANTEE INSURABILITY OPTION,960 GUARANTEE INSURABILITY OPTION,GUARANTEE INSURABILITY OPTION - 960 OL,GUARANTEE INSURABILITY OPTION - 960 OL,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
896 DAR,A96DAR,A96DAR,A96DAR,896,896 DAR,896 DAR,DEPOSIT ANNUITY RIDER,DEPOSIT ANNUITY RIDER,DEPOSIT ANNUITY RIDER,DEPOSIT ANNUITY RIDER,DEPOSIT ANNUITY RIDER - 665 STME95,DEPOSIT ANNUITY RIDER - 665 STME95,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
897 666,1666AI,1666AI,1666AI,666,897 666,897 666,ADDITIONAL INSUREDS 666 WL,ADDITIONAL INSUREDS 666 WL,ADDITIONAL INSUREDS 666 WL,ADDITIONAL INSUREDS 666 WL,ADDITIONAL INSUREDS 666 WL,ADDITIONAL INSUREDS 666 WL,N,Y,N,N,N,N,AUTHORITY_ALIGNED
960 65 PUA,165PUA,165PUA,165PUA,960,960 65 PUA,960 65 PUA,PAID UP ADDS - LIFE PAID UP AT AGE 65,PAID UP ADDS - LIFE PAID UP AT AGE 65,PAID UP ADDS - LIFE PAID UP AT AGE 65,PAID UP ADDS - LIFE PAID UP AT AGE 65,PUAS FOR 960 LP65,PUAS FOR 960 LP65,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
960 LP PUA,185PUA,185PUA,185PUA,960,960 LP PUA,960 LP PUA,PAID UP ADDS - LIFE PU AT AGE 85-88,PAID UP ADDS - LIFE PU AT AGE 85-88,PAID UP ADDS - LIFE PU AT AGE 85-88,PAID UP ADDS - LIFE PU AT AGE 85-88,PUA - 960 LP85-M,PUA - 960 LP85-M,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
960 LP65,196065,196065,196065,960,960 LP65,960 LP65,LIFE PAID UP AT AGE 65,LIFE PAID UP AT AGE 65,LIFE PAID UP AT AGE 65,LIFE PAID UP AT AGE 65,LIFE PAID UP AT AGE 65,LIFE PAID UP AT AGE 65,N,Y,N,N,N,N,AUTHORITY_ALIGNED
960 LP85-M,196085,196085,196085,960,960 LP85-M,960 LP85-M,LIFE PAID UP AT AGE 85-88,LIFE PAID UP AT AGE 85-88,LIFE PAID UP AT AGE 85-88,LIFE PAID UP AT AGE 85-88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
960 OL,1960OL,1960OL,1960OL,960,960 OL,960 OL,ORDINARY WHOLE LIFE,ORDINARY WHOLE LIFE,ORDINARY WHOLE LIFE,ORDINARY WHOLE LIFE,ORDINARY WHOLE LIFE,ORDINARY WHOLE LIFE,N,Y,N,N,N,N,AUTHORITY_ALIGNED
960 OL PUA,1OLPUA,1OLPUA,1OLPUA,960,960 OL PUA,960 OL PUA,PAID UP ADDS - ORDINARY WHOLE LIFE,PAID UP ADDS - ORDINARY WHOLE LIFE,PAID UP ADDS - ORDINARY WHOLE LIFE,PAID UP ADDS - ORDINARY WHOLE LIFE,PUAS FOR 960 OL,PUAS FOR 960 OL,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
960 PO,1960PO,1960PO,1960PO,960,960 PO,960 PO,PREFERRED ORDINARY WHOLE LIFE,PREFERRED ORDINARY WHOLE LIFE,PREFERRED ORDINARY WHOLE LIFE,PREFERRED ORDINARY WHOLE LIFE,PREFERRED ORDINARY WHOLE LIFE,PREFERRED ORDINARY WHOLE LIFE,N,Y,N,N,N,N,AUTHORITY_ALIGNED
960 PO PUA,1POPUA,1POPUA,1POPUA,960,960 PO PUA,960 PO PUA,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,PUAS FOR 960 PO,PUAS FOR 960 PO,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
961 ME65,961 ME65,2961ME,2961ME,961,961 ME65,961 ME65,MODIFIED ENDOWMENT AT 65,MODIFIED ENDOWMENT AT 65,MODIFIED ENDOWMENT AT 65,MODIFIED ENDOWMENT AT 65,MODIFIED ENDOWMENT AT 65,MODIFIED ENDOWMENT AT 65,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
961 PUA,961 PUA,261PUA,261PUA,961,961 PUA,961 PUA,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
970 JEB,970 JEB,1970JB,1970JB,970,970 JEB,970 JEB,JUVENILE EST BUILD PU AT 85 LIFE,JUVENILE EST BUILD PU AT 85 LIFE,JUVENILE EST BUILD PU AT 85 LIFE,JUVENILE EST BUILD PU AT 85 LIFE,JUVENILE EST BUILD PU AT 85 LIFE,JUVENILE EST BUILD PU AT 85 LIFE,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
970 PUA,970 PUA,1970PA,1970PA,970,970 PUA,970 PUA,PAID UP ADDS - JUV EST BUILD PU AT 85,PAID UP ADDS - JUV EST BUILD PU AT 85,PAID UP ADDS - JUV EST BUILD PU AT 85,PAID UP ADDS - JUV EST BUILD PU AT 85,PAID UP ADDS - JUV EST BUILD PU AT 85,PAID UP ADDS - JUV EST BUILD PU AT 85,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
980 END65,280END,280END,280END,980,980 END65,980 END65,ENDOWMENT AT AGE 65,ENDOWMENT AT AGE 65,ENDOWMENT AT AGE 65,ENDOWMENT AT AGE 65,ENDOWMENT AT AGE 65,ENDOWMENT AT AGE 65,N,Y,N,N,N,N,AUTHORITY_ALIGNED
980 PUA,280PUA,280PUA,280PUA,960,980 PUA,980 PUA,PAID UP ADDS - ENDOWMENT AT AGE 65,PAID UP ADDS - ENDOWMENT AT AGE 65,PAID UP ADDS - ENDOWMENT AT AGE 65,PAID UP ADDS - ENDOWMENT AT AGE 65,PUAS FOR 980 END65,PUAS FOR 980 END65,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
991 PWL,1991PL,1991PL,1991PL,991,991 PWL,991 PWL,PENSION WHOLE LIFE,PENSION WHOLE LIFE,PENSION WHOLE LIFE,PENSION WHOLE LIFE,ALL PENSION WHOLE LIFE IN RPU STATUS,ALL PENSION WHOLE LIFE IN RPU STATUS,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
DISCHO2475,9DIS25,9DIS24,9DIS24,,DISCHO2475,DISCHO2475,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,"DISCNT 24.75% - L10 LP95, L10 OLD, 619DT","DISCNT 24.75% - L10 LP95, L10 OLD, 619DT",Y,Y,N,Y,N,N,AUTHORITY_ALIGNED
DISCHO247B,DISCHO247B,9DS24B,9DS24B,,DISCHO247B,DISCHO247B,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
DISCHO247C,9DIS25,9DS24C,9DS24C,,DISCHO247C,DISCHO247C,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,HOME OFFICE DISCOUNT - 24.75%,Y,Y,N,N,N,N,AUTHORITY_ALIGNED
DISCHO29,DISCHO29,9DIS29,9DIS29,,DISCHO29,DISCHO29,HOME OFFICE DISCOUNT 29% - MODERULE 37,HOME OFFICE DISCOUNT 29% - MODERULE 37,HOME OFFICE DISCOUNT 29% - MODERULE 37,HOME OFFICE DISCOUNT 29% - MODERULE 37,HOME OFFICE DISCOUNT 29% - MODERULE 37,HOME OFFICE DISCOUNT 29% - MODERULE 37,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
DISCHO70,9DIS70,9DIS70,9DIS70,,DISCHO70,DISCHO70,HOME OFFICE DISCOUNT - 70/13%,HOME OFFICE DISCOUNT - 70/13%,HOME OFFICE DISCOUNT - 70/13%,HOME OFFICE DISCOUNT - 70/13%,DISCOUNT 70/13% -  L01 10Y LT,DISCOUNT 70/13% -  L01 10Y LT,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L01 10Y LT,5L0110,5L0110,5L0110,L10,L01 10Y LT,L01 10Y LT,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,N,Y,N,N,N,N,AUTHORITY_ALIGNED
L01 10Y MA,L01 10Y MA,5L01MA,5L01MA,L10,L01 10Y MA,L01 10Y MA,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,TEN YEAR LEVEL TERM TO AGE 95,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
L05 10Y LT,5L0510,5L0510,5L0510,L05,L05 10Y LT,L05 10Y LT,TEN YEAR TERM TO AGE 85,TEN YEAR TERM TO AGE 85,TEN YEAR TERM TO AGE 85,TEN YEAR TERM TO AGE 85,TEN YEAR TERM TO AGE 85,TEN YEAR TERM TO AGE 85,N,Y,N,N,N,N,AUTHORITY_ALIGNED
L07 5Y LT,5L075Y,5L075Y,5L075Y,L07,L07 5Y LT,L07 5Y LT,FIVE YEAR TERM TO AGE 85,FIVE YEAR TERM TO AGE 85,FIVE YEAR TERM TO AGE 85,FIVE YEAR TERM TO AGE 85,FIVE YEAR TERM TO AGE 85,FIVE YEAR TERM TO AGE 85,N,Y,N,N,N,N,AUTHORITY_ALIGNED
L10 ADB,9ADB10,9ADB10,9ADB10,8140,L10 ADB,L10 ADB,L10 ACCIDENTAL DEATH BENEFIT,L10 ACCIDENTAL DEATH BENEFIT,L10 ACCIDENTAL DEATH BENEFIT,L10 ACCIDENTAL DEATH BENEFIT,"ACC DB - L10 LP95, L10 OLD, L10 SR OLD","ACC DB - L10 LP95, L10 OLD, L10 SR OLD",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 CDT,5CDT10,5CDT10,5CDT10,8142,L10 CDT,L10 CDT,L10 CHILD TERM RIDER,L10 CHILD TERM RIDER,L10 CHILD TERM RIDER,L10 CHILD TERM RIDER,"CTR - L10 LP95, L10 OLD","CTR - L10 LP95, L10 OLD",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 GPO,9GPO10,9GPO10,9GPO10,8143,L10 GPO,L10 GPO,L10 GPO OLD,L10 GPO OLD,L10 GPO OLD,L10 GPO OLD,"GPO OLD - L10 LP95, L10 OLD","GPO OLD - L10 LP95, L10 OLD",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 JPO,9JPO10,9JPO10,9JPO10,8144,L10 JPO,L10 JPO,L10 JUVENILE PURCHASE OPTION - OLD,L10 JUVENILE PURCHASE OPTION - OLD,L10 JUVENILE PURCHASE OPTION - OLD,L10 JUVENILE PURCHASE OPTION - OLD,"JUV PURCH OPTION - L10 LP95, OLD, SR OLD","JUV PURCH OPTION - L10 LP95, OLD, SR OLD",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 LP95,1L1095,1L1095,1L1095,L10,L10 LP95,L10 LP95,L10 - LPU95     POST 1997 LIFE,L10 - LPU95     POST 1997 LIFE,L10 - LPU95     POST 1997 LIFE,L10 - LPU95     POST 1997 LIFE,WHOLE LIFE PAYABLE TO AGE 95 - JR,WHOLE LIFE PAYABLE TO AGE 95 - JR,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 LP95SR,1L10SR,1L10SR,1L10SR,L10,L10 LP95SR,L10 LP95SR,L10 - LPU95   POST 1997  SENIOR LIFE,L10 - LPU95   POST 1997  SENIOR LIFE,L10 - LPU95   POST 1997  SENIOR LIFE,L10 - LPU95   POST 1997  SENIOR LIFE,WHOLE LIFE PAYABLE TO AGE 95 - SR,WHOLE LIFE PAYABLE TO AGE 95 - SR,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 PRE97,L10 PRE97,1L10OD,1L10OD,L10,L10 OLD,L10 OLD,L10 - LPU95       PRE 1997,L10 - LPU95       PRE 1997,L10 - LPU95       PRE 1997,L10 - LPU95       PRE 1997,L10 PRE97 VS L10 OLD,L10 PRE97 VS L10 OLD,Y,Y,N,Y,Y,N,AUTHORITY_ALIGNED
L10 PREUNI,L10 PREUNI,1L10PR,1L10PR,L10 UNI,L10 PREUNI,L10 PREUNI,L10 - LPU95       PRE 1997,L10 - LPU95       PRE 1997,L10 - LPU95       PRE 1997,L10 - LPU95       PRE 1997,L10 PREUNI,L10 PREUNI,Y,Y,N,Y,Y,N,AUTHORITY_ALIGNED
L10 SDT,7SDT10,7SDT10,7SDT10,8141,L10 SDT,L10 SDT,L10 SPOUSE DECREASING TERM,L10 SPOUSE DECREASING TERM,L10 SPOUSE DECREASING TERM,L10 SPOUSE DECREASING TERM,L10 SPOUSE DECR TERM - L10 OLD,L10 SPOUSE DECR TERM - L10 OLD,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 SPSWP,L10 SPSWP,910SWP,910SWP,8139,L10 SPSWP,L10 SPSWP,L10 SPOUSE WP,L10 SPOUSE WP,L10 SPOUSE WP,L10 SPOUSE WP,L10 SPOUSE WP,L10 SPOUSE WP,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
L10 SR OLD,1L10SO,1L10SO,1L10SO,L10,L10 SR OLD,L10 SR OLD,L10 - LPU95  SR.     PRE 1997,L10 - LPU95  SR.     PRE 1997,L10 - LPU95  SR.     PRE 1997,L10 - LPU95  SR.     PRE 1997,WHOLE LIFE PAYABLE TO AGE 95 - SR,WHOLE LIFE PAYABLE TO AGE 95 - SR,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 WP,9WPL10,9WPL10,9WPL10,8139,L10 WP,L10 WP,L10 WAIVER OF PREMIUM   POST 1997,L10 WAIVER OF PREMIUM   POST 1997,L10 WAIVER OF PREMIUM   POST 1997,L10 WAIVER OF PREMIUM   POST 1997,WAIVER OF PREMIUM - L10 LP95,WAIVER OF PREMIUM - L10 LP95,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 WP CDT,9CDTWP,9CDTWP,9CDTWP,8139,L10 WP CDT,L10 WP CDT,L10 CHILD WP,L10 CHILD WP,L10 CHILD WP,L10 CHILD WP,CHILD WAIVER OF PREM -  L10 LP95,CHILD WAIVER OF PREM -  L10 LP95,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 WP OLD,9OLDWP,9OLDWP,9OLDWP,8139,L10 WP OLD,L10 WP OLD,WAIVER OF PREMIUM - L10,WAIVER OF PREMIUM - L10,WAIVER OF PREMIUM - L10,WAIVER OF PREMIUM - L10,WAIVER OF PREMIUM - L10 OLD,WAIVER OF PREMIUM - L10 OLD,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L10 WP SRN,L10 WP SRN,910RWP,910RWP,8139,L10 WP SRN,L10 WP SRN,L10 WAIVER OF PREMIUM   POST 1997,L10 WAIVER OF PREMIUM   POST 1997,L10 WAIVER OF PREMIUM   POST 1997,L10 WAIVER OF PREMIUM   POST 1997,L10 WAIVER OF PREMIUM   POST 1997,L10 WAIVER OF PREMIUM   POST 1997,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
L14,1L14SC,1L14SC,1L14SC,L14,L14,L14,WHOLE LIFE,WHOLE LIFE,WHOLE LIFE,WHOLE LIFE,SECURECHOICE LIFE: GRADED DB WL,SECURECHOICE LIFE: GRADED DB WL,N,N,N,Y,N,N,AUTHORITY_ALIGNED
L15 ADB,9ADB15,9ADB15,9ADB15,L15 INHER,L15 ADB,L15 ADB,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,N,Y,N,N,N,N,AUTHORITY_ALIGNED
L17 1,10L171,10L171,10L171,L17,L17 1,L17 1,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WL - L17,SINGLE PREMIUM WL - L17,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L17 1 JPO,117JPO,117JPO,117JPO,L17,L17 1 JPO,L17 1 JPO,SINGLE PREMIUM WHOLE LIFE,L17 JUVENILE PURCHASE OPTION,L17 JUVENILE PURCHASE OPTION,SINGLE PREMIUM WHOLE LIFE,JUVENILE PURCHASE OPTION - L17,JUVENILE PURCHASE OPTION - L17,N,Y,Y,Y,N,N,AUTHORITY_ALIGNED
L17 2+,10L172,10L172,10L172,L17,L17 2+,L17 2+,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WL - L17,SINGLE PREMIUM WL - L17,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
L17 2+ JPO,17MJPO,17MJPO,17MJPO,L17,L17 2+ JPO,L17 2+ JPO,SINGLE PREMIUM WHOLE LIFE,L17 MULTI JUVENILE PURCHASE OPTION,L17 MULTI JUVENILE PURCHASE OPTION,SINGLE PREMIUM WHOLE LIFE,MULTI JUVENILE PURCHASE OPTION - L17,MULTI JUVENILE PURCHASE OPTION - L17,N,Y,Y,Y,N,N,AUTHORITY_ALIGNED
SAL ADB,9SLADB,9SLADB,9SLADB,SAL ADB,SAL ADB,SAL ADB,SAL ACCIDENTAL DEATH BENEFIT,SAL ACCIDENTAL DEATH BENEFIT,SAL ACCIDENTAL DEATH BENEFIT,SAL ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT - SAL ML,ACCIDENTAL DEATH BENEFIT - SAL ML,N,N,N,Y,N,N,AUTHORITY_ALIGNED
SAL ML,1SALML,1SALML,1SALML,SAL ML,SAL ML,SAL ML,MODIFIED LIFE,MODIFIED LIFE,MODIFIED LIFE,MODIFIED LIFE,STANDARD AMERICAN MODIFIED LIFE,STANDARD AMERICAN MODIFIED LIFE,N,N,N,Y,N,N,AUTHORITY_ALIGNED
SAL MULTPL,1SALMI,1SALMI,1SALMI,SAL ML,SAL MULTPL,SAL MULTPL,MULTIPLE INSUREDS SAL MODIFIED LIFE,MULTIPLE INSUREDS SAL MODIFIED LIFE,MULTIPLE INSUREDS SAL MODIFIED LIFE,MULTIPLE INSUREDS SAL MODIFIED LIFE,MULTIPLE INSUREDS - SAL ML,MULTIPLE INSUREDS - SAL ML,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
SAL OL,1SALOL,1SALOL,1SALOL,,SAL OL,SAL OL,ORDINARY WHOLE LIFE,ORDINARY WHOLE LIFE,ORDINARY WHOLE LIFE,ORDINARY WHOLE LIFE,STANDARD AMERICAN ORDINARY LIFE,STANDARD AMERICAN ORDINARY LIFE,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
WP 646,WP 646,9WP646,9WP646,0823,WP 646,WP 646,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
