qla,lp,phase,plan,mode,units,ann,mode_prem,current,proposed,delta,ann_blank,reconstruct
010757840C,9010757840,1,1659C2,12,25.0,0.0,355.25,355.25,14.21,-341.04,True,355.25
010764369C,9010764369,1,1659C2,12,30.0,0.0,350.2,350.2,11.673333,-338.526667,True,350.2
010784250C,9010784250,1,1659CR,12,3.48013,0.0,471.38,471.38,135.448963,-335.931037,True,471.38
010752477C,9010752477,1,1659C2,3,50.0,0.0,340.2,340.2,6.804,-333.396,True,340.2
010748404C,9010748404,1,1659CR,12,10.0,0.0,369.7,369.7,36.97,-332.73,True,369.7
010769176C,9010769176,1,1659CR,12,10.0,0.0,369.7,369.7,36.97,-332.73,True,369.7
010840776C,9010840776,1,1659CR,12,10.0,0.0,369.7,369.7,36.97,-332.73,True,369.7
011039701C,9011039701,1,1659CR,12,10.0,0.0,369.7,369.7,36.97,-332.73,True,369.7
011059456C,9011059456,1,1659CR,12,5.0,0.0,413.7,413.7,82.74,-330.96,True,413.7
010813164C,9010813164,1,1659C2,12,50.0,0.0,337.0,337.0,6.74,-330.26,True,337.0
010822990C,9010822990,1,1659C2,12,50.0,0.0,337.0,337.0,6.74,-330.26,True,337.0
010769232C,9010769232,1,1659C2,12,25.0,0.0,343.25,343.25,13.73,-329.52,True,343.25
010771832C,9010771832,1,1659C2,12,25.0,0.0,343.25,343.25,13.73,-329.52,True,343.25
010783101C,9010783101,1,1659C2,12,25.0,0.0,343.25,343.25,13.73,-329.52,True,343.25
010827014C,9010827014,1,1659C2,12,25.0,0.0,343.25,343.25,13.73,-329.52,True,343.25
010745751C,9010745751,1,1659C2,12,35.0,0.0,335.45,335.45,9.584286,-325.865714,True,335.45
010764121C,9010764121,1,1659CR,12,8.0,0.0,367.64,367.64,45.955,-321.685,True,367.64
010737378C,9010737378,1,1659C2,12,50.0,0.0,325.5,325.5,6.51,-318.99,True,325.5
010738936C,9010738936,1,1659C2,12,25.0,0.0,329.25,329.25,13.17,-316.08,True,329.25
010747241C,9010747241,1,1659CR,12,10.0,0.0,351.2,351.2,35.12,-316.08,True,351.2
010756916C,9010756916,1,1659C2,12,25.0,0.0,329.25,329.25,13.17,-316.08,True,329.25
010803044C,9010803044,1,1659C2,12,25.0,0.0,329.25,329.25,13.17,-316.08,True,329.25
010821435C,9010821435,1,1659CR,12,10.0,0.0,351.2,351.2,35.12,-316.08,True,351.2
010840779C,9010840779,1,1659CR,12,10.0,0.0,351.2,351.2,35.12,-316.08,True,351.2
010842284C,9010842284,1,1659C2,12,25.0,0.0,329.25,329.25,13.17,-316.08,True,329.25
010848085C,9010848085,1,1659CR,12,10.0,0.0,351.2,351.2,35.12,-316.08,True,351.2
010857727C,9010857727,1,1659C2,12,25.0,0.0,329.25,329.25,13.17,-316.08,True,329.25
010864474C,9010864474,1,1659CR,12,10.0,0.0,351.2,351.2,35.12,-316.08,True,351.2
011045850C,9011045850,1,1659C2,12,25.0,0.0,329.25,329.25,13.17,-316.08,True,329.25
010785777C,9010785777,1,1659CR,12,9.0,0.0,352.51,352.51,39.167778,-313.342222,True,352.51
011078437C,9011078437,1,1659CR,12,5.0,0.0,389.0,389.0,77.8,-311.2,True,389.0
011086978C,9011086978,1,1659CR,12,5.0,0.0,389.0,389.0,77.8,-311.2,True,389.0
010777788C,9010777788,1,1659CR,12,7.4,0.0,359.33,359.33,48.558108,-310.771892,True,359.33
010784529C,9010784529,1,1659CR,12,12.0,0.0,338.8,338.8,28.233333,-310.566667,True,338.8
010717034C,9010717034,1,1659C2,12,30.0,0.0,320.2,320.2,10.673333,-309.526667,True,320.2
010840477C,9010840477,1,1659C2,12,30.0,0.0,320.2,320.2,10.673333,-309.526667,True,320.2
010735585C,9010735585,1,1659C2,12,25.0,0.0,321.5,321.5,12.86,-308.64,True,321.5
010749463C,9010749463,1,1659C2,12,25.0,0.0,321.5,321.5,12.86,-308.64,True,321.5
010756909C,9010756909,1,1659C2,12,25.0,0.0,321.5,321.5,12.86,-308.64,True,321.5
010766898C,9010766898,1,1659C2,12,25.0,0.0,321.5,321.5,12.86,-308.64,True,321.5
010767222C,9010767222,1,1659C2,12,25.0,0.0,321.5,321.5,12.86,-308.64,True,321.5
010783867C,9010783867,1,1659C2,12,25.0,0.0,321.5,321.5,12.86,-308.64,True,321.5
010804327C,9010804327,1,1659C2,12,25.0,0.0,321.5,321.5,12.86,-308.64,True,321.5
010811385C,9010811385,1,1659C2,12,25.0,0.0,321.5,321.5,12.86,-308.64,True,321.5
010824975C,9010824975,1,1659C2,12,25.0,0.0,321.5,321.5,12.86,-308.64,True,321.5
010815946C,9010815946,1,1659C2,12,50.0,0.0,314.5,314.5,6.29,-308.21,True,314.5
010811306C,9010811306,1,1659CR,12,7.0,0.0,358.48,358.48,51.211429,-307.268571,True,358.48
010867962C,9010867962,1,1659C2,6,25.0,0.0,319.59,319.59,12.7836,-306.8064,True,319.59
010860628C,9010860628,1,1659CR,12,13.0,0.0,329.46,329.46,25.343077,-304.116923,True,329.46
010761885C,9010761885,1,1659C2,12,25.0,0.0,314.75,314.75,12.59,-302.16,True,314.75
010794099C,9010794099,1,1659C2,12,25.0,0.0,314.75,314.75,12.59,-302.16,True,314.75
010804616C,9010804616,1,1659C2,12,25.0,0.0,314.75,314.75,12.59,-302.16,True,314.75
010819603C,9010819603,1,1659C2,12,25.0,0.0,314.75,314.75,12.59,-302.16,True,314.75
010791466C,9010791466,1,1659CR,12,6.3,0.0,358.33,358.33,56.877778,-301.452222,True,358.33
010760160C,9010760160,1,1659C2,12,60.0,0.0,305.8,305.8,5.096667,-300.703333,True,305.8
010766910C,9010766910,1,1659CR,12,10.0,0.0,333.7,333.7,33.37,-300.33,True,333.7
010817500C,9010817500,1,1659CR,12,10.0,0.0,333.7,333.7,33.37,-300.33,True,333.7
010859462C,9010859462,1,1659CR,12,10.0,0.0,333.7,333.7,33.37,-300.33,True,333.7
010942239C,9010942239,1,1659CR,12,10.0,0.0,333.7,333.7,33.37,-300.33,True,333.7
011045619C,9011045619,1,1659CR,12,10.0,0.0,333.7,333.7,33.37,-300.33,True,333.7
011083619C,9011083619,1,1659CR,12,10.0,0.0,333.7,333.7,33.37,-300.33,True,333.7
010781368C,9010781368,1,1659C2,12,50.0,0.0,304.0,304.0,6.08,-297.92,True,304.0
010789213C,9010789213,1,1659C2,12,50.0,0.0,304.0,304.0,6.08,-297.92,True,304.0
011024164C,9011024164,1,1659C2,12,50.0,0.0,304.0,304.0,6.08,-297.92,True,304.0
010952069C,9010952069,1,1659CR,12,5.712,0.0,360.01,360.01,63.026961,-296.983039,True,360.01
010845548C,9010845548,1,1658C1,12,25.0,0.0,307.75,307.75,12.31,-295.44,True,307.75
010963046C,9010963046,1,1659CR,12,5.0,0.0,368.2,368.2,73.64,-294.56,True,368.2
010765320C,9010765320,1,1659C2,12,25.0,0.0,305.25,305.25,12.21,-293.04,True,305.25
010792607C,9010792607,1,1659C2,12,25.0,0.0,305.25,305.25,12.21,-293.04,True,305.25
010802911C,9010802911,1,1659C2,12,25.0,0.0,305.25,305.25,12.21,-293.04,True,305.25
010851278C,9010851278,1,1659C2,12,25.0,0.0,305.25,305.25,12.21,-293.04,True,305.25
010778913C,9010778913,1,1659CR,12,8.0,0.0,332.52,332.52,41.565,-290.955,True,332.52
010735611C,9010735611,1,1659C2,12,30.0,0.0,300.7,300.7,10.023333,-290.676667,True,300.7
010776450C,9010776450,1,1659C2,12,25.0,0.0,298.75,298.75,11.95,-286.8,True,298.75
010789546C,9010789546,1,1659C2,12,25.0,0.0,298.75,298.75,11.95,-286.8,True,298.75
010795564C,9010795564,1,1659C2,12,25.0,0.0,298.75,298.75,11.95,-286.8,True,298.75
010815681C,9010815681,1,1659C2,12,25.0,0.0,298.75,298.75,11.95,-286.8,True,298.75
010770062C,9010770062,1,1659CR,12,10.0,0.0,317.1,317.1,31.71,-285.39,True,317.1
010780411C,9010780411,1,1659CR,12,10.0,0.0,317.1,317.1,31.71,-285.39,True,317.1
010784379C,9010784379,1,1659CR,12,10.0,0.0,317.1,317.1,31.71,-285.39,True,317.1
010816070C,9010816070,1,1659CR,12,10.0,0.0,317.1,317.1,31.71,-285.39,True,317.1
010873154C,9010873154,1,1659CR,12,10.0,0.0,317.1,317.1,31.71,-285.39,True,317.1
010897521C,9010897521,1,1659CR,12,10.0,0.0,317.1,317.1,31.71,-285.39,True,317.1
010989073C,9010989073,1,1659CR,12,10.0,0.0,317.1,317.1,31.71,-285.39,True,317.1
010759541C,9010759541,1,1659C2,12,25.0,0.0,296.0,296.0,11.84,-284.16,True,296.0
010783278C,9010783278,1,1659C2,12,25.0,0.0,296.0,296.0,11.84,-284.16,True,296.0
010811517C,9010811517,1,1659C2,12,25.0,0.0,296.0,296.0,11.84,-284.16,True,296.0
010851579C,9010851579,1,1659C2,12,25.0,0.0,296.0,296.0,11.84,-284.16,True,296.0
011059175C,9011059175,1,1659C2,12,25.0,0.0,296.0,296.0,11.84,-284.16,True,296.0
010821385C,9010821385,1,1659CR,12,9.0,0.0,318.58,318.58,35.397778,-283.182222,True,318.58
010799173C,9010799173,1,1659CR,12,9.4,0.0,315.18,315.18,33.529787,-281.650213,True,315.18
010770865C,9010770865,1,1659CR,12,12.0,0.0,306.04,306.04,25.503333,-280.536667,True,306.04
010946649C,9010946649,1,1659SR,12,12.0,0.0,306.04,306.04,25.503333,-280.536667,True,306.04
010749843C,9010749843,1,1659C2,12,25.0,0.0,287.25,287.25,11.49,-275.76,True,287.25
010778653C,9010778653,1,1659C2,12,25.0,0.0,287.25,287.25,11.49,-275.76,True,287.25
010814167C,9010814167,1,1659C2,12,25.0,0.0,287.25,287.25,11.49,-275.76,True,287.25
010842863C,9010842863,1,1659C2,12,25.0,0.0,287.25,287.25,11.49,-275.76,True,287.25
010889439C,9010889439,1,1659C2,6,50.0,0.0,278.26,278.26,5.5652,-272.6948,True,278.26
010813286C,9010813286,1,1659CR,12,6.0,0.0,326.32,326.32,54.386667,-271.933333,True,326.32
011035773C,9011035773,1,1659CR,12,6.0,0.0,326.32,326.32,54.386667,-271.933333,True,326.32
010886805C,9010886805,1,1659CR,12,7.5,0.0,313.3,313.3,41.773333,-271.526667,True,313.3
010823095C,9010823095,1,1659CR,12,10.0,0.0,301.4,301.4,30.14,-271.26,True,301.4
010833639C,9010833639,1,1659CR,12,10.0,0.0,301.4,301.4,30.14,-271.26,True,301.4
010945534C,9010945534,1,1659CR,12,10.0,0.0,301.4,301.4,30.14,-271.26,True,301.4
010786240C,9010786240,1,1659CR,12,10.5,0.0,299.58,299.58,28.531429,-271.048571,True,299.58
010792997C,9010792997,1,1659CR,12,11.5,0.0,294.33,294.33,25.593913,-268.736087,True,294.33
010766554C,9010766554,1,1659C2,12,25.0,0.0,279.25,279.25,11.17,-268.08,True,279.25
010783102C,9010783102,1,1659C2,12,25.0,0.0,279.25,279.25,11.17,-268.08,True,279.25
010787513C,9010787513,1,1659C2,12,25.0,0.0,279.25,279.25,11.17,-268.08,True,279.25
010926357C,9010926357,1,1659C2,12,25.0,0.0,279.25,279.25,11.17,-268.08,True,279.25
011077798C,9011077798,1,1659CR,12,5.0,0.0,334.25,334.25,66.85,-267.4,True,334.25
010777793C,9010777793,1,1659CR,12,7.0,0.0,309.06,309.06,44.151429,-264.908571,True,309.06
010842315C,9010842315,1,1659CR,12,7.0,0.0,309.06,309.06,44.151429,-264.908571,True,309.06
010784922C,9010784922,1,1659CR,12,6.1,0.0,315.6,315.6,51.737705,-263.862295,True,315.6
010797922C,9010797922,1,1659CR,12,8.0,0.0,300.76,300.76,37.595,-263.165,True,300.76
010827590C,9010827590,1,1659SR,12,8.0,0.0,300.76,300.76,37.595,-263.165,True,300.76
010731608C,9010731608,1,1659C2,12,25.0,0.0,271.0,271.0,10.84,-260.16,True,271.0
010746846C,9010746846,1,1659C2,12,25.0,0.0,271.0,271.0,10.84,-260.16,True,271.0
010767768C,9010767768,1,1659C2,12,25.0,0.0,271.0,271.0,10.84,-260.16,True,271.0
010776442C,9010776442,1,1659C2,12,25.0,0.0,271.0,271.0,10.84,-260.16,True,271.0
010833991C,9010833991,1,1659C2,12,25.0,0.0,271.0,271.0,10.84,-260.16,True,271.0
010795612C,9010795612,1,1659CR,12,10.6,0.0,287.24,287.24,27.098113,-260.141887,True,287.24
010823601C,9010823601,1,1659CR,6,20.0,0.0,272.9,272.9,13.645,-259.255,True,272.9
010781117C,9010781117,1,1659CR,12,7.5,0.0,297.93,297.93,39.724,-258.206,True,297.93
010831097C,9010831097,1,1659CR,12,11.0,0.0,282.62,282.62,25.692727,-256.927273,True,282.62
010794518C,9010794518,1,1659CR,12,5.0,0.0,318.25,318.25,63.65,-254.6,True,318.25
010798462C,9010798462,1,1659CR,12,5.0,0.0,318.25,318.25,63.65,-254.6,True,318.25
010826532C,9010826532,1,1659CR,12,5.0,0.0,318.25,318.25,63.65,-254.6,True,318.25
011086979C,9011086979,1,1659CR,12,5.0,0.0,318.25,318.25,63.65,-254.6,True,318.25
010716973C,9010716973,1,1659C2,12,25.0,0.0,263.0,263.0,10.52,-252.48,True,263.0
010749842C,9010749842,1,1659C2,12,25.0,0.0,263.0,263.0,10.52,-252.48,True,263.0
010814389C,9010814389,1,1659C2,12,25.0,0.0,263.0,263.0,10.52,-252.48,True,263.0
010769711C,9010769711,1,1659C2,3,100.0,0.0,254.88,254.88,2.5488,-252.3312,True,254.88
010805039C,9010805039,1,1659CR,12,7.0,0.0,294.08,294.08,42.011429,-252.068571,True,294.08
010796908C,9010796908,1,1659C2,12,25.0,0.0,260.75,260.75,10.43,-250.32,True,260.75
010803025C,9010803025,1,1659C2,12,25.0,0.0,260.75,260.75,10.43,-250.32,True,260.75
010726104C,9010726104,1,1658C1,3,100.0,0.0,252.45,252.45,2.5245,-249.9255,True,252.45
010782592C,9010782592,1,1659CR,12,6.9,0.0,290.24,290.24,42.063768,-248.176232,True,290.24
010875937C,9010875937,1,1658C1,12,70.0,0.0,249.0,249.0,3.557143,-245.442857,True,249.0
010940594C,9010940594,1,1659CR,12,5.476,0.0,300.0,300.0,54.784514,-245.215486,True,300.0
010771070C,9010771070,1,1659CR,12,10.0,0.0,272.4,272.4,27.24,-245.16,True,272.4
010780791C,9010780791,1,1659CR,12,10.0,0.0,272.4,272.4,27.24,-245.16,True,272.4
010866751C,9010866751,1,1659CR,12,10.0,0.0,272.4,272.4,27.24,-245.16,True,272.4
011086814C,9011086814,1,1659CR,12,10.0,0.0,272.4,272.4,27.24,-245.16,True,272.4
010786316C,9010786316,1,1659C2,12,25.0,0.0,254.75,254.75,10.19,-244.56,True,254.75
010813196C,9010813196,1,1659C2,12,25.0,0.0,254.75,254.75,10.19,-244.56,True,254.75
010814362C,9010814362,1,1659C2,12,25.0,0.0,254.75,254.75,10.19,-244.56,True,254.75
010822098C,9010822098,1,1659C2,12,25.0,0.0,254.75,254.75,10.19,-244.56,True,254.75
010803682C,9010803682,1,1659CR,12,5.0,0.0,303.6,303.6,60.72,-242.88,True,303.6
010822330C,9010822330,1,1659CR,12,5.0,0.0,303.6,303.6,60.72,-242.88,True,303.6
010909767C,9010909767,1,1659CR,12,5.0,0.0,303.6,303.6,60.72,-242.88,True,303.6
011053214C,9011053214,1,1659CR,12,5.0,0.0,303.6,303.6,60.72,-242.88,True,303.6
011086709C,9011086709,1,1659CR,12,5.0,0.0,303.6,303.6,60.72,-242.88,True,303.6
010789992C,9010789992,1,1659C2,12,25.0,0.0,252.25,252.25,10.09,-242.16,True,252.25
010803673C,9010803673,1,1659C2,12,25.0,0.0,252.25,252.25,10.09,-242.16,True,252.25
010765318C,9010765318,1,1659C2,12,40.0,0.0,248.2,248.2,6.205,-241.995,True,248.2
010804617C,9010804617,1,1659C2,6,25.0,0.0,251.87,251.87,10.0748,-241.7952,True,251.87
010851580C,9010851580,1,1659C2,12,50.0,0.0,244.5,244.5,4.89,-239.61,True,244.5
010716974C,9010716974,1,1659C2,12,25.0,0.0,246.75,246.75,9.87,-236.88,True,246.75
010719815C,9010719815,1,1659C2,12,25.0,0.0,246.75,246.75,9.87,-236.88,True,246.75
010732280C,9010732280,1,1659C2,12,25.0,0.0,246.75,246.75,9.87,-236.88,True,246.75
010774490C,9010774490,1,1659C2,12,25.0,0.0,246.75,246.75,9.87,-236.88,True,246.75
010807946C,9010807946,1,1659C2,12,25.0,0.0,246.75,246.75,9.87,-236.88,True,246.75
010824709C,9010824709,1,1659C2,12,25.0,0.0,246.75,246.75,9.87,-236.88,True,246.75
010760865C,9010760865,1,1659CR,12,6.0,0.0,281.98,281.98,46.996667,-234.983333,True,281.98
010775323C,9010775323,1,1659CR,12,6.0,0.0,281.98,281.98,46.996667,-234.983333,True,281.98
010946394C,9010946394,1,1659CR,12,6.0,0.0,281.98,281.98,46.996667,-234.983333,True,281.98
010773856C,9010773856,1,1659CR,12,5.5,0.0,287.02,287.02,52.185455,-234.834545,True,287.02
010743638C,9010743638,1,1659CR,12,7.5,0.0,269.65,269.65,35.953333,-233.696667,True,269.65
010773107C,9010773107,1,1659CR,12,10.0,0.0,259.2,259.2,25.92,-233.28,True,259.2
010901787C,9010901787,1,1659CR,12,10.0,0.0,259.2,259.2,25.92,-233.28,True,259.2
010768997C,9010768997,1,1659CR,12,5.0,0.0,289.55,289.55,57.91,-231.64,True,289.55
010881974C,9010881974,1,1659CR,12,5.0,0.0,289.55,289.55,57.91,-231.64,True,289.55
010900620C,9010900620,1,1659CR,12,5.0,0.0,289.55,289.55,57.91,-231.64,True,289.55
010970211C,9010970211,1,1659CR,12,5.0,0.0,289.55,289.55,57.91,-231.64,True,289.55
011077201C,9011077201,1,1659CR,12,5.0,0.0,289.55,289.55,57.91,-231.64,True,289.55
011090807C,9011090807,1,1659CR,12,5.0,0.0,289.55,289.55,57.91,-231.64,True,289.55
010764120C,9010764120,1,1659CR,12,9.0,0.0,260.35,260.35,28.927778,-231.422222,True,260.35
010764374C,9010764374,1,1659CR,12,9.0,0.0,260.35,260.35,28.927778,-231.422222,True,260.35
010752580C,9010752580,1,1659C2,12,25.0,0.0,238.5,238.5,9.54,-228.96,True,238.5
010775418C,9010775418,1,1659C2,12,25.0,0.0,238.5,238.5,9.54,-228.96,True,238.5
010798029C,9010798029,1,1659C2,12,25.0,0.0,238.5,238.5,9.54,-228.96,True,238.5
010842285C,9010842285,1,1659C2,12,25.0,0.0,238.5,238.5,9.54,-228.96,True,238.5
010893950C,9010893950,1,1659CR,12,7.0,0.0,266.29,266.29,38.041429,-228.248571,True,266.29
011053076C,9011053076,1,1659C2,12,50.0,0.0,232.0,232.0,4.64,-227.36,True,232.0
010758549C,9010758549,1,1659CR,12,6.0,0.0,268.48,268.48,44.746667,-223.733333,True,268.48
010846679C,9010846679,1,1659CR,12,6.0,0.0,268.48,268.48,44.746667,-223.733333,True,268.48
010990148C,9010990148,1,1659CR,12,6.0,0.0,268.48,268.48,44.746667,-223.733333,True,268.48
010803051C,9010803051,1,1659CR,6,7.5,0.0,256.66,256.66,34.221333,-222.438667,True,256.66
010764385C,9010764385,1,1659CR,12,7.5,0.0,256.53,256.53,34.204,-222.326,True,256.53
010749038C,9010749038,1,1659C2,12,50.0,0.0,226.5,226.5,4.53,-221.97,True,226.5
010773573C,9010773573,1,1659C2,12,50.0,0.0,226.5,226.5,4.53,-221.97,True,226.5
010796707C,9010796707,1,1659CR,12,10.0,0.0,246.6,246.6,24.66,-221.94,True,246.6
010807844C,9010807844,1,1659CR,12,10.0,0.0,246.6,246.6,24.66,-221.94,True,246.6
010732281C,9010732281,1,1659C2,12,25.0,0.0,230.5,230.5,9.22,-221.28,True,230.5
010746844C,9010746844,1,1659C2,12,25.0,0.0,230.5,230.5,9.22,-221.28,True,230.5
010794731C,9010794731,1,1659C2,12,25.0,0.0,230.5,230.5,9.22,-221.28,True,230.5
010814115C,9010814115,1,1659C2,12,25.0,0.0,230.5,230.5,9.22,-221.28,True,230.5
010778914C,9010778914,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
010791462C,9010791462,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
010792037C,9010792037,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
010839234C,9010839234,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
010845094C,9010845094,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
010916260C,9010916260,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
010919431C,9010919431,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
010986137C,9010986137,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
010996841C,9010996841,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
011077629C,9011077629,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
011085737C,9011085737,1,1659CR,12,5.0,0.0,276.1,276.1,55.22,-220.88,True,276.1
010760874C,9010760874,1,1659C2,12,40.0,0.0,225.4,225.4,5.635,-219.765,True,225.4
010845716C,9010845716,1,1658C1,6,50.0,0.0,221.81,221.81,4.4362,-217.3738,True,221.81
011061046C,9011061046,1,1659C2,12,50.0,0.0,221.5,221.5,4.43,-217.07,True,221.5
010743074C,9010743074,1,1659CR,12,8.0,0.0,246.12,246.12,30.765,-215.355,True,246.12
011042637C,9011042637,1,1659CR,12,4.0,0.0,285.84,285.84,71.46,-214.38,True,285.84
011067789C,9011067789,1,1659CR,12,4.0,0.0,285.84,285.84,71.46,-214.38,True,285.84
011051851C,9011051851,1,1659CR,6,10.0,0.0,237.98,237.98,23.798,-214.182,True,237.98
010732278C,9010732278,1,1659C2,12,25.0,0.0,222.25,222.25,8.89,-213.36,True,222.25
010873140C,9010873140,1,1659C2,12,25.0,0.0,222.25,222.25,8.89,-213.36,True,222.25
010795565C,9010795565,1,1659C2,12,40.0,0.0,218.6,218.6,5.465,-213.135,True,218.6
010836252C,9010836252,1,1659C2,12,50.0,0.0,217.0,217.0,4.34,-212.66,True,217.0
010873725C,9010873725,1,1659C2,12,50.0,0.0,217.0,217.0,4.34,-212.66,True,217.0
010877715C,9010877715,1,1659C2,12,50.0,0.0,217.0,217.0,4.34,-212.66,True,217.0
011054606C,9011054606,1,1659C2,12,50.0,0.0,217.0,217.0,4.34,-212.66,True,217.0
011080481C,9011080481,1,1659C2,12,50.0,0.0,217.0,217.0,4.34,-212.66,True,217.0
010757071C,9010757071,1,1659C2,12,30.0,0.0,219.4,219.4,7.313333,-212.086667,True,219.4
010784045C,9010784045,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
010792038C,9010792038,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
010817930C,9010817930,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
010832681C,9010832681,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
010841424C,9010841424,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
010905677C,9010905677,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
010981739C,9010981739,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
011002095C,9011002095,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
011014276C,9011014276,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
011041480C,9011041480,1,1659CR,12,5.0,0.0,263.2,263.2,52.64,-210.56,True,263.2
010736035C,9010736035,1,1659C2,1,125.0,0.0,211.49,211.49,1.69192,-209.79808,True,211.49
010889177C,9010889177,1,1659C2,6,25.0,0.0,215.91,215.91,8.6364,-207.2736,True,215.91
010830309C,9010830309,1,1659C2,12,25.0,0.0,215.5,215.5,8.62,-206.88,True,215.5
010755152C,9010755152,1,1659CR,12,7.0,0.0,241.09,241.09,34.441429,-206.648571,True,241.09
010825438C,9010825438,1,1659CR,12,7.0,0.0,241.09,241.09,34.441429,-206.648571,True,241.09
010839714C,9010839714,1,1659CR,12,7.0,0.0,241.09,241.09,34.441429,-206.648571,True,241.09
010760295C,9010760295,1,1659C2,12,25.0,0.0,214.25,214.25,8.57,-205.68,True,214.25
010787952C,9010787952,1,1659C2,12,25.0,0.0,214.25,214.25,8.57,-205.68,True,214.25
010844607C,9010844607,1,1659C2,12,50.0,0.0,209.5,209.5,4.19,-205.31,True,209.5
011107971C,9011107971,1,1659C2,12,25.0,0.0,212.75,212.75,8.51,-204.24,True,212.75
010819774C,9010819774,1,1659C2,6,25.0,0.0,210.53,210.53,8.4212,-202.1088,True,210.53
010971482C,9010971482,1,1658C1,12,30.0,0.0,208.6,208.6,6.953333,-201.646667,True,208.6
010776814C,9010776814,1,1659CR,12,5.0,0.0,250.9,250.9,50.18,-200.72,True,250.9
010802494C,9010802494,1,1659CR,12,5.0,0.0,250.9,250.9,50.18,-200.72,True,250.9
010784372C,9010784372,1,1659CR,12,8.6,0.0,226.41,226.41,26.326744,-200.083256,True,226.41
010787668C,9010787668,1,1659C2,12,50.0,0.0,204.0,204.0,4.08,-199.92,True,204.0
010776900C,9010776900,1,1659C2,12,25.0,0.0,206.75,206.75,8.27,-198.48,True,206.75
010791789C,9010791789,1,1659C2,12,25.0,0.0,206.75,206.75,8.27,-198.48,True,206.75
010793830C,9010793830,1,1659C2,12,25.0,0.0,206.75,206.75,8.27,-198.48,True,206.75
010773682C,9010773682,1,1659C2,12,39.0,0.0,201.67,201.67,5.171026,-196.498974,True,201.67
010842857C,9010842857,1,1659C2,12,50.0,0.0,200.5,200.5,4.01,-196.49,True,200.5
010955783C,9010955783,1,1659C2,12,50.0,0.0,200.5,200.5,4.01,-196.49,True,200.5
010816326C,9010816326,1,1659CR,12,6.6,0.0,228.74,228.74,34.657576,-194.082424,True,228.74
011051108C,9011051108,1,1659CR,6,10.0,0.0,214.94,214.94,21.494,-193.446,True,214.94
010780003C,9010780003,1,1659CR,12,6.0,0.0,231.82,231.82,38.636667,-193.183333,True,231.82
010799487C,9010799487,1,1659C2,12,30.0,0.0,198.7,198.7,6.623333,-192.076667,True,198.7
010762079C,9010762079,1,1659C2,12,25.0,0.0,199.75,199.75,7.99,-191.76,True,199.75
010762319C,9010762319,1,1659C2,12,25.0,0.0,199.75,199.75,7.99,-191.76,True,199.75
010783502C,9010783502,1,1659CR,12,5.0,0.0,239.15,239.15,47.83,-191.32,True,239.15
010804488C,9010804488,1,1659CR,12,5.0,0.0,239.15,239.15,47.83,-191.32,True,239.15
010809930C,9010809930,1,1659CR,12,5.0,0.0,239.15,239.15,47.83,-191.32,True,239.15
010816991C,9010816991,1,1659CR,12,5.0,0.0,239.15,239.15,47.83,-191.32,True,239.15
010817091C,9010817091,1,1659CR,12,5.0,0.0,239.15,239.15,47.83,-191.32,True,239.15
010997600C,9010997600,1,1659CR,12,5.0,0.0,239.15,239.15,47.83,-191.32,True,239.15
010992127C,9010992127,1,1659C2,12,25.0,0.0,197.75,197.75,7.91,-189.84,True,197.75
010817836C,9010817836,1,1658C1,12,30.0,0.0,196.0,196.0,6.533333,-189.466667,True,196.0
010803776C,9010803776,1,1659C2,12,25.0,0.0,196.75,196.75,7.87,-188.88,True,196.75
010758550C,9010758550,1,1659CR,12,7.0,0.0,218.48,218.48,31.211429,-187.268571,True,218.48
010764818C,9010764818,1,1659C2,12,25.0,0.0,193.25,193.25,7.73,-185.52,True,193.25
010792961C,9010792961,1,1659C2,12,25.0,0.0,193.25,193.25,7.73,-185.52,True,193.25
010804850C,9010804850,1,1659CR,12,3.68483,0.0,250.9,250.9,68.08998,-182.81002,True,250.9
