policy_number,beneficiary_sequence,beneficiary_count,beneficiary_codes_present,trust_present_flag,business_present_flag,percent_allocation_available_flag,duplicate_sequence_flag
9010518051,0,3,B1,N,N,N,Y
9010518545,0,2,B1,N,Y,Y,Y
9010520217,0,3,B1|B2,N,N,N,Y
9010520451,0,2,B1|B2,N,N,N,Y
9010521160,0,2,B1|B2,N,Y,N,Y
9010521213,0,6,B1,N,N,N,Y
9010521651,0,6,B1|B2,N,N,Y,Y
9010521756,0,2,B1|B2,N,N,N,Y
9010523058,0,2,B1,N,N,Y,Y
9010523097,0,2,B1|B2,N,N,N,Y
9010524029,0,1,B1,N,N,Y,N
9010524282,0,2,B1|B2,N,N,N,Y
9010525250,0,4,B1|B2,N,N,Y,Y
9010526232,0,2,B1|B2,N,N,N,Y
9010526522,0,5,B1|B2,N,N,N,Y
9010526524,0,1,B1,N,Y,Y,N
9010526526,0,2,B1,N,N,N,Y
9010527102,0,6,B1|B2,N,N,Y,Y
9010527103,0,3,B1,N,N,Y,Y
9010527336,0,2,B1|B2,N,N,N,Y
9010529613,0,2,B1,N,N,N,Y
9010529993,0,3,B1|B2,N,N,N,Y
9010530033,0,3,B1|B2,N,N,N,Y
9010532612,0,3,B1|B2,N,N,N,Y
9010542288,0,2,B1|B2,N,N,N,Y
9010544182,0,2,B1,N,Y,N,Y
9010544183,0,2,B1|B2,N,N,N,Y
9010545196,0,1,B1,N,N,Y,N
9010547892,0,6,B1|B2,N,N,Y,Y
9010548366,0,1,B1,N,N,Y,N
9010549966,0,1,B1,N,N,Y,N
9010550564,0,1,B1,N,N,Y,N
9010555054,0,2,B1|B2,N,N,N,Y
9010556634,0,1,B1,N,N,Y,N
9010556736,0,5,B1,N,N,N,Y
9010557142,0,2,B1|B2,N,Y,N,Y
9010560185,0,2,B1|B2,N,N,N,Y
9010567983,0,2,B1|B2,N,N,N,Y
9010578820,0,12,B1|B2,N,N,Y,Y
9010580464,0,2,B1|B2,N,N,N,Y
9010586005,0,2,B1|B2,N,N,N,Y
9010590419,0,2,B1|B2,N,N,N,Y
9010607249,0,3,B1,N,N,N,Y
9010615191,0,3,B1|B2,N,N,N,Y
9010615192,0,3,B1|B2,N,N,N,Y
9010713704,0,2,B1|B2,N,Y,N,Y
9010713705,0,2,B1|B2,N,Y,N,Y
9010713707,0,3,B1|B2,N,N,N,Y
9010715467,0,2,B1,N,N,N,Y
9010716973,0,2,B1|B2,N,N,N,Y
9010716974,0,2,B1|B2,N,N,N,Y
9010717447,0,6,B1|B2,N,N,N,Y
9010718276,0,1,B1,N,N,Y,N
9010718277,0,2,B1|B2,N,N,N,Y
9010718278,0,1,B1,N,N,Y,N
9010718495,0,1,B1,N,N,Y,N
9010720759,0,1,B1,N,Y,Y,N
9010722345,0,2,B1|B2,N,N,N,Y
9010722516,0,2,B1|B2,N,N,N,Y
9010723387,0,2,B1|B2,N,N,N,Y
9010724403,0,1,B1,N,N,Y,N
9010724510,0,1,B1,N,N,Y,N
9010726104,0,1,B1,N,N,Y,N
9010726922,0,4,B1|B2,N,N,N,Y
9010730145,0,2,B1,N,N,N,Y
9010731277,0,3,B1|B2,N,N,N,Y
9010731278,0,3,B1|B2,N,N,N,Y
9010731296,0,1,B1,N,N,Y,N
9010731970,0,2,B1,N,N,Y,Y
9010732270,0,8,B1|B2,N,N,Y,Y
9010732276,0,8,B1|B2,N,N,Y,Y
9010732278,0,2,B1,N,Y,Y,Y
9010732280,0,2,B1,N,Y,Y,Y
9010732281,0,4,B1,N,N,Y,Y
9010733564,0,2,B1|B2,N,N,N,Y
9010734954,0,2,B1|B2,N,N,N,Y
9010735585,0,2,B1,N,N,N,Y
9010735611,0,2,B1,N,Y,N,Y
9010735781,0,1,B1,N,Y,Y,N
9010735918,0,6,B1|B2,N,N,N,Y
9010736035,0,2,B1,N,N,Y,Y
9010736283,0,1,B1,N,N,Y,N
9010736643,0,4,B1|B2,N,N,N,Y
9010736703,0,6,B1|B2,N,N,Y,Y
9010736738,0,2,B1|B2,N,N,N,Y
9010736935,0,2,B1|B2,N,N,N,Y
9010737378,0,2,B1|B2,N,Y,N,Y
9010737619,0,2,B1|B2,N,N,N,Y
9010738539,0,2,B1|B2,N,N,N,Y
9010739212,0,2,B1|B2,N,Y,N,Y
9010739794,0,3,B1|B2,N,N,N,Y
9010739795,0,4,B1|B2,N,N,N,Y
9010740132,0,2,B1|B2,N,N,N,Y
9010740836,0,1,B1,N,N,Y,N
9010740877,0,1,B1,N,N,Y,N
9010741234,0,3,B1|B2,N,N,N,Y
9010741943,0,2,B1|B2,N,N,N,Y
9010742224,0,2,B1,N,N,N,Y
9010743074,0,4,B1|B2,N,N,N,Y
9010743395,0,2,B1|B2,N,N,N,Y
9010743638,0,2,B1|B2,N,N,N,Y
9010743832,0,2,B1|B2,N,N,N,Y
9010744412,0,4,B1|B2,N,Y,Y,Y
9010744818,0,2,B1|B2,N,N,N,Y
9010745344,0,2,B1,N,N,N,Y
9010745456,0,3,B1|B2,N,N,N,Y
9010745640,0,1,B1,N,Y,Y,N
9010745750,0,1,B1,N,N,Y,N
9010745811,0,2,B1|B2,N,N,N,Y
9010746005,0,4,B1|B2,N,N,N,Y
9010746498,0,3,B1,N,N,N,Y
9010746846,0,2,B1|B2,N,N,N,Y
9010747241,0,4,B1,N,N,N,Y
9010747243,0,3,B1|B2,N,N,N,Y
9010747320,0,5,B1,N,N,N,Y
9010747437,0,2,B1|B2,N,N,N,Y
9010747438,0,2,B1|B2,N,N,N,Y
9010748070,0,1,B1,N,N,Y,N
9010748073,0,2,B1|B2,N,Y,N,Y
9010748253,0,4,B1|B2,N,N,N,Y
9010748300,0,4,B1,N,N,N,Y
9010748334,0,2,B1|B2,N,N,N,Y
9010748335,0,2,B1|B2,N,N,N,Y
9010748404,0,8,B1,N,N,Y,Y
9010748517,0,1,B1,N,N,Y,N
9010749038,0,2,B1|B2,N,N,N,Y
9010749041,0,1,B1,N,Y,Y,N
9010749053,0,1,B1,N,N,Y,N
9010749054,0,1,B1,N,N,Y,N
9010749907,0,1,B1,N,N,Y,N
9010749942,0,2,B1|B2,N,N,N,Y
9010749968,0,3,B1|B2,N,N,N,Y
9010751057,0,1,B1,N,N,Y,N
9010751937,0,2,B1,N,N,N,Y
9010752138,0,2,B1|B2,N,N,N,Y
9010752477,0,3,B1|B2,N,N,N,Y
9010752702,0,3,B1,N,N,N,Y
9010752703,0,1,B1,N,Y,Y,N
9010752831,0,1,B1,N,Y,Y,N
9010753311,0,2,B1,N,N,N,Y
9010753687,0,2,B1,N,Y,N,Y
9010754235,0,3,B1,N,N,N,Y
9010754964,0,10,B1,N,N,Y,Y
9010756020,0,4,B1|B2,N,N,Y,Y
9010756024,0,2,B1,N,Y,Y,Y
9010756033,0,20,B1|B2,N,N,Y,Y
9010756034,0,6,B1,N,N,Y,Y
9010756540,0,2,B1|B2,N,N,N,Y
9010756916,0,3,B1|B2,N,N,N,Y
9010756929,0,2,B1,N,N,Y,Y
9010756931,0,3,B1,N,N,Y,Y
9010756934,0,4,B1|B2,N,N,Y,Y
9010756936,0,3,B1|B2,N,N,N,Y
9010756938,0,2,B1,N,Y,Y,Y
9010756939,0,3,B1|B2,N,N,N,Y
9010756972,0,6,B1|B2,N,N,Y,Y
9010757042,0,2,B1|B2,N,N,N,Y
9010757071,0,2,B1,N,N,N,Y
9010757508,0,6,B1,N,N,Y,Y
9010757536,0,8,B1|B2,N,N,Y,Y
9010757541,0,2,B1,N,N,Y,Y
9010757542,0,10,B1,N,N,Y,Y
9010757551,0,2,B1,N,N,Y,Y
9010757561,0,2,B1|B2,N,N,N,Y
9010757606,0,3,B1|B2,N,N,N,Y
9010757607,0,3,B1|B2,N,N,N,Y
9010757817,0,4,B1,N,N,Y,Y
9010758074,0,2,B1,N,N,Y,Y
9010758520,0,4,B1|B2,N,N,Y,Y
9010758549,0,2,B1,N,N,Y,Y
9010758573,0,2,B1,N,N,Y,Y
9010759357,0,2,B1,N,N,N,Y
9010759550,0,4,B1,N,N,Y,Y
9010759555,0,2,B1,N,N,Y,Y
9010759559,0,6,B2,N,N,Y,Y
9010759932,0,1,B1,N,N,Y,N
9010760294,0,3,B1,N,N,Y,Y
9010760296,0,6,B1|B2,N,N,Y,Y
9010760297,0,2,B1,N,N,Y,Y
9010760298,0,3,B1,N,N,Y,Y
9010760304,0,3,B1,N,N,Y,Y
9010760306,0,6,B1,N,N,Y,Y
9010760840,0,2,B1,N,N,Y,Y
9010760865,0,12,B1,N,Y,Y,Y
9010760872,0,9,B1,N,N,Y,Y
9010760873,0,12,B1,N,N,Y,Y
9010760874,0,15,B1|B2,N,N,Y,Y
9010761554,0,3,B1|B2,N,N,N,Y
9010761673,0,9,B1|B2,N,N,Y,Y
9010761804,0,2,B1,N,N,N,Y
9010761870,0,9,B1|B2,N,N,Y,Y
9010761874,0,3,B1,N,Y,Y,Y
9010761882,0,3,B1,N,N,Y,Y
9010761913,0,1,B1,N,Y,Y,N
9010761943,0,12,B1,N,N,Y,Y
9010762047,0,2,B1|B2,N,N,N,Y
9010762068,0,1,B1,N,Y,Y,N
9010762319,0,2,B1|B2,N,N,N,Y
9010762461,0,2,B1|B2,N,N,N,Y
9010762678,0,1,B1,N,N,Y,N
9010763006,0,4,B1,N,N,N,Y
9010763450,0,1,B1,N,N,Y,N
9010764120,0,3,B1,N,N,Y,Y
9010764121,0,3,B1,N,N,Y,Y
9010764158,0,2,B1|B2,N,N,N,Y
9010764250,0,3,B1|B2,N,N,N,Y
9010764339,0,2,B1,N,N,Y,Y
9010764348,0,3,B1,N,N,N,Y
9010764368,0,10,B1|B2,N,N,Y,Y
9010764369,0,10,B1|B2,N,N,Y,Y
9010764374,0,6,B1,N,N,Y,Y
9010764376,0,2,B1,N,N,Y,Y
9010764385,0,12,B1,N,N,Y,Y
9010764400,0,3,B1,N,N,Y,Y
9010764684,0,2,B1|B2,N,N,N,Y
9010764810,0,4,B1|B2,N,Y,Y,Y
9010764812,0,10,B1,N,N,Y,Y
9010764818,0,8,B1|B2,N,N,Y,Y
9010764834,0,4,B1,N,N,Y,Y
9010764837,0,4,B1,N,N,Y,Y
9010764842,0,2,B1,N,N,Y,Y
9010765337,0,12,B1,N,N,Y,Y
9010765949,0,3,B1|B2,N,N,N,Y
9010766527,0,7,B1,N,N,N,Y
9010766554,0,2,B1|B2,N,N,N,Y
9010766898,0,4,B1|B2,N,N,Y,Y
9010766910,0,12,B1,N,N,Y,Y
9010767172,0,2,B1|B2,N,N,N,Y
9010767222,0,2,B1,N,N,N,Y
9010767719,0,2,B1|B2,N,N,N,Y
9010767768,0,8,B1|B2,N,N,Y,Y
9010767770,0,6,B1|B2,N,N,Y,Y
9010768069,0,5,B1,N,N,N,Y
9010768207,0,1,B1,N,N,Y,N
9010768339,0,1,B1,N,N,Y,N
9010768503,0,1,B1,N,N,Y,N
9010768629,0,2,B1,N,N,N,Y
9010768635,0,1,B1,N,N,Y,N
9010768802,0,4,B1|B2,N,Y,Y,Y
9010769032,0,2,B1,N,Y,Y,Y
9010769176,0,2,B1,N,N,Y,Y
9010769184,0,6,B1,N,N,Y,Y
9010769195,0,2,B1,N,N,Y,Y
9010769198,0,2,B1,N,N,Y,Y
9010769227,0,2,B1,N,N,Y,Y
9010769232,0,2,B1,N,N,Y,Y
9010769233,0,4,B1|B2,N,N,Y,Y
9010769345,0,1,B1,N,N,Y,N
9010769606,0,2,B1|B2,N,Y,N,Y
9010769711,0,3,B1|B2,N,N,N,Y
9010769714,0,1,B1,N,N,Y,N
9010770571,0,2,B1|B2,N,N,N,Y
9010770572,0,2,B1|B2,N,N,N,Y
9010770580,0,1,B1,N,N,Y,N
9010770844,0,9,B1|B2,N,N,Y,Y
9010770865,0,3,B1,N,N,Y,Y
9010771111,0,2,B1|B2,N,N,N,Y
9010771349,0,6,B1|B2,N,N,Y,Y
9010771352,0,3,B1,N,N,Y,Y
9010771354,0,1,B1,N,N,Y,N
9010771580,0,6,B1,N,N,N,Y
9010771654,0,2,B1,N,Y,Y,Y
9010771658,0,4,B1|B2,N,N,Y,Y
9010771662,0,9,B1,N,N,Y,Y
9010771679,0,4,B1,N,N,Y,Y
9010772668,0,1,B1,N,Y,Y,N
9010772683,0,4,B1|B2,N,Y,Y,Y
9010772898,0,3,B1|B2,N,N,N,Y
9010772919,0,6,B1|B2,N,N,Y,Y
9010772957,0,2,B1|B2,N,N,N,Y
9010773088,0,2,B1,N,N,N,Y
9010773107,0,1,B1,N,N,Y,N
9010773243,0,2,B1|B2,N,Y,N,Y
9010773468,0,3,B1|B2,N,N,N,Y
9010773575,0,2,B1|B2,N,N,N,Y
9010773681,0,1,B1,N,N,Y,N
9010773682,0,1,B1,N,N,Y,N
9010774109,0,6,B1,N,N,Y,Y
9010774484,0,2,B1,N,N,Y,Y
9010774773,0,1,B1,N,Y,Y,N
9010774774,0,3,B1|B2,N,N,N,Y
9010774793,0,4,B1|B2,N,N,Y,Y
9010774973,0,3,B1|B2,N,N,N,Y
9010775172,0,2,B1,N,N,N,Y
9010775240,0,2,B1|B2,N,Y,N,Y
9010775323,0,18,B1,N,N,Y,Y
9010775723,0,9,B1|B2,N,Y,Y,Y
9010776002,0,1,B1,N,N,Y,N
9010776027,0,2,B1|B2,N,N,N,Y
9010776157,0,1,B1,N,N,Y,N
9010776442,0,2,B1,N,N,Y,Y
9010776445,0,1,B1,N,N,Y,N
9010776450,0,6,B1|B2,N,N,Y,Y
9010776502,0,2,B1,N,N,N,Y
9010776555,0,1,B1,N,N,Y,N
9010776653,0,1,B1,N,N,Y,N
9010776672,0,4,B1|B2,N,Y,N,Y
9010776811,0,1,B1,N,Y,Y,N
9010776812,0,1,B1,N,Y,Y,N
9010776813,0,4,B1,N,N,Y,Y
9010776814,0,6,B1|B2,N,N,Y,Y
9010776918,0,2,B1,N,N,Y,Y
9010777059,0,8,B1,N,N,Y,Y
9010777124,0,2,B1|B2,N,N,N,Y
9010777133,0,8,B1|B2,N,N,Y,Y
9010777501,0,2,B1,N,Y,Y,Y
9010777546,0,6,B1,N,N,Y,Y
9010777665,0,1,B1,N,Y,Y,N
9010777788,0,2,B1|B2,N,N,N,Y
9010777793,0,6,B1|B2,N,N,Y,Y
9010778016,0,3,B1,N,N,N,Y
9010778142,0,3,B1,N,N,N,Y
9010778181,0,2,B1|B2,N,N,N,Y
9010778262,0,3,B1,N,N,N,Y
9010778263,0,4,B1|B2,N,N,N,Y
9010778299,0,6,B1,N,N,N,Y
9010778381,0,4,B1,N,N,Y,Y
9010778474,0,2,B1,N,N,N,Y
9010778519,0,1,B1,N,N,Y,N
9010778635,0,1,B1,N,N,Y,N
9010778653,0,1,B1,N,Y,Y,N
9010778697,0,2,B1,N,N,N,Y
9010778834,0,2,B1,N,Y,N,Y
9010778841,0,1,B1,N,Y,Y,N
9010778913,0,1,B1,N,Y,Y,N
9010778914,0,4,B1,N,N,N,Y
9010779031,0,4,B1|B2,N,Y,Y,Y
9010779034,0,3,B1|B2,N,N,N,Y
9010779130,0,2,B1|B2,N,N,N,Y
9010779191,0,1,B1,N,N,Y,N
9010779197,0,2,B1,N,N,N,Y
9010779456,0,2,B1|B2,N,N,N,Y
9010779551,0,3,B1|B2,N,N,N,Y
9010779552,0,3,B1|B2,N,N,N,Y
9010779553,0,3,B1|B2,N,N,N,Y
9010779727,0,1,B1,N,Y,Y,N
9010779736,0,1,B1,N,N,Y,N
9010780000,0,1,B1,N,N,Y,N
9010780003,0,2,B1,N,N,N,Y
9010780050,0,2,B1,N,N,N,Y
9010780131,0,1,B1,N,N,Y,N
9010780393,0,2,B1,N,N,N,Y
9010780403,0,6,B1|B2,N,N,Y,Y
9010780411,0,1,B1,N,Y,Y,N
9010780510,0,4,B1|B2,N,N,N,Y
9010780526,0,2,B1|B2,N,N,N,Y
9010780591,0,6,B1|B2,N,N,N,Y
9010780791,0,2,B1|B2,N,N,N,Y
9010781117,0,3,B1,N,N,N,Y
9010781300,0,4,B1|B2,N,N,N,Y
9010781702,0,1,B1,N,N,Y,N
9010781775,0,4,B1|B2,N,N,Y,Y
9010781852,0,2,B1|B2,N,N,N,Y
9010781853,0,2,B1|B2,N,N,N,Y
9010781863,0,1,B1,N,N,Y,N
9010782018,0,1,B1,N,N,Y,N
9010782063,0,3,B1|B2,N,N,N,Y
9010782332,0,2,B1|B2,N,N,N,Y
9010782357,0,2,B1|B2,N,N,N,Y
9010782592,0,2,B1|B2,N,N,N,Y
9010782675,0,3,B1|B2,N,N,N,Y
9010782676,0,3,B1|B2,N,N,N,Y
9010782822,0,4,B1,N,N,N,Y
9010783066,0,3,B1|B2,N,N,N,Y
9010783085,0,2,B1,N,N,N,Y
9010783086,0,6,B1,N,N,N,Y
9010783102,0,1,B1,N,N,Y,N
9010783138,0,3,B1,N,N,N,Y
9010783269,0,2,B1|B2,N,N,N,Y
9010783296,0,2,B1,N,Y,Y,Y
9010783347,0,3,B1|B2,N,N,N,Y
9010783502,0,3,B1,N,N,N,Y
9010783785,0,4,B1|B2,N,N,N,Y
9010783786,0,2,B1|B2,N,N,N,Y
9010783883,0,1,B1,N,N,Y,N
9010784054,0,4,B1,N,N,N,Y
9010784074,0,1,B1,N,N,Y,N
9010784250,0,1,B1,N,N,Y,N
9010784370,0,4,B1,N,N,N,Y
9010784372,0,2,B1|B2,N,N,N,Y
9010784529,0,2,B1,N,N,Y,Y
9010784767,0,1,B1,N,N,Y,N
9010784918,0,3,B1|B2,N,N,N,Y
9010784936,0,3,B1|B2,N,Y,N,Y
9010784946,0,2,B1|B2,N,N,N,Y
9010785049,0,2,B1|B2,N,N,N,Y
9010785099,0,1,B1,N,N,Y,N
9010785298,0,2,B1,N,N,N,Y
9010785324,0,2,B1|B2,N,Y,N,Y
9010785777,0,2,B1,N,Y,Y,Y
9010785932,0,1,B1,N,Y,Y,N
9010786015,0,2,B1|B2,N,Y,N,Y
9010786152,0,2,B1,N,N,N,Y
9010786153,0,2,B1|B2,N,N,N,Y
9010786237,0,2,B1|B2,N,N,N,Y
9010786240,0,1,B1,N,Y,Y,N
9010786243,0,2,B1|B2,N,N,N,Y
9010786312,0,2,B1,N,N,N,Y
9010786490,0,1,B1,N,N,Y,N
9010786800,0,1,B1,N,N,Y,N
9010786824,0,1,B1,N,N,Y,N
9010786872,0,1,B1,N,N,Y,N
9010786878,0,4,B1,N,N,Y,Y
9010786886,0,1,B1,N,N,Y,N
9010786896,0,2,B1,N,N,N,Y
9010787147,0,5,B1,N,N,N,Y
9010787151,0,1,B1,N,N,Y,N
9010787237,0,2,B1,N,N,N,Y
9010787390,0,3,B1|B2,N,N,N,Y
9010787511,0,1,B1,N,N,Y,N
9010787513,0,4,B1|B2,N,N,N,Y
9010787560,0,1,B1,N,Y,Y,N
9010787669,0,2,B1|B2,N,N,N,Y
9010788111,0,3,B1|B2,N,N,N,Y
9010788188,0,2,B1|B2,N,N,N,Y
9010788197,0,1,B1,N,N,Y,N
9010788421,0,1,B1,N,N,Y,N
9010788860,0,2,B1,N,N,N,Y
9010789095,0,1,B1,N,N,Y,N
9010789348,0,1,B1,N,Y,Y,N
9010789351,0,1,B1,N,N,Y,N
9010789375,0,6,B1,N,N,N,Y
9010789384,0,2,B1|B2,N,Y,N,Y
9010789525,0,4,B1|B2,N,N,Y,Y
9010789546,0,1,B1,N,N,Y,N
9010789876,0,1,B1,N,N,Y,N
9010789992,0,2,B1|B2,N,N,N,Y
9010790176,0,1,B1,N,N,Y,N
9010790287,0,1,B1,N,Y,Y,N
9010790543,0,2,B1|B2,N,N,N,Y
9010790755,0,6,B1|B2,N,Y,N,Y
9010790782,0,1,B1,N,Y,Y,N
9010791078,0,1,B1,N,N,Y,N
9010791176,0,2,B1|B2,N,N,N,Y
9010791462,0,1,B1,N,N,Y,N
9010791466,0,1,B1,N,N,Y,N
9010791597,0,1,B1,N,Y,Y,N
9010791789,0,2,B1|B2,N,N,N,Y
9010792037,0,4,B1,N,N,Y,Y
9010792038,0,1,B1,N,Y,Y,N
9010792082,0,1,B1,N,Y,Y,N
9010792296,0,2,B1|B2,N,N,N,Y
9010792607,0,2,B1,N,N,N,Y
9010792609,0,2,B1|B2,N,N,N,Y
9010792701,0,1,B1,N,N,Y,N
9010792961,0,1,B1,N,N,Y,N
9010792997,0,1,B1,N,Y,Y,N
9010793292,0,1,B1,N,N,Y,N
9010793582,0,2,B1,N,N,N,Y
9010793722,0,6,B1,N,N,Y,Y
9010793737,0,1,B1,N,N,Y,N
9010794095,0,2,B1,N,N,Y,Y
9010794098,0,1,B1,N,N,Y,N
9010794116,0,1,B1,N,N,Y,N
9010794372,0,4,B1|B2,N,N,Y,Y
9010794435,0,2,B1|B2,N,N,N,Y
9010794514,0,2,B1|B2,N,N,N,Y
9010794518,0,1,B1,N,Y,Y,N
9010794520,0,1,B1,N,N,Y,N
9010794629,0,1,B1,N,Y,Y,N
9010794730,0,2,B1|B2,N,N,N,Y
9010794731,0,1,B1,N,N,Y,N
9010794751,0,2,B1|B2,N,N,N,Y
9010795047,0,1,B1,N,N,Y,N
9010795564,0,1,B1,N,N,Y,N
9010795565,0,2,B1|B2,N,N,N,Y
9010795609,0,2,B1|B2,N,N,N,Y
9010795612,0,7,B1|B2,N,N,N,Y
9010795618,0,1,B1,Y,N,Y,N
9010795890,0,1,B1,N,N,Y,N
9010796325,0,2,B1|B2,N,Y,N,Y
9010796459,0,2,B1|B2,N,N,N,Y
9010796483,0,1,B1,N,Y,Y,N
9010796535,0,2,B1|B2,N,N,N,Y
9010796554,0,2,B1,N,N,N,Y
9010796707,0,3,B1|B2,N,N,N,Y
9010796767,0,3,B1|B2,N,N,N,Y
9010796821,0,1,B1,N,Y,Y,N
9010796908,0,2,B1|B2,N,N,N,Y
9010796912,0,2,B1|B2,N,N,N,Y
9010796913,0,1,B1,N,N,Y,N
9010797181,0,2,B1|B2,N,N,N,Y
9010797765,0,6,B1|B2,N,N,N,Y
9010797766,0,6,B1|B2,N,N,N,Y
9010797831,0,2,B1|B2,N,N,N,Y
9010797832,0,2,B1,N,N,N,Y
9010797854,0,1,B1,N,N,Y,N
9010797922,0,2,B1|B2,N,N,N,Y
9010798024,0,2,B1,N,N,N,Y
9010798031,0,1,B1,N,N,Y,N
9010798517,0,1,B1,N,N,Y,N
9010799083,0,3,B1|B2,N,N,N,Y
9010799173,0,1,B1,N,N,Y,N
9010799270,0,3,B1|B2,N,N,N,Y
9010799472,0,6,B1,N,N,N,Y
9010799590,0,4,B1|B2,N,Y,Y,Y
9010799703,0,1,B1,N,N,Y,N
9010799821,0,4,B1,N,N,N,Y
9010799895,0,2,B1,N,N,N,Y
9010800097,0,2,B1|B2,N,N,N,Y
9010800286,0,2,B1|B2,N,N,N,Y
9010800356,0,3,B1|B2,N,N,N,Y
9010801398,0,2,B1,N,N,N,Y
9010801399,0,1,B1,N,N,Y,N
9010801730,0,5,B1|B2,N,N,N,Y
9010801734,0,3,B1,N,N,N,Y
9010801956,0,1,B1,N,N,Y,N
9010802045,0,12,B1,N,N,Y,Y
9010802188,0,2,B1|B2,N,Y,N,Y
9010802494,0,1,B1,N,Y,Y,N
9010802626,0,6,B1|B2,N,N,N,Y
9010802646,0,1,B1,N,Y,Y,N
9010802649,0,2,B1|B2,N,Y,N,Y
9010803025,0,2,B1,N,N,Y,Y
9010803026,0,4,B1|B2,N,N,Y,Y
9010803044,0,2,B1|B2,N,Y,N,Y
9010803046,0,2,B1|B2,N,Y,N,Y
9010803048,0,2,B1|B2,N,N,N,Y
9010803049,0,2,B1|B2,N,N,N,Y
9010803050,0,1,B1,N,N,Y,N
9010803051,0,3,B1|B2,N,N,N,Y
9010803244,0,1,B1,N,Y,Y,N
9010803420,0,3,B1|B2,N,N,N,Y
9010803421,0,3,B1|B2,N,N,N,Y
9010803649,0,1,B1,N,N,Y,N
9010803672,0,1,B1,N,N,Y,N
9010803673,0,2,B1|B2,N,N,N,Y
9010803680,0,1,B1,N,N,Y,N
9010803681,0,1,B1,N,N,Y,N
9010803682,0,1,B1,N,N,Y,N
9010803770,0,9,B1|B2,N,Y,Y,Y
9010803776,0,9,B1|B2,N,N,Y,Y
9010803782,0,9,B1|B2,N,N,Y,Y
9010803964,0,2,B1|B2,N,N,N,Y
9010803993,0,1,B1,N,Y,Y,N
9010804005,0,1,B1,N,N,Y,N
9010804489,0,6,B1|B2,N,N,Y,Y
9010804588,0,4,B1,N,Y,N,Y
9010804608,0,1,B1,N,Y,Y,N
9010804617,0,2,B1|B2,N,N,N,Y
9010804711,0,2,B1|B2,N,N,N,Y
9010804853,0,1,B1,N,N,Y,N
9010804854,0,2,B1,N,N,N,Y
9010805039,0,3,B1|B2,N,N,N,Y
9010805048,0,2,B1|B2,N,N,N,Y
9010805370,0,1,B1,N,N,Y,N
9010805394,0,1,B1,N,N,Y,N
9010806082,0,1,B1,N,N,Y,N
9010806155,0,1,B1,N,N,Y,N
9010806350,0,2,B1,N,N,N,Y
9010806596,0,2,B1,N,N,N,Y
9010806606,0,6,B1,N,N,Y,Y
9010806651,0,1,B1,N,N,Y,N
9010806653,0,2,B1|B2,N,N,N,Y
9010807372,0,2,B1,N,N,N,Y
9010807373,0,2,B1,N,N,N,Y
9010807378,0,2,B1|B2,N,N,N,Y
9010807493,0,3,B1|B2,N,N,N,Y
9010807516,0,6,B1|B2,N,N,Y,Y
9010807518,0,6,B1|B2,N,N,Y,Y
9010807604,0,2,B1|B2,N,N,N,Y
9010807605,0,1,B1,N,N,Y,N
9010807698,0,1,B1,N,Y,Y,N
9010807720,0,1,B1,N,N,Y,N
9010807842,0,1,B1,N,N,Y,N
9010807844,0,1,B1,N,N,Y,N
9010807941,0,1,B1,N,Y,Y,N
9010807946,0,1,B1,N,N,Y,N
9010807963,0,2,B1,N,N,N,Y
9010808361,0,2,B1,N,Y,N,Y
9010808721,0,1,B1,N,N,Y,N
9010808831,0,2,B1,N,N,Y,Y
9010808895,0,5,B1,N,N,N,Y
9010808901,0,2,B1,N,N,N,Y
9010808907,0,2,B1|B2,N,Y,N,Y
9010809294,0,3,B1|B2,N,N,N,Y
9010809308,0,2,B1,N,N,N,Y
9010809309,0,3,B1|B2,N,N,N,Y
9010809311,0,1,B1,N,Y,Y,N
9010809333,0,1,B1,N,Y,Y,N
9010809361,0,3,B1|B2,N,N,N,Y
9010809734,0,1,B1,N,N,Y,N
9010809930,0,1,B1,N,N,Y,N
9010809932,0,1,B1,N,Y,Y,N
9010810194,0,2,B1|B2,N,N,N,Y
9010810272,0,3,B1|B2,N,N,N,Y
9010810275,0,4,B1,N,N,N,Y
9010810504,0,2,B1,N,Y,N,Y
9010810612,0,1,B1,N,Y,Y,N
9010810691,0,2,B1|B2,N,N,N,Y
9010811059,0,1,B1,N,Y,Y,N
9010811157,0,4,B1,N,N,N,Y
9010811204,0,2,B1,N,N,N,Y
9010811250,0,6,B1|B2,N,N,Y,Y
9010811260,0,2,B1,N,N,Y,Y
9010811306,0,2,B1|B2,N,N,N,Y
9010811343,0,1,B1,N,Y,Y,N
9010811652,0,6,B1,N,N,Y,Y
9010811700,0,2,B1,N,N,Y,Y
9010811998,0,3,B1|B2,N,N,N,Y
9010813155,0,3,B1,N,N,Y,Y
9010813188,0,1,B1,N,N,Y,N
9010813276,0,2,B1,N,Y,Y,Y
9010813387,0,1,B1,N,N,Y,N
9010813391,0,10,B1,N,N,Y,Y
9010813392,0,6,B1,N,N,Y,Y
9010813427,0,3,B1|B2,N,N,N,Y
9010813683,0,1,B1,N,N,Y,N
9010813955,0,4,B1|B2,N,N,N,Y
9010814167,0,1,B1,N,N,Y,N
9010814362,0,2,B1,N,N,Y,Y
9010814366,0,2,B1,N,N,Y,Y
9010814389,0,2,B1,N,N,Y,Y
