credit_account,debit_account,row_count,distinct_policy_count,total_amount,min_amount,max_amount,avg_amount,earliest_effective_date,latest_effective_date
XX0116R,8047,1,1,10.03,10.03,10.03,10.03,20240110,20240110
XX0116R,XX4013R,1,1,317.1,317.1,317.1,317.1,20180301,20180301
XX0116R,XX4016R,1,1,317.1,317.1,317.1,317.1,20180320,20180320
XX0119R,2032,1,1,13.69,13.69,13.69,13.69,20200821,20200821
XX0126R,2019,1,1,8.67,8.67,8.67,8.67,20210916,20210916
XX0170R,2032,1,1,142.0,142.0,142.0,142.0,20191219,20191219
XX0170R,8047,1,1,23.38,23.38,23.38,23.38,20240528,20240528
XX0170R,XX2500,1,1,312.95,312.95,312.95,312.95,20190107,20190107
XX2500,8047,1,1,50.0,50.0,50.0,50.0,20211214,20211214
XX2500,XX3816R,1,1,0.83,0.83,0.83,0.83,20180517,20180517
XX2500,XXXXXX0044,1,1,25.0,25.0,25.0,25.0,20210309,20210309
XX3803R,1015,1,1,496.56,496.56,496.56,496.56,20190501,20190501
XX3806R,1015,1,1,70.65,70.65,70.65,70.65,20220113,20220113
XX3813R,1058,1,1,6.46,6.46,6.46,6.46,20180913,20180913
XX3813R,2019,1,1,28.24,28.24,28.24,28.24,20230508,20230508
XX3870R,2032,1,1,1.56,1.56,1.56,1.56,20191219,20191219
XX4013R,2028,1,1,317.1,317.1,317.1,317.1,20180223,20180223
XX4016R,2019,1,1,241.09,241.09,241.09,241.09,20230227,20230227
XX4103R,2031,1,1,536.84,536.84,536.84,536.84,20200908,20200908
XX4170R,1056,1,1,843.83,843.83,843.83,843.83,20240725,20240725
XX4403R,1015,1,1,2917.0,2917.0,2917.0,2917.0,20240801,20240801
XX4670R,1015,1,1,843.83,843.83,843.83,843.83,20231216,20231216
XX4706R,2031,1,1,4807.58,4807.58,4807.58,4807.58,20240516,20240516
XX4803R,1015,1,1,93.29,93.29,93.29,93.29,20250901,20250901
XX4803R,2019,1,1,169.8,169.8,169.8,169.8,20210901,20210901
XX4903R,2019,1,1,150.18,150.18,150.18,150.18,20260303,20260303
XX6103R,XX6203S,1,1,153.65,153.65,153.65,153.65,20241001,20241001
XX6170S,2019,1,1,843.83,843.83,843.83,843.83,20231216,20231216
XX6306S,2019,1,1,4383.33,4383.33,4383.33,4383.33,20240516,20240516
XXXXXX0044,XX0105R,1,1,25.0,25.0,25.0,25.0,20201217,20201217
XXXXXX0044,XX2500,1,1,25.0,25.0,25.0,25.0,20201013,20201013
XXXXXX0049,2028,1,1,62.88,62.88,62.88,62.88,20220328,20220328
XXXXXX0256,XX0103F,1,1,5000.0,5000.0,5000.0,5000.0,20180913,20180913
XXXXXX0256,XX3813R,1,1,6.46,6.46,6.46,6.46,20181226,20181226
