MPOLICY,MPLAN,MANNLFEE,MSEMI,MQTRL,MMTHD,MMTHB,PROP_MSEMIFEE,PROP_MQTRLFEE,PROP_MMTHDFEE,PROP_MMTHBFEE,BEFORE_Q,AFTER_Q,DELTA_Q,BEFORE_MTHD,AFTER_MTHD,DELTA_MTHD,MMODEPREM,MPREM,MUNIT,MBILLFRM,MMODE
010756024C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,117.11,123.86,6.75,39.90,42.20,2.30,458.75,17.35000,25.00000,1,12
010756033C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,266.43,273.18,6.75,90.78,93.08,2.30,197.35,197.35,5.00000,1,12
010756034C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,102.83,109.58,6.75,35.04,37.34,2.30,405.95,52.89444,7.20000,1,12
010756091C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,22.89,29.64,6.75,7.80,10.10,2.30,29.63,3.39000,25.00000,1,03
010756212C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,292.81,299.56,6.75,99.77,102.07,2.30,43.38,43.38,25.00000,1,01
010756279C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,299.59,306.34,6.75,102.08,104.38,2.30,78.96,78.96,14.05244,1,12
010756442C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,81.67,88.42,6.75,27.83,30.13,2.30,12.10,12.10,25.00000,1,01
010756540C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,43.92,50.67,6.75,14.97,17.27,2.30,181.00,6.50720,25.00000,1,12
010756833C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,1572.94,1579.69,6.75,535.82,538.12,2.30,116.50,116.50,50.00000,1,12
010756895C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,146.54,153.29,6.75,49.93,52.23,2.30,21.71,21.71,25.00000,2,01
010756906C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,485.46,492.21,6.75,165.41,167.71,2.30,44.95,44.95,40.00000,1,01
010756909C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2170.12,2176.88,6.76,739.44,741.74,2.30,321.50,321.50,25.00000,1,12
010756916C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2222.44,2229.19,6.75,757.27,759.57,2.30,329.25,329.25,25.00000,1,12
010756925C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,51.08,57.83,6.75,17.41,19.71,2.30,214.25,7.56800,25.00000,1,12
010756926C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,15.16,21.91,6.75,5.17,7.47,2.30,11.89,11.89,4.72206,1,01
010756927C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,17.87,24.62,6.75,6.09,8.39,2.30,13.27,13.27,4.98644,1,03
010756928C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,186.97,193.72,6.75,63.71,66.01,2.30,27.70,27.70,25.00000,2,01
010756929C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,222.01,228.76,6.75,75.65,77.95,2.30,32.89,32.89,25.00000,2,01
010756931C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,508.57,515.32,6.75,173.29,175.59,2.30,47.09,47.09,40.00000,1,01
010756934C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,75.00,81.75,6.75,25.55,27.85,2.30,11.11,11.11,25.00000,2,01
010756936C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,12.29,19.04,6.75,4.19,6.49,2.30,6.20,1.82000,25.00000,2,01
010756937C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,42.60,49.35,6.75,14.51,16.81,2.30,6.31,6.31,25.00000,2,01
010756938C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,98.62,105.37,6.75,33.60,35.90,2.30,390.25,14.61000,25.00000,1,12
010756939C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,44.83,51.58,6.75,15.27,17.57,2.30,6.64,6.64,25.00000,2,01
010756940C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,42.94,49.69,6.75,14.63,16.93,2.30,6.36,6.36,25.00000,2,01
010756941C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,43.81,50.56,6.75,14.92,17.22,2.30,6.49,6.49,25.00000,2,01
010756972C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,273.85,280.60,6.75,93.31,95.61,2.30,40.57,40.57,25.00000,1,03
010757042C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,279.39,286.14,6.75,95.19,97.49,2.30,206.95,206.95,5.00000,1,12
010757071C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1777.14,1783.89,6.75,605.54,607.84,2.30,219.40,219.40,30.00000,1,12
010757392C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,168.28,175.03,6.75,57.34,59.64,2.30,24.93,24.93,25.00000,1,01
010757508C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,14.36,21.11,6.75,4.89,7.19,2.30,13.71,13.71,3.87790,2,01
010757536C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,25.80,32.55,6.75,8.79,11.09,2.30,19.11,19.11,5.00000,2,01
010757538C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,61.36,68.11,6.75,20.91,23.21,2.30,22.20,9.09000,25.00000,2,01
010757541C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,104.06,110.81,6.75,35.46,37.76,2.30,410.47,42.82222,9.00000,1,12
010757542C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,57.19,63.94,6.75,19.49,21.79,2.30,236.82,26.15062,8.10000,1,12
010757551C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,21.30,28.05,6.75,7.26,9.56,2.30,15.78,15.78,5.00000,2,01
010757553C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,83.46,90.21,6.75,28.44,30.74,2.30,30.91,30.91,10.00000,2,01
010757561C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,3.01,9.76,6.75,1.03,3.33,2.30,4.48,4.48,2.49052,1,01
010757606C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,445.16,451.91,6.75,151.68,153.98,2.30,65.95,65.95,25.00000,1,03
010757607C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,781.31,788.06,6.75,266.22,268.52,2.30,115.75,115.75,25.00000,1,12
010757801C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,8705.88,8712.63,6.75,2966.42,2968.72,2.30,537.40,537.40,60.00000,1,12
010757817C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,83.07,89.82,6.75,28.30,30.60,2.30,61.53,61.53,5.00000,2,03
010757826C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,480.99,487.75,6.76,163.85,166.15,2.30,71.25,71.25,25.00000,1,12
010757827C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,477.62,484.37,6.75,162.70,165.00,2.30,70.75,70.75,25.00000,1,12
010757840C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2397.94,2404.69,6.75,817.07,819.37,2.30,355.25,355.25,25.00000,1,12
010758074C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,230.92,237.67,6.75,78.68,80.98,2.30,171.05,171.05,5.00000,1,12
010758447C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,72.66,79.41,6.75,24.76,27.06,2.30,29.87,29.87,9.00960,1,06
010758520C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,0.00,6.75,6.75,0.00,2.30,2.30,.00,.00,7.50000,1,12
010758538C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,22.61,29.36,6.75,7.71,10.01,2.30,15.66,15.66,5.34813,1,03
010758540C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,42.11,48.86,6.75,14.35,16.65,2.30,181.00,6.23840,25.00000,1,12
010758549C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,434.95,441.70,6.75,148.20,150.50,2.30,268.48,268.48,6.00000,1,12
010758550C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,412.94,419.69,6.75,140.70,143.00,2.30,218.48,218.48,7.00000,1,12
010758573C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,94.18,100.93,6.75,32.09,34.39,2.30,373.75,13.95200,25.00000,1,12
010758940C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,761.06,767.81,6.75,259.32,261.62,2.30,112.75,112.75,25.00000,1,12
010759008C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1044.56,1051.31,6.75,355.92,358.22,2.30,154.75,154.75,25.00000,1,12
010759357C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,253.94,260.69,6.75,86.52,88.82,2.30,188.10,188.10,5.00000,1,12
010759385C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,242.13,248.88,6.75,82.50,84.80,2.30,179.35,179.35,5.00000,1,12
010759529C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2954.33,2961.08,6.75,1006.65,1008.95,2.30,892.50,892.50,12.25992,1,12
010759530C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,78.52,85.27,6.75,26.75,29.05,2.30,31.35,7.27000,40.00000,1,01
010759537C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,161.93,168.68,6.75,55.18,57.48,2.30,23.99,23.99,25.00000,1,01
010759541C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1998.00,2004.75,6.75,680.79,683.09,2.30,296.00,296.00,25.00000,1,12
010759548C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,848.81,855.56,6.75,289.22,291.52,2.30,125.75,125.75,25.00000,1,12
010759550C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,87.47,94.22,6.75,29.80,32.10,2.30,349.00,6.47920,50.00000,1,12
010759552C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,887.62,894.38,6.76,302.45,304.75,2.30,131.50,131.50,25.00000,1,12
010759555C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,146.54,153.29,6.75,49.93,52.23,2.30,21.71,21.71,25.00000,2,01
010759559C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,62.34,69.09,6.75,21.24,23.54,2.30,171.05,46.18,5.00000,1,12
010759705C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,1194.89,1201.64,6.75,407.04,409.34,2.30,44.25,44.25,100.00000,1,01
010759932C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,82.15,88.90,6.75,27.99,30.29,2.30,329.25,12.17000,25.00000,1,12
010760069C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,220.52,227.27,6.75,75.14,77.44,2.30,32.67,32.67,25.00000,2,03
010760160C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,4953.96,4960.71,6.75,1688.00,1690.30,2.30,305.80,305.80,60.00000,1,12
010760294C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,211.28,218.03,6.75,71.99,74.29,2.30,31.30,31.30,25.00000,1,01
010760295C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1446.19,1452.94,6.75,492.77,495.07,2.30,214.25,214.25,25.00000,1,12
010760296C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,186.97,193.72,6.75,63.71,66.01,2.30,27.70,27.70,25.00000,2,01
010760297C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,386.37,393.12,6.75,131.65,133.95,2.30,57.24,57.24,25.00000,1,03
010760298C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,3096.56,3103.31,6.75,1055.11,1057.41,2.30,458.75,458.75,25.00000,1,12
010760304C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,75.77,82.52,6.75,25.82,28.12,2.30,17.92,17.92,15.66087,1,01
010760306C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,170.57,177.32,6.75,58.12,60.42,2.30,25.27,25.27,25.00000,2,01
010760840C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,3384.99,3391.74,6.75,1153.39,1155.69,2.30,358.20,358.20,35.00000,1,12
010760851C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,105.36,112.11,6.75,35.90,38.20,2.30,415.24,10.84000,36.00000,1,12
010760865C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,456.82,463.57,6.75,155.65,157.95,2.30,281.98,281.98,6.00000,1,12
010760872C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,1658.79,1665.54,6.75,565.19,567.49,2.30,511.96,511.96,12.00000,1,12
010760873C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,75.49,82.24,6.75,25.72,28.02,2.30,304.60,6.99000,40.00000,1,12
010760874C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2434.32,2441.07,6.75,829.46,831.76,2.30,225.40,225.40,40.00000,1,12
010760931C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,90.12,96.87,6.75,30.70,33.00,2.30,13.35,13.35,25.00000,2,01
010760942C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,19.39,26.14,6.75,6.61,8.91,2.30,14.36,14.36,5.00000,2,01
010760943C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,6979.50,6986.25,6.75,2378.17,2380.47,2.30,517.00,517.00,50.00000,1,12
010761092C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1145.81,1152.56,6.75,390.42,392.72,2.30,169.75,169.75,25.00000,1,12
010761357C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,23.45,30.20,6.75,7.99,10.29,2.30,17.37,17.37,5.00000,2,01
010761450C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,393.93,400.68,6.75,134.23,136.53,2.30,130.59,14.59000,100.00000,2,01
010761552C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,240.03,246.78,6.75,81.79,84.09,2.30,17.78,17.78,50.00000,2,01
010761554C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,81.46,88.21,6.75,27.76,30.06,2.30,48.86,48.86,6.17477,2,01
010761635C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,298.21,304.96,6.75,101.61,103.91,2.30,44.18,44.18,25.00000,2,01
010761639C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,66.42,73.17,6.75,22.63,24.93,2.30,271.00,9.84000,25.00000,2,12
010761653C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,114.82,121.57,6.75,39.12,41.42,2.30,17.01,17.01,25.00000,2,01
010761672C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,71.55,78.30,6.75,24.38,26.68,2.30,25.52,10.60000,25.00000,2,01
010761673C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,43.74,50.49,6.75,14.90,17.20,2.30,187.00,6.48000,25.00000,1,12
010761674C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,118.66,125.41,6.75,40.43,42.73,2.30,17.58,17.58,25.00000,2,01
010761804C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,31.27,38.02,6.75,10.65,12.95,2.30,23.16,23.16,5.00000,2,01
010761870C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1014.19,1020.94,6.75,345.57,347.87,2.30,150.25,150.25,25.00000,1,12
010761874C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,67.12,73.87,6.75,22.87,25.17,2.30,253.34,35.51429,7.00000,1,12
010761882C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,2959.28,2966.03,6.75,1008.29,1010.59,2.30,548.00,548.00,20.00000,1,12
010761885C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2124.56,2131.31,6.75,723.92,726.22,2.30,314.75,314.75,25.00000,1,12
010761913C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,303.12,309.87,6.75,103.28,105.58,2.30,144.79,144.79,7.75370,1,12
010761943C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,1400.31,1407.06,6.75,477.12,479.42,2.30,577.80,577.80,8.97578,1,12
010761965C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,94.16,100.91,6.75,32.08,34.38,2.30,100.91,13.95000,25.00000,1,03
010761966C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,78.23,84.98,6.75,26.66,28.96,2.30,314.75,11.59000,25.00000,1,12
010762047C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,114.82,121.57,6.75,39.12,41.42,2.30,17.01,17.01,25.00000,2,01
010762068C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,70.98,77.73,6.75,24.19,26.48,2.29,287.89,29.21000,9.00000,1,12
010762076C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1221.75,1228.50,6.75,416.30,418.60,2.30,181.00,181.00,25.00000,1,12
010762079C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1348.31,1355.06,6.75,459.42,461.72,2.30,199.75,199.75,25.00000,1,12
010762319C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1348.31,1355.06,6.75,459.42,461.72,2.30,199.75,199.75,25.00000,1,12
010762331C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,30.58,37.33,6.75,10.42,12.72,2.30,12.17,4.53000,25.00000,2,01
010762332C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,68.78,75.53,6.75,23.44,25.74,2.30,10.19,10.19,25.00000,2,01
010762461C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,645.30,652.05,6.75,219.88,222.18,2.30,222.18,23.90000,100.00000,1,01
010762558C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,42.92,49.67,6.75,14.62,16.92,2.30,14.48,14.48,10.97705,2,01
010762559C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,41.63,48.38,6.75,14.19,16.49,2.30,13.22,13.22,11.66372,2,01
010762560C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,35.40,42.15,6.75,12.06,14.36,2.30,11.07,11.07,11.84425,2,01
010762678C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,1171.55,1178.30,6.75,399.17,401.47,2.30,479.47,479.47,9.04949,1,12
010763006C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,3439.26,3446.01,6.75,1171.88,1174.18,2.30,424.60,424.60,30.00000,1,12
010763012C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,253.94,260.69,6.75,86.52,88.82,2.30,188.10,188.10,5.00000,1,12
010763063C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,189.54,196.29,6.75,64.58,66.88,2.30,28.08,28.08,25.00000,1,01
010763377C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,220.52,227.27,6.75,75.14,77.44,2.30,32.67,32.67,25.00000,1,03
010763378C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,816.75,823.50,6.75,278.30,280.60,2.30,121.00,121.00,25.00000,1,12
010763416C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,44.83,51.58,6.75,15.27,17.57,2.30,6.64,6.64,25.00000,2,01
010763450C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,253.94,260.69,6.75,86.52,88.82,2.30,188.10,188.10,5.00000,1,12
010764120C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,632.67,639.42,6.75,215.56,217.86,2.30,260.35,260.35,9.00000,1,12
010764121C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,794.12,800.87,6.75,270.57,272.87,2.30,367.64,367.64,8.00000,1,12
010764124C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,57.97,64.72,6.75,19.75,22.05,2.30,16.46,16.46,13.04399,2,01
010764158C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,72.50,79.25,6.75,24.70,27.00,2.30,154.09,10.74000,25.00000,2,06
010764248C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,122.85,129.60,6.75,41.86,44.16,2.30,252.00,9.10000,50.00000,1,06
010764250C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,393.93,400.68,6.75,134.23,136.53,2.30,130.59,14.59000,100.00000,2,01
010764319C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1044.56,1051.31,6.75,355.92,358.22,2.30,154.75,154.75,25.00000,1,12
010764321C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,266.08,272.83,6.75,90.67,92.97,2.30,39.42,39.42,25.00000,1,03
010764322C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,212.62,219.38,6.76,72.45,74.75,2.30,31.50,31.50,25.00000,2,01
010764339C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1000.35,1007.10,6.75,340.86,343.16,2.30,74.10,74.10,50.00000,2,01
010764341C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,94.77,101.52,6.75,32.29,34.59,2.30,14.04,14.04,25.00000,2,01
010764348C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,177.85,184.60,6.75,60.60,62.90,2.30,54.89,54.89,12.00000,1,01
010764368C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,6581.52,6588.27,6.75,2242.57,2244.87,2.30,609.40,609.40,40.00000,1,12
010764369C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2836.62,2843.37,6.75,966.54,968.84,2.30,350.20,350.20,30.00000,1,12
010764374C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,632.67,639.42,6.75,215.56,217.86,2.30,260.35,260.35,9.00000,1,12
010764376C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,257.50,264.25,6.75,87.74,90.04,2.30,31.79,31.79,30.00000,2,01
010764379C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,105.44,112.19,6.75,35.93,38.23,2.30,15.62,15.62,25.00000,1,01
010764385C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,519.49,526.24,6.75,177.00,179.30,2.30,256.53,256.53,7.50000,1,12
010764392C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,132.03,138.78,6.75,44.99,47.29,2.30,19.56,19.56,25.00000,2,01
