MPOLICY,MPLAN,MMODE,MBILLFRM,ANNUAL_PREMIUM,POLICY_FEE,MODE_PREMIUM,EXPECTED_ANNUAL_X_FACTOR,DIFF,WITHIN_02,MSEMI,MQTRL,MMTHD,MMTHB,PROP_MSEMIFEE,PROP_MQTRLFEE,PROP_MMTHDFEE,PROP_MMTHBFEE
010822851C,1659C2,12,1,296.00,25.00,296.00,27.2317,268.7683,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010822990C,1659C2,12,1,337.00,25.00,337.00,31.0037,305.9963,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010823222C,5667AT,6,1,1601.00,25.00,840.53,840.5250,0.0050,Y,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010823332C,1659C2,1,2,0.00,25.00,11.07,0.0000,11.0700,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010823333C,1659C2,1,2,0.00,25.00,11.31,0.0000,11.3100,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010823335C,1659C2,12,1,254.75,25.00,254.75,23.4367,231.3133,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010823597C,1659C2,12,2,433.50,25.00,433.50,38.1558,395.3442,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010823600C,1658C1,6,2,86.62,25.00,43.31,45.4796,-2.1696,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010823735C,1659C2,3,1,225.72,25.00,56.43,60.9444,-4.5144,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010823737C,1659C2,12,1,113.50,25.00,113.50,10.4419,103.0581,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010823866C,1658C1,1,1,317.40,25.00,26.45,317.4000,-290.9500,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010823867C,1658C1,1,2,90.75,25.00,7.98,90.7500,-82.7700,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010823869C,1658C1,1,1,121.20,25.00,10.10,121.2000,-111.1000,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010823870C,1658C1,1,2,126.75,25.00,11.15,126.7500,-115.6000,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010824297C,1659C2,12,1,358.00,25.00,358.00,32.9356,325.0644,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010824561C,5667AT,1,2,1601.00,25.00,140.89,1601.0000,-1460.1100,N,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010824611C,1658C1,1,1,419.52,25.00,34.96,419.5200,-384.5600,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010824689C,1659C2,6,1,320.52,25.00,160.26,168.2730,-8.0130,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010824709C,1659C2,12,1,246.75,25.00,246.75,22.7008,224.0492,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010824810C,1659C2,3,1,0.00,25.00,56.57,0.0000,56.5700,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010825353C,1659C2,12,1,632.25,25.00,632.25,58.1664,574.0836,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010825649C,1659C2,3,1,403.64,25.00,100.91,108.9828,-8.0728,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010825719C,1659C2,12,1,119.00,25.00,119.00,10.9479,108.0521,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010825759C,1659C2,12,1,113.50,25.00,113.50,10.4419,103.0581,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010825968C,1658C1,1,2,193.75,25.00,17.05,193.7500,-176.7000,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010826040C,1658C1,1,2,228.60,25.00,19.05,228.6000,-209.5500,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010826123C,1659C2,6,1,138.25,25.00,72.58,72.5812,-0.0012,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010826130C,1658C1,12,1,70.00,25.00,70.00,6.4391,63.5609,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010826422C,1658C1,6,1,253.00,25.00,132.83,132.8369,-0.0069,Y,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010826524C,1659C2,12,1,419.50,25.00,419.50,38.5936,380.9064,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010826544C,1659C2,1,2,411.25,25.00,36.19,411.2500,-375.0600,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010826547C,1659CR,1,2,440.64,25.00,36.72,440.6400,-403.9200,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010826551C,1659CR,12,1,217.20,25.00,217.20,19.9817,197.2183,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010826627C,1658C1,1,2,84.24,25.00,7.02,84.2400,-77.2200,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010827081C,1659C2,1,2,371.50,25.00,32.69,371.5000,-338.8100,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010827254C,1659C2,3,1,142.00,25.00,38.34,38.3400,0.0000,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010827434C,1659C2,3,1,411.25,25.00,111.04,111.0375,0.0025,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010827507C,1658C1,1,1,310.00,25.00,28.52,310.0000,-281.4800,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010827528C,1659C2,12,1,159.50,25.00,159.50,14.6738,144.8262,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010827575C,1658C1,6,1,75.50,25.00,39.64,39.6410,-0.0010,Y,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010827674C,1659C2,12,1,128.50,25.00,128.50,11.8219,116.6781,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010827699C,1658C1,3,1,641.52,25.00,160.38,173.2309,-12.8509,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010827700C,1658C1,6,1,101.32,25.00,50.66,53.1978,-2.5378,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010827865C,1659CR,3,1,0.00,25.00,42.22,0.0000,42.2200,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010827956C,5667AT,1,2,1638.50,25.00,144.19,1638.5000,-1494.3100,N,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010828101C,1659C2,1,2,269.04,25.00,22.42,269.0400,-246.6200,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010828369C,1659C2,12,1,279.25,25.00,279.25,25.6907,253.5593,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010828370C,1659C2,12,1,214.25,25.00,214.25,19.7108,194.5392,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010828599C,1659C2,12,1,134.75,25.00,134.75,12.3969,122.3531,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010829627C,1658C1,12,1,126.00,25.00,126.00,11.5904,114.4096,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010830094C,1659C2,12,1,147.85,25.00,147.85,13.6021,134.2479,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010830309C,1659C2,12,1,0.00,25.00,215.50,0.0000,215.5000,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010830330C,1659C2,1,1,642.50,25.00,59.11,642.5000,-583.3900,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010830632C,1659C2,1,2,121.00,25.00,10.65,121.0000,-110.3500,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010831097C,1659CR,12,1,282.62,25.00,282.62,26.0002,256.6198,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010831284C,1659C2,1,1,124.44,25.00,10.37,124.4400,-114.0700,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010831478C,1658C1,3,1,75.50,25.00,20.39,20.3874,0.0026,Y,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010831492C,1658C1,3,1,637.76,25.00,159.44,172.2156,-12.7756,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010832106C,1658C1,3,1,334.80,25.00,83.70,90.4067,-6.7067,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010832740C,1658C1,1,2,722.28,25.00,60.19,722.2800,-662.0900,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010833377C,1658C1,12,1,200.50,25.00,200.50,18.4434,182.0566,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010833378C,1658C1,3,2,154.72,25.00,38.68,41.7794,-3.0994,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010833382C,1659C2,1,2,231.72,25.00,19.31,231.7200,-212.4100,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010833383C,1659C2,1,2,191.50,25.00,16.86,191.5000,-174.6400,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010833409C,1658C1,1,2,142.32,25.00,11.86,142.3200,-130.4600,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010833410C,1658C1,1,2,281.64,25.00,23.47,281.6400,-258.1700,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010833411C,1659C2,1,2,208.92,25.00,17.41,208.9200,-191.5100,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010833737C,1659C2,3,1,201.96,25.00,50.49,54.5292,-4.0392,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010833858C,5667AT,1,2,1374.00,25.00,120.91,1374.0000,-1253.0900,N,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010833991C,1659C2,12,1,271.00,25.00,271.00,24.9317,246.0683,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010834192C,1658C1,1,2,184.08,25.00,16.20,184.0800,-167.8800,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010834193C,1658C1,1,2,382.80,25.00,31.90,382.8000,-350.9000,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010834274C,1658C1,12,1,131.20,25.00,131.20,12.0687,119.1313,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010834574C,1659C2,12,1,246.75,25.00,246.75,22.7008,224.0492,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010834575C,1659C2,12,1,325.50,25.00,325.50,29.9457,295.5543,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010834737C,1658C1,3,1,129.00,25.00,34.83,34.8341,-0.0041,Y,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010835892C,1659C2,1,1,0.00,25.00,5.89,0.0000,5.8900,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010836252C,1659C2,12,1,217.00,25.00,217.00,19.9638,197.0362,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010836254C,1659C2,1,2,114.50,25.00,10.08,114.5000,-104.4200,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010836908C,1658C1,12,1,78.75,25.00,78.75,7.2440,71.5060,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010837136C,5667AT,1,2,11287.00,25.00,993.26,11287.0000,-10293.7400,N,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010837163C,1659C2,6,1,0.00,25.00,64.71,0.0000,64.7100,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010837532C,1658C1,1,2,81.36,25.00,6.78,81.3600,-74.5800,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010837733C,1659C2,6,1,279.25,25.00,146.61,146.6062,0.0038,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010837734C,1659C2,6,1,343.25,25.00,180.21,180.2063,0.0037,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010838376C,1659C2,3,2,121.00,25.00,32.67,32.6700,0.0000,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010838710C,1659C2,12,1,121.00,25.00,121.00,11.1319,109.8681,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010838863C,1659C2,1,2,234.72,25.00,19.56,234.7200,-215.1600,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010838982C,1659CR,1,2,148.70,25.00,13.09,148.7000,-135.6100,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010839119C,1659C2,1,2,199.75,25.00,17.58,199.7500,-182.1700,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010839122C,1659C2,12,1,128.50,25.00,128.50,11.8219,116.6781,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010839176C,1659C2,1,2,305.25,25.00,26.86,305.2500,-278.3900,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010839177C,1659C2,1,2,125.75,25.00,11.07,125.7500,-114.6800,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010839178C,1659C2,1,2,246.75,25.00,21.71,246.7500,-225.0400,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010839784C,1659C2,1,2,243.36,25.00,20.28,243.3600,-223.0800,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010839848C,5667AT,1,2,252.50,25.00,22.22,252.5000,-230.2800,N,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010840186C,5667AT,1,2,1374.00,25.00,120.91,1374.0000,-1253.0900,N,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010840404C,1659C2,12,1,1025.50,25.00,1025.50,94.3450,931.1550,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010840436C,1658C1,3,1,168.00,25.00,45.36,45.3654,-0.0054,Y,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010840772C,5667AT,1,2,3508.00,25.00,308.70,3508.0000,-3199.3000,N,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010840778C,1659C2,3,1,479.75,25.00,129.53,129.5325,-0.0025,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010840971C,1659C2,3,1,238.50,25.00,64.40,64.3950,0.0050,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010841421C,1658C1,1,1,0.00,25.00,2.70,0.0000,2.7000,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010841422C,1658C1,1,2,0.00,25.00,17.82,0.0000,17.8200,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010841760C,1658C1,3,1,178.00,25.00,48.06,48.0657,-0.0057,Y,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010841782C,1658C1,3,1,140.96,25.00,35.24,38.0637,-2.8237,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010841783C,1658C1,3,1,233.84,25.00,58.46,63.1443,-4.6843,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010841793C,1658C1,1,2,141.72,25.00,11.81,141.7200,-129.9100,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010841972C,1658C1,3,1,291.50,25.00,78.71,78.7143,-0.0043,Y,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010842016C,1659C2,12,1,437.20,25.00,437.20,40.2220,396.9780,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010842017C,1659C2,12,1,423.40,25.00,423.40,38.9524,384.4476,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010842282C,1658C1,3,1,524.80,25.00,141.70,141.7128,-0.0128,Y,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010842293C,1659C2,1,2,114.50,25.00,10.08,114.5000,-104.4200,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010842315C,1659CR,12,1,309.06,25.00,309.06,28.4326,280.6274,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010842857C,1659C2,12,1,200.50,25.00,200.50,18.4458,182.0542,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010843092C,1659CR,1,2,286.50,25.00,25.21,286.5000,-261.2900,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010843241C,1659C2,12,1,1075.50,25.00,1075.50,98.9449,976.5551,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010843714C,1659C2,1,2,290.00,25.00,25.52,290.0000,-264.4800,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010844127C,1659C2,1,2,246.75,25.00,21.71,246.7500,-225.0400,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010844313C,1658C1,1,2,288.84,25.00,24.07,288.8400,-264.7700,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010844324C,1659C2,12,1,585.50,25.00,585.50,53.8654,531.6346,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010844402C,1659C2,12,1,169.75,25.00,169.75,15.6168,154.1332,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010844403C,1659C2,12,1,154.75,25.00,154.75,14.2368,140.5132,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010844428C,1658C1,1,1,153.48,25.00,12.79,153.4800,-140.6900,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010844607C,1659C2,12,1,209.50,25.00,209.50,19.2738,190.2262,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010844919C,5667AT,3,1,5016.00,25.00,1354.32,1354.3200,0.0000,Y,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010845099C,1659C2,12,1,112.75,25.00,112.75,10.3729,102.3771,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010845307C,1659C2,12,1,371.50,25.00,371.50,34.1776,337.3224,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010845709C,1659C2,12,1,468.50,25.00,468.50,43.1015,425.3985,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010845716C,1658C1,6,1,443.62,25.00,221.81,232.9214,-11.1114,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010845863C,1658C1,12,1,79.75,25.00,79.75,7.3360,72.4140,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010845864C,1658C1,3,1,96.50,25.00,26.06,26.0581,0.0019,Y,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010846539C,1658C1,1,2,328.44,25.00,27.37,328.4400,-301.0700,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010846691C,1659C2,1,2,185.50,25.00,16.33,185.5000,-169.1700,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010846692C,1659C2,1,2,119.00,25.00,10.47,119.0000,-108.5300,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010846781C,1659C2,12,1,305.25,25.00,305.25,28.0827,277.1673,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010847118C,1659C2,1,1,608.75,25.00,56.01,608.7500,-552.7400,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010847123C,1659C2,6,1,213.68,25.00,106.84,112.1820,-5.3420,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010847191C,1659C2,12,2,181.00,25.00,181.00,15.9313,165.0687,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010847467C,1659C2,3,1,275.12,25.00,68.78,74.2824,-5.5024,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010847479C,1659C2,12,1,244.25,25.00,244.25,22.4708,221.7792,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010847480C,1659C2,12,1,115.75,25.00,115.75,10.6489,105.1011,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010847481C,1659C2,1,2,377.28,25.00,31.44,377.2800,-345.8400,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010847571C,1658C1,1,2,93.24,25.00,7.77,93.2400,-85.4700,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010847947C,1659C2,6,1,112.75,25.00,59.19,59.1938,-0.0038,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010848255C,1659C2,3,1,149.32,25.00,37.33,40.3164,-2.9864,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010848256C,1659C2,3,1,138.80,25.00,34.70,37.4760,-2.7760,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010848292C,1659C2,6,1,187.00,25.00,98.18,98.1750,0.0050,Y,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010848314C,1659CR,3,1,0.00,25.00,27.79,0.0000,27.7900,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010848398C,1659C2,12,1,146.00,25.00,146.00,13.4319,132.5681,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010849296C,1659CR,12,1,679.93,25.00,679.93,62.5515,617.3785,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010849672C,1659C2,1,2,286.20,25.00,23.85,286.2000,-262.3500,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010849880C,1659C2,1,2,133.12,25.00,11.71,133.1200,-121.4100,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010849882C,1659CR,12,1,611.50,25.00,611.50,56.2562,555.2438,N,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991
010850880C,1658C1,1,2,130.50,25.00,11.48,130.5000,-119.0200,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010850881C,1658C1,1,2,100.75,25.00,8.87,100.7500,-91.8800,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010851112C,1659C2,12,1,121.00,25.00,121.00,11.1319,109.8681,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010851278C,1659C2,12,1,305.25,25.00,305.25,28.0827,277.1673,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010851579C,1659C2,12,1,296.00,25.00,296.00,27.2317,268.7683,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010851580C,1659C2,12,1,244.50,25.00,244.50,22.4938,222.0062,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010852748C,1658C1,1,2,160.20,25.00,13.35,160.2000,-146.8500,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010852966C,1659C2,12,1,0.00,25.00,121.00,0.0000,121.0000,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010853285C,1658C1,1,2,258.24,25.00,21.52,258.2400,-236.7200,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010853539C,1659C2,12,1,109.75,25.00,109.75,10.0969,99.6531,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010854307C,1658C1,1,2,186.36,25.00,15.53,186.3600,-170.8300,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010855165C,1659C2,1,2,0.00,25.00,18.19,0.0000,18.1900,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010855418C,1658C1,1,2,472.08,25.00,39.34,472.0800,-432.7400,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010855945C,1658C1,1,1,148.44,25.00,12.37,148.4400,-136.0700,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010856189C,1658C1,1,2,75.24,25.00,6.27,75.2400,-68.9700,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010856342C,5667AT,3,1,1847.50,25.00,498.83,498.8250,0.0050,Y,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010856920C,1659C2,3,1,0.00,25.00,28.01,0.0000,28.0100,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010857359C,1659C2,1,2,119.04,25.00,9.92,119.0400,-109.1200,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
010857632C,5667AT,1,2,595.75,25.00,52.43,595.7500,-543.3200,N,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002
010857637C,1658C1,1,2,71.75,25.00,6.31,71.7500,-65.4400,N,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993
010857727C,1659C2,12,1,329.25,25.00,329.25,30.2907,298.9593,N,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005
