mpolicy,mphase,claimnum,family,lifecycle,before_claimstat,after_claimstat,reason,has_payment,mpaid,pddate,origsttus
011195567C,1,RC-9011195567,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011195589C,1,RC-9011195589,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25027.38,20180803,3
011195601C,1,RC-9011195601,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011195602C,1,RC-9011195602,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011195642C,1,RC-9011195642,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3065.56,20210412,3
011195673C,1,RC-9011195673,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5034.14,20251216,3
011195913C,1,RC-9011195913,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,50153.12,20220124,3
011195919C,1,RC-9011195919,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10001.41,20240731,3
011196111C,1,RC-9011196111,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,6014.31,20221218,3
011196182C,1,RC-9011196182,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5009.85,20230826,3
011196521C,1,RC-9011196521,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15000.00,20241231,3
011196775C,1,RC-9011196775,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10211.64,20221123,3
011196852C,1,RC-9011196852,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10034.12,20240314,3
011196869C,1,RC-9011196869,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011197039C,1,RC-9011197039,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5027.75,20180601,3
011197492C,1,RC-9011197492,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5049.65,20181021,3
011197533C,1,RC-9011197533,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8007.48,20180221,3
011197578C,1,RC-9011197578,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3034.09,20220130,3
011197709C,1,RC-9011197709,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10118.02,20220920,3
011197714C,1,RC-9011197714,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011198073C,1,RC-9011198073,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011198305C,1,RC-9011198305,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011198306C,1,RC-9011198306,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011198534C,1,RC-9011198534,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10052.58,20231201,3
011198734C,1,RC-9011198734,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10052.65,20240706,3
011198799C,1,RC-9011198799,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011198951C,1,RC-9011198951,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011199046C,1,RC-9011199046,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10171.24,20211220,3
011199527C,1,RC-9011199527,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,20091.97,,99
011199549C,1,RC-9011199549,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011199782C,1,RC-9011199782,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011199974C,1,RC-9011199974,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011199974C,1,RC-9011199974,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011200012C,1,RC-9011200012,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,20081.75,20260322,3
011200196C,1,RC-9011200196,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011200500C,1,RC-9011200500,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8018.94,20210920,3
011200872C,1,RC-9011200872,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011201212C,1,RC-9011201212,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7525.41,20190919,3
011201312C,1,RC-9011201312,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10029.81,20190922,3
011201621C,1,RC-9011201621,DEATH_CLAIM,FUNDED,1,2,DEATH_PAID_IN_FULL,True,0.00,,1
011201656C,1,RC-9011201656,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10024.95,20230723,3
011201896C,1,RC-9011201896,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,2114.71,20250127,3
011202182C,1,RC-9011202182,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,18930.09,20201224,3
011202750C,1,RC-9011202750,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10080.70,20220320,3
011203122C,1,RC-9011203122,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5096.06,20250126,3
011204042C,1,RC-9011204042,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5052.39,20210727,3
011204292C,1,RC-9011204292,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8021.05,20231213,3
011204761C,1,RC-9011204761,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10497.78,20180824,3
011204824C,1,RC-9011204824,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8000.00,20201207,3
011204960C,1,RC-9011204960,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5028.58,20210326,3
011204984C,1,RC-9011204984,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8015.76,20221117,3
011205079C,1,RC-9011205079,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10000.00,20240128,3
011206380C,1,RC-9011206380,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011206462C,1,RC-9011206462,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,17772.50,,99
011206562C,1,RC-9011206562,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10020.96,20260127,3
011206644C,1,RC-9011206644,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011207112C,1,RC-9011207112,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011207210C,1,RC-9011207210,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25119.04,20210612,3
011207222C,1,RC-9011207222,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011207677C,1,RC-9011207677,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10061.44,20260127,3
011207733C,1,RC-9011207733,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5052.44,20251023,3
011208104C,1,RC-9011208104,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,4000.00,20210508,3
011208194C,1,RC-9011208194,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011208787C,1,RC-9011208787,DEATH_CLAIM,FUNDED,1,2,DEATH_PAID_IN_FULL,True,0.00,,1
011208817C,1,RC-9011208817,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7032.61,20180805,3
011209963C,1,RC-9011209963,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3208.14,20220922,3
011210089C,1,RC-9011210089,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,2157.99,20240904,3
011210337C,1,RC-9011210337,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10060.87,20220605,3
011210611C,1,RC-9011210611,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011211133C,1,RC-9011211133,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011212050C,1,RC-9011212050,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25458.16,20251220,3
011212753C,1,RC-9011212753,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5038.05,20180808,3
011213262C,1,RC-9011213262,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10039.53,20200710,3
011215550C,1,RC-9011215550,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011216497C,1,RC-9011216497,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25078.47,20190624,3
011216545C,1,RC-9011216545,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25153.89,20220130,3
011217112C,1,RC-9011217112,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,2566.44,20240113,3
011217970C,1,RC-9011217970,DEATH_CLAIM,FUNDED,1,2,DEATH_PAID_IN_FULL,True,0.00,,1
011217970C,1,RC-9011217970,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011218020C,1,RC-9011218020,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25098.85,20190725,3
011219517C,1,RC-9011219517,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011219517C,1,RC-9011219517,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011219543C,1,RC-9011219543,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10040.85,20230925,3
011220581C,1,RC-9011220581,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5137.67,20211208,3
011220928C,1,RC-9011220928,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011222530C,1,RC-9011222530,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25072.37,20230409,3
011222585C,1,RC-9011222585,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10056.50,20210106,3
011223517C,1,RC-9011223517,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10103.94,20250602,3
011223520C,1,RC-9011223520,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25036.81,20230721,3
011223568C,1,RC-9011223568,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5102.00,20221218,3
011224349C,1,RC-9011224349,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011224874C,1,RC-9011224874,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5003.88,20230727,3
011225266C,1,RC-9011225266,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10047.74,20250326,3
011225329C,1,RC-9011225329,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5087.86,20260227,3
011225416C,1,RC-9011225416,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5084.84,20240216,3
011226577C,1,RC-9011226577,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25057.50,20230709,3
011227429C,1,RC-9011227429,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011227528C,1,RC-9011227528,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,20037.69,20210131,3
011229408C,1,RC-9011229408,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10050.25,20230408,3
011229565C,1,RC-9011229565,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15042.94,20200927,3
011230767C,1,RC-9011230767,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011231670C,1,RC-9011231670,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10034.14,20241224,3
011233593C,1,RC-9011233593,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5021.70,20190520,3
011233776C,1,RC-9011233776,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10030.27,20210121,3
011233828C,1,RC-9011233828,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9992.58,20200825,3
011235719C,1,RC-9011235719,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15087.82,20220224,3
011237657C,1,RC-9011237657,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7068.54,20250503,3
011237660C,1,RC-9011237660,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15047.12,20190704,3
011238321C,1,RC-9011238321,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10065.47,20200110,3
011239255C,1,RC-9011239255,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,6074.21,20241029,3
011240164C,1,RC-9011240164,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011243759C,1,RC-9011243759,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15034.75,20201011,3
011246930C,1,RC-9011246930,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011246931C,1,RC-9011246931,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10030.97,20250825,3
011247184C,1,RC-9011247184,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10045.03,20220114,3
011249066C,1,RC-9011249066,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15044.62,20230810,3
011251167C,1,RC-9011251167,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011253004C,1,RC-9011253004,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10204.92,20231025,3
011254298C,1,RC-9011254298,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8040.85,20260228,3
011254827C,1,RC-9011254827,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25055.50,20241113,3
011257364C,1,RC-9011257364,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,50039.19,20201026,3
011257460C,1,RC-9011257460,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15015.30,20180223,3
011257863C,1,RC-9011257863,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8905.25,20230514,3
011258185C,1,RC-9011258185,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011259189C,1,RC-9011259189,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,17255.83,20230323,3
011259930C,1,RC-9011259930,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011260458C,1,RC-9011260458,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5036.62,20190520,3
011261438C,1,RC-9011261438,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,6043.73,20220524,3
011261439C,1,RC-9011261439,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25177.83,20240317,3
011262629C,1,RC-9011262629,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011263511C,1,RC-9011263511,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25270.48,20251221,3
011263633C,1,RC-9011263633,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,20109.48,20210528,3
011267131C,1,RC-9011267131,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5073.04,20200709,3
011268908C,1,RC-9011268908,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15380.43,20240110,3
011269176C,1,RC-9011269176,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7246.67,20230615,3
011269384C,1,RC-9011269384,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5069.60,20250220,3
011269384C,1,RC-9011269384,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011271241C,1,RC-9011271241,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8075.29,20211112,3
011272315C,1,RC-9011272315,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25426.20,20230323,3
011273480C,1,RC-9011273480,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15118.73,20240516,3
011274754C,1,RC-9011274754,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011283208C,1,RC-9011283208,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
011283990C,1,RC-9011283990,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,25445.78,20241101,3
01142D978C,1,RC-901142D978,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3136.10,20241108,3
01154D174C,1,RC-901154D174,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,1658.12,20200619,3
01185D536C,1,RC-901185D536,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,1058.82,20241108,3
01185D536C,1,RC-901185D536,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,1058.82,,99
015000078C,1,RC-9015000078,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3019.81,20200526,3
015000089C,1,RC-9015000089,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3023.59,20240103,3
015000103C,1,RC-9015000103,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5000.00,20200418,3
015000211C,1,RC-9015000211,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3021.30,20190317,3
015000224C,1,RC-9015000224,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3004.85,20201219,3
015000261C,1,RC-9015000261,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,2638.58,20210910,3
015000270C,1,RC-9015000270,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5069.69,20220207,3
015000466C,1,RC-9015000466,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
015000531C,1,RC-9015000531,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7607.39,20191002,3
015000544C,1,RC-9015000544,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5026.84,20220908,3
015000581C,1,RC-9015000581,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7551.46,20180205,3
015000602C,1,RC-9015000602,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
015000622C,1,RC-9015000622,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7539.63,20260107,3
015000632C,1,RC-9015000632,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5182.95,20230810,3
015000678C,1,RC-9015000678,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7598.08,20180128,3
   018253C,1,RC-9018253-1-,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
  018712FC,1,RC-9018712F-1,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
 01ML4054C,1,RC-901ML4054-,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
 01ML8214C,1,RC-901ML8214-,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,1.04,,99
01ML8378AC,1,RC-901ML8378A,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,290.24,20191219,3
 01ML8457C,1,RC-901ML8457-,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010150740C,1,RC-9010150740,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3213.59,20230509,3
010331157C,1,RC-9010331157,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,19636.31,20190315,3
010335038C,1,RC-9010335038,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11777.05,20180422,3
010150910C,1,RC-9010150910,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,1134.57,20200423,3
010363098C,1,RC-9010363098,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7770.08,20220917,3
010368703C,1,RC-9010368703,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,12890.67,20210114,3
010371171C,1,RC-9010371171,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,12834.01,20240624,3
010374779C,1,RC-9010374779,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8353.43,20200530,3
010376540C,1,RC-9010376540,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11792.30,20181014,3
010376540C,1,RC-9010376540,DEATH_CLAIM,PAID,3,2,DEATH_PAID_IN_FULL,True,11792.30,20190220,3
010378829C,1,RC-9010378829,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7174.45,20210829,3
010382520C,1,RC-9010382520,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7807.24,20200820,3
010382931C,1,RC-9010382931,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,17290.30,20220210,3
010385491C,1,RC-9010385491,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,13490.14,20190501,3
010385491C,1,RC-9010385491,DEATH_CLAIM,PAID,3,2,DEATH_PAID_IN_FULL,True,13490.14,20210707,3
010389651C,1,RC-9010389651,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,22352.18,20240727,3
010393158C,1,RC-9010393158,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11321.70,20210207,3
010394249C,1,RC-9010394249,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,13044.15,20240916,3
010394662C,1,RC-9010394662,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,4928.40,20211009,3
010395878C,1,RC-9010395878,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,7158.62,20180113,3
010396147C,1,RC-9010396147,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10133.83,20250106,3
010397945C,1,RC-9010397945,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5367.56,20211113,3
010398274C,1,RC-9010398274,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,15088.91,20240313,3
010398591C,1,RC-9010398591,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11683.11,20190827,3
010401181C,1,RC-9010401181,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8600.48,20180316,3
010407533C,1,RC-9010407533,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9206.17,20250911,3
010410566C,1,RC-9010410566,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,5470.48,20230429,3
010411499C,1,RC-9010411499,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,20934.25,20200831,3
010412522C,1,RC-9010412522,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,20435.43,20190718,3
010412526C,1,RC-9010412526,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9197.24,20200727,3
010413417C,1,RC-9010413417,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11563.20,20181227,3
010413628C,1,RC-9010413628,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10234.54,20210531,3
010414235C,1,RC-9010414235,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9060.74,20201120,3
010415834C,1,RC-9010415834,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,9380.63,20200722,3
010418562C,1,RC-9010418562,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,6816.41,20180504,3
010424798C,1,RC-9010424798,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8389.72,20230921,3
010425718C,1,RC-9010425718,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,6529.09,20181217,3
010425928C,1,RC-9010425928,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,11036.05,20231017,3
010426858C,1,RC-9010426858,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,14301.78,20181213,3
010426961C,1,RC-9010426961,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,22043.15,20260125,3
010427457C,1,RC-9010427457,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,8367.72,20231007,3
010427723C,1,RC-9010427723,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,13513.69,20180117,3
010428771C,1,RC-9010428771,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10047.24,20200311,3
010429064C,1,RC-9010429064,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,22844.25,20240110,3
