MPOLICY,MPHASE,MPLAN,base_MPHSTAT,before_MPHSTAT,before_MEFFDATE,before_MAGE,before_MLASTANN,before_MPAYUP,after_MPHSTAT,after_MEFFDATE,after_MAGE,after_MLASTANN,after_MPAYUP
010459527C,2,1708PA,22,22,19770101,28,49,20340101,41,19750101,26,51,19750101
010459653C,2,1708PA,53,56,19770101,23,49,20420101,56,19750101,21,51,19750101
010459723C,2,1708PA,44,56,19770101,10,49,20550101,41,19750101,08,51,19750101
010459814C,2,1708PA,22,22,19770115,32,49,20330115,41,19750115,30,51,19750115
010459850C,2,1708PA,44,56,19770201,25,49,20400201,41,19750201,23,51,19750201
010460652C,2,1708PA,53,56,19770215,45,49,20170215,56,19750215,43,51,19750215
010460653C,2,1708PA,41,22,19770215,39,49,20260215,41,19750215,37,51,19750215
010460886C,2,1708PA,55,56,19770215,11,49,20510215,56,19750215,09,51,19750215
010461210C,3,1960PA,22,22,19770207,27,49,20500207,41,19750207,25,51,19750207
010461689C,2,1708PA,53,56,19770315,48,49,20170315,56,19750315,46,51,19750315
010462057C,2,1708PA,22,22,19770401,27,49,20380401,41,19750401,25,51,19750401
010462415C,2,1708PA,41,22,19770415,45,49,20200415,41,19750415,43,51,19750415
010462630C,2,1708PA,55,56,19770501,30,49,20350501,56,19750501,28,51,19750501
010462631C,2,1708PA,55,56,19770501,06,49,20560501,56,19750501,04,51,19750501
010462839C,2,1708PA,55,56,19770501,12,49,20530501,56,19750501,10,51,19750501
010463161C,2,1960PA,53,56,19770413,53,49,19890413,56,19750413,51,51,19750413
010463190C,2,1960PA,55,56,19770425,44,49,20360425,56,19750425,42,51,19750425
010463420C,2,1708PA,53,56,19770601,46,49,20190601,56,19750601,44,51,19750601
010463553C,2,1708PA,22,22,19770601,25,49,20400601,41,19750601,23,51,19750601
010464265C,2,1708PA,53,56,19770701,17,49,20480701,56,19750701,15,51,19750701
010464869C,2,1708PA,53,56,19770715,51,49,20110715,56,19750715,49,51,19750715
010464870C,2,1708PA,53,56,19770715,46,49,20190715,56,19750715,44,51,19750715
010465331C,2,1708PA,41,22,19770815,44,49,20210815,41,19750815,42,51,19750815
010465363C,2,1708PA,22,22,19770815,20,49,20420815,41,19750815,18,51,19750815
010465451C,2,1708PA,53,56,19770815,41,49,20210815,56,19750815,39,51,19750815
010466391C,2,1708PA,22,22,19770915,31,49,20310915,41,19750915,29,51,19750915
010466392C,2,1708PA,22,22,19770915,28,49,20370915,41,19750915,26,51,19750915
010466458C,2,1708PA,53,56,19770915,45,49,20170915,56,19750915,43,51,19750915
010466470C,2,1708PA,55,56,19770915,38,49,20270915,56,19750915,36,51,19750915
010466471C,2,1708PA,44,56,19770915,17,49,20450915,41,19750915,15,51,19750915
010466472C,2,1708PA,44,56,19770915,11,49,20510915,41,19750915,09,51,19750915
010466473C,2,1708PA,55,56,19770915,13,49,20520915,56,19750915,11,51,19750915
010466702C,2,1708PA,53,56,19771001,40,49,20251001,56,19751001,38,51,19751001
010466706C,2,1708PA,22,22,19771001,06,49,20591001,41,19751001,04,51,19751001
010466978C,2,1708PA,22,22,19771015,24,49,20411015,41,19751015,22,51,19751015
010467025C,2,1708PA,22,22,19771015,04,49,20581015,41,19751015,02,51,19751015
010467154C,3,1960PA,22,22,19770923,09,49,20680923,41,19750923,07,51,19750923
010467173C,2,1708PA,55,56,20061015,70,20,20211015,56,19751015,39,51,19751015
010467185C,2,1708PA,22,22,19771015,11,49,20511015,41,19751015,09,51,19751015
010467190C,2,1708PA,53,56,19771015,51,49,20111015,56,19751015,49,51,19751015
010467500C,2,1960PA,22,22,19771004,02,49,20751004,41,19751004,00,51,19751004
010467771C,2,1708PA,22,22,19771115,34,49,20311115,41,19751115,32,51,19751115
010468945C,2,1708PA,22,22,19780101,36,48,20270101,41,19760101,34,50,19760101
010468946C,2,1708PA,53,56,19780101,35,48,20310101,56,19760101,33,50,19760101
010469081C,2,1708PA,55,56,19780101,46,48,20170101,56,19760101,44,50,19760101
010469579C,2,1708PA,22,22,19780115,20,48,20430115,41,19760115,18,50,19760115
010469728C,2,1708PA,44,56,19780115,13,48,20500115,41,19760115,11,50,19760115
010469896C,2,1960PA,55,56,19780122,34,48,20440122,56,19760122,32,50,19760122
010469984C,2,1960PA,53,56,19780116,54,48,19890116,56,19760116,52,50,19760116
010469985C,2,1960PA,53,56,19780116,46,48,19970116,56,19760116,44,50,19760116
010471046C,2,1960PA,22,22,19780301,03,48,20750301,41,19760301,01,50,19760301
010471534C,2,1708PA,45,56,19780315,14,48,20520315,41,19760315,12,50,19760315
010472182C,2,1708PA,55,56,19780401,41,48,20220401,56,19760401,39,50,19760401
010472183C,2,1708PA,55,56,19780401,42,48,20240401,56,19760401,40,50,19760401
010473137C,2,1708PA,53,56,19780501,56,48,20100501,56,19760501,54,50,19760501
010473866C,2,1708PA,55,56,19780515,47,48,20190515,56,19760515,45,50,19760515
010473867C,2,1708PA,22,22,19780515,19,48,20440515,41,19760515,17,50,19760515
010473868C,2,1708PA,22,22,19780515,17,48,20490515,41,19760515,15,50,19760515
010474317C,2,1708PA,22,22,19780601,34,48,20290601,41,19760601,32,50,19760601
010474318C,2,1708PA,22,22,19780601,26,48,20400601,41,19760601,24,50,19760601
010474519C,2,1708PA,53,56,19780601,57,48,20090601,56,19760601,55,50,19760601
010474522C,2,1708PA,55,56,19780601,27,48,20390601,56,19760601,25,50,19760601
010475571C,2,1708PA,55,56,19780701,38,48,20280701,56,19760701,36,50,19760701
010475850C,2,1708PA,53,56,19780701,55,48,20110701,56,19760701,53,50,19760701
010476803C,2,1708PA,53,56,19780801,43,48,20200801,56,19760801,41,50,19760801
010477512C,2,1708PA,53,56,19780815,42,48,20210815,56,19760815,40,50,19760815
010477513C,2,1708PA,53,56,19780815,40,48,20260815,56,19760815,38,50,19760815
010477989C,2,1708PA,55,56,19780901,40,48,20260901,56,19760901,38,50,19760901
010478213C,2,1960PA,22,22,19780810,06,48,20720810,41,19760810,04,50,19760810
010478214C,2,1960PA,22,22,19780810,03,48,20750810,41,19760810,01,50,19760810
010478285C,2,1708PA,53,56,19780901,32,48,20340901,56,19760901,30,50,19760901
010479749C,2,1708PA,53,56,19781001,44,48,20221001,56,19761001,42,50,19761001
010483386C,2,1708PA,41,22,19790101,39,47,20250101,41,19770101,37,49,19770101
010484578C,3,1960PA,22,22,19790118,31,47,20480118,41,19770118,29,49,19770118
010484821C,2,1708PA,53,56,19790215,51,47,20160215,56,19770215,49,49,19770215
010484864C,2,1960PA,22,22,19790124,02,47,20770124,41,19770124,00,49,19770124
010486919C,2,1708PA,53,56,19790401,52,47,20150401,56,19770401,50,49,19770401
010486961C,2,1708PA,41,22,19790401,48,47,20190401,41,19770401,46,49,19770401
010486964C,2,1708PA,53,56,19790401,56,47,20080401,56,19770401,54,49,19770401
010487125C,2,1708PA,22,22,19790401,15,47,20490401,41,19770401,13,49,19770401
010487396C,2,1708PA,22,22,19790415,38,47,20290415,41,19770415,36,49,19770415
010488273C,2,1708PA,22,22,19790415,30,47,20340415,41,19770415,28,49,19770415
010488274C,2,1708PA,53,56,19790415,31,47,20360415,56,19770415,29,49,19770415
010488878C,5,1960PA,22,22,19790406,25,47,20540406,41,19770406,23,49,19770406
010489508C,2,1708PA,53,56,19790515,35,47,20290515,56,19770515,33,49,19770515
010491000C,2,1960PA,53,56,19790523,30,47,20490523,56,19770523,28,49,19770523
010494171C,2,1708PA,55,56,19790815,51,47,20160815,56,19770815,49,49,19770815
010495120C,2,1708PA,41,22,19790901,45,47,20190901,41,19770901,43,49,19770901
010495122C,2,1708PA,22,22,19790901,20,47,20440901,41,19770901,18,49,19770901
010498153C,2,1960PA,53,56,19791008,47,47,20321008,56,19771008,45,49,19771008
010498260C,2,1708PA,53,56,19791101,54,47,20131101,56,19771101,52,49,19771101
010499674C,2,1708PA,53,56,19791215,52,47,20151215,56,19771215,50,49,19771215
010499702C,2,1708PA,53,56,19791215,54,47,20131215,56,19771215,52,49,19771215
010501142C,3,1960PA,22,22,19791127,33,47,20461127,41,19771127,31,49,19771127
010501836C,2,1708PA,53,56,19800115,44,46,20210115,56,19780115,42,48,19780115
010502820C,2,1960PA,53,56,19800304,38,46,20420304,56,19780304,36,48,19780304
010502995C,2,1708PA,44,56,19800215,29,46,20390215,41,19780215,27,48,19780215
010502996C,2,1708PA,57,56,19800215,34,46,20310215,56,19780215,32,48,19780215
010505481C,2,1708PA,45,56,19800401,02,46,20630401,41,19780401,00,48,19780401
010506408C,2,1708PA,22,22,19800415,39,46,20290415,41,19780415,37,48,19780415
010506497C,2,1708PA,22,22,19800415,26,46,20420415,41,19780415,24,48,19780415
010510553C,2,1708PA,45,56,19800701,33,46,20320701,41,19780701,31,48,19780701
010510979C,2,1708PA,22,56,19800715,22,46,20460715,41,19780715,20,48,19780715
010510979C,3,1708PA,22,22,20050715,47,21,20460715,41,19780715,20,48,19780715
010511240C,2,1708PA,53,56,19800715,55,46,20100715,56,19780715,53,48,19780715
010511355C,2,1708PA,53,56,19800715,43,46,20250715,56,19780715,41,48,19780715
010511795C,2,1708PA,22,22,19800801,11,46,20570801,41,19780801,09,48,19780801
010512061C,2,1708PA,57,56,19800815,55,46,20100815,56,19780815,53,48,19780815
010513607C,2,1708PA,41,22,19800915,47,46,20210915,41,19780915,45,48,19780915
010513627C,4,1960PA,22,22,19800815,19,46,20610815,41,19780815,17,48,19780815
010514052C,4,1960PA,22,22,19800824,27,46,20530824,41,19780824,25,48,19780824
010515598C,2,1708PA,53,56,19800915,57,46,20110915,56,19780915,55,48,19780915
010517231C,2,1708PA,53,56,19801015,41,46,20271015,56,19781015,39,48,19781015
010518048C,2,1708PA,22,22,19801101,36,46,20321101,41,19781101,34,48,19781101
010518049C,2,1708PA,22,22,19801101,32,46,20361101,41,19781101,30,48,19781101
010518050C,2,1708PA,53,56,19801101,42,46,20231101,56,19781101,40,48,19781101
010518051C,2,1708PA,22,22,19801101,39,46,20291101,41,19781101,37,48,19781101
010518545C,2,1708PA,41,22,19801115,48,46,20171115,41,19781115,46,48,19781115
010520217C,4,1960PA,53,56,19801115,31,46,20491115,56,19781115,29,48,19781115
010521213C,2,1708PA,50,22,19810101,43,45,20230101,22,19790101,41,47,19790101
010521651C,2,1708PA,53,56,19810101,51,45,20150101,56,19790101,49,47,19790101
010521756C,4,1960PA,55,56,19801218,02,46,20781218,56,19781218,00,48,19781218
010523058C,2,1708PA,55,56,19810201,42,45,20270201,56,19790201,40,47,19790201
010524282C,3,1960PA,22,22,19810125,06,45,20750125,41,19790125,04,47,19790125
010525250C,2,1708PA,44,56,19810401,19,45,20470401,41,19790401,17,47,19790401
010526524C,2,1708PA,55,56,19810415,18,45,20480415,56,19790415,16,47,19790415
010526526C,2,1708PA,53,56,19810415,45,45,20210415,56,19790415,43,47,19790415
010527102C,2,1708PA,22,22,19810415,09,45,20600415,41,19790415,07,47,19790415
010527103C,2,1708PA,22,22,19810415,05,45,20640415,41,19790415,03,47,19790415
010529613C,2,1708PA,22,22,19810601,29,45,20370601,41,19790601,27,47,19790601
010529973C,3,1960PA,55,56,19810507,24,45,20570507,56,19790507,22,47,19790507
010529993C,2,1708PA,22,22,19810601,30,45,20360601,41,19790601,28,47,19790601
010539198C,2,1708PA,55,56,19811101,22,45,20441101,56,19791101,20,47,19791101
010540774C,2,1708PA,22,22,19811115,07,45,20621115,41,19791115,05,47,19791115
010540781C,2,1708PA,22,22,19811115,09,45,20601115,41,19791115,07,47,19791115
010541669C,2,1708PA,44,56,19811201,16,45,20501201,41,19791201,14,47,19791201
010543558C,2,1708PA,22,22,19820101,30,44,20370101,41,19800101,28,46,19800101
010543559C,2,1708PA,22,22,19820101,30,44,20400101,41,19800101,28,46,19800101
010544182C,2,1960PA,53,56,19811217,39,45,20421217,56,19791217,37,47,19791217
010545196C,2,2665PA,53,56,19820107,47,44,20300107,56,19800107,45,46,19800107
010545623C,2,1708PA,41,22,19820215,47,44,20230215,41,19800215,45,46,19800215
010546961C,2,1708PA,55,56,19820301,18,44,20520301,56,19800301,16,46,19800301
010546964C,2,1708PA,22,22,19820301,19,44,20480301,41,19800301,17,46,19800301
010547021C,2,1708PA,22,22,19820301,23,44,20440301,41,19800301,21,46,19800301
010547488C,3,1960PA,55,56,19820212,37,44,20450212,56,19800212,35,46,19800212
010547892C,2,1708PA,22,22,19820315,25,44,20420315,41,19800315,23,46,19800315
010548366C,3,1960PA,53,56,19820225,28,44,20540225,56,19800225,26,46,19800225
010550088C,2,1708PA,22,22,19820415,17,44,20500415,41,19800415,15,46,19800415
010550564C,2,1708PA,53,56,19820415,45,44,20220415,56,19800415,43,46,19800415
010552856C,2,1960PA,22,22,19820505,22,44,20600505,41,19800505,20,46,19800505
010555054C,3,1960PA,22,22,19820613,02,44,20800613,41,19800613,00,46,19800613
010557142C,2,1708PA,55,56,19820815,42,44,20250815,56,19800815,40,46,19800815
010559537C,2,1708PA,55,56,19820915,14,44,20560915,56,19800915,12,46,19800915
010560185C,2,1708PA,22,22,19821001,14,44,20561001,41,19801001,12,46,19801001
010565013C,2,1708PA,22,22,19821215,28,44,20391215,41,19801215,26,46,19801215
010567983C,2,1960PA,22,22,19830110,03,43,20800110,41,19810110,01,45,19810110
010576755C,2,1705PA,44,56,19830515,20,43,20510515,41,19810515,18,45,19810515
010578323C,2,1960PA,22,22,19830527,05,43,20780527,41,19810527,03,45,19810527
010580685C,2,1708PA,22,22,19830701,08,43,20600701,41,19810701,06,45,19810701
010581795C,2,1705PA,55,56,19830701,43,43,20280701,56,19810701,41,45,19810701
010586005C,2,1960PA,53,56,20210723,69,5,20520723,56,19810723,29,45,19810723
010590419C,2,1708PA,22,22,19830915,36,43,20350915,41,19810915,34,45,19810915
010598049C,2,1708PA,22,22,19831115,29,43,20391115,41,19811115,27,45,19811115
010598050C,2,1708PA,22,22,19831115,30,43,20411115,41,19811115,28,45,19811115
010607249C,2,1708PA,53,56,19840115,61,42,20110115,56,19820115,59,44,19820115
010615191C,2,1708PA,22,22,19840315,37,42,20320315,41,19820315,35,44,19820315
010615192C,2,1708PA,22,22,19840315,35,42,20370315,41,19820315,33,44,19820315
