Old_Value,New_Value
9010786878,010786878C
9010786886,010786886C
9010786896,010786896C
9010786945,010786945C
9010787147,010787147C
9010787151,010787151C
9010787237,010787237C
9010787351,010787351C
9010787390,010787390C
9010787511,010787511C
9010787513,010787513C
9010787560,010787560C
9010787639,010787639C
9010787668,010787668C
9010787669,010787669C
9010787730,010787730C
9010787761,010787761C
9010787762,010787762C
9010787952,010787952C
9010788086,010788086C
9010788102,010788102C
9010788111,010788111C
9010788188,010788188C
9010788197,010788197C
9010788421,010788421C
9010788426,010788426C
9010788679,010788679C
9010788860,010788860C
9010788878,010788878C
9010788886,010788886C
9010789095,010789095C
9010789213,010789213C
9010789348,010789348C
9010789351,010789351C
9010789375,010789375C
9010789384,010789384C
9010789525,010789525C
9010789531,010789531C
9010789532,010789532C
9010789546,010789546C
9010789547,010789547C
9010789876,010789876C
9010789992,010789992C
9010790002,010790002C
9010790054,010790054C
9010790077,010790077C
9010790170,010790170C
9010790176,010790176C
9010790287,010790287C
9010790531,010790531C
9010790532,010790532C
9010790543,010790543C
9010790754,010790754C
9010790755,010790755C
9010790758,010790758C
9010790759,010790759C
9010790779,010790779C
9010790782,010790782C
9010790787,010790787C
9010791078,010791078C
9010791176,010791176C
9010791323,010791323C
9010791405,010791405C
9010791457,010791457C
9010791462,010791462C
9010791466,010791466C
9010791497,010791497C
9010791498,010791498C
9010791597,010791597C
9010791744,010791744C
9010791789,010791789C
9010792037,010792037C
9010792038,010792038C
9010792068,010792068C
9010792082,010792082C
9010792116,010792116C
9010792296,010792296C
9010792420,010792420C
9010792456,010792456C
9010792541,010792541C
9010792607,010792607C
9010792609,010792609C
9010792701,010792701C
9010792705,010792705C
9010792706,010792706C
9010792713,010792713C
9010792884,010792884C
9010792961,010792961C
9010792979,010792979C
9010792997,010792997C
9010793204,010793204C
9010793292,010793292C
9010793353,010793353C
9010793451,010793451C
9010793582,010793582C
9010793598,010793598C
9010793722,010793722C
9010793727,010793727C
9010793737,010793737C
9010793738,010793738C
9010793830,010793830C
9010793836,010793836C
9010793968,010793968C
9010793970,010793970C
9010794095,010794095C
9010794098,010794098C
9010794099,010794099C
9010794112,010794112C
9010794116,010794116C
9010794265,010794265C
9010794367,010794367C
9010794372,010794372C
9010794435,010794435C
9010794514,010794514C
9010794518,010794518C
9010794520,010794520C
9010794629,010794629C
9010794730,010794730C
9010794731,010794731C
9010794751,010794751C
9010795047,010795047C
9010795121,010795121C
9010795213,010795213C
9010795215,010795215C
9010795228,010795228C
9010795229,010795229C
9010795361,010795361C
9010795562,010795562C
9010795564,010795564C
9010795565,010795565C
9010795609,010795609C
9010795612,010795612C
9010795618,010795618C
9010795699,010795699C
9010795840,010795840C
9010795841,010795841C
9010795890,010795890C
9010795898,010795898C
9010796058,010796058C
9010796325,010796325C
9010796355,010796355C
9010796356,010796356C
9010796459,010796459C
9010796464,010796464C
9010796483,010796483C
9010796535,010796535C
9010796554,010796554C
9010796707,010796707C
9010796767,010796767C
9010796821,010796821C
9010796908,010796908C
9010796912,010796912C
9010796913,010796913C
9010796916,010796916C
9010796917,010796917C
9010797181,010797181C
9010797196,010797196C
9010797197,010797197C
9010797765,010797765C
9010797766,010797766C
9010797831,010797831C
9010797832,010797832C
9010797854,010797854C
9010797922,010797922C
9010798018,010798018C
9010798024,010798024C
9010798029,010798029C
9010798030,010798030C
9010798031,010798031C
9010798045,010798045C
9010798438,010798438C
9010798462,010798462C
9010798515,010798515C
9010798517,010798517C
9010799083,010799083C
9010799173,010799173C
9010799270,010799270C
9010799472,010799472C
9010799487,010799487C
9010799590,010799590C
9010799675,010799675C
9010799703,010799703C
9010799821,010799821C
9010799895,010799895C
9010800097,010800097C
9010800286,010800286C
9010800350,010800350C
9010800356,010800356C
9010800475,010800475C
9010800667,010800667C
9010800881,010800881C
9010801178,010801178C
9010801256,010801256C
9010801272,010801272C
9010801398,010801398C
9010801399,010801399C
9010801730,010801730C
9010801734,010801734C
9010801893,010801893C
9010801948,010801948C
9010801956,010801956C
9010802045,010802045C
9010802188,010802188C
9010802494,010802494C
9010802626,010802626C
9010802627,010802627C
9010802643,010802643C
9010802644,010802644C
9010802646,010802646C
9010802647,010802647C
9010802649,010802649C
9010802656,010802656C
9010802911,010802911C
9010803025,010803025C
9010803026,010803026C
9010803044,010803044C
9010803046,010803046C
9010803048,010803048C
9010803049,010803049C
9010803050,010803050C
9010803051,010803051C
9010803244,010803244C
9010803417,010803417C
9010803420,010803420C
9010803421,010803421C
9010803442,010803442C
9010803644,010803644C
9010803649,010803649C
9010803659,010803659C
9010803660,010803660C
9010803672,010803672C
9010803673,010803673C
9010803676,010803676C
9010803680,010803680C
9010803681,010803681C
9010803682,010803682C
9010803770,010803770C
9010803775,010803775C
9010803776,010803776C
9010803782,010803782C
9010803964,010803964C
9010803993,010803993C
9010804004,010804004C
9010804005,010804005C
9010804327,010804327C
9010804488,010804488C
9010804489,010804489C
9010804520,010804520C
9010804588,010804588C
9010804608,010804608C
9010804616,010804616C
9010804617,010804617C
9010804710,010804710C
9010804711,010804711C
9010804850,010804850C
9010804853,010804853C
9010804854,010804854C
9010805039,010805039C
9010805041,010805041C
9010805048,010805048C
9010805141,010805141C
9010805142,010805142C
9010805370,010805370C
9010805394,010805394C
9010805448,010805448C
9010806082,010806082C
9010806155,010806155C
9010806350,010806350C
9010806362,010806362C
9010806412,010806412C
9010806596,010806596C
9010806606,010806606C
9010806651,010806651C
9010806653,010806653C
9010806873,010806873C
9010806912,010806912C
9010806913,010806913C
9010807372,010807372C
9010807373,010807373C
9010807378,010807378C
9010807493,010807493C
9010807516,010807516C
9010807518,010807518C
9010807566,010807566C
9010807604,010807604C
9010807605,010807605C
9010807698,010807698C
9010807720,010807720C
9010807722,010807722C
9010807792,010807792C
9010807842,010807842C
9010807844,010807844C
9010807868,010807868C
9010807941,010807941C
9010807946,010807946C
9010807963,010807963C
9010808074,010808074C
9010808106,010808106C
9010808257,010808257C
9010808361,010808361C
9010808545,010808545C
9010808548,010808548C
9010808553,010808553C
9010808721,010808721C
9010808831,010808831C
9010808895,010808895C
9010808901,010808901C
9010808907,010808907C
9010808970,010808970C
9010808976,010808976C
9010808977,010808977C
9010809282,010809282C
9010809294,010809294C
9010809296,010809296C
9010809300,010809300C
9010809302,010809302C
9010809303,010809303C
9010809308,010809308C
9010809309,010809309C
9010809311,010809311C
9010809317,010809317C
9010809320,010809320C
9010809331,010809331C
9010809333,010809333C
9010809353,010809353C
9010809361,010809361C
9010809581,010809581C
9010809734,010809734C
9010809739,010809739C
9010809930,010809930C
9010809932,010809932C
9010809966,010809966C
9010809968,010809968C
9010809977,010809977C
9010810194,010810194C
9010810221,010810221C
9010810225,010810225C
9010810226,010810226C
9010810228,010810228C
9010810271,010810271C
9010810272,010810272C
9010810273,010810273C
9010810275,010810275C
9010810504,010810504C
9010810539,010810539C
9010810612,010810612C
9010810691,010810691C
9010810912,010810912C
9010811059,010811059C
9010811157,010811157C
9010811204,010811204C
9010811249,010811249C
9010811250,010811250C
9010811260,010811260C
9010811306,010811306C
9010811318,010811318C
9010811319,010811319C
9010811343,010811343C
9010811382,010811382C
9010811385,010811385C
9010811386,010811386C
9010811517,010811517C
9010811652,010811652C
9010811700,010811700C
9010811998,010811998C
9010812079,010812079C
9010812205,010812205C
9010812225,010812225C
9010812235,010812235C
9010812360,010812360C
9010812930,010812930C
9010813120,010813120C
9010813122,010813122C
9010813155,010813155C
9010813156,010813156C
9010813163,010813163C
9010813164,010813164C
9010813171,010813171C
9010813172,010813172C
9010813185,010813185C
9010813188,010813188C
9010813196,010813196C
9010813276,010813276C
9010813286,010813286C
9010813387,010813387C
9010813388,010813388C
9010813391,010813391C
9010813392,010813392C
9010813414,010813414C
9010813426,010813426C
9010813427,010813427C
9010813433,010813433C
9010813683,010813683C
9010813804,010813804C
9010813955,010813955C
9010814022,010814022C
9010814023,010814023C
9010814115,010814115C
9010814167,010814167C
9010814172,010814172C
9010814362,010814362C
9010814366,010814366C
9010814389,010814389C
9010814390,010814390C
9010814552,010814552C
9010814559,010814559C
9010814606,010814606C
9010814693,010814693C
9010814696,010814696C
9010814698,010814698C
9010814761,010814761C
9010814836,010814836C
9010814931,010814931C
9010814933,010814933C
9010814935,010814935C
9010814963,010814963C
9010814968,010814968C
9010814971,010814971C
9010815003,010815003C
9010815026,010815026C
9010815117,010815117C
9010815118,010815118C
9010815150,010815150C
9010815236,010815236C
9010815416,010815416C
9010815417,010815417C
9010815522,010815522C
9010815523,010815523C
9010815524,010815524C
9010815642,010815642C
9010815643,010815643C
9010815680,010815680C
9010815681,010815681C
9010815768,010815768C
9010815772,010815772C
9010815945,010815945C
9010815946,010815946C
9010816070,010816070C
9010816151,010816151C
9010816156,010816156C
9010816224,010816224C
9010816232,010816232C
9010816326,010816326C
9010816331,010816331C
9010816336,010816336C
9010816337,010816337C
9010816590,010816590C
9010816784,010816784C
9010816803,010816803C
9010816898,010816898C
9010816928,010816928C
9010816969,010816969C
9010816990,010816990C
9010816991,010816991C
9010817091,010817091C
9010817116,010817116C
9010817130,010817130C
9010817132,010817132C
9010817242,010817242C
9010817304,010817304C
9010817345,010817345C
9010817366,010817366C
9010817367,010817367C
9010817415,010817415C
9010817419,010817419C
9010817477,010817477C
9010817483,010817483C
9010817500,010817500C
9010817639,010817639C
9010817649,010817649C
9010817650,010817650C
9010817803,010817803C
9010817808,010817808C
9010817835,010817835C
9010817836,010817836C
9010817930,010817930C
9010817956,010817956C
9010818008,010818008C
9010818051,010818051C
9010818314,010818314C
9010818531,010818531C
9010818580,010818580C
9010818657,010818657C
9010818663,010818663C
9010818717,010818717C
9010818718,010818718C
9010818768,010818768C
9010818789,010818789C
9010818794,010818794C
9010818799,010818799C
9010819247,010819247C
9010819267,010819267C
9010819271,010819271C
9010819280,010819280C
9010819400,010819400C
9010819603,010819603C
9010819774,010819774C
9010819955,010819955C
9010819960,010819960C
9010819961,010819961C
9010820386,010820386C
9010820635,010820635C
9010820645,010820645C
9010820704,010820704C
9010820835,010820835C
9010820944,010820944C
9010820995,010820995C
9010820996,010820996C
9010821274,010821274C
9010821322,010821322C
9010821381,010821381C
9010821385,010821385C
9010821435,010821435C
9010821678,010821678C
9010821902,010821902C
9010822046,010822046C
9010822097,010822097C
9010822098,010822098C
9010822225,010822225C
9010822238,010822238C
9010822243,010822243C
9010822330,010822330C
9010822635,010822635C
9010822738,010822738C
9010822851,010822851C
9010822990,010822990C
9010823088,010823088C
9010823095,010823095C
9010823187,010823187C
9010823222,010823222C
9010823332,010823332C
9010823333,010823333C
9010823335,010823335C
9010823597,010823597C
9010823600,010823600C
9010823601,010823601C
9010823735,010823735C
9010823736,010823736C
9010823737,010823737C
9010823866,010823866C
9010823867,010823867C
9010823868,010823868C
9010823869,010823869C
9010823870,010823870C
9010823906,010823906C
9010824098,010824098C
9010824296,010824296C
9010824297,010824297C
9010824299,010824299C
9010824389,010824389C
9010824559,010824559C
9010824561,010824561C
9010824611,010824611C
9010824689,010824689C
9010824709,010824709C
9010824810,010824810C
9010824811,010824811C
9010824975,010824975C
9010825027,010825027C
9010825053,010825053C
9010825195,010825195C
9010825353,010825353C
9010825434,010825434C
9010825438,010825438C
9010825639,010825639C
9010825649,010825649C
9010825694,010825694C
9010825719,010825719C
9010825720,010825720C
9010825759,010825759C
9010825968,010825968C
9010825969,010825969C
9010826040,010826040C
9010826097,010826097C
9010826123,010826123C
9010826130,010826130C
9010826133,010826133C
9010826422,010826422C
9010826524,010826524C
9010826525,010826525C
9010826532,010826532C
9010826544,010826544C
9010826547,010826547C
9010826551,010826551C
9010826627,010826627C
9010826765,010826765C
9010826810,010826810C
9010826812,010826812C
9010826903,010826903C
9010827014,010827014C
9010827081,010827081C
9010827228,010827228C
9010827254,010827254C
9010827434,010827434C
9010827507,010827507C
9010827528,010827528C
9010827575,010827575C
9010827590,010827590C
9010827672,010827672C
9010827674,010827674C
9010827675,010827675C
9010827699,010827699C
9010827700,010827700C
9010827865,010827865C
9010827956,010827956C
9010827968,010827968C
9010828101,010828101C
9010828368,010828368C
9010828369,010828369C
9010828370,010828370C
9010828463,010828463C
9010828599,010828599C
9010828602,010828602C
9010829154,010829154C
9010829155,010829155C
9010829171,010829171C
9010829579,010829579C
9010829587,010829587C
9010829627,010829627C
9010829942,010829942C
9010830094,010830094C
9010830145,010830145C
9010830152,010830152C
9010830309,010830309C
9010830310,010830310C
9010830330,010830330C
9010830632,010830632C
9010831077,010831077C
9010831097,010831097C
9010831150,010831150C
9010831284,010831284C
9010831478,010831478C
9010831492,010831492C
9010831719,010831719C
9010831893,010831893C
9010832106,010832106C
9010832205,010832205C
9010832616,010832616C
9010832617,010832617C
9010832626,010832626C
9010832681,010832681C
9010832740,010832740C
9010833377,010833377C
9010833378,010833378C
9010833382,010833382C
9010833383,010833383C
9010833409,010833409C
9010833410,010833410C
9010833411,010833411C
9010833467,010833467C
9010833595,010833595C
9010833639,010833639C
9010833737,010833737C
9010833740,010833740C
9010833858,010833858C
9010833991,010833991C
9010834096,010834096C
9010834192,010834192C
9010834193,010834193C
9010834274,010834274C
9010834344,010834344C
9010834414,010834414C
9010834430,010834430C
9010834450,010834450C
9010834451,010834451C
9010834489,010834489C
9010834574,010834574C
9010834575,010834575C
9010834689,010834689C
9010834690,010834690C
9010834719,010834719C
9010834737,010834737C
9010834745,010834745C
9010835240,010835240C
9010835310,010835310C
9010835334,010835334C
9010835632,010835632C
9010835847,010835847C
9010835891,010835891C
9010835892,010835892C
9010835949,010835949C
9010836057,010836057C
9010836094,010836094C
9010836250,010836250C
9010836252,010836252C
9010836254,010836254C
9010836265,010836265C
9010836547,010836547C
9010836582,010836582C
9010836583,010836583C
9010836584,010836584C
9010836908,010836908C
9010837136,010837136C
9010837163,010837163C
9010837522,010837522C
9010837532,010837532C
9010837733,010837733C
9010837734,010837734C
9010838037,010838037C
9010838129,010838129C
9010838364,010838364C
9010838376,010838376C
9010838654,010838654C
9010838710,010838710C
9010838834,010838834C
9010838863,010838863C
9010838982,010838982C
9010839119,010839119C
9010839122,010839122C
9010839176,010839176C
9010839177,010839177C
9010839178,010839178C
9010839234,010839234C
9010839290,010839290C
9010839714,010839714C
9010839783,010839783C
9010839784,010839784C
9010839848,010839848C
9010839849,010839849C
9010840186,010840186C
9010840404,010840404C
9010840436,010840436C
9010840477,010840477C
9010840582,010840582C
9010840772,010840772C
9010840776,010840776C
9010840778,010840778C
9010840779,010840779C
9010840780,010840780C
9010840848,010840848C
9010840971,010840971C
9010841063,010841063C
9010841124,010841124C
9010841215,010841215C
9010841345,010841345C
9010841421,010841421C
9010841422,010841422C
9010841424,010841424C
9010841470,010841470C
9010841471,010841471C
9010841760,010841760C
9010841782,010841782C
9010841783,010841783C
9010841793,010841793C
9010841972,010841972C
9010841973,010841973C
9010842016,010842016C
9010842017,010842017C
9010842026,010842026C
9010842282,010842282C
9010842284,010842284C
9010842285,010842285C
9010842291,010842291C
9010842293,010842293C
9010842315,010842315C
9010842541,010842541C
9010842641,010842641C
9010842786,010842786C
9010842857,010842857C
9010842863,010842863C
9010842962,010842962C
9010842969,010842969C
9010843092,010843092C
9010843137,010843137C
9010843233,010843233C
9010843241,010843241C
9010843280,010843280C
9010843384,010843384C
9010843553,010843553C
9010843714,010843714C
9010844069,010844069C
9010844127,010844127C
9010844236,010844236C
9010844313,010844313C
9010844322,010844322C
9010844324,010844324C
9010844402,010844402C
9010844403,010844403C
9010844428,010844428C
9010844496,010844496C
9010844499,010844499C
9010844607,010844607C
9010844919,010844919C
9010845094,010845094C
9010845099,010845099C
9010845194,010845194C
9010845307,010845307C
9010845548,010845548C
9010845706,010845706C
9010845709,010845709C
9010845716,010845716C
9010845862,010845862C
9010845863,010845863C
9010845864,010845864C
9010845878,010845878C
9010845880,010845880C
9010846244,010846244C
9010846279,010846279C
9010846459,010846459C
9010846539,010846539C
9010846679,010846679C
9010846691,010846691C
9010846692,010846692C
9010846780,010846780C
9010846781,010846781C
9010846851,010846851C
9010847118,010847118C
9010847123,010847123C
9010847191,010847191C
9010847463,010847463C
9010847466,010847466C
9010847467,010847467C
9010847479,010847479C
9010847480,010847480C
9010847481,010847481C
9010847488,010847488C
9010847570,010847570C
9010847571,010847571C
9010847947,010847947C
9010848081,010848081C
9010848085,010848085C
9010848255,010848255C
9010848256,010848256C
9010848292,010848292C
9010848296,010848296C
9010848314,010848314C
9010848398,010848398C
9010848644,010848644C
9010849121,010849121C
9010849122,010849122C
9010849221,010849221C
9010849296,010849296C
9010849667,010849667C
9010849668,010849668C
9010849672,010849672C
9010849699,010849699C
9010849880,010849880C
9010849882,010849882C
9010849977,010849977C
9010850270,010850270C
9010850345,010850345C
9010850346,010850346C
9010850347,010850347C
9010850533,010850533C
9010850817,010850817C
9010850880,010850880C
9010850881,010850881C
9010851112,010851112C
9010851148,010851148C
9010851278,010851278C
9010851577,010851577C
9010851579,010851579C
9010851580,010851580C
9010851847,010851847C
9010852357,010852357C
9010852368,010852368C
9010852709,010852709C
9010852748,010852748C
9010852865,010852865C
9010852966,010852966C
9010853070,010853070C
9010853285,010853285C
9010853287,010853287C
9010853288,010853288C
9010853539,010853539C
9010854157,010854157C
9010854307,010854307C
9010854364,010854364C
9010855165,010855165C
9010855418,010855418C
9010855657,010855657C
9010855945,010855945C
9010855995,010855995C
9010856175,010856175C
9010856188,010856188C
9010856189,010856189C
9010856342,010856342C
9010856918,010856918C
9010856920,010856920C
9010856925,010856925C
9010857115,010857115C
9010857119,010857119C
9010857359,010857359C
9010857632,010857632C
9010857637,010857637C
9010857638,010857638C
9010857727,010857727C
9010857881,010857881C
9010858099,010858099C
9010858124,010858124C
9010858396,010858396C
9010858434,010858434C
9010858435,010858435C
9010858443,010858443C
9010858488,010858488C
9010858489,010858489C
9010858518,010858518C
9010858585,010858585C
9010858587,010858587C
9010858613,010858613C
9010858614,010858614C
9010858907,010858907C
9010859093,010859093C
9010859280,010859280C
9010859282,010859282C
9010859462,010859462C
9010859658,010859658C
9010860471,010860471C
9010860472,010860472C
9010860628,010860628C
9010860900,010860900C
9010860970,010860970C
9010861363,010861363C
9010862097,010862097C
9010863167,010863167C
9010863334,010863334C
9010863394,010863394C
9010863485,010863485C
9010863788,010863788C
9010863838,010863838C
9010863936,010863936C
9010864397,010864397C
9010864471,010864471C
9010864474,010864474C
9010866396,010866396C
9010866751,010866751C
9010866752,010866752C
9010867962,010867962C
9010867974,010867974C
9010868131,010868131C
9010868188,010868188C
9010868189,010868189C
9010868984,010868984C
9010869344,010869344C
9010869452,010869452C
9010869804,010869804C
9010870474,010870474C
9010871146,010871146C
9010871793,010871793C
9010871903,010871903C
9010872105,010872105C
9010872109,010872109C
9010872114,010872114C
9010872324,010872324C
9010872326,010872326C
9010872327,010872327C
9010872328,010872328C
9010872329,010872329C
9010872331,010872331C
9010872404,010872404C
9010872406,010872406C
9010872415,010872415C
9010872416,010872416C
9010872417,010872417C
9010872522,010872522C
9010872526,010872526C
9010873140,010873140C
9010873154,010873154C
9010873155,010873155C
9010873283,010873283C
9010873285,010873285C
9010873288,010873288C
9010873499,010873499C
9010873725,010873725C
9010874688,010874688C
9010874797,010874797C
9010874801,010874801C
9010874806,010874806C
9010875065,010875065C
9010875130,010875130C
9010875783,010875783C
9010875937,010875937C
9010876417,010876417C
9010876736,010876736C
9010876737,010876737C
9010877009,010877009C
9010877012,010877012C
9010877072,010877072C
9010877466,010877466C
9010877467,010877467C
9010877469,010877469C
9010877478,010877478C
9010877480,010877480C
9010877481,010877481C
9010877715,010877715C
9010877890,010877890C
9010878099,010878099C
9010878315,010878315C
9010878316,010878316C
9010878559,010878559C
9010878589,010878589C
9010878592,010878592C
9010878904,010878904C
9010879082,010879082C
9010879083,010879083C
9010879203,010879203C
9010879786,010879786C
9010880225,010880225C
9010880257,010880257C
9010880362,010880362C
9010880469,010880469C
9010880950,010880950C
9010880951,010880951C
9010881096,010881096C
9010881272,010881272C
9010881273,010881273C
9010881277,010881277C
9010881301,010881301C
9010881307,010881307C
9010881308,010881308C
9010881309,010881309C
9010881974,010881974C
9010881975,010881975C
9010882195,010882195C
9010882408,010882408C
9010882416,010882416C
9010882604,010882604C
9010883172,010883172C
9010883239,010883239C
9010883244,010883244C
9010883245,010883245C
9010883246,010883246C
9010883533,010883533C
9010883563,010883563C
9010883564,010883564C
9010883567,010883567C
9010883731,010883731C
9010884052,010884052C
9010884969,010884969C
9010885383,010885383C
9010885441,010885441C
9010885442,010885442C
9010886099,010886099C
9010886528,010886528C
9010886805,010886805C
9010886812,010886812C
9010886851,010886851C
9010887617,010887617C
9010887770,010887770C
9010887780,010887780C
9010887923,010887923C
9010887925,010887925C
9010887927,010887927C
9010887929,010887929C
9010888232,010888232C
9010888312,010888312C
9010888313,010888313C
9010888338,010888338C
9010888339,010888339C
9010888649,010888649C
9010888941,010888941C
9010889177,010889177C
9010889364,010889364C
9010889439,010889439C
9010889547,010889547C
9010889785,010889785C
9010890614,010890614C
9010890622,010890622C
9010890627,010890627C
9010891074,010891074C
9010891075,010891075C
9010891079,010891079C
9010891087,010891087C
9010891307,010891307C
9010891309,010891309C
9010891328,010891328C
9010891993,010891993C
9010892016,010892016C
9010892327,010892327C
9010892685,010892685C
9010892688,010892688C
9010892689,010892689C
9010892690,010892690C
9010892691,010892691C
9010892693,010892693C
9010892695,010892695C
9010892696,010892696C
9010893115,010893115C
9010893160,010893160C
9010893386,010893386C
9010893387,010893387C
9010893394,010893394C
9010893908,010893908C
9010893949,010893949C
9010893950,010893950C
9010894743,010894743C
9010894754,010894754C
9010894939,010894939C
9010894941,010894941C
9010894951,010894951C
9010895253,010895253C
9010895675,010895675C
9010895689,010895689C
9010895934,010895934C
9010895935,010895935C
9010895936,010895936C
9010895937,010895937C
9010895938,010895938C
9010896144,010896144C
9010896854,010896854C
9010896866,010896866C
9010896915,010896915C
9010896924,010896924C
9010896931,010896931C
9010896932,010896932C
9010897295,010897295C
9010897303,010897303C
9010897517,010897517C
9010897521,010897521C
9010897662,010897662C
9010897663,010897663C
9010897664,010897664C
9010898471,010898471C
9010898542,010898542C
9010898545,010898545C
9010898547,010898547C
9010898692,010898692C
9010899163,010899163C
9010899709,010899709C
9010899715,010899715C
9010899716,010899716C
9010899717,010899717C
9010899718,010899718C
9010899761,010899761C
9010900142,010900142C
9010900144,010900144C
9010900145,010900145C
9010900150,010900150C
9010900152,010900152C
9010900154,010900154C
9010900155,010900155C
9010900355,010900355C
9010900512,010900512C
9010900517,010900517C
9010900519,010900519C
9010900529,010900529C
9010900530,010900530C
9010900620,010900620C
9010900623,010900623C
9010900971,010900971C
9010900975,010900975C
9010901657,010901657C
9010901775,010901775C
9010901787,010901787C
9010901824,010901824C
9010901830,010901830C
9010901832,010901832C
9010901833,010901833C
9010902761,010902761C
9010902903,010902903C
9010902968,010902968C
9010902972,010902972C
9010902973,010902973C
9010903411,010903411C
9010903917,010903917C
9010903919,010903919C
9010903927,010903927C
9010904097,010904097C
9010904578,010904578C
9010904649,010904649C
9010904654,010904654C
9010904798,010904798C
9010904802,010904802C
9010904805,010904805C
9010904808,010904808C
9010904809,010904809C
9010904810,010904810C
9010905200,010905200C
9010905337,010905337C
9010905677,010905677C
9010906254,010906254C
9010907385,010907385C
9010907726,010907726C
9010908068,010908068C
9010908069,010908069C
9010908070,010908070C
9010908075,010908075C
9010908285,010908285C
9010908667,010908667C
9010908669,010908669C
9010909669,010909669C
9010909687,010909687C
9010909767,010909767C
9010910320,010910320C
9010911627,010911627C
9010911853,010911853C
9010912454,010912454C
9010913059,010913059C
9010913060,010913060C
9010913101,010913101C
9010913253,010913253C
9010913261,010913261C
9010913551,010913551C
9010913589,010913589C
9010913799,010913799C
9010914301,010914301C
9010914378,010914378C
9010914384,010914384C
9010915030,010915030C
9010915533,010915533C
9010915619,010915619C
9010915620,010915620C
9010915810,010915810C
9010916260,010916260C
9010916282,010916282C
9010916879,010916879C
9010916889,010916889C
9010917172,010917172C
9010917231,010917231C
9010917520,010917520C
9010917522,010917522C
9010917531,010917531C
9010917599,010917599C
9010917600,010917600C
9010917601,010917601C
9010917602,010917602C
9010917603,010917603C
9010917604,010917604C
9010917605,010917605C
9010918786,010918786C
9010918787,010918787C
9010919258,010919258C
9010919431,010919431C
9010920186,010920186C
9010920784,010920784C
9010920785,010920785C
9010920793,010920793C
9010920798,010920798C
9010921853,010921853C
9010921865,010921865C
9010922547,010922547C
9010922553,010922553C
9010924474,010924474C
9010924475,010924475C
9010924487,010924487C
9010924488,010924488C
9010924513,010924513C
9010924660,010924660C
9010926025,010926025C
9010926226,010926226C
9010926346,010926346C
9010926347,010926347C
9010926348,010926348C
9010926349,010926349C
9010926357,010926357C
9010926969,010926969C
9010926970,010926970C
9010927421,010927421C
9010927552,010927552C
9010927885,010927885C
9010927989,010927989C
9010928016,010928016C
9010928261,010928261C
9010928491,010928491C
9010928495,010928495C
9010928497,010928497C
9010928498,010928498C
9010928507,010928507C
9010928775,010928775C
9010929235,010929235C
9010929367,010929367C
9010929794,010929794C
9010929982,010929982C
9010930278,010930278C
9010932886,010932886C
9010933370,010933370C
9010933488,010933488C
9010934017,010934017C
9010934894,010934894C
9010934895,010934895C
9010935366,010935366C
9010935377,010935377C
9010935469,010935469C
9010935470,010935470C
9010936178,010936178C
9010936179,010936179C
9010936183,010936183C
9010936381,010936381C
9010936709,010936709C
9010936713,010936713C
9010937087,010937087C
9010937092,010937092C
9010937735,010937735C
9010937739,010937739C
9010938121,010938121C
9010938321,010938321C
9010938962,010938962C
9010939542,010939542C
9010939731,010939731C
9010940594,010940594C
9010940855,010940855C
9010941103,010941103C
9010942232,010942232C
9010942233,010942233C
9010942239,010942239C
9010942246,010942246C
9010942439,010942439C
9010943847,010943847C
9010943849,010943849C
9010943851,010943851C
9010944558,010944558C
9010945534,010945534C
9010946392,010946392C
9010946394,010946394C
9010946647,010946647C
9010946649,010946649C
9010947021,010947021C
9010947226,010947226C
9010947245,010947245C
9010947489,010947489C
9010947866,010947866C
9010947867,010947867C
9010947870,010947870C
9010948195,010948195C
9010948241,010948241C
9010948270,010948270C
9010948278,010948278C
9010949295,010949295C
9010949672,010949672C
9010950970,010950970C
9010951159,010951159C
9010951456,010951456C
9010952064,010952064C
9010952069,010952069C
9010952366,010952366C
9010952369,010952369C
9010952386,010952386C
9010953834,010953834C
9010954823,010954823C
9010955021,010955021C
9010955034,010955034C
9010955783,010955783C
9010956144,010956144C
9010956145,010956145C
9010956610,010956610C
9010956992,010956992C
9010957789,010957789C
9010957790,010957790C
9010958111,010958111C
9010958268,010958268C
9010958438,010958438C
9010958446,010958446C
9010959100,010959100C
9010959302,010959302C
9010960586,010960586C
9010960590,010960590C
9010961712,010961712C
9010961713,010961713C
9010963046,010963046C
9010963588,010963588C
9010965143,010965143C
9010965145,010965145C
9010965984,010965984C
9010966767,010966767C
9010968283,010968283C
9010968689,010968689C
9010968808,010968808C
9010968811,010968811C
9010968813,010968813C
9010968814,010968814C
9010968815,010968815C
9010968816,010968816C
9010968821,010968821C
9010969153,010969153C
9010969227,010969227C
9010969231,010969231C
9010969329,010969329C
9010969653,010969653C
9010969839,010969839C
9010970211,010970211C
9010971482,010971482C
9010971527,010971527C
9010971528,010971528C
9010971529,010971529C
9010971538,010971538C
9010971570,010971570C
9010974048,010974048C
9010974140,010974140C
9010974489,010974489C
9010974838,010974838C
9010974858,010974858C
9010975712,010975712C
9010975741,010975741C
9010975742,010975742C
9010977876,010977876C
9010978024,010978024C
9010978232,010978232C
9010979005,010979005C
9010979717,010979717C
9010979722,010979722C
9010980832,010980832C
9010980833,010980833C
9010980836,010980836C
9010981739,010981739C
9010983356,010983356C
9010983357,010983357C
9010983389,010983389C
9010983828,010983828C
