lifepro_coverage_id,ql_plan_code,ql_form_number,ql_plan_description,ql_friendly_name,authority_source,mapping_status,crosswalk_ql_plan_code,crosswalk_ql_form_number,crosswalk_ql_plan_description,crosswalk_ql_friendly_name,governance_notes
DISCHO247B,DISCHO247B,,Home Office Discount - 24.75%,Home Office Discount - 24.75%,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,9DS24B,DISCHO247B,Home Office Discount - 24.75%,Home Office Discount - 24.75%,Catalog seeded from stable emit; crosswalk proposes PLAN=9DS24B
DISCHO247C,9DIS25,,Home Office Discount - 24.75%,Home Office Discount - 24.75%,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,9DS24C,DISCHO247C,Home Office Discount - 24.75%,Home Office Discount - 24.75%,Catalog seeded from stable emit; crosswalk proposes PLAN=9DS24C
DISCHO29,DISCHO29,,Home Office Discount 29% - ModeRule 37,Home Office Discount 29% - ModeRule 37,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,9DIS29,DISCHO29,Home Office Discount 29% - ModeRule 37,Home Office Discount 29% - ModeRule 37,Catalog seeded from stable emit; crosswalk proposes PLAN=9DIS29
DISCHO70,9DIS70,,Home Office Discount - 70/13%,Home Office Discount - 70/13%,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9DIS70,DISCHO70,Home Office Discount - 70/13%,Discount 70/13% -  L01 10Y LT,Catalog seeded from stable emit
L01 10Y LT,5L0110,L10,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,5L0110,L01 10Y LT,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,Catalog seeded from stable emit
L01 10Y MA,L01 10Y MA,L10,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,5L01MA,L01 10Y MA,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,Catalog seeded from stable emit; crosswalk proposes PLAN=5L01MA
L05 10Y LT,5L0510,L05,Ten Year Term to Age 85,Ten Year Term to Age 85,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,5L0510,L05 10Y LT,Ten Year Term to Age 85,Ten Year Term to Age 85,Catalog seeded from stable emit
L07 5Y LT,5L075Y,L07,Five Year Term to Age 85,Five Year Term to Age 85,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,5L075Y,L07 5Y LT,Five Year Term to Age 85,Five Year Term to Age 85,Catalog seeded from stable emit
L10 ADB,9ADB10,8140,L10 Accidental Death Benefit,L10 Accidental Death Benefit,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9ADB10,L10 ADB,L10 Accidental Death Benefit,"Acc DB - L10 LP95, L10 OLD, L10 SR OLD",Catalog seeded from stable emit
L10 CDT,5CDT10,8142,L10 CHILD TERM RIDER,L10 CHILD TERM RIDER,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,5CDT10,L10 CDT,L10 CHILD TERM RIDER,"CTR - L10 LP95, L10 OLD",Catalog seeded from stable emit
L10 GPO,9GPO10,8143,L10 GPO OLD,L10 GPO OLD,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9GPO10,L10 GPO,L10 GPO OLD,"GPO OLD - L10 LP95, L10 OLD",Catalog seeded from stable emit
L10 JPO,9JPO10,8144,L10 Juvenile Purchase Option - OLD,L10 Juvenile Purchase Option - OLD,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9JPO10,L10 JPO,L10 Juvenile Purchase Option - OLD,"Juv Purch Option - L10 LP95, OLD, SR OLD",Catalog seeded from stable emit
L10 LP95,1L1095,L10,L10 - LPU95     POST 1997 LIFE,L10 - LPU95     POST 1997 LIFE,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1L1095,L10 LP95,L10 - LPU95     POST 1997 LIFE,Whole Life payable to age 95 - Jr,Catalog seeded from stable emit
L10 LP95SR,1L10SR,L10,L10 - LPU95   POST 1997  Senior Life,L10 - LPU95   POST 1997  Senior Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1L10SR,L10 LP95SR,L10 - LPU95   POST 1997  Senior Life,Whole Life payable to age 95 - Sr,Catalog seeded from stable emit
L10 PRE97,L10 PRE97,L10,L10 - LPU95       PRE 1997,L10 - LPU95       PRE 1997,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,1L10OD,L10 OLD,L10 - LPU95       PRE 1997,L10 PRE97 vs L10 OLD,Catalog seeded from stable emit; crosswalk proposes PLAN=1L10OD
L10 PREUNI,L10 PREUNI,L10 UNI,L10 - LPU95       PRE 1997,L10 - LPU95       PRE 1997,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,1L10PR,L10 PREUNI,L10 - LPU95       PRE 1997,L10 PREUNI,Catalog seeded from stable emit; crosswalk proposes PLAN=1L10PR
L10 SDT,7SDT10,8141,L10 Spouse Decreasing Term,L10 Spouse Decreasing Term,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,7SDT10,L10 SDT,L10 Spouse Decreasing Term,L10 Spouse Decr Term - L10 OLD,Catalog seeded from stable emit
L10 SPSWP,L10 SPSWP,8139,L10 Spouse WP,L10 Spouse WP,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,910SWP,L10 SPSWP,L10 Spouse WP,L10 Spouse WP,Catalog seeded from stable emit; crosswalk proposes PLAN=910SWP
L10 SR OLD,1L10SO,L10,L10 - LPU95  SR.     PRE 1997,L10 - LPU95  SR.     PRE 1997,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1L10SO,L10 SR OLD,L10 - LPU95  SR.     PRE 1997,Whole Life payable to age 95 - Sr,Catalog seeded from stable emit
L10 WP,9WPL10,8139,L10 Waiver of Premium   Post 1997,L10 Waiver of Premium   Post 1997,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9WPL10,L10 WP,L10 Waiver of Premium   Post 1997,Waiver of Premium - L10 LP95,Catalog seeded from stable emit
L10 WP CDT,9CDTWP,8139,L10 Child WP,L10 Child WP,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9CDTWP,L10 WP CDT,L10 Child WP,Child Waiver of Prem -  L10 LP95,Catalog seeded from stable emit
L10 WP OLD,9OLDWP,8139,Waiver of Premium - L10,Waiver of Premium - L10,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9OLDWP,L10 WP OLD,Waiver of Premium - L10,Waiver of Premium - L10 OLD,Catalog seeded from stable emit
L10 WP SRN,L10 WP SRN,8139,L10 Waiver of Premium   Post 1997,L10 Waiver of Premium   Post 1997,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,910RWP,L10 WP SRN,L10 Waiver of Premium   Post 1997,L10 Waiver of Premium   Post 1997,Catalog seeded from stable emit; crosswalk proposes PLAN=910RWP
L14,1L14SC,L14,Whole Life,Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1L14SC,L14,Whole Life,SecureChoice Life: Graded DB WL,Catalog seeded from stable emit
L15 ADB,9ADB15,L15 INHER,Inherent Accidental Death (3 yr) for L15,Inherent Accidental Death (3 yr) for L15,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9ADB15,L15 ADB,Inherent Accidental Death (3 yr) for L15,Inherent Accidental Death (3 yr) for L15,Catalog seeded from stable emit
L17 1,10L171,L17,Single Premium Whole Life,Single Premium Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,10L171,L17 1,Single Premium Whole Life,Single Premium WL - L17,Catalog seeded from stable emit
L17 1 JPO,117JPO,L17,Single Premium Whole Life,Single Premium Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,117JPO,L17 1 JPO,L17 Juvenile Purchase Option,Juvenile Purchase Option - L17,Catalog seeded from stable emit
L17 2+,10L172,L17,Single Premium Whole Life,Single Premium Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,10L172,L17 2+,Single Premium Whole Life,Single Premium WL - L17,Catalog seeded from stable emit
L17 2+ JPO,17MJPO,L17,Single Premium Whole Life,Single Premium Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,17MJPO,L17 2+ JPO,L17 Multi Juvenile Purchase Option,Multi Juvenile Purchase Option - L17,Catalog seeded from stable emit
SAL ADB,9SLADB,SAL ADB,SAL Accidental Death Benefit,SAL Accidental Death Benefit,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9SLADB,SAL ADB,SAL Accidental Death Benefit,Accidental Death Benefit - SAL ML,Catalog seeded from stable emit
SAL ML,1SALML,SAL ML,Modified Life,Modified Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1SALML,SAL ML,Modified Life,Standard American Modified Life,Catalog seeded from stable emit
SAL MULTPL,1SALMI,SAL ML,Multiple Insureds SAL Modified Life,Multiple Insureds SAL Modified Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1SALMI,SAL MULTPL,Multiple Insureds SAL Modified Life,Multiple Insureds - SAL ML,Catalog seeded from stable emit
SAL OL,1SALOL,,Ordinary Whole Life,Ordinary Whole Life,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,1SALOL,SAL OL,Ordinary Whole Life,Standard American Ordinary Life,Catalog seeded from stable emit
WP 646,WP 646,0823,Waiver of Premium,Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,9WP646,WP 646,Waiver of Premium,Waiver of Premium,Catalog seeded from stable emit; crosswalk proposes PLAN=9WP646
