MPOLICY,MPHASE,MPLAN_BEFORE,MPLAN_OPTION_B,LIFEPRO_PLAN,MUNIT,FACE,MAGE,PAAGERAT_CV_ROWS,CATALOG_IN_QUIKPLAN,CATALOG_QUIKCVS_ROWS,SYNTH_QUIKCVS_ROWS,OPTION_B_CHANGES_MPLAN
010449514C,2,1708PA,170PUA,670 PUA,5.92988,5929.88,30,175,Y,0,0,Y
010449559C,2,1708PA,170PUA,670 PUA,3.28837,3288.37,44,175,Y,0,0,Y
010449959C,2,1708PA,170PUA,670 PUA,4.28525,4285.25,49,175,Y,0,0,Y
010450135C,2,1708PA,170PUA,670 PUA,6.62496,6624.96,28,175,Y,0,0,Y
010450174C,2,1708PA,170PUA,670 PUA,5.92908,5929.08,33,175,Y,0,0,Y
010450300C,3,1960PA,1OLPUA,960 OL PUA,2.19282,2192.82,09,100,Y,0,0,Y
010450809C,2,1708PA,170PUA,670 PUA,5.16622,5166.22,38,175,Y,0,0,Y
010450811C,2,1708PA,170PUA,670 PUA,3.58390,3583.90,14,175,Y,0,0,Y
010451148C,2,1708PA,170PUA,670 PUA,3.69733,3697.33,15,175,Y,0,0,Y
010451149C,2,1708PA,170PUA,670 PUA,3.78936,3789.36,13,175,Y,0,0,Y
010451215C,2,1960PA,1OLPUA,960 OL PUA,3.02693,3026.93,25,100,Y,0,0,Y
010451453C,2,1708PA,170PUA,670 PUA,2.84680,2846.80,08,175,Y,0,0,Y
010451650C,2,1708PA,170PUA,670 PUA,5.32712,5327.12,34,175,Y,0,0,Y
010452169C,2,1708PA,170PUA,670 PUA,1.93126,1931.26,06,175,Y,0,0,Y
010452304C,2,1708PA,170PUA,670 PUA,3.67046,3670.46,12,175,Y,0,0,Y
010452305C,2,1708PA,170PUA,670 PUA,3.69733,3697.33,15,175,Y,0,0,Y
010452516C,2,1708PA,170PUA,670 PUA,7.29616,7296.16,42,175,Y,0,0,Y
010454002C,2,1708PA,170PUA,670 PUA,3.29576,3295.76,40,175,Y,0,0,Y
010454003C,2,1708PA,170PUA,670 PUA,2.93514,2935.14,05,175,Y,0,0,Y
010455341C,2,1708PA,170PUA,670 PUA,3.12729,3127.29,14,175,Y,0,0,Y
010456114C,2,1708PA,170PUA,670 PUA,5.31816,5318.16,33,175,Y,0,0,Y
010456751C,2,1708PA,170PUA,670 PUA,1.84079,1840.79,14,175,Y,0,0,Y
010456928C,2,1708PA,170PUA,670 PUA,6.73959,6739.59,20,175,Y,0,0,Y
010457291C,2,1708PA,170PUA,670 PUA,4.13043,4130.43,40,175,Y,0,0,Y
010457536C,2,1708PA,170PUA,670 PUA,3.80492,3804.92,10,175,Y,0,0,Y
010457537C,2,1708PA,170PUA,670 PUA,3.38059,3380.59,08,175,Y,0,0,Y
010457603C,2,1708PA,170PUA,670 PUA,5.35315,5353.15,23,175,Y,0,0,Y
010458190C,2,1708PA,170PUA,670 PUA,5.02940,5029.40,31,175,Y,0,0,Y
010458520C,2,1708PA,170PUA,670 PUA,2.76858,2768.58,19,175,Y,0,0,Y
010458525C,2,1708PA,170PUA,670 PUA,1.41957,1419.57,21,175,Y,0,0,Y
010458526C,2,1708PA,170PUA,670 PUA,2.85333,2853.33,22,175,Y,0,0,Y
010458657C,2,1960PA,1OLPUA,960 OL PUA,.04420,44.20,51,100,Y,0,0,Y
010458663C,2,1708PA,170PUA,670 PUA,7.19654,7196.54,41,175,Y,0,0,Y
010458744C,2,1708PA,170PUA,670 PUA,10.24461,10244.61,26,175,Y,0,0,Y
010459011C,2,1708PA,170PUA,670 PUA,10.42562,10425.62,22,175,Y,0,0,Y
010459050C,2,1708PA,170PUA,670 PUA,1.29216,1292.16,55,175,Y,0,0,Y
010459164C,2,1708PA,170PUA,670 PUA,1.90347,1903.47,50,175,Y,0,0,Y
010459336C,2,1708PA,170PUA,670 PUA,6.99696,6996.96,45,175,Y,0,0,Y
010459421C,2,1708PA,170PUA,670 PUA,3.57339,3573.39,15,175,Y,0,0,Y
010459527C,2,1708PA,170PUA,670 PUA,6.06969,6069.69,28,175,Y,0,0,Y
010459653C,2,1708PA,170PUA,670 PUA,6.49998,6499.98,23,175,Y,0,0,Y
010459723C,2,1708PA,170PUA,670 PUA,1.30297,1302.97,10,175,Y,0,0,Y
010459814C,2,1708PA,170PUA,670 PUA,5.91124,5911.24,32,175,Y,0,0,Y
010459850C,2,1708PA,170PUA,670 PUA,2.88250,2882.50,25,175,Y,0,0,Y
010460652C,2,1708PA,170PUA,670 PUA,4.22368,4223.68,45,175,Y,0,0,Y
010460653C,2,1708PA,170PUA,670 PUA,4.87925,4879.25,39,175,Y,0,0,Y
010460886C,2,1708PA,170PUA,670 PUA,3.50645,3506.45,11,175,Y,0,0,Y
010461210C,3,1960PA,1OLPUA,960 OL PUA,1.91339,1913.39,27,100,Y,0,0,Y
010461689C,2,1708PA,170PUA,670 PUA,4.67007,4670.07,48,175,Y,0,0,Y
010462057C,2,1708PA,170PUA,670 PUA,6.53601,6536.01,27,175,Y,0,0,Y
010462415C,2,1708PA,170PUA,670 PUA,3.34001,3340.01,45,175,Y,0,0,Y
010462630C,2,1708PA,170PUA,670 PUA,5.25282,5252.82,30,175,Y,0,0,Y
010462631C,2,1708PA,170PUA,670 PUA,2.54477,2544.77,06,175,Y,0,0,Y
010462839C,2,1708PA,170PUA,670 PUA,3.32371,3323.71,12,175,Y,0,0,Y
010463161C,2,1960PA,165PUA,960 65 PUA,7.04120,7041.20,53,66,Y,0,0,Y
010463190C,2,1960PA,1POPUA,960 PO PUA,2.06659,2066.59,44,200,Y,0,0,Y
010463420C,2,1708PA,170PUA,670 PUA,2.61523,2615.23,46,175,Y,0,0,Y
010463553C,2,1708PA,170PUA,670 PUA,10.42454,10424.54,25,175,Y,0,0,Y
010464265C,2,1708PA,170PUA,670 PUA,2.42231,2422.31,17,175,Y,0,0,Y
010464869C,2,1708PA,170PUA,670 PUA,2.79559,2795.59,51,175,Y,0,0,Y
010464870C,2,1708PA,170PUA,670 PUA,2.59942,2599.42,46,175,Y,0,0,Y
010465331C,2,1708PA,170PUA,670 PUA,6.97636,6976.36,44,175,Y,0,0,Y
010465363C,2,1708PA,170PUA,670 PUA,3.04954,3049.54,20,175,Y,0,0,Y
010465451C,2,1708PA,170PUA,670 PUA,10.94980,10949.80,41,175,Y,0,0,Y
010466391C,2,1708PA,170PUA,670 PUA,11.33474,11334.74,31,175,Y,0,0,Y
010466392C,2,1708PA,170PUA,670 PUA,11.31920,11319.20,28,175,Y,0,0,Y
010466458C,2,1708PA,170PUA,670 PUA,5.73786,5737.86,45,175,Y,0,0,Y
010466470C,2,1708PA,170PUA,670 PUA,4.21085,4210.85,38,175,Y,0,0,Y
010466471C,2,1708PA,170PUA,670 PUA,2.41906,2419.06,17,175,Y,0,0,Y
010466472C,2,1708PA,170PUA,670 PUA,2.72039,2720.39,11,175,Y,0,0,Y
010466473C,2,1708PA,170PUA,670 PUA,3.02763,3027.63,13,175,Y,0,0,Y
010466702C,2,1708PA,170PUA,670 PUA,3.69780,3697.80,40,175,Y,0,0,Y
010466706C,2,1708PA,170PUA,670 PUA,3.84931,3849.31,06,175,Y,0,0,Y
010466978C,2,1708PA,170PUA,670 PUA,6.65704,6657.04,24,175,Y,0,0,Y
010467025C,2,1708PA,170PUA,670 PUA,3.75987,3759.87,04,175,Y,0,0,Y
010467154C,3,1960PA,1OLPUA,960 OL PUA,1.55263,1552.63,09,100,Y,0,0,Y
010467173C,2,1708PA,170PUA,670 PUA,1.62554,1625.54,70,175,Y,0,0,Y
010467185C,2,1708PA,170PUA,670 PUA,3.51049,3510.49,11,175,Y,0,0,Y
010467190C,2,1708PA,170PUA,670 PUA,3.70795,3707.95,51,175,Y,0,0,Y
010467500C,2,1960PA,1OLPUA,960 OL PUA,.84436,844.36,02,100,Y,0,0,Y
010467771C,2,1708PA,170PUA,670 PUA,.20085,200.85,34,175,Y,0,0,Y
010468945C,2,1708PA,170PUA,670 PUA,7.32058,7320.58,36,175,Y,0,0,Y
010468946C,2,1708PA,170PUA,670 PUA,7.08701,7087.01,35,175,Y,0,0,Y
010469081C,2,1708PA,170PUA,670 PUA,7.46727,7467.27,46,175,Y,0,0,Y
010469579C,2,1708PA,170PUA,670 PUA,3.02504,3025.04,20,175,Y,0,0,Y
010469728C,2,1708PA,170PUA,670 PUA,4.50140,4501.40,13,175,Y,0,0,Y
010469896C,2,1960PA,1OLPUA,960 OL PUA,4.09362,4093.62,34,100,Y,0,0,Y
010469984C,2,1960PA,165PUA,960 65 PUA,1.81495,1814.95,54,66,Y,0,0,Y
010469985C,2,1960PA,165PUA,960 65 PUA,8.97870,8978.70,46,66,Y,0,0,Y
010471046C,2,1960PA,1OLPUA,960 OL PUA,.85217,852.17,03,100,Y,0,0,Y
010471534C,2,1708PA,170PUA,670 PUA,1.98234,1982.34,14,175,Y,0,0,Y
010472182C,2,1708PA,170PUA,670 PUA,8.15195,8151.95,41,175,Y,0,0,Y
010472183C,2,1708PA,170PUA,670 PUA,2.70739,2707.39,42,175,Y,0,0,Y
010473137C,2,1708PA,170PUA,670 PUA,2.86970,2869.70,56,175,Y,0,0,Y
010473866C,2,1708PA,170PUA,670 PUA,5.75155,5751.55,47,175,Y,0,0,Y
010473867C,2,1708PA,170PUA,670 PUA,2.95125,2951.25,19,175,Y,0,0,Y
010473868C,2,1708PA,170PUA,670 PUA,3.17867,3178.67,17,175,Y,0,0,Y
010474317C,2,1708PA,170PUA,670 PUA,5.00840,5008.40,34,175,Y,0,0,Y
010474318C,2,1708PA,170PUA,670 PUA,6.42934,6429.34,26,175,Y,0,0,Y
010474519C,2,1708PA,170PUA,670 PUA,3.80803,3808.03,57,175,Y,0,0,Y
010474522C,2,1708PA,170PUA,670 PUA,8.55225,8552.25,27,175,Y,0,0,Y
010475571C,2,1708PA,170PUA,670 PUA,.21689,216.89,38,175,Y,0,0,Y
010475850C,2,1708PA,170PUA,670 PUA,1.63864,1638.64,55,175,Y,0,0,Y
010476803C,2,1708PA,170PUA,670 PUA,3.99627,3996.27,43,175,Y,0,0,Y
010477512C,2,1708PA,170PUA,670 PUA,5.72188,5721.88,42,175,Y,0,0,Y
010477513C,2,1708PA,170PUA,670 PUA,6.27146,6271.46,40,175,Y,0,0,Y
010477989C,2,1708PA,170PUA,670 PUA,4.63226,4632.26,40,175,Y,0,0,Y
010478213C,2,1960PA,1OLPUA,960 OL PUA,1.08316,1083.16,06,100,Y,0,0,Y
010478214C,2,1960PA,1OLPUA,960 OL PUA,1.06531,1065.31,03,100,Y,0,0,Y
010478285C,2,1708PA,170PUA,670 PUA,6.31139,6311.39,32,175,Y,0,0,Y
010479749C,2,1708PA,170PUA,670 PUA,3.58414,3584.14,44,175,Y,0,0,Y
010483386C,2,1708PA,170PUA,670 PUA,6.32013,6320.13,39,175,Y,0,0,Y
010484578C,3,1960PA,1OLPUA,960 OL PUA,2.56564,2565.64,31,100,Y,0,0,Y
010484821C,2,1708PA,170PUA,670 PUA,2.22648,2226.48,51,175,Y,0,0,Y
010484864C,2,1960PA,1OLPUA,960 OL PUA,1.26552,1265.52,02,100,Y,0,0,Y
010486919C,2,1708PA,170PUA,670 PUA,3.97377,3973.77,52,175,Y,0,0,Y
010486961C,2,1708PA,170PUA,670 PUA,8.15113,8151.13,48,175,Y,0,0,Y
010486964C,2,1708PA,170PUA,670 PUA,3.36915,3369.15,56,175,Y,0,0,Y
010487125C,2,1708PA,170PUA,670 PUA,7.00555,7005.55,15,175,Y,0,0,Y
010487396C,2,1708PA,170PUA,670 PUA,5.46476,5464.76,38,175,Y,0,0,Y
010488273C,2,1708PA,170PUA,670 PUA,7.42133,7421.33,30,175,Y,0,0,Y
010488274C,2,1708PA,170PUA,670 PUA,5.47605,5476.05,31,175,Y,0,0,Y
010488878C,5,1960PA,1OLPUA,960 OL PUA,4.85222,4852.22,25,100,Y,0,0,Y
010489508C,2,1708PA,170PUA,670 PUA,3.60798,3607.98,35,175,Y,0,0,Y
010491000C,2,1960PA,1OLPUA,960 OL PUA,2.01861,2018.61,30,100,Y,0,0,Y
010494171C,2,1708PA,170PUA,670 PUA,2.22646,2226.46,51,175,Y,0,0,Y
010495120C,2,1708PA,170PUA,670 PUA,5.77000,5770.00,45,175,Y,0,0,Y
010495122C,2,1708PA,170PUA,670 PUA,6.30126,6301.26,20,175,Y,0,0,Y
010498153C,2,1960PA,1OLPUA,960 OL PUA,3.11986,3119.86,47,100,Y,0,0,Y
010498260C,2,1708PA,170PUA,670 PUA,1.78235,1782.35,54,175,Y,0,0,Y
010499674C,2,1708PA,170PUA,670 PUA,1.92983,1929.83,52,175,Y,0,0,Y
010499702C,2,1708PA,170PUA,670 PUA,5.68691,5686.91,54,175,Y,0,0,Y
010501142C,3,1960PA,1OLPUA,960 OL PUA,.29586,295.86,33,100,Y,0,0,Y
010501836C,2,1708PA,170PUA,670 PUA,3.41974,3419.74,44,175,Y,0,0,Y
010502820C,2,1960PA,1OLPUA,960 OL PUA,5.38359,5383.59,38,100,Y,0,0,Y
010502995C,2,1708PA,170PUA,670 PUA,2.86183,2861.83,29,175,Y,0,0,Y
010502996C,2,1708PA,170PUA,670 PUA,4.93687,4936.87,34,175,Y,0,0,Y
010505481C,2,1708PA,170PUA,670 PUA,7.00468,7004.68,02,175,Y,0,0,Y
010506408C,2,1708PA,170PUA,670 PUA,4.43263,4432.63,39,175,Y,0,0,Y
010506497C,2,1708PA,170PUA,670 PUA,7.96659,7966.59,26,175,Y,0,0,Y
010510553C,2,1708PA,170PUA,670 PUA,3.49471,3494.71,33,175,Y,0,0,Y
010510979C,2,1708PA,170PUA,670 PUA,2.76231,2762.31,22,175,Y,0,0,Y
010510979C,3,1708PA,170PUA,670 PUA,6.31594,6315.94,47,175,Y,0,0,Y
010511240C,2,1708PA,170PUA,670 PUA,1.31167,1311.67,55,175,Y,0,0,Y
010511355C,2,1708PA,170PUA,670 PUA,2.68381,2683.81,43,175,Y,0,0,Y
010511795C,2,1708PA,170PUA,670 PUA,3.23532,3235.32,11,175,Y,0,0,Y
010512061C,2,1708PA,170PUA,670 PUA,1.87287,1872.87,55,175,Y,0,0,Y
010513607C,2,1708PA,170PUA,670 PUA,6.19178,6191.78,47,175,Y,0,0,Y
010513627C,4,1960PA,1OLPUA,960 OL PUA,.91636,916.36,19,100,Y,0,0,Y
010514052C,4,1960PA,1OLPUA,960 OL PUA,1.48205,1482.05,27,100,Y,0,0,Y
010515598C,2,1708PA,170PUA,670 PUA,4.54210,4542.10,57,175,Y,0,0,Y
010517231C,2,1708PA,170PUA,670 PUA,3.91225,3912.25,41,175,Y,0,0,Y
010518048C,2,1708PA,170PUA,670 PUA,8.53692,8536.92,36,175,Y,0,0,Y
010518049C,2,1708PA,170PUA,670 PUA,4.93521,4935.21,32,175,Y,0,0,Y
010518050C,2,1708PA,170PUA,670 PUA,4.63949,4639.49,42,175,Y,0,0,Y
010518051C,2,1708PA,170PUA,670 PUA,6.63179,6631.79,39,175,Y,0,0,Y
010518545C,2,1708PA,170PUA,670 PUA,3.05420,3054.20,48,175,Y,0,0,Y
010520217C,4,1960PA,1OLPUA,960 OL PUA,5.13133,5131.33,31,100,Y,0,0,Y
010521213C,2,1708PA,170PUA,670 PUA,6.61896,6618.96,43,175,Y,0,0,Y
010521651C,2,1708PA,170PUA,670 PUA,5.33511,5335.11,51,175,Y,0,0,Y
010521756C,4,1960PA,1OLPUA,960 OL PUA,4.21840,4218.40,02,100,Y,0,0,Y
010523058C,2,1708PA,170PUA,670 PUA,3.65643,3656.43,42,175,Y,0,0,Y
010524282C,3,1960PA,1OLPUA,960 OL PUA,2.41782,2417.82,06,100,Y,0,0,Y
010525250C,2,1708PA,170PUA,670 PUA,2.30348,2303.48,19,175,Y,0,0,Y
010526524C,2,1708PA,170PUA,670 PUA,5.54189,5541.89,18,175,Y,0,0,Y
010526526C,2,1708PA,170PUA,670 PUA,7.74722,7747.22,45,175,Y,0,0,Y
010527102C,2,1708PA,170PUA,670 PUA,3.33980,3339.80,09,175,Y,0,0,Y
010527103C,2,1708PA,170PUA,670 PUA,3.45367,3453.67,05,175,Y,0,0,Y
010529613C,2,1708PA,170PUA,670 PUA,10.55073,10550.73,29,175,Y,0,0,Y
010529973C,3,1960PA,1OLPUA,960 OL PUA,1.31967,1319.67,24,100,Y,0,0,Y
010529993C,2,1708PA,170PUA,670 PUA,2.03755,2037.55,30,175,Y,0,0,Y
010539198C,2,1708PA,170PUA,670 PUA,4.81347,4813.47,22,175,Y,0,0,Y
010540774C,2,1708PA,170PUA,670 PUA,3.30372,3303.72,07,175,Y,0,0,Y
010540781C,2,1708PA,170PUA,670 PUA,.09436,94.36,09,175,Y,0,0,Y
010541669C,2,1708PA,170PUA,670 PUA,1.96102,1961.02,16,175,Y,0,0,Y
010543558C,2,1708PA,170PUA,670 PUA,15.54380,15543.80,30,175,Y,0,0,Y
010543559C,2,1708PA,170PUA,670 PUA,16.73612,16736.12,30,175,Y,0,0,Y
010544182C,2,1960PA,1OLPUA,960 OL PUA,2.70553,2705.53,39,100,Y,0,0,Y
010545196C,2,2665PA,265PUA,665 PUA,.33621,336.21,47,96,Y,383,0,Y
010545623C,2,1708PA,170PUA,670 PUA,2.85004,2850.04,47,175,Y,0,0,Y
010546961C,2,1708PA,170PUA,670 PUA,2.29583,2295.83,18,175,Y,0,0,Y
010546964C,2,1708PA,170PUA,670 PUA,10.88412,10884.12,19,175,Y,0,0,Y
010547021C,2,1708PA,170PUA,670 PUA,11.22188,11221.88,23,175,Y,0,0,Y
010547488C,3,1960PA,1OLPUA,960 OL PUA,2.19016,2190.16,37,100,Y,0,0,Y
010547892C,2,1708PA,170PUA,670 PUA,5.41435,5414.35,25,175,Y,0,0,Y
010548366C,3,1960PA,1OLPUA,960 OL PUA,3.10496,3104.96,28,100,Y,0,0,Y
010550088C,2,1708PA,170PUA,670 PUA,2.76683,2766.83,17,175,Y,0,0,Y
010550564C,2,1708PA,170PUA,670 PUA,7.21244,7212.44,45,175,Y,0,0,Y
010552856C,2,1960PA,1OLPUA,960 OL PUA,2.35375,2353.75,22,100,Y,0,0,Y
010555054C,3,1960PA,1OLPUA,960 OL PUA,4.21845,4218.45,02,100,Y,0,0,Y
010557142C,2,1708PA,170PUA,670 PUA,3.25309,3253.09,42,175,Y,0,0,Y
010559537C,2,1708PA,170PUA,670 PUA,2.01294,2012.94,14,175,Y,0,0,Y
010560185C,2,1708PA,170PUA,670 PUA,2.90186,2901.86,14,175,Y,0,0,Y
010565013C,2,1708PA,170PUA,670 PUA,4.35607,4356.07,28,175,Y,0,0,Y
010567983C,2,1960PA,1OLPUA,960 OL PUA,.85216,852.16,03,100,Y,0,0,Y
010576755C,2,1705PA,170PUA,670 PUA,3.55744,3557.44,20,175,Y,0,0,Y
010578323C,2,1960PA,1OLPUA,960 OL PUA,2.15512,2155.12,05,100,Y,0,0,Y
010580685C,2,1708PA,170PUA,670 PUA,2.90631,2906.31,08,175,Y,0,0,Y
010581795C,2,1705PA,170PUA,670 PUA,9.74524,9745.24,43,175,Y,0,0,Y
010586005C,2,1960PA,1OLPUA,960 OL PUA,.09951,99.51,69,100,Y,0,0,Y
010590419C,2,1708PA,170PUA,670 PUA,4.18221,4182.21,36,175,Y,0,0,Y
010598049C,2,1708PA,170PUA,670 PUA,7.20000,7200.00,29,175,Y,0,0,Y
010598050C,2,1708PA,170PUA,670 PUA,7.53675,7536.75,30,175,Y,0,0,Y
010607249C,2,1708PA,170PUA,670 PUA,3.33997,3339.97,61,175,Y,0,0,Y
010615191C,2,1708PA,170PUA,670 PUA,3.74599,3745.99,37,175,Y,0,0,Y
010615192C,2,1708PA,170PUA,670 PUA,4.29392,4293.92,35,175,Y,0,0,Y
