PLAN,Source_Table,Product_Type,Detected_Structure,Recommended_VARGP,Recommended_VARDB,Confidence,Evidence,Notes
9GPO10,NONE,L10 GPO OLD,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
9GPO79,PAAGERAT,Guaranteed Purchase Option Rider,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=41 rows=41 no duration),no rate observations; no DB rate data
9JPO10,NONE,L10 Juvenile Purchase Option - OLD,GP=NONE|DB=NONE,4,4,LOW,no matching rate rows,no rate observations; no rate observations; no GP/PR rate data; no DB rate data
9JPO46,PAAGERAT,Juvenile Future Purchase Option Rider,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=22 rows=22 no duration),no rate observations; no DB rate data
9L01WP,PAAGERAT,Disability Waiver of Premium Rider,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=42 rows=168 no duration),no rate observations; no DB rate data
9L05WP,PAAGERAT,Disability Waiver of Premium Rider,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=42 rows=168 no duration),no rate observations; no DB rate data
9L16PF,Rate_Table,Graded Death Benefit,GP=NONE|DB=POLICY_YEAR_ONLY,4,1,LOW,DB[Rate_Table]:POLICY_YEAR_ONLY(AGE=0 duration_values=3 rows=5),no rate observations; no GP/PR rate data
9OLDWP,PAAGERAT,Waiver of Premium - L10,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=37 rows=222 no duration),no rate observations; no DB rate data
9POADB,PAAGERAT,Accidental Death Benefit,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=52 rows=52 no duration),no rate observations; no DB rate data
9SLADB,PAAGERAT,SAL Accidental Death Benefit,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=117 rows=117 no duration),no rate observations; no DB rate data
9STRWP,PAAGERAT,8042 STR Waiver of Premium,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=117 rows=117 no duration),no rate observations; no DB rate data
9WP646,PAAGERAT,Waiver of Premium,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=40 rows=40 no duration),no rate observations; no DB rate data
9WPL10,PAAGERAT,L10 Waiver of Premium   Post 1997,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=37 rows=222 no duration),no rate observations; no DB rate data
A60MIR,PAAGERAT+Rate_Table,Monthly Income Rider,GP=ATTAINED_AGE|DB=ISSUE_AGE_DURATION,3,2,HIGH,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=56 rows=112 no duration) | DB[Rate_Table]:ISSUE_AGE_DURATION(AGE values=41 DURATION values=50 rows=1230),
A96DAR,PAAGERAT,Deposit Annuity Rider,GP=ATTAINED_AGE|DB=NONE,3,4,LOW,GP[PAAGERAT]:ATTAINED_AGE(PAAGERAT SEQ axis n=117 rows=117 no duration),no rate observations; no DB rate data
