RECONCILIATION_ID,SOURCE_PLAN_CODE,NORMALIZED_PLAN_CODE,SOURCE_PLAN_NAME,NORMALIZED_PLAN_NAME,PRODUCT_FAMILY,BASE_OR_RIDER,ACTIVE_OR_HISTORICAL,ISSUE_DATE_FROM,ISSUE_DATE_TO,IN_TRACKER,IN_PLAN_DBF,IN_CROSSWALK,IN_RATE_REQUIREMENTS,IN_RESERVE_STAGING,IN_DRAFT_QUIK_OUTPUT,IN_ACCESS_EXTRACT,IN_PRODUCT_DOCUMENTS,IN_CASH_VALUE_ARCHIVES,IN_GROSS_PREMIUM_SOURCE,HAS_POLICY_POPULATION_EVIDENCE,HAS_RATE_REQUIREMENT,HAS_RATE_SOURCE,HAS_QLADMIN_MAPPING,POSSIBLE_ALIAS,POSSIBLE_PARENT_PLAN,POSSIBLE_RIDER_RELATIONSHIP,POSSIBLE_STATE_VARIATION,POSSIBLE_ISSUE_ERA_VARIATION,POSSIBLE_DUPLICATE,POSSIBLE_TYPO,PROPOSED_SCOPE_STATUS,PROPOSED_AUTHORITY_STATUS,RECONCILIATION_STATUS,CONFIDENCE,REQUIRED_DECISION,RELATED_DECISION_ID,NOTES
CIT-PR-0068,802P,802P,Nonforfeiture Status,Nonforfeiture Status,Nonforfeiture Status,BASE,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0069,802Q,802Q,Nonforfeiture Status,Nonforfeiture Status,Nonforfeiture Status,BASE,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0070,802R,802R,Nonforfeiture Status,Nonforfeiture Status,Nonforfeiture Status,BASE,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0071,802S,802S,EXTENDED TERM,EXTENDED TERM,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0072,802W,802W,EXTENDED INSURANCE 58 CET 3,EXTENDED INSURANCE 58 CET 3,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,Y,N,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0073,802X,802X,EXTENDED TERM 2001 CSO RESERVE,EXTENDED TERM 2001 CSO RESERVE,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0074,802Z,802Z,EXTENDED TERM 1980 CS RESERVE,EXTENDED TERM 1980 CS RESERVE,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0075,803E,803E,EXTENDED TERM 2017 CSO RESERVE,EXTENDED TERM 2017 CSO RESERVE,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0076,803G,803G,EXTENDED TERM 2017 CSO RESERVE,EXTENDED TERM 2017 CSO RESERVE,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0077,803H,803H,EXTENDED TERM 2017 CSO RESERVE,EXTENDED TERM 2017 CSO RESERVE,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0078,803K,803K,EXTENDED INSURANCE 2020 CSO,EXTENDED INSURANCE 2020 CSO,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0079,803N,803N,EXTENDED INSURANCE 2020 RESERV,EXTENDED INSURANCE 2020 RESERV,Nonforfeiture Status,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0080,938,938,ACC PROFESSIONAL 2A/2B/2,ACC PROFESSIONAL 2A/2B/2,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0081,951,951,CANCER - INDIVIDUAL,CANCER - INDIVIDUAL,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0082,952,952,CANCER - FAMILY,CANCER - FAMILY,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0083,961,961,ACC/SICKNESS,ACC/SICKNESS,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0084,962,962,Accident & Health,Accident & Health,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0085,963,963,Accident & Health,Accident & Health,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0086,964,964,Accident & Health,Accident & Health,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0087,965,965,Accident & Health,Accident & Health,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0088,971,971,ACC DEATH & DISMEMBERMENT,ACC DEATH & DISMEMBERMENT,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0089,972,972,ACC COMPREHENSIVE,ACC COMPREHENSIVE,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0090,973,973,Accident & Health,Accident & Health,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0091,978,978,ACC PROFESSIONAL 1,ACC PROFESSIONAL 1,Accident & Health,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0092,9FMN,9FMN,,,,BASE,UNKNOWN,,,N,N,Y,N,N,N,N,N,N,N,UNKNOWN,N,N,Y,SEX_SMOKER_FAMILY:9F,9F,N,UNKNOWN,UNKNOWN,N,N,REQUIRES_REVIEW,PENDING_REVIEW,CROSSWALK_ONLY,LOW,,,
CIT-PR-0093,9PFM,9PFM,,,,BASE,UNKNOWN,,,N,Y,N,N,N,N,N,N,N,N,UNKNOWN,N,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,DBF_ONLY,MEDIUM,CIT-DEC-003,CIT-DEC-003,
CIT-PR-0094,9PFN,9PFN,PERMA LIFE FEMALE 19N,PERMA LIFE FEMALE 19N,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:9P,9P,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0095,9PFS,9PFS,PERMA LIFE FEMALE 19S,PERMA LIFE FEMALE 19S,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:9P,9P,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0096,9PMN,9PMN,PERMA LIFE MALE 19N,PERMA LIFE MALE 19N,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:9P,9P,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0097,9PMS,9PMS,PERMA LIFE MALE 19S,PERMA LIFE MALE 19S,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,N,SEX_SMOKER_FAMILY:9P,9P,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0098,9R1F,9R1F,Rider,Rider,Rider,RIDER,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0099,9R1M,9R1M,Rider,Rider,Rider,RIDER,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0100,9R2G,9R2G,20 YEAR PAY,20 YEAR PAY,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0101,9R5F,9R5F,Rider,Rider,Rider,RIDER,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0102,9R5M,9R5M,Rider,Rider,Rider,RIDER,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0103,9R6G,9R6G,PAID UP AT AGE 65,PAID UP AT AGE 65,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0104,9RWG,9RWG,WHOLE LIFE,WHOLE LIFE,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0105,9X1F,9X1F,FEMALE 10 YEAR TERM,FEMALE 10 YEAR TERM,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,Y,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0106,9X1M,9X1M,MALE 10 YEAR TERM,MALE 10 YEAR TERM,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,Y,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0107,9X5F,9X5F,FEMALE FIVE YEAR TERM,FEMALE FIVE YEAR TERM,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,Y,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0108,9X5M,9X5M,MALE FIVE YEAR TERM,MALE FIVE YEAR TERM,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,Y,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0109,A6N,A6N,,,,BASE,UNKNOWN,,,N,N,N,N,Y,Y,N,N,N,N,UNKNOWN,N,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_PENDING_SOURCE,PENDING_REVIEW,RESERVE_STAGING_ONLY,LOW,,,
CIT-PR-0110,ABFN,ABFN,ACCELERATED BENEFIT PLAN,ACCELERATED BENEFIT PLAN,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,Y,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:AB,AB,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0111,ABFS,ABFS,ACCELERATED BENEFIT PLAN,ACCELERATED BENEFIT PLAN,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,Y,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:AB,AB,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0112,ABMN,ABMN,ACCELERATED BENEFIT PLAN,ACCELERATED BENEFIT PLAN,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,Y,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:AB,AB,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0113,ABMS,ABMS,ACCELERATED BENEFIT PLAN,ACCELERATED BENEFIT PLAN,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,Y,N,UNKNOWN,Y,Y,Y,SEX_SMOKER_FAMILY:AB,AB,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0114,ALBR,ALBR,ACCELERATED BENEFIT RIDER,ACCELERATED BENEFIT RIDER,Rider,RIDER,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0115,ALP2,ALP2,ADDITIONAL PAID UP,ADDITIONAL PAID UP,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0116,ALP6,ALP6,ADDITIONAL PAID UP,ADDITIONAL PAID UP,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,Y,Y,N,N,N,N,UNKNOWN,Y,Y,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0117,ALPF,ALPF,ADDITIONAL PAID UP FEMALE,ADDITIONAL PAID UP FEMALE,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0118,ALPM,ALPM,ADDITIONAL PAID UP MALE,ADDITIONAL PAID UP MALE,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0119,ALPS,ALPS,ADDITIONAL PAID UP,ADDITIONAL PAID UP,Traditional Permanent Life,BASE,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0120,B1B,B1B,15 PAY BURIAL,15 PAY BURIAL,Merchandise / Burial Service,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0121,B1FN,B1FN,10 YR TERM FEMALE NON-TOBACCO,10 YR TERM FEMALE NON-TOBACCO,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,SEX_SMOKER_FAMILY:B1,B1,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0122,B1FS,B1FS,10 YR TERM FEMALE SMOKER,10 YR TERM FEMALE SMOKER,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,SEX_SMOKER_FAMILY:B1,B1,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0123,B1MN,B1MN,Term Life,Term Life,Term Life,BASE,UNKNOWN,,,Y,N,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,SEX_SMOKER_FAMILY:B1,B1,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0124,B1MS,B1MS,Term Life,Term Life,Term Life,BASE,UNKNOWN,,,Y,N,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,SEX_SMOKER_FAMILY:B1,B1,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0125,B2B,B2B,20 PAY BURIAL,20 PAY BURIAL,Merchandise / Burial Service,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0126,B2FN,B2FN,20 YR TERM FEMALE NON-TOBACCO,20 YR TERM FEMALE NON-TOBACCO,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,SEX_SMOKER_FAMILY:B2,B2,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0127,B2FS,B2FS,Term Life,Term Life,Term Life,BASE,UNKNOWN,,,Y,N,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,SEX_SMOKER_FAMILY:B2,B2,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0128,B2MN,B2MN,20 YEAR TERM MALE NON-TOBACCO,20 YEAR TERM MALE NON-TOBACCO,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,SEX_SMOKER_FAMILY:B2,B2,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0129,B2MS,B2MS,Term Life,Term Life,Term Life,BASE,UNKNOWN,,,Y,N,N,Y,Y,Y,N,N,N,Y,UNKNOWN,Y,Y,N,SEX_SMOKER_FAMILY:B2,B2,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0130,B3FN,B3FN,30 YR TERM FEMALE NON-TOBACCO,30 YR TERM FEMALE NON-TOBACCO,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,Y,UNKNOWN,Y,N,N,SEX_SMOKER_FAMILY:B3,B3,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0131,B3FS,B3FS,Term Life,Term Life,Term Life,BASE,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,Y,UNKNOWN,Y,N,N,SEX_SMOKER_FAMILY:B3,B3,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0132,B3MN,B3MN,30 YR TERM MALE NON-TOBACCO,30 YR TERM MALE NON-TOBACCO,Term Life,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,Y,UNKNOWN,Y,N,N,SEX_SMOKER_FAMILY:B3,B3,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0133,B3MS,B3MS,Term Life,Term Life,Term Life,BASE,UNKNOWN,,,Y,N,N,Y,N,N,N,N,N,Y,UNKNOWN,Y,N,N,SEX_SMOKER_FAMILY:B3,B3,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,TRACKER_ONLY,MEDIUM,CIT-DEC-002,CIT-DEC-002,
CIT-PR-0134,BA1,BA1,ROLLER BURIAL ASSOCIATION,ROLLER BURIAL ASSOCIATION,Merchandise / Burial Service,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0135,BA2,BA2,ROLLER BURIAL ASSOCIATION,ROLLER BURIAL ASSOCIATION,Merchandise / Burial Service,BASE,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
