MPOLICY,MSTATUS
011191782C,22
011191804C,22
011191806C,22
011191829C,22
011191886C,22
011191892C,22
011192121C,22
011192151C,22
011192391C,22
011192477C,44
011193040C,22
011193041C,22
011193156C,44
011193157C,44
011193165C,22
011193169C,22
011193218C,22
011193243C,22
011193367C,22
011193461C,22
011193585C,41
011193692C,22
011193709C,41
011193876C,44
011194088C,22
011194186C,22
011194190C,22
011194191C,22
011194346C,22
011194381C,22
011194385C,22
011194386C,22
011194387C,22
011194438C,22
011194641C,22
011194642C,22
011194728C,22
011194729C,22
011194789C,22
011194803C,22
011194873C,44
011194874C,44
011194875C,44
011194958C,22
011195138C,22
011195201C,22
011195373C,22
011195395C,22
011195567C,22
011195603C,41
011195801C,22
011195904C,22
011195954C,22
011196010C,22
011196031C,22
011196063C,45
011196064C,45
011196109C,22
011196163C,22
011196355C,22
011196356C,22
011196495C,22
011196496C,22
011196510C,41
011196511C,22
011196512C,22
011196525C,22
011196776C,22
011196897C,22
011196932C,45
011196933C,45
011196975C,22
011196980C,22
011196981C,22
011197186C,22
011197220C,22
011197244C,22
011197343C,22
011197461C,22
011197462C,44
011197560C,22
011197646C,22
011197712C,22
011197713C,22
011197714C,22
011197716C,22
011197810C,22
011197815C,22
011197938C,22
011197939C,22
011198043C,22
011198051C,22
011198073C,22
011198207C,22
011198305C,22
011198306C,22
011198446C,44
011198494C,22
011198584C,22
011198680C,22
011198765C,22
011198766C,22
011198799C,22
011198807C,22
011198846C,22
011198871C,22
011198877C,22
011198997C,22
011199043C,22
011199099C,22
011199270C,22
011199328C,22
011199349C,22
011199350C,22
011199382C,22
011199383C,22
011199398C,22
011199493C,22
011199494C,22
011199549C,22
011199570C,45
011199685C,22
011199697C,22
011199737C,22
011199782C,22
011199908C,44
011200046C,22
011200092C,22
011200210C,22
011200276C,22
011200338C,22
011200360C,22
011200456C,22
011200570C,22
011200673C,22
011200691C,22
011200872C,22
011201227C,22
011201237C,22
011201280C,22
011201331C,22
011201332C,22
011201406C,22
011201620C,22
011201622C,22
011202039C,44
011203015C,22
011203193C,22
011203228C,22
011203335C,22
011203426C,22
011203455C,22
011203456C,22
011203457C,22
011203458C,22
011203535C,22
011203772C,22
011203803C,22
011203804C,22
011203868C,22
011203871C,22
011204021C,22
011204044C,22
011204058C,22
011204059C,22
011204060C,22
011204061C,44
011204257C,22
011204293C,22
011204543C,22
011204810C,45
011204865C,22
011204866C,22
011205111C,22
011205240C,22
011205441C,45
011205839C,22
011206100C,22
011206224C,22
011206506C,22
011206953C,22
011207045C,22
011207112C,22
011207114C,22
011207115C,22
011207116C,22
011207117C,22
011207224C,22
011207250C,22
011207251C,22
011207360C,45
011207563C,22
011207685C,22
011207748C,22
011208031C,22
011208032C,22
011208037C,44
011208194C,22
011208260C,22
011208332C,22
011208333C,45
011208334C,45
011208428C,22
011208430C,22
011208639C,22
011208904C,22
011209068C,22
011209097C,22
011209098C,22
011209898C,22
011209917C,22
011210057C,22
011210058C,22
011210611C,22
011210768C,22
011210769C,22
011210918C,22
011210919C,22
011211045C,22
011211133C,22
011211134C,22
011211324C,22
011211325C,22
011211326C,22
011211825C,22
011211826C,22
011212034C,22
011212151C,22
011212338C,22
011212339C,22
011212725C,22
011212754C,22
011213043C,22
011213201C,22
011213238C,22
011213263C,22
011213264C,22
011213363C,22
011213461C,44
011213537C,22
011214044C,22
011214116C,22
011214229C,22
011214314C,22
011214478C,22
011214731C,22
011215024C,22
011215080C,44
011215361C,22
011215362C,22
011215363C,22
011215543C,22
011215550C,22
011215896C,45
011216178C,22
011216179C,22
011216498C,22
011216797C,45
011216835C,41
011217011C,22
011217012C,22
011217014C,42
011217116C,22
011217204C,22
011217205C,22
011217685C,22
011217838C,42
011218157C,44
011218497C,22
011219600C,22
011219601C,22
011219602C,22
011220279C,22
011221336C,22
011221537C,22
011221817C,45
011221818C,45
011222127C,22
011222586C,22
011223521C,42
011223894C,22
011224132C,42
011224135C,22
011224365C,22
011224556C,22
011224634C,22
011224635C,22
011224748C,22
011225015C,22
011225528C,22
011225617C,22
011226092C,22
011226136C,22
011226137C,22
011226273C,22
011226579C,44
011227527C,22
011227604C,22
011227606C,42
011227607C,42
011227608C,42
011227609C,42
011227610C,42
011227611C,42
011228088C,22
011228945C,22
011228946C,22
011229146C,22
011229564C,22
011229897C,22
01122D991C,54
011230043C,22
011230685C,42
011230763C,22
011231856C,22
011232740C,22
011233827C,22
011234281C,22
011235717C,22
011235718C,22
011236347C,22
011236350C,22
011236729C,22
011237181C,22
011237659C,22
011238177C,22
011238178C,44
011238370C,22
011238372C,22
011238989C,22
011239201C,45
011239405C,42
011240164C,22
011241516C,22
011243732C,22
011243733C,22
011243734C,42
011243760C,22
011244788C,22
011244789C,44
011244850C,22
011245721C,44
011245722C,44
011245723C,44
011246930C,22
011247296C,22
011249830C,22
011249831C,22
011250371C,22
011250566C,22
011250919C,22
011250920C,22
011251196C,22
011251369C,22
011251747C,22
011252219C,22
011252294C,22
011252637C,22
011253003C,22
011253008C,22
011253410C,22
011253770C,22
011253784C,42
011253785C,22
011254099C,22
011254121C,22
011254241C,22
011254242C,22
011255071C,22
011255072C,22
011255073C,44
011256684C,22
011256759C,22
011256830C,22
011256831C,22
011257021C,22
011257037C,22
011257512C,22
011257513C,22
011257653C,22
011257862C,22
011258158C,42
011258186C,22
011258293C,22
011259491C,22
011259930C,22
011260486C,22
011260487C,22
011260749C,22
011260873C,22
011260874C,22
011261107C,22
011261640C,22
011261641C,22
011261795C,22
011262629C,22
011262630C,22
011262751C,22
011262752C,22
011262792C,22
011262825C,22
011262826C,22
011263126C,22
011263521C,22
011263540C,22
011263764C,22
011264068C,22
011264345C,22
011264376C,22
011266117C,42
011266391C,42
011266393C,22
011266394C,22
011266798C,44
011266910C,22
011267127C,22
011267130C,22
011267253C,22
011267531C,22
011267562C,22
011267659C,44
011267660C,44
011268332C,22
011268760C,45
011268761C,22
011269000C,22
011269177C,44
011269178C,22
011269382C,22
011269925C,22
011270089C,22
011270209C,22
011270870C,42
011270871C,42
011271252C,22
011271699C,22
011271994C,22
011272310C,22
011273379C,22
011273928C,22
011274299C,22
011274445C,22
011274496C,22
011274757C,42
011274759C,22
011274946C,22
011280901C,22
011283208C,22
011283209C,22
011283751C,22
011283882C,22
011283883C,22
011284022C,22
011284023C,22
011284024C,22
011284029C,22
011284087C,22
011284103C,22
011284109C,22
  01222DCC,45
  01222DDC,45
013000159C,41
01330D153C,45
01353D732C,45
   014059C,45
  014075AC,45
  014075BC,45
  014098BC,45
  014100CC,45
  014100DC,45
  014100EC,45
   014112C,45
  014126AC,45
01422D089C,45
014FG8217C,54
015000055C,44
015000057C,22
015000069C,22
015000070C,22
015000101C,22
015000148C,22
015000173C,22
015000462C,22
015000466C,22
016FG8217C,54
  018009BC,45
   018021C,45
  018166CC,45
  018167CC,45
  018167DC,45
  018167EC,45
   018185C,45
   018187C,45
  018222AC,45
  018222BC,45
   018234C,45
  018236BC,45
  018237CC,45
  018237EC,45
  018237FC,45
  018237GC,45
   018252C,22
   018253C,22
  018253AC,22
  018253BC,22
  018258AC,45
  018258BC,45
  018258CC,45
  018284CC,45
  018284DC,45
  018306FC,45
  018313AC,45
  018313BC,45
  018313DC,45
  018330AC,45
  018330BC,45
  018330CC,45
   018355C,45
   018386C,45
  018465CC,45
   018491C,45
   018492C,45
  018495BC,45
  018495CC,45
  018499AC,45
  018499BC,45
  018499CC,22
  018499DC,45
   018509C,45
   018510C,45
   018528C,45
   018529C,45
   018586C,45
  018645AC,45
  018645BC,22
  018645CC,45
   018712C,45
   018719C,45
   018721C,45
  018737AC,22
  018737BC,22
  018845BC,45
  018845CC,45
   018900C,45
   018909C,45
   018912C,45
01FG8033CC,22
01FG8217AC,22
01FG8217BC,22
01FG8217CC,22
01FG8217DC,22
01FG8314BC,45
01FG8314DC,45
01FG8314EC,45
01FG8314FC,45
 01FG8563C,22
 01FG8801C,22
01ML4012AC,22
 01ML4054C,22
 01ML4107C,22
01ML4140BC,45
01ML4140CC,45
 01ML4150C,45
 01ML8007C,22
 01ML8143C,22
 01ML8171C,54
 01ML8225C,22
 01ML8246C,22
 01ML8250C,54
 01ML8267C,22
 01ML8303C,22
 01ML8307C,22
01ML8314BC,45
01ML8378BC,45
01ML8378CC,45
01ML8378DC,45
01ML8378EC,45
 01ML8464C,22
 01ML8493C,22
 01ML8501C,22
 01ML8515C,22
 01ML8522C,54
 01ML8535C,22
 01ML8556C,22
 01ML8565C,22
 01ML8584C,22
 01ML8597C,45
 01ML8678C,22
 01ML8772C,22
010521213C,41
010741334C,50
010772919C,50
010797197C,50
010835310C,50
010841124C,50
011085270C,50
011085655C,50
011112998C,50
011176240C,50
011177866C,50
011190416C,50
011194146C,50
011248017C,50
011262791C,50
015000239C,50
010149834C,55
010150031C,57
010150740C,53
010150910C,53
010154425C,57
010185592C,55
010235370C,57
010300689C,57
010331157C,53
010335038C,53
010335095C,57
010360289C,55
010360290C,55
010363098C,53
010367438C,53
010367705C,55
010368703C,53
010371171C,53
010373918C,55
010374779C,53
010376522C,55
010376529C,55
010376540C,53
010377918C,55
010378485C,57
010378710C,53
010378829C,53
010379405C,55
010380625C,57
010381745C,55
010382520C,53
010382931C,53
010385491C,53
010385636C,55
010389651C,53
010389802C,55
010391228C,55
010391359C,53
010391422C,55
010391841C,57
010392138C,55
010392493C,55
010392763C,53
010393158C,53
010393181C,55
010393931C,55
010394249C,53
010394662C,53
010395382C,53
010395761C,55
010395878C,53
010395879C,53
010396147C,53
010397318C,53
010397583C,55
010397945C,53
010398274C,53
010398591C,53
010400462C,55
010401181C,53
010401534C,57
010402010C,53
010402014C,53
010402060C,55
010402061C,55
010403922C,53
010404604C,57
010404605C,57
010404857C,53
010405642C,55
010405858C,55
010406795C,53
010406962C,53
010407533C,53
010410566C,53
010410714C,53
010411499C,53
010411727C,53
010412522C,53
010412526C,53
010412640C,55
010413417C,53
010413628C,53
010413745C,55
010414235C,53
010415834C,53
010417200C,53
010418088C,53
010418562C,53
010420983C,55
010422033C,55
010424798C,53
010425718C,53
010425720C,53
010425845C,53
010425928C,53
010425942C,55
010426657C,53
010426747C,55
010426858C,53
010426961C,53
010427457C,53
010427723C,53
010428258C,57
010428771C,53
010429064C,53
010429259C,53
010429532C,53
010429558C,53
010429710C,55
010429711C,55
010429893C,55
010429958C,53
010429965C,53
010430023C,53
010430086C,53
010430295C,55
010430296C,53
010431738C,53
010432120C,53
010432493C,57
010432494C,57
010432782C,53
010432865C,55
010432866C,55
010433786C,53
010434419C,53
010434424C,55
010434747C,53
010434876C,53
010435248C,55
010435466C,53
010436028C,57
010436044C,53
010436085C,57
010436599C,53
010436691C,53
010436727C,53
010436955C,53
010437335C,53
010437794C,53
010438028C,57
010438325C,53
010438821C,53
010438942C,53
010439084C,57
010439181C,55
010439527C,53
010439836C,53
010440345C,53
010440370C,53
010441927C,53
010442230C,53
010442330C,55
010442332C,55
010442551C,57
010442552C,53
010443109C,53
010443161C,57
010443816C,53
010444207C,53
010444283C,55
010445074C,53
010445091C,53
010445131C,53
010445275C,55
010445351C,53
010445575C,55
010445719C,53
010446416C,55
010446638C,53
010446852C,53
010447574C,53
010448025C,53
010449050C,53
010449074C,53
010449075C,53
010449512C,53
010449532C,57
010449559C,53
010449959C,53
010451215C,53
010451596C,57
010452169C,55
010452516C,53
010454002C,53
010454003C,55
010455617C,53
010455884C,57
010456183C,57
010456184C,57
010456188C,55
010456928C,53
010457291C,53
010457537C,53
010457603C,53
010458190C,55
010458520C,55
010458657C,53
010458663C,53
010458744C,55
010459050C,55
010459164C,53
010459579C,57
010459653C,53
010459970C,53
010460276C,57
010460652C,53
010460886C,55
010461689C,53
010461753C,57
010462630C,55
010462631C,55
010462839C,55
010463161C,53
010463190C,55
010463420C,53
010464265C,53
010464590C,53
010464869C,53
010464870C,53
010465265C,53
010465451C,53
010466458C,53
010466470C,55
010466473C,55
010466702C,53
010467061C,55
010467173C,55
010467190C,53
010468946C,53
010469081C,55
010469430C,53
010469896C,55
010469984C,53
010469985C,53
010471769C,55
010471933C,53
010472182C,55
010472183C,55
010473137C,53
010473866C,55
010474519C,53
010474522C,55
010475571C,55
010475576C,53
010475850C,53
010476803C,53
010477512C,53
010477513C,53
010477989C,55
010478259C,53
010478260C,57
010478285C,53
010478574C,53
010479749C,53
010483380C,57
010484821C,53
010486919C,53
010486964C,53
010488274C,53
010489508C,53
010491000C,53
010494171C,55
010494229C,55
010496486C,53
010497363C,57
010497768C,53
010498153C,53
010498260C,53
010498617C,53
010499269C,53
010499674C,53
010499702C,53
010500769C,53
010501466C,53
010501836C,53
010502820C,53
010502996C,57
010503560C,55
010505294C,55
010505297C,55
010505549C,53
010506789C,53
010506832C,55
010507705C,57
010511240C,53
010511355C,53
010512061C,57
010513712C,57
010514051C,53
010515598C,53
010516211C,54
010517231C,53
010518050C,53
010520217C,53
010521160C,53
010521651C,53
010521756C,55
010523058C,55
010524029C,57
010526232C,54
010526522C,57
010526524C,55
010526526C,53
010529973C,55
010532612C,57
010538650C,57
010539198C,55
010544182C,53
010545196C,53
010546961C,55
010547488C,55
010548366C,53
010549966C,53
010550564C,53
010557142C,55
010559537C,55
010564241C,57
010578820C,53
010580464C,53
010581795C,55
010586005C,53
010607249C,53
010639996C,57
010653595C,55
010653596C,55
010716974C,55
010718495C,53
010722345C,55
010724403C,53
010726104C,53
010726317C,55
010726318C,55
010726319C,55
010728696C,55
010730647C,55
010731970C,53
010732278C,55
010733162C,55
010733472C,55
010735611C,53
010735781C,53
010736035C,53
010736283C,53
010736738C,55
010738539C,54
010738751C,55
010738752C,55
010738753C,55
010740836C,53
010740877C,53
010741234C,55
010741943C,53
010742224C,53
010742814C,53
010743074C,53
010743082C,55
010743638C,55
010744412C,53
010745344C,53
010745640C,53
010745811C,53
010746005C,55
010746424C,55
010746498C,53
010746846C,55
010747186C,55
010747241C,53
010747438C,53
010748070C,53
010748300C,53
010748404C,53
010748432C,55
010748517C,53
010749041C,53
010749042C,55
010749053C,53
010749054C,53
010749459C,55
010749968C,53
010750754C,55
010750755C,55
010750812C,55
010750813C,53
010752132C,55
010752477C,53
010752513C,55
010752703C,53
010753311C,53
010753675C,55
010753676C,55
010753687C,53
010754898C,55
010754964C,53
010756020C,53
010756024C,53
010756033C,53
010756034C,53
010756212C,55
010756442C,55
010756906C,55
010756929C,53
010756931C,53
010756938C,55
010756939C,55
010756940C,55
010756941C,55
010757042C,53
010757392C,55
010757508C,53
010757536C,53
010757541C,53
010757542C,53
010757551C,53
010757817C,53
010758074C,53
010758447C,55
010758520C,57
010758549C,53
010758573C,53
010759357C,53
010759529C,55
010759530C,55
010759537C,55
010759559C,53
010759932C,53
010760294C,53
010760297C,53
010760306C,55
010760865C,53
010760872C,53
010760942C,55
010761450C,54
010761554C,55
010761804C,57
010761870C,55
010761874C,53
010761882C,53
010761943C,53
010762076C,55
010762319C,53
010762331C,55
010762332C,55
010762461C,54
010762558C,53
010762678C,53
010763006C,53
010763012C,55
010763450C,53
010764120C,53
010764121C,53
010764250C,54
010764321C,55
010764339C,53
010764348C,53
010764374C,53
010764376C,53
010764385C,55
010764400C,53
010764812C,53
010764834C,53
010764837C,53
010764842C,53
010766057C,55
010766527C,57
010766910C,53
010767719C,55
010768069C,53
010768207C,53
010768208C,55
010768209C,55
010768339C,53
010768503C,53
010768629C,53
010768635C,53
010768997C,55
010769001C,90
010769032C,53
010769176C,53
010769184C,55
010769220C,55
010769221C,55
010769227C,53
010769714C,53
010770571C,53
010770580C,53
010770719C,55
010770816C,55
010770865C,55
010771111C,53
010771352C,53
010771580C,53
010771588C,55
010771654C,53
010771662C,53
010772668C,57
010772683C,53
010772840C,55
010772898C,55
010772915C,55
010772916C,55
010773088C,53
010773107C,55
010773109C,55
010773243C,57
010773267C,55
010773573C,55
010773856C,55
010774107C,55
010774109C,53
010774484C,53
010774773C,53
010774794C,57
010775172C,54
010775240C,55
010775323C,53
010775940C,55
010776002C,53
010776027C,55
010776157C,53
010776221C,54
010776442C,53
010776445C,53
010776450C,55
010776555C,53
010776653C,53
010776672C,53
010776814C,53
010776908C,55
010776918C,55
010777043C,53
010777124C,53
010777546C,53
010777788C,53
010777793C,53
010778142C,53
010778181C,54
010778262C,53
010778263C,54
010778299C,53
010778464C,53
010778474C,53
010778519C,53
010778635C,53
010778702C,55
010778834C,53
010778841C,53
010778913C,53
010778914C,53
010779074C,55
010779130C,53
010779191C,53
010779197C,53
010779556C,55
010779736C,53
010779912C,55
010780000C,53
010780003C,53
010780050C,53
010780131C,55
010780403C,53
010780408C,55
010780411C,53
010780597C,55
010780667C,55
010780668C,55
010780791C,53
010781117C,53
010781121C,55
010781368C,55
010781713C,55
010781775C,53
010781863C,53
010782018C,53
010782022C,55
010782192C,55
010782357C,53
010782592C,53
010782675C,55
010782676C,55
010782818C,54
010782822C,53
010783086C,53
010783102C,53
010783502C,53
010783715C,55
010783883C,53
010784045C,53
010784054C,56
010784074C,53
010784179C,56
010784248C,55
010784249C,55
010784250C,53
010784261C,57
010784372C,53
010784379C,55
010784529C,53
010784592C,57
010784742C,55
010784767C,53
010784918C,57
010784922C,53
010784946C,53
010784950C,57
010785049C,53
010785099C,55
010785164C,57
010785284C,55
010785298C,53
010785300C,54
010785310C,55
010785320C,54
010785777C,53
010785831C,54
010785921C,55
010785932C,53
010786015C,53
010786152C,53
010786153C,53
010786237C,53
010786240C,53
010786243C,53
010786312C,53
010786321C,55
010786324C,54
010786425C,54
010786490C,53
010786823C,55
010786824C,53
010786878C,53
010786886C,53
010787147C,53
010787390C,53
010787511C,53
010787730C,55
010787762C,55
010788111C,55
010788197C,53
010788421C,53
010788426C,56
010788878C,55
010789095C,53
010789348C,53
010789351C,53
010789375C,53
010789384C,53
010789525C,53
010789531C,55
010789532C,55
010789992C,53
010790176C,53
010790543C,53
010790755C,53
010790779C,54
010790782C,55
010791078C,53
010791176C,53
010791462C,53
010791466C,53
010791497C,53
010791744C,54
010792037C,54
010792038C,53
010792116C,54
010792296C,53
010792420C,55
010792701C,53
010792705C,54
010792706C,54
010792979C,55
010792997C,53
010793582C,54
010793722C,53
010793727C,57
010793737C,53
010793738C,55
010793970C,55
010794095C,53
010794112C,55
010794116C,55
010794518C,53
010794520C,53
010795047C,53
010795562C,55
010795564C,55
010795565C,55
010795609C,55
010795612C,53
010795618C,57
010795699C,55
010795841C,54
010795890C,53
010796325C,53
010796459C,55
010796464C,55
010796554C,53
010796821C,53
010797181C,54
010797854C,53
010797922C,53
010798024C,53
010798031C,53
010798045C,54
010798438C,55
010798462C,55
010798515C,54
010798517C,53
010799083C,53
010799173C,53
010799472C,53
010799821C,53
010799895C,53
010800475C,55
010800667C,53
010801178C,55
010801398C,53
010801399C,53
010801734C,53
010802188C,53
010802494C,54
010802627C,53
010802646C,53
010803025C,53
010803026C,53
010803044C,55
010803050C,53
010803051C,53
010803244C,53
010803417C,55
010803442C,55
010803673C,53
010803680C,55
010803681C,55
010803682C,55
010803770C,53
010803964C,53
010803993C,53
010804005C,53
010804488C,55
010804489C,53
010804608C,53
010804710C,55
010804850C,57
010804854C,55
010805039C,53
010805048C,57
010805370C,53
010805394C,53
010806082C,53
010806155C,53
010806412C,55
010806596C,53
010806606C,54
010806651C,53
010806913C,55
010807378C,53
010807493C,55
010807516C,53
010807698C,53
010807720C,53
010807792C,55
010807842C,53
010807844C,53
010807868C,53
010808106C,55
010808257C,55
010808361C,53
010808721C,53
010808901C,53
010808907C,54
010809282C,55
010809309C,53
010809311C,53
010809333C,53
010809353C,55
010809581C,55
010809734C,53
010809739C,55
010809930C,53
010809932C,53
010809966C,55
010810271C,55
010810273C,54
010810504C,53
010810539C,55
010810612C,53
010810691C,53
010810912C,54
010811059C,53
010811157C,53
010811204C,53
010811306C,53
010811517C,55
010811652C,53
010811700C,53
010812079C,53
010812205C,54
010812930C,55
010813155C,53
010813171C,55
010813286C,53
010813387C,53
010813391C,53
010813414C,55
010813683C,53
010813804C,55
010814022C,54
010814023C,54
010814167C,53
010814389C,53
010814552C,53
010814559C,53
010814696C,53
010814698C,55
010814836C,55
010814933C,53
010814971C,53
010815003C,55
010815026C,55
010815643C,55
010815945C,55
010816070C,53
010816156C,53
010816224C,53
010816326C,55
010816331C,55
010816590C,53
010816898C,55
010816928C,53
010817091C,53
010817345C,53
010817415C,53
010817477C,53
010817500C,53
010817639C,53
010817930C,53
010818580C,53
010818657C,55
010818717C,55
010818718C,55
010818789C,53
010818799C,53
010819267C,55
010819400C,55
010819603C,55
010819955C,53
010820386C,53
010820635C,53
010820835C,54
010821274C,53
010821322C,54
010821381C,55
010821385C,55
010821902C,54
010822046C,55
010822225C,53
010822330C,53
010822738C,55
010823088C,53
010823095C,55
010823187C,55
010823601C,53
010823736C,55
010823868C,53
010823906C,53
010824098C,55
010824296C,53
010824299C,55
010824389C,55
010824559C,54
010824811C,55
010824975C,55
010825027C,55
010825053C,55
010825195C,55
010825434C,55
010825438C,53
010825639C,53
010825694C,55
010825720C,53
010825969C,53
010826097C,55
010826133C,55
010826525C,55
010826532C,53
010826765C,53
010826810C,53
010826812C,55
010827014C,53
010827228C,53
010827590C,53
010827672C,55
010827675C,55
010827968C,55
010828368C,55
010828463C,53
010828602C,53
010829154C,53
010829155C,53
010829171C,53
010829579C,54
010829587C,53
010829942C,55
010830145C,53
010830152C,54
010830310C,53
010831077C,55
010831150C,53
010831719C,55
010831893C,55
010832205C,55
010832616C,55
010832617C,54
010832626C,55
010832681C,53
010833467C,57
010833595C,55
010833639C,53
010833740C,53
010834096C,53
010834344C,53
010834414C,54
010834430C,53
010834489C,55
010834689C,53
010834690C,53
010834719C,53
010834745C,53
010835240C,53
010835334C,53
010835632C,55
010835847C,54
010835891C,53
010835949C,55
010836057C,53
010836094C,55
010836250C,53
010836265C,53
010836547C,53
010836582C,55
010836583C,55
010836584C,55
010837522C,53
010838037C,55
010838129C,53
010838364C,53
010838654C,55
010838834C,53
010839234C,53
010839290C,55
010839714C,53
010839783C,55
010839849C,54
010840477C,55
010840582C,53
010840776C,53
010840779C,55
010840780C,53
010840848C,55
010841063C,53
010841424C,53
010841470C,53
010841471C,53
010842026C,55
010842284C,55
010842285C,55
010842291C,53
010842541C,53
010842786C,55
010842863C,55
010842962C,55
010842969C,53
010843137C,53
010843233C,54
010843280C,55
010843553C,53
010844069C,55
010844236C,55
010844322C,55
010844496C,55
010845094C,53
010845194C,53
010845548C,53
010845706C,55
010845862C,55
010845878C,53
010845880C,55
010846244C,53
010846279C,55
010846459C,53
010846679C,53
010846780C,55
010846851C,55
010847463C,55
010847466C,53
010847488C,53
010847570C,53
010848085C,53
010848296C,54
010848644C,53
010849121C,55
010849122C,55
010849221C,54
010849667C,55
010849668C,53
010849699C,53
010849977C,55
010850270C,53
010850345C,54
010850346C,54
010850347C,54
010850533C,53
010851148C,53
010851577C,53
010851847C,55
010852357C,55
010852709C,55
010852865C,53
010853070C,55
010853287C,55
010853288C,53
010854157C,55
010854364C,53
010855657C,55
010855995C,54
010856188C,53
010856918C,53
010856925C,55
010857115C,53
010857119C,53
010857638C,53
010857881C,53
010858099C,55
010858396C,90
010858443C,54
010858488C,53
010858489C,53
010858518C,53
010858587C,55
010858907C,53
010859093C,53
010859282C,53
010859462C,53
010860471C,53
010860472C,53
010860628C,53
010860900C,53
010860970C,53
010861363C,55
010863167C,53
010863334C,53
010863788C,53
010864474C,54
010866396C,53
010867962C,53
010867974C,55
010868131C,55
010868188C,55
010868189C,55
010868984C,54
010869452C,53
010869804C,53
010870474C,54
010871146C,53
010872105C,55
010872109C,55
010872326C,55
010872329C,55
010872417C,53
010872526C,53
010873288C,54
010873499C,55
010874688C,55
010874797C,55
010874801C,53
010875065C,53
010875783C,53
010876417C,53
010877012C,53
010877466C,54
010877467C,54
010877480C,55
010877481C,55
010877890C,53
010878904C,55
010879203C,53
010880225C,53
010880257C,55
010881096C,53
010881272C,55
010881273C,55
010881974C,53
010881975C,53
010882195C,54
010883245C,53
010883246C,53
010883563C,53
010884052C,55
010885383C,53
010886528C,55
010886805C,53
010886812C,53
010886851C,55
010887770C,54
010887780C,57
010887927C,55
010887929C,55
010888232C,53
010888338C,53
010888339C,53
010888649C,53
010889364C,53
010889547C,53
010890622C,53
010890627C,53
010891075C,53
010891079C,53
010892327C,53
010892685C,53
010892693C,53
010892696C,55
010893160C,55
010893386C,55
010893387C,53
010893908C,53
010893949C,53
010893950C,53
010894754C,55
010894951C,53
010895253C,53
010895675C,53
010895935C,54
010895936C,54
010896144C,53
010896866C,53
010896915C,53
010896924C,53
010896931C,55
010897303C,53
010897517C,55
010897664C,54
010898542C,53
010898545C,53
010898547C,53
010898692C,53
010899163C,54
010899709C,55
010899761C,55
010900142C,53
010900144C,53
010900145C,53
010900152C,53
010900154C,55
010900155C,55
010900512C,54
010900517C,53
010900519C,53
010900620C,55
010900971C,55
010901824C,53
010901833C,53
010902761C,53
010903919C,53
010903927C,53
010904097C,53
010904649C,53
010904798C,55
010904808C,54
010904809C,54
010904810C,54
010905677C,53
010906254C,53
010907385C,56
010908069C,55
010908070C,55
010909669C,55
010909767C,53
010910320C,53
010911627C,53
010912454C,53
010913101C,53
010913253C,53
010913261C,55
010913551C,55
010914301C,53
010914378C,54
010914384C,53
010915030C,53
010915533C,53
010915619C,53
010915620C,54
010916260C,53
010916282C,54
010916879C,53
010917172C,53
010917231C,54
010917520C,53
010917600C,53
010917601C,54
010917605C,54
010919258C,53
010919431C,53
010920784C,55
010920785C,55
010920793C,53
010920798C,53
010921853C,54
010924474C,53
010924475C,53
010924487C,54
010924488C,54
010926226C,54
010926346C,54
010926347C,55
010926348C,55
010926349C,54
010927552C,55
010927885C,53
010928261C,55
010928495C,53
010928497C,54
010929235C,53
010929367C,53
010929794C,53
010929982C,53
010930278C,57
010932886C,54
010933370C,53
010935366C,53
010935377C,55
010935469C,53
010935470C,53
010936183C,53
010936381C,53
010936713C,53
010937735C,54
010938962C,55
010939542C,55
010939731C,53
010940594C,53
010940855C,53
010941103C,53
010942232C,53
010942233C,53
010942239C,53
010942439C,55
010945534C,53
010946392C,55
010946394C,53
010946649C,53
010947021C,53
010947489C,55
010947866C,53
010948195C,53
010949295C,53
010952069C,53
010952369C,53
010954823C,53
010956144C,55
010956145C,55
010956610C,54
010957789C,54
010958111C,53
010958438C,55
010958446C,53
010959302C,53
010960586C,54
010960590C,53
010961712C,55
010963046C,53
010965143C,53
010965145C,55
010965984C,55
010966767C,53
010968283C,55
010968689C,53
010968808C,53
010968811C,53
010968813C,54
010968814C,53
010968815C,53
010968816C,54
010968821C,54
010969153C,53
010969227C,53
010970211C,53
010971528C,53
010971529C,55
010974048C,55
010974140C,53
010974838C,53
010975712C,54
010975741C,55
010977876C,53
010979717C,55
010979722C,53
010980833C,55
010981739C,53
010983828C,53
010984316C,53
010985184C,53
010985597C,55
010986137C,53
010986434C,53
010987464C,54
010988454C,53
010989073C,55
010989913C,53
010990148C,53
010991641C,55
010991643C,55
010992950C,55
010993014C,53
010993201C,54
010994236C,53
010994968C,55
010996841C,53
010996983C,53
010996999C,55
010997600C,55
010999170C,54
011000854C,53
011001627C,53
011001742C,54
011001743C,55
011001984C,53
011002095C,53
011002664C,53
011003108C,55
011003162C,53
011004587C,53
011005190C,55
011005348C,53
011005435C,54
011005855C,53
011005964C,56
011006781C,54
011007835C,55
011008708C,57
011010387C,55
011011155C,54
011013545C,53
011014276C,53
011014578C,55
011014739C,53
011015419C,53
011016293C,55
011016527C,53
011016867C,53
011017841C,53
011018697C,90
011018772C,55
011018779C,55
011019414C,53
011019552C,53
011024459C,53
011025088C,53
011025478C,57
011025612C,53
011026337C,53
011026547C,55
011029696C,55
011029895C,54
011030877C,55
