MPOLICY,LIFEPRO,LP_CODE,TYPE_CODE,SOURCE_FIELD,PAID_UP_TYPE,BEFORE_MNFOPT,PRED_BEFORE,AFTER_MNFOPT,CHANGED,MDIVOPT,MSTATUS
010769184C,9010769184,1,BF,BF,,1,1,1,N,0,55
010769190C,9010769190,1,BF,BF,,1,1,1,N,0,22
010769191C,9010769191,1,BF,BF,,1,1,1,N,0,22
010769195C,9010769195,1,BF,BF,,1,1,1,N,0,22
010769198C,9010769198,1,BF,BF,,1,1,1,N,0,22
010769220C,9010769220,1,BF,BF,,1,1,1,N,0,55
010769221C,9010769221,1,BF,BF,,1,1,1,N,0,55
010769227C,9010769227,1,BF,BF,,1,1,1,N,0,53
010769232C,9010769232,1,BF,BF,,1,1,1,N,0,22
010769233C,9010769233,1,BF,BF,,1,1,1,N,0,22
010769345C,9010769345,1,BF,BF,,1,1,1,N,0,22
010769554C,9010769554,1,BF,BF,,1,1,1,N,0,22
010769606C,9010769606,1,BF,BF,,1,1,1,N,0,22
010769711C,9010769711,1,BF,BF,,1,1,1,N,0,22
010769714C,9010769714,1,BF,BF,,1,1,1,N,0,53
010770062C,9010770062,4,BF,BF,,0,0,2,Y,0,22
010770571C,9010770571,1,BF,BF,,1,1,1,N,0,53
010770572C,9010770572,1,BF,BF,,1,1,1,N,0,22
010770580C,9010770580,2,BF,BF,,1,1,1,N,0,53
010770719C,9010770719,1,BF,BF,,1,1,1,N,0,55
010770720C,9010770720,1,BF,BF,,1,1,1,N,0,22
010770721C,9010770721,1,BF,BF,,1,1,1,N,0,22
010770722C,9010770722,1,BF,BF,,1,1,1,N,0,22
010770816C,9010770816,1,BF,BF,,1,1,1,N,0,55
010770844C,9010770844,1,BF,BF,,1,1,1,N,0,22
010770865C,9010770865,1,BF,BF,,1,1,1,N,0,55
010770904C,9010770904,4,BF,BF,,0,0,2,Y,0,22
010771065C,9010771065,1,BF,BF,,1,1,1,N,0,22
010771070C,9010771070,1,BF,BF,,1,1,1,N,0,22
010771111C,9010771111,1,BF,BF,,1,1,1,N,0,53
010771339C,9010771339,4,BF,BF,,0,0,2,Y,0,22
010771349C,9010771349,1,BF,BF,,1,1,1,N,0,22
010771352C,9010771352,1,BF,BF,,1,1,1,N,0,53
010771354C,9010771354,1,BF,BF,,1,1,1,N,0,22
010771532C,9010771532,1,BF,BF,,1,1,1,N,0,22
010771580C,9010771580,1,BF,BF,,1,1,1,N,0,53
010771588C,9010771588,1,BF,BF,,1,1,1,N,0,55
010771654C,9010771654,1,BF,BF,,1,1,1,N,0,53
010771658C,9010771658,1,BF,BF,,1,1,1,N,0,22
010771662C,9010771662,2,BF,BF,,1,1,1,N,0,53
010771679C,9010771679,4,BF,BF,,0,0,2,Y,0,22
010771763C,9010771763,1,BF,BF,,1,1,1,N,0,22
010771832C,9010771832,4,BF,BF,,0,0,2,Y,0,22
010771833C,9010771833,4,BF,BF,,0,0,2,Y,0,22
010772297C,9010772297,1,BF,BF,,1,1,1,N,0,22
010772298C,9010772298,1,BF,BF,,1,1,1,N,0,22
010772668C,9010772668,1,BF,BF,,1,1,1,N,0,57
010772683C,9010772683,1,BF,BF,,1,1,1,N,0,53
010772840C,9010772840,1,BF,BF,,1,1,1,N,0,55
010772898C,9010772898,1,BF,BF,,1,1,1,N,0,55
010772903C,9010772903,1,BF,BF,,1,1,1,N,0,22
010772913C,9010772913,1,BF,BF,,1,1,1,N,0,22
010772915C,9010772915,1,BF,BF,,1,1,1,N,0,55
010772916C,9010772916,1,BF,BF,,1,1,1,N,0,55
010772919C,9010772919,1,BF,BF,,1,1,1,N,0,50
010772957C,9010772957,1,BF,BF,,1,1,1,N,0,22
010773088C,9010773088,1,BF,BF,,1,1,1,N,0,53
010773107C,9010773107,1,BF,BF,,1,1,1,N,0,55
010773109C,9010773109,2,BF,BF,,1,1,1,N,0,55
010773243C,9010773243,1,BF,BF,,1,1,1,N,0,57
010773267C,9010773267,1,BF,BF,,1,1,1,N,0,55
010773468C,9010773468,1,BF,BF,,1,1,1,N,0,22
010773561C,9010773561,0,BA,NF,LE,2,2,2,N,0,44
010773573C,9010773573,1,BF,BF,,1,1,1,N,0,55
010773575C,9010773575,1,BF,BF,,1,1,1,N,0,22
010773681C,9010773681,1,BF,BF,,1,1,1,N,0,22
010773682C,9010773682,1,BF,BF,,1,1,1,N,0,22
010773856C,9010773856,1,BF,BF,,1,1,1,N,0,55
010773882C,9010773882,1,BF,BF,,1,1,1,N,0,22
010774107C,9010774107,1,BF,BF,,1,1,1,N,0,55
010774109C,9010774109,1,BF,BF,,1,1,1,N,0,53
010774328C,9010774328,1,BF,BF,,1,1,1,N,0,22
010774329C,9010774329,1,BF,BF,,1,1,1,N,0,22
010774484C,9010774484,1,BF,BF,,1,1,1,N,0,53
010774490C,9010774490,1,BF,BF,,1,1,1,N,0,22
010774527C,9010774527,1,BF,BF,,1,1,1,N,0,22
010774643C,9010774643,1,BF,BF,,1,1,1,N,0,22
010774644C,9010774644,1,BF,BF,,1,1,1,N,0,22
010774772C,9010774772,1,BF,BF,,1,1,1,N,0,22
010774773C,9010774773,1,BF,BF,,1,1,1,N,0,53
010774774C,9010774774,0,BA,NF,LE,2,2,2,N,0,44
010774793C,9010774793,1,BF,BF,,1,1,1,N,0,22
010774794C,9010774794,1,BF,BF,,1,1,1,N,0,57
010774795C,9010774795,1,BF,BF,,1,1,1,N,0,22
010774868C,9010774868,1,BF,BF,RU,3,3,3,N,0,45
010774973C,9010774973,4,BF,BF,,0,0,2,Y,0,22
010775172C,9010775172,0,BA,NF,LE,2,2,2,N,0,54
010775239C,9010775239,1,BF,BF,,1,1,1,N,0,22
010775240C,9010775240,1,BF,BF,,1,1,1,N,0,55
010775244C,9010775244,1,BF,BF,,1,1,1,N,0,22
010775323C,9010775323,4,BF,BF,,0,0,2,Y,0,53
010775418C,9010775418,1,BF,BF,,1,1,1,N,0,22
010775583C,9010775583,1,BF,BF,,1,1,1,N,0,22
010775722C,9010775722,1,BF,BF,,1,1,1,N,0,22
010775723C,9010775723,1,BF,BF,,1,1,1,N,0,22
010775940C,9010775940,4,BF,BF,ET,2,2,2,N,0,55
010776002C,9010776002,1,BF,BF,RU,3,3,3,N,0,53
010776005C,9010776005,1,BF,BF,,1,1,1,N,0,22
010776007C,9010776007,1,BF,BF,,1,1,1,N,0,22
010776025C,9010776025,4,BF,BF,ET,2,2,2,N,0,44
010776027C,9010776027,1,BF,BF,,1,1,1,N,0,55
010776061C,9010776061,4,BF,BF,ET,2,2,2,N,0,44
010776062C,9010776062,4,BF,BF,ET,2,2,2,N,0,44
010776157C,9010776157,1,BF,BF,,1,1,1,N,0,53
010776221C,9010776221,0,BA,NF,LE,2,2,2,N,0,54
010776442C,9010776442,1,BF,BF,,1,1,1,N,0,53
010776445C,9010776445,1,BF,BF,,1,1,1,N,0,53
010776450C,9010776450,4,BF,BF,,0,0,2,Y,0,55
010776502C,9010776502,1,BF,BF,,1,1,1,N,0,22
010776555C,9010776555,1,BF,BF,,1,1,1,N,0,53
010776651C,9010776651,1,BF,BF,,1,1,1,N,0,22
010776653C,9010776653,1,BF,BF,,1,1,1,N,0,53
010776672C,9010776672,1,BF,BF,,1,1,1,N,0,53
010776811C,9010776811,1,BF,BF,,1,1,1,N,0,22
010776812C,9010776812,1,BF,BF,,1,1,1,N,0,22
010776813C,9010776813,1,BF,BF,,1,1,1,N,0,22
010776814C,9010776814,1,BF,BF,,1,1,1,N,0,53
010776831C,9010776831,1,BF,BF,,1,1,1,N,0,22
010776832C,9010776832,1,BF,BF,,1,1,1,N,0,22
010776900C,9010776900,1,BF,BF,,1,1,1,N,0,22
010776908C,9010776908,1,BF,BF,,1,1,1,N,0,55
010776909C,9010776909,1,BF,BF,,1,1,1,N,0,22
010776918C,9010776918,1,BF,BF,ET,2,2,2,N,0,55
010777042C,9010777042,4,BF,BF,,0,0,2,Y,0,22
010777043C,9010777043,4,BF,BF,,0,0,2,Y,0,53
010777059C,9010777059,1,BF,BF,,1,1,1,N,0,22
010777124C,9010777124,1,BF,BF,,1,1,1,N,0,53
010777133C,9010777133,1,BF,BF,,1,1,1,N,0,22
010777321C,9010777321,0,BA,NF,LE,2,2,2,N,0,44
010777322C,9010777322,0,BA,NF,LE,2,2,2,N,0,44
010777439C,9010777439,4,BF,BF,ET,2,2,2,N,0,44
010777501C,9010777501,1,BF,BF,RU,3,3,3,N,0,45
010777546C,9010777546,1,BF,BF,,1,1,1,N,0,53
010777662C,9010777662,1,BF,BF,,1,1,1,N,0,22
010777665C,9010777665,1,BF,BF,,1,1,1,N,0,22
010777788C,9010777788,4,BF,BF,,0,0,2,Y,0,53
010777793C,9010777793,1,BF,BF,,1,1,1,N,0,53
010778016C,9010778016,1,BF,BF,,1,1,1,N,0,22
010778142C,9010778142,1,BF,BF,,1,1,1,N,0,53
010778181C,9010778181,0,BA,NF,LE,2,2,2,N,0,54
010778262C,9010778262,1,BF,BF,,1,1,1,N,0,53
010778263C,9010778263,0,BA,NF,LE,2,2,2,N,0,54
010778299C,9010778299,1,BF,BF,,1,1,1,N,0,53
010778303C,9010778303,1,BF,BF,,1,1,1,N,0,22
010778304C,9010778304,1,BF,BF,,1,1,1,N,0,22
010778361C,9010778361,1,BF,BF,,1,1,1,N,0,22
010778381C,9010778381,1,BF,BF,RU,3,3,3,N,0,45
010778464C,9010778464,1,BF,BF,,1,1,1,N,0,53
010778474C,9010778474,1,BF,BF,,1,1,1,N,0,53
010778519C,9010778519,4,BF,BF,,0,0,2,Y,0,53
010778635C,9010778635,1,BF,BF,,1,1,1,N,0,53
010778653C,9010778653,1,BF,BF,,1,1,1,N,0,22
010778697C,9010778697,1,BF,BF,,1,1,1,N,0,22
010778702C,9010778702,1,BF,BF,,1,1,1,N,0,55
010778707C,9010778707,1,BF,BF,,1,1,1,N,0,22
010778834C,9010778834,1,BF,BF,,1,1,1,N,0,53
010778841C,9010778841,4,BF,BF,,0,0,2,Y,0,53
010778913C,9010778913,1,BF,BF,,1,1,1,N,0,53
010778914C,9010778914,1,BF,BF,,1,1,1,N,0,53
010779031C,9010779031,1,BF,BF,,1,1,1,N,0,22
010779032C,9010779032,1,BF,BF,,1,1,1,N,0,22
010779034C,9010779034,1,BF,BF,,1,1,1,N,0,22
010779074C,9010779074,1,BF,BF,,1,1,1,N,0,55
010779130C,9010779130,4,BF,BF,,0,0,2,Y,0,53
010779191C,9010779191,4,BF,BF,,0,0,2,Y,0,53
010779197C,9010779197,1,BF,BF,,1,1,1,N,0,53
010779456C,9010779456,0,BA,NF,LE,2,2,2,N,0,44
010779551C,9010779551,4,BF,BF,,0,0,2,Y,0,22
010779552C,9010779552,4,BF,BF,,0,0,2,Y,0,22
010779553C,9010779553,0,BA,NF,LE,2,2,2,N,0,44
010779556C,9010779556,4,BF,BF,ET,2,2,2,N,0,55
010779563C,9010779563,1,BF,BF,,1,1,1,N,0,22
010779718C,9010779718,4,BF,BF,,0,0,2,Y,0,22
010779719C,9010779719,4,BF,BF,,0,0,2,Y,0,22
010779720C,9010779720,4,BF,BF,,0,0,2,Y,0,22
010779727C,9010779727,1,BF,BF,,1,1,1,N,0,22
010779736C,9010779736,1,BF,BF,,1,1,1,N,0,53
010779847C,9010779847,1,BF,BF,,1,1,1,N,0,22
010779912C,9010779912,4,BF,BF,RU,3,3,3,N,0,55
010780000C,9010780000,4,BF,BF,,0,0,2,Y,0,53
010780003C,9010780003,1,BF,BF,,1,1,1,N,0,53
010780046C,9010780046,4,BF,BF,,0,0,2,Y,0,22
010780050C,9010780050,1,BF,BF,,1,1,1,N,0,53
010780131C,9010780131,1,BF,BF,,1,1,1,N,0,55
010780202C,9010780202,0,BA,NF,LE,2,2,2,N,0,44
010780205C,9010780205,4,BF,BF,,0,0,2,Y,0,22
010780206C,9010780206,1,BF,BF,,1,1,1,N,0,22
010780393C,9010780393,1,BF,BF,,1,1,1,N,0,22
010780403C,9010780403,1,BF,BF,,1,1,1,N,0,53
010780408C,9010780408,1,BF,BF,,1,1,1,N,0,55
010780411C,9010780411,1,BF,BF,,1,1,1,N,0,53
010780510C,9010780510,1,BF,BF,,1,1,1,N,0,22
010780526C,9010780526,1,BF,BF,,1,1,1,N,0,22
010780591C,9010780591,4,BF,BF,,0,0,2,Y,0,22
010780597C,9010780597,1,BF,BF,,1,1,1,N,0,55
010780667C,9010780667,1,BF,BF,,1,1,1,N,0,55
010780668C,9010780668,1,BF,BF,,1,1,1,N,0,55
010780791C,9010780791,4,BF,BF,,0,0,2,Y,0,53
010780870C,9010780870,1,BF,BF,RU,3,3,3,N,0,45
010781047C,9010781047,1,BF,BF,,1,1,1,N,0,22
010781117C,9010781117,1,BF,BF,,1,1,1,N,0,53
010781121C,9010781121,1,BF,BF,,1,1,1,N,0,55
010781128C,9010781128,1,BF,BF,,1,1,1,N,0,22
010781300C,9010781300,4,BF,BF,,0,0,2,Y,0,22
010781368C,9010781368,4,BF,BF,,0,0,2,Y,0,55
010781702C,9010781702,1,BF,BF,,1,1,1,N,0,22
010781713C,9010781713,1,BF,BF,,1,1,1,N,0,55
010781721C,9010781721,1,BF,BF,RU,3,3,3,N,0,45
010781775C,9010781775,1,BF,BF,RU,3,3,3,N,0,53
010781852C,9010781852,0,BA,NF,LE,2,2,2,N,0,44
010781853C,9010781853,0,BA,NF,LE,2,2,2,N,0,44
010781863C,9010781863,1,BF,BF,,1,1,1,N,0,53
010782018C,9010782018,1,BF,BF,,1,1,1,N,0,53
010782022C,9010782022,1,BF,BF,,1,1,1,N,0,55
010782062C,9010782062,4,BF,BF,,0,0,2,Y,0,22
010782063C,9010782063,1,BF,BF,,1,1,1,N,0,22
010782064C,9010782064,1,BF,BF,,1,1,1,N,0,22
010782078C,9010782078,2,BF,BF,,1,1,1,N,0,22
010782119C,9010782119,1,BF,BF,,1,1,1,N,0,22
010782192C,9010782192,1,BF,BF,,1,1,1,N,0,55
010782332C,9010782332,1,BF,BF,,1,1,1,N,0,22
010782357C,9010782357,4,BF,BF,,0,0,2,Y,0,53
010782571C,9010782571,1,BF,BF,,1,1,1,N,0,22
010782592C,9010782592,1,BF,BF,,1,1,1,N,0,53
010782640C,9010782640,4,BF,BF,,0,0,2,Y,0,22
010782671C,9010782671,1,BF,BF,,1,1,1,N,0,22
010782675C,9010782675,1,BF,BF,,1,1,1,N,0,55
010782676C,9010782676,1,BF,BF,,1,1,1,N,0,55
010782818C,9010782818,1,BF,BF,,1,1,1,N,0,54
010782822C,9010782822,1,BF,BF,,1,1,1,N,0,53
010783066C,9010783066,1,BF,BF,,1,1,1,N,0,22
010783070C,9010783070,0,BA,NF,LE,2,2,2,N,0,44
010783071C,9010783071,0,BA,NF,LE,2,2,2,N,0,44
010783085C,9010783085,1,BF,BF,,1,1,1,N,0,22
010783086C,9010783086,1,BF,BF,,1,1,1,N,0,53
010783087C,9010783087,1,BF,BF,,1,1,1,N,0,22
010783101C,9010783101,4,BF,BF,,0,0,2,Y,0,22
010783102C,9010783102,4,BF,BF,,0,0,2,Y,0,53
010783138C,9010783138,4,BF,BF,,0,0,2,Y,0,22
010783269C,9010783269,1,BF,BF,,1,1,1,N,0,22
010783278C,9010783278,1,BF,BF,,1,1,1,N,0,22
010783296C,9010783296,1,BF,BF,,1,1,1,N,0,22
010783347C,9010783347,4,BF,BF,ET,2,2,2,N,0,44
010783502C,9010783502,4,BF,BF,,0,0,2,Y,0,53
010783715C,9010783715,1,BF,BF,ET,2,2,2,N,0,55
010783747C,9010783747,1,BF,BF,,1,1,1,N,0,22
010783785C,9010783785,1,BF,BF,,1,1,1,N,0,22
010783786C,9010783786,1,BF,BF,,1,1,1,N,0,22
010783867C,9010783867,4,BF,BF,,0,0,2,Y,0,22
010783883C,9010783883,1,BF,BF,,1,1,1,N,0,53
010784045C,9010784045,1,BF,BF,,1,1,1,N,0,53
010784054C,9010784054,1,BF,BF,,1,1,1,N,0,56
010784074C,9010784074,1,BF,BF,,1,1,1,N,0,53
010784075C,9010784075,4,BF,BF,,0,0,2,Y,0,22
010784179C,9010784179,4,BF,BF,,0,0,2,Y,0,56
010784248C,9010784248,1,BF,BF,,1,1,1,N,0,55
010784249C,9010784249,1,BF,BF,,1,1,1,N,0,55
010784250C,9010784250,1,BF,BF,RU,3,3,3,N,0,53
010784251C,9010784251,1,BF,BF,,1,1,1,N,0,22
010784261C,9010784261,4,BF,BF,,0,0,2,Y,0,57
010784370C,9010784370,1,BF,BF,,1,1,1,N,0,22
010784372C,9010784372,1,BF,BF,,1,1,1,N,0,53
010784379C,9010784379,4,BF,BF,,0,0,2,Y,0,55
010784529C,9010784529,1,BF,BF,,1,1,1,N,0,53
010784592C,9010784592,1,BF,BF,,1,1,1,N,0,57
010784596C,9010784596,4,BF,BF,RU,3,3,3,N,0,45
010784731C,9010784731,4,BF,BF,,0,0,2,Y,0,22
010784732C,9010784732,2,BF,BF,,1,1,1,N,0,22
010784742C,9010784742,1,BF,BF,ET,2,2,2,N,0,55
010784756C,9010784756,1,BF,BF,,1,1,1,N,0,22
010784757C,9010784757,1,BF,BF,,1,1,1,N,0,22
010784767C,9010784767,4,BF,BF,,0,0,2,Y,0,53
010784914C,9010784914,1,BF,BF,,1,1,1,N,0,22
010784918C,9010784918,1,BF,BF,,1,1,1,N,0,57
010784922C,9010784922,1,BF,BF,,1,1,1,N,0,53
010784936C,9010784936,1,BF,BF,,1,1,1,N,0,22
010784946C,9010784946,1,BF,BF,,1,1,1,N,0,53
010784950C,9010784950,1,BF,BF,,1,1,1,N,0,57
010785049C,9010785049,1,BF,BF,,1,1,1,N,0,53
010785059C,9010785059,4,BF,BF,ET,2,2,2,N,0,44
010785061C,9010785061,4,BF,BF,,0,0,2,Y,0,22
010785099C,9010785099,1,BF,BF,ET,2,2,2,N,0,55
010785163C,9010785163,1,BF,BF,,1,1,1,N,0,22
010785164C,9010785164,1,BF,BF,,1,1,1,N,0,57
010785284C,9010785284,1,BF,BF,,1,1,1,N,0,55
010785298C,9010785298,4,BF,BF,,0,0,2,Y,0,53
010785300C,9010785300,0,BA,NF,LE,2,2,2,N,0,54
010785310C,9010785310,1,BF,BF,,1,1,1,N,0,55
010785320C,9010785320,4,BF,BF,,0,0,2,Y,0,54
010785324C,9010785324,4,BF,BF,,0,0,2,Y,0,22
010785777C,9010785777,1,BF,BF,,1,1,1,N,0,53
010785831C,9010785831,0,BA,NF,LE,2,2,2,N,0,54
010785834C,9010785834,1,BF,BF,,1,1,1,N,0,22
010785921C,9010785921,1,BF,BF,,1,1,1,N,0,55
010785932C,9010785932,1,BF,BF,,1,1,1,N,0,53
010786015C,9010786015,1,BF,BF,,1,1,1,N,0,53
010786057C,9010786057,4,BF,BF,RU,3,3,3,N,0,45
010786152C,9010786152,1,BF,BF,,1,1,1,N,0,53
010786153C,9010786153,1,BF,BF,,1,1,1,N,0,53
010786237C,9010786237,4,BF,BF,,0,0,2,Y,0,53
010786240C,9010786240,1,BF,BF,,1,1,1,N,0,53
010786243C,9010786243,1,BF,BF,RU,3,3,3,N,0,53
010786312C,9010786312,1,BF,BF,,1,1,1,N,0,53
010786316C,9010786316,4,BF,BF,,0,0,2,Y,0,22
010786321C,9010786321,4,BF,BF,,0,0,2,Y,0,55
010786324C,9010786324,1,BF,BF,,1,1,1,N,0,54
010786425C,9010786425,0,BA,NF,LE,2,2,2,N,0,54
010786490C,9010786490,1,BF,BF,,1,1,1,N,0,53
010786800C,9010786800,1,BF,BF,,1,1,1,N,0,22
010786823C,9010786823,1,BF,BF,,1,1,1,N,0,55
010786824C,9010786824,1,BF,BF,,1,1,1,N,0,53
010786872C,9010786872,4,BF,BF,,0,0,2,Y,0,22
010786878C,9010786878,2,BF,BF,,1,1,1,N,0,53
010786886C,9010786886,1,BF,BF,,1,1,1,N,0,53
010786896C,9010786896,4,BF,BF,,0,0,2,Y,0,22
010786945C,9010786945,4,BF,BF,,0,0,2,Y,0,22
010787147C,9010787147,4,BF,BF,,0,0,2,Y,0,53
010787151C,9010787151,1,BF,BF,,1,1,1,N,0,22
010787237C,9010787237,4,BF,BF,,0,0,2,Y,0,22
010787351C,9010787351,1,BF,BF,RU,3,3,3,N,0,45
010787390C,9010787390,1,BF,BF,,1,1,1,N,0,53
010787511C,9010787511,1,BF,BF,,1,1,1,N,0,53
010787513C,9010787513,1,BF,BF,,1,1,1,N,0,22
010787560C,9010787560,1,BF,BF,,1,1,1,N,0,22
010787639C,9010787639,1,BF,BF,,1,1,1,N,0,22
010787668C,9010787668,1,BF,BF,,1,1,1,N,0,22
010787669C,9010787669,1,BF,BF,,1,1,1,N,0,22
010787730C,9010787730,1,BF,BF,ET,2,2,2,N,0,55
010787761C,9010787761,4,BF,BF,,0,0,2,Y,0,22
010787762C,9010787762,4,BF,BF,,0,0,2,Y,0,55
010787952C,9010787952,1,BF,BF,,1,1,1,N,0,22
010788086C,9010788086,4,BF,BF,,0,0,2,Y,0,22
010788102C,9010788102,1,BF,BF,,1,1,1,N,0,22
010788111C,9010788111,1,BF,BF,,1,1,1,N,0,55
010788188C,9010788188,1,BF,BF,,1,1,1,N,0,22
010788197C,9010788197,1,BF,BF,,1,1,1,N,0,53
010788421C,9010788421,1,BF,BF,,1,1,1,N,0,53
010788426C,9010788426,4,BF,BF,,0,0,2,Y,0,56
010788679C,9010788679,4,BF,BF,,0,0,2,Y,0,22
010788860C,9010788860,1,BF,BF,,1,1,1,N,0,22
010788878C,9010788878,1,BF,BF,ET,2,2,2,N,0,55
010788886C,9010788886,1,BF,BF,,1,1,1,N,0,22
010789095C,9010789095,4,BF,BF,,0,0,2,Y,0,53
010789213C,9010789213,1,BF,BF,,1,1,1,N,0,22
010789348C,9010789348,1,BF,BF,,1,1,1,N,0,53
010789351C,9010789351,4,BF,BF,,0,0,2,Y,0,53
010789375C,9010789375,4,BF,BF,,0,0,2,Y,0,53
010789384C,9010789384,1,BF,BF,,1,1,1,N,0,53
010789525C,9010789525,1,BF,BF,,1,1,1,N,0,53
010789531C,9010789531,1,BF,BF,ET,2,2,2,N,0,55
010789532C,9010789532,1,BF,BF,ET,2,2,2,N,0,55
010789546C,9010789546,1,BF,BF,,1,1,1,N,0,22
010789547C,9010789547,1,BF,BF,,1,1,1,N,0,22
010789876C,9010789876,1,BF,BF,,1,1,1,N,0,22
010789992C,9010789992,1,BF,BF,,1,1,1,N,0,53
010790002C,9010790002,1,BF,BF,,1,1,1,N,0,22
010790054C,9010790054,4,BF,BF,,0,0,2,Y,0,22
010790077C,9010790077,4,BF,BF,,0,0,2,Y,0,22
010790170C,9010790170,1,BF,BF,,1,1,1,N,0,22
010790176C,9010790176,4,BF,BF,,0,0,2,Y,0,53
010790287C,9010790287,1,BF,BF,,1,1,1,N,0,22
010790531C,9010790531,1,BF,BF,,1,1,1,N,0,22
010790532C,9010790532,1,BF,BF,,1,1,1,N,0,22
010790543C,9010790543,4,BF,BF,,0,0,2,Y,0,53
010790754C,9010790754,4,BF,BF,,0,0,2,Y,0,22
010790755C,9010790755,4,BF,BF,RU,3,3,3,N,0,53
010790758C,9010790758,4,BF,BF,,0,0,2,Y,0,22
010790759C,9010790759,4,BF,BF,,0,0,2,Y,0,22
010790779C,9010790779,0,BA,NF,LE,2,2,2,N,0,54
010790782C,9010790782,4,BF,BF,,0,0,2,Y,0,55
010790787C,9010790787,4,BF,BF,,0,0,2,Y,0,22
010791078C,9010791078,4,BF,BF,,0,0,2,Y,0,53
010791176C,9010791176,4,BF,BF,,0,0,2,Y,0,53
010791323C,9010791323,1,BF,BF,,1,1,1,N,0,22
010791405C,9010791405,1,BF,BF,,1,1,1,N,0,22
010791457C,9010791457,4,BF,BF,,0,0,2,Y,0,22
010791462C,9010791462,1,BF,BF,,1,1,1,N,0,53
010791466C,9010791466,1,BF,BF,,1,1,1,N,0,53
010791497C,9010791497,1,BF,BF,,1,1,1,N,0,53
010791498C,9010791498,1,BF,BF,,1,1,1,N,0,22
010791597C,9010791597,1,BF,BF,,1,1,1,N,0,22
010791744C,9010791744,0,BA,NF,LE,2,2,2,N,0,54
010791789C,9010791789,4,BF,BF,ET,2,2,2,N,0,44
010792037C,9010792037,1,BF,BF,,1,1,1,N,0,54
010792038C,9010792038,1,BF,BF,,1,1,1,N,0,53
010792068C,9010792068,1,BF,BF,RU,3,3,3,N,0,45
010792082C,9010792082,4,BF,BF,RU,3,3,3,N,0,45
010792116C,9010792116,0,BA,NF,LE,2,2,2,N,0,54
010792296C,9010792296,1,BF,BF,,1,1,1,N,0,53
010792420C,9010792420,1,BF,BF,,1,1,1,N,0,55
010792456C,9010792456,4,BF,BF,,0,0,2,Y,0,22
010792541C,9010792541,1,BF,BF,,1,1,1,N,0,22
010792607C,9010792607,4,BF,BF,,0,0,2,Y,0,22
010792609C,9010792609,4,BF,BF,,0,0,2,Y,0,22
010792701C,9010792701,4,BF,BF,,0,0,2,Y,0,53
010792705C,9010792705,1,BF,BF,,1,1,1,N,0,54
010792706C,9010792706,1,BF,BF,,1,1,1,N,0,54
010792713C,9010792713,1,BF,BF,,1,1,1,N,0,22
010792884C,9010792884,4,BF,BF,,0,0,2,Y,0,22
010792961C,9010792961,4,BF,BF,,0,0,2,Y,0,22
010792979C,9010792979,1,BF,BF,,1,1,1,N,0,55
010792997C,9010792997,1,BF,BF,,1,1,1,N,0,53
010793204C,9010793204,1,BF,BF,,1,1,1,N,0,22
010793292C,9010793292,1,BF,BF,,1,1,1,N,0,22
010793353C,9010793353,4,BF,BF,,0,0,2,Y,0,22
010793451C,9010793451,1,BF,BF,,1,1,1,N,0,22
010793582C,9010793582,1,BF,BF,,1,1,1,N,0,54
010793598C,9010793598,1,BF,BF,,1,1,1,N,0,22
010793722C,9010793722,1,BF,BF,,1,1,1,N,0,53
010793727C,9010793727,1,BF,BF,,1,1,1,N,0,57
010793737C,9010793737,4,BF,BF,,0,0,2,Y,0,53
010793738C,9010793738,4,BF,BF,,0,0,2,Y,0,55
010793830C,9010793830,4,BF,BF,,0,0,2,Y,0,22
010793836C,9010793836,4,BF,BF,ET,2,2,2,N,0,44
010793968C,9010793968,1,BF,BF,,1,1,1,N,0,22
010793970C,9010793970,1,BF,BF,,1,1,1,N,0,55
010794095C,9010794095,1,BF,BF,,1,1,1,N,0,53
010794098C,9010794098,1,BF,BF,,1,1,1,N,0,22
010794099C,9010794099,1,BF,BF,,1,1,1,N,0,22
010794112C,9010794112,1,BF,BF,,1,1,1,N,0,55
010794116C,9010794116,1,BF,BF,,1,1,1,N,0,55
010794265C,9010794265,1,BF,BF,,1,1,1,N,0,22
010794367C,9010794367,1,BF,BF,,1,1,1,N,0,22
010794372C,9010794372,1,BF,BF,,1,1,1,N,0,22
010794435C,9010794435,1,BF,BF,,1,1,1,N,0,22
010794514C,9010794514,4,BF,BF,,0,0,2,Y,0,22
010794518C,9010794518,1,BF,BF,,1,1,1,N,0,53
010794520C,9010794520,1,BF,BF,,1,1,1,N,0,53
010794629C,9010794629,1,BF,BF,,1,1,1,N,0,22
010794730C,9010794730,1,BF,BF,,1,1,1,N,0,22
010794731C,9010794731,1,BF,BF,,1,1,1,N,0,22
010794751C,9010794751,1,BF,BF,,1,1,1,N,0,22
010795047C,9010795047,1,BF,BF,,1,1,1,N,0,53
010795121C,9010795121,1,BF,BF,,1,1,1,N,0,22
010795213C,9010795213,1,BF,BF,,1,1,1,N,0,22
010795215C,9010795215,1,BF,BF,,1,1,1,N,0,22
010795228C,9010795228,4,BF,BF,,0,0,2,Y,0,22
010795229C,9010795229,4,BF,BF,,0,0,2,Y,0,22
010795361C,9010795361,1,BF,BF,,1,1,1,N,0,22
010795562C,9010795562,1,BF,BF,,1,1,1,N,0,55
010795564C,9010795564,1,BF,BF,,1,1,1,N,0,55
