MSP B2 -2,-2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
FJV B2 74,74,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 75,75,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 76,76,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 77,77,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 78,78,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 79,79,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 80,80,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 81,81,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 82,82,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 83,83,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 84,84,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 85,85,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 86,86,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 87,87,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 88,88,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 89,89,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 90,90,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 91,91,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 92,92,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 93,93,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 94,94,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 95,95,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 96,96,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 97,97,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 98,98,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 99,99,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 100,100,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 101,101,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 102,102,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 103,103,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 104,104,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 105,105,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 106,106,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 107,107,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 108,108,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 109,109,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 110,110,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 111,111,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 112,112,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 113,113,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 114,114,3.1,3.18,3.26,3.35,3.45,3.54,3.64,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 115,115,3.1,3.18,3.26,3.35,3.45,3.54,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 116,116,3.1,3.18,3.26,3.35,3.45,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 117,117,3.1,3.18,3.26,3.35,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 118,118,3.1,3.18,3.26,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 119,119,3.1,3.18,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 120,120,3.1,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJV B2 121,121,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRN B2 -2,-2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
MRN B2 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,5.99,6.17,6.36,6.55,6.76,6.97,7.19,7.43,7.68,7.94,8.22,8.51,8.82,9.14,9.47,9.83,10.19,10.57,10.96,11.37,11.8,12.24,12.71,13.2,13.72,14.26,14.83,15.9,16.56,17.26,17.99,18.78,19.39,20.26,21.18,22.15,23.18,24.01,25.16,26.4,27.71,29.12,30.63,32.25,33.97,35.82,37.8,39.5,41.76,44.21,46.85,49.72,52.26,55.58,59.17,63.06,67.27,71.1,76.03,81.41,87.3,93.75,99.77,107.42,115.79,124.92,134.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRN B2 2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,5.99,6.17,6.36,6.55,6.76,6.97,7.19,7.43,7.68,7.94,8.22,8.51,8.82,9.14,9.47,9.83,10.19,10.57,10.96,11.37,11.8,12.24,12.71,13.2,13.72,14.26,14.83,15.9,16.56,17.26,17.99,18.78,19.39,20.26,21.18,22.15,23.18,24.01,25.16,26.4,27.71,29.12,30.63,32.25,33.97,35.82,37.8,39.5,41.76,44.21,46.85,49.72,52.26,55.58,59.17,63.06,67.27,71.1,76.03,81.41,87.3,93.75,99.77,107.42,115.79,124.92,134.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRN B2 3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,5.99,6.17,6.36,6.55,6.76,6.97,7.19,7.43,7.68,7.94,8.22,8.51,8.82,9.14,9.47,9.83,10.19,10.57,10.96,11.37,11.8,12.24,12.71,13.2,13.72,14.26,14.83,15.9,16.56,17.26,17.99,18.78,19.39,20.26,21.18,22.15,23.18,24.01,25.16,26.4,27.71,29.12,30.63,32.25,33.97,35.82,37.8,39.5,41.76,44.21,46.85,49.72,52.26,55.58,59.17,63.06,67.27,71.1,76.03,81.41,87.3,93.75,99.77,107.42,115.79,124.92,134.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRN B2 4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,5.99,6.17,6.36,6.55,6.76,6.97,7.19,7.43,7.68,7.94,8.22,8.51,8.82,9.14,9.47,9.83,10.19,10.57,10.96,11.37,11.8,12.24,12.71,13.2,13.72,14.26,14.83,15.9,16.56,17.26,17.99,18.78,19.39,20.26,21.18,22.15,23.18,24.01,25.16,26.4,27.71,29.12,30.63,32.25,33.97,35.82,37.8,39.5,41.76,44.21,46.85,49.72,52.26,55.58,59.17,63.06,67.27,71.1,76.03,81.41,87.3,93.75,99.77,107.42,115.79,124.92,134.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRN B2 5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,5.99,6.17,6.36,6.55,6.76,6.97,7.19,7.43,7.68,7.94,8.22,8.51,8.82,9.14,9.47,9.83,10.19,10.57,10.96,11.37,11.8,12.24,12.71,13.2,13.72,14.26,14.83,15.9,16.56,17.26,17.99,18.78,19.39,20.26,21.18,22.15,23.18,24.01,25.16,26.4,27.71,29.12,30.63,32.25,33.97,35.82,37.8,39.5,41.76,44.21,46.85,49.72,52.26,55.58,59.17,63.06,67.27,71.1,76.03,81.41,87.3,93.75,99.77,107.42,115.79,124.92,134.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
