QLA,MPHASE,MPLAN,MPHSTAT,BENEFIT_TYPE,BENEFIT_SEQ,MODE_PREMIUM,ANN_PREM_PER_UNIT,MPREM_CURRENT
010448810C,1,196065,41,BA          ,1,0.0,0.0,0.0
010448810C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010448828C,4,1960PA,22,PU          ,4,0.0,0.0,0.0
010449013C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010449017C,1,170858,45,BA          ,1,0.0,0.0,0.0
010449050C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010449050C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010449074C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010449075C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010449155C,1,170858,41,BA          ,1,0.0,0.0,0.0
010449155C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010449158C,1,170858,41,BA          ,1,0.0,0.0,0.0
010449158C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010449333C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010449334C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010449417C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010449512C,1,170858,41,BA          ,1,0.0,0.0,0.0
010449512C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010449514C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010449532C,1,196065,44,BA          ,1,0.0,0.0,0.0
010449559C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010449959C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010449959C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010450135C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010450174C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010450300C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010450809C,1,170858,41,BA          ,1,0.0,0.0,0.0
010450809C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010450811C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010451148C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010451149C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010451215C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010451385C,1,170858,45,BA          ,1,0.0,0.0,0.0
010451453C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010451453C,3,17085M,22,SL          ,3,0.0,0.0,0.0
010451596C,1,170858,44,BA          ,1,0.0,0.0,0.0
010451650C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010452169C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010452304C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010452305C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010452516C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010454002C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010454003C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010455341C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010455884C,1,170858,44,BA          ,1,0.0,0.0,0.0
010456114C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010456183C,1,170858,44,BA          ,1,0.0,0.0,0.0
010456184C,1,170858,44,BA          ,1,0.0,0.0,0.0
010456188C,1,170858,45,BA          ,1,0.0,0.0,0.0
010456751C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010456928C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010457291C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010457536C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010457537C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010457603C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010458190C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010458190C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010458520C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010458525C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010458526C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010458657C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010458663C,1,170858,41,BA          ,1,0.0,0.0,0.0
010458663C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010458744C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010459011C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010459050C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010459050C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010459050C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010459164C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010459164C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010459336C,1,170858,41,BA          ,1,0.0,0.0,0.0
010459336C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010459421C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010459527C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010459579C,1,170858,44,BA          ,1,0.0,0.0,0.0
010459653C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010459723C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010459814C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010459814C,3,170858,22,SL          ,3,0.0,0.0,0.0
010459850C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010459970C,1,170858,41,BA          ,1,0.0,0.0,0.0
010460276C,1,170858,44,BA          ,1,0.0,0.0,0.0
010460652C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010460652C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010460653C,1,170858,41,BA          ,1,0.0,0.0,0.0
010460653C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010460886C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010461210C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010461689C,1,170858,41,BA          ,1,0.0,0.0,0.0
010461689C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010461753C,1,170858,44,BA          ,1,0.0,0.0,0.0
010462057C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010462415C,1,170858,41,BA          ,1,0.0,0.0,0.0
010462415C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010462630C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010462631C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010462839C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010463161C,1,196065,41,BA          ,1,0.0,0.0,0.0
010463161C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010463190C,1,1960PO,45,BA          ,1,0.0,0.0,0.0
010463190C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010463420C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010463553C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010464265C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010464265C,3,170858,56,SL          ,3,0.0,0.0,0.0
010464590C,1,170858,45,BA          ,1,0.0,0.0,0.0
010464869C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010464869C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010464870C,1,170858,41,BA          ,1,0.0,0.0,0.0
010464870C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010464870C,3,170858,56,SL          ,3,0.0,0.0,0.0
010465265C,1,170858,45,BA          ,1,0.0,0.0,0.0
010465331C,1,170858,41,BA          ,1,0.0,0.0,0.0
010465331C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010465363C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010465451C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010466391C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010466392C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010466458C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010466458C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010466470C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010466471C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010466472C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010466473C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010466702C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010466706C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010466978C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010466978C,3,170858,22,SL          ,3,0.0,0.0,0.0
010467025C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010467154C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010467173C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010467185C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010467190C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010467190C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010467500C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010467771C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010468945C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010468946C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010469081C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010469081C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010469579C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010469728C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010469896C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010469984C,1,196065,41,BA          ,1,0.0,0.0,0.0
010469984C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010469985C,1,196065,41,BA          ,1,0.0,0.0,0.0
010469985C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010470522C,1,1991PL,45,BA          ,1,0.0,0.0,0.0
010471046C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010471532C,1,170858,45,BA          ,1,0.0,0.0,0.0
010471534C,1,170858,45,BA          ,1,0.0,0.0,0.0
010471534C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010471769C,1,170858,45,BA          ,1,0.0,0.0,0.0
010472182C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010472183C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010473137C,1,170858,41,BA          ,1,0.0,0.0,0.0
010473137C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010473866C,1,170858,41,BA          ,1,0.0,0.0,0.0
010473866C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010473867C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010473868C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010474317C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010474318C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010474519C,1,170858,41,BA          ,1,0.0,0.0,0.0
010474519C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010474522C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010475571C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010475576C,1,170858,45,BA          ,1,0.0,0.0,0.0
010475850C,1,170858,41,BA          ,1,0.0,0.0,0.0
010475850C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010476803C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010477512C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010477513C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010477989C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010478048C,1,170858,45,BA          ,1,0.0,0.0,0.0
010478213C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010478214C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010478259C,1,170858,45,BA          ,1,0.0,0.0,0.0
010478260C,1,170858,44,BA          ,1,0.0,0.0,0.0
010478285C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010478574C,1,170858,41,BA          ,1,0.0,0.0,0.0
010479749C,1,170858,41,BA          ,1,0.0,0.0,0.0
010479749C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010480683C,1,170858,45,BA          ,1,0.0,0.0,0.0
010483380C,1,170858,44,BA          ,1,0.0,0.0,0.0
010483386C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010483386C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010484578C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010484821C,1,170858,41,BA          ,1,0.0,0.0,0.0
010484821C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010484864C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010486919C,1,170858,41,BA          ,1,0.0,0.0,0.0
010486919C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010486961C,1,170858,41,BA          ,1,0.0,0.0,0.0
010486961C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010486964C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010486964C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010487125C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010487396C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010488273C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010488274C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010488878C,5,1960PA,22,PU          ,5,0.0,0.0,0.0
010489508C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010491000C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010494171C,1,170858,41,BA          ,1,0.0,0.0,0.0
010494171C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010495120C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010495120C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010495122C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010495122C,3,17085M,22,SL          ,3,0.0,0.0,0.0
010497264C,3,960ADB,56,SL          ,3,0.0,0.0,0.0
010497363C,1,1666WL,44,BA          ,1,0.0,0.0,0.0
010497768C,1,170858,41,BA          ,1,0.0,0.0,0.0
010498153C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010498260C,1,170858,41,BA          ,1,0.0,0.0,0.0
010498260C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010499349C,2,7647SP,22,SU          ,2,0.0,0.0,0.0
010499349C,3,7647CH,22,SU          ,3,0.0,0.0,0.0
010499674C,1,170858,41,BA          ,1,0.0,0.0,0.0
010499674C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010499702C,1,170858,41,BA          ,1,0.0,0.0,0.0
010499702C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010500671C,1,222END,41,BA          ,1,0.0,0.0,0.0
010500769C,1,630 JEB,41,BA          ,1,0.0,0.0,0.0
010501142C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010501836C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010502820C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010502995C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010502996C,1,17085M,44,BA          ,1,0.0,0.0,0.0
010502996C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010505481C,1,17085M,45,BA          ,1,0.0,0.0,0.0
010505481C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010505481C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010506408C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010506497C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010506789C,1,170858,45,BA          ,1,0.0,0.0,0.0
010506832C,1,1960OL,45,BA          ,1,0.0,0.0,0.0
010507705C,1,1960OL,44,BA          ,1,0.0,0.0,0.0
010510553C,1,17085M,45,BA          ,1,0.0,0.0,0.0
010510553C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010510671C,5,9896WP,56,SU          ,5,0.0,0.0,0.0
010510979C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010510979C,3,1708PA,22,PU          ,3,0.0,0.0,0.0
010511240C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010511240C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010511355C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010511795C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010511795C,3,170858,22,SL          ,3,0.0,0.0,0.0
010512061C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010512061C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010513607C,1,170858,41,BA          ,1,0.0,0.0,0.0
010513607C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010513627C,4,1960PA,22,PU          ,4,0.0,0.0,0.0
010513712C,1,1666WL,44,BA          ,1,0.0,0.0,0.0
010513712C,2,1666AI,56,OR          ,2,0.0,0.0,0.0
010513712C,3,1666AI,56,OR          ,3,0.0,0.0,0.0
010513712C,4,1666AI,56,OR          ,4,0.0,0.0,0.0
010514051C,2,90OLWP,56,SU          ,2,0.0,0.0,0.0
010514052C,4,1960PA,22,PU          ,4,0.0,0.0,0.0
010515598C,1,170858,41,BA          ,1,0.0,0.0,0.0
010515598C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010516211C,2,WP 646,56,SU          ,2,0.0,0.0,0.0
010516466C,1,170858,45,BA          ,1,0.0,0.0,0.0
010517231C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010518048C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010518049C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010518050C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010518051C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010518545C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010518545C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010520217C,4,1960PA,56,PU          ,4,0.0,0.0,0.0
010521213C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010521213C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010521651C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010521651C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010521756C,2,0824 P DIS,56,SU          ,2,0.0,0.0,0.0
010521756C,4,1960PA,56,PU          ,4,0.0,0.0,0.0
010523058C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010524029C,1,1960OL,44,BA          ,1,0.0,0.0,0.0
010524282C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010525250C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010526522C,1,170858,44,BA          ,1,0.0,0.0,0.0
010526524C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010526526C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010527102C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010527103C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010529613C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010529973C,1,1960OL,45,BA          ,1,0.0,0.0,0.0
010529973C,3,1960PA,56,PU          ,3,0.0,0.0,0.0
010529993C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010532612C,1,1960PO,44,BA          ,1,0.0,0.0,0.0
010538650C,1,2665ST,44,BA          ,1,0.0,0.0,0.0
010539198C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010540774C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010540781C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010541669C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010543558C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010543559C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010544182C,1,1960OL,45,BA          ,1,0.0,0.0,0.0
010544182C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010545196C,2,2665PA,56,PU          ,2,0.0,0.0,0.0
010545623C,1,170858,41,BA          ,1,0.0,0.0,0.0
010545623C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010546961C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010546964C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010547021C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010547488C,3,1960PA,56,PU          ,3,0.0,0.0,0.0
010547892C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010548366C,3,1960PA,56,PU          ,3,0.0,0.0,0.0
010550088C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010550564C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010552856C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010555054C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010556634C,1,170858,41,BA          ,1,0.0,0.0,0.0
010556634C,2,170858,22,SL          ,2,0.0,0.0,0.0
010556736C,1,170858,45,BA          ,1,0.0,0.0,0.0
010557142C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010559537C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010560185C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010564241C,1,1666WL,44,BA          ,1,0.0,0.0,0.0
010565013C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010567983C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010576755C,2,1705PA,56,PU          ,2,0.0,0.0,0.0
010578323C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010578820C,1,170588,45,BA          ,1,0.0,0.0,0.0
010580464C,1,170858,45,BA          ,1,0.0,0.0,0.0
010580685C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010581795C,2,1705PA,56,PU          ,2,0.0,0.0,0.0
010586005C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010590419C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010591112C,1,170858,45,BA          ,1,0.0,0.0,0.0
010598049C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010598050C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010607249C,1,170858,41,BA          ,1,0.0,0.0,0.0
010607249C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010615191C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010615192C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010639996C,1,1960OL,44,BA          ,1,0.0,0.0,0.0
010713707C,1,1659C2,22,BF          ,1,128.5,0.0,128.5
010715467C,1,1659C2,22,BF          ,1,1129.0,0.0,1129.0
010716973C,1,1659C2,22,BF          ,1,263.0,0.0,263.0
010716974C,1,1659C2,55,BF          ,1,246.75,0.0,246.75
010717034C,1,1659C2,22,BF          ,1,320.2,0.0,320.2
010718277C,1,1659C2,22,BF          ,1,585.5,0.0,585.5
010718309C,1,1658C1,22,BF          ,1,12.25,0.0,12.25
010718495C,1,1659C2,53,BF          ,1,1095.75,0.0,1095.75
010719553C,1,1659C2,22,BF          ,1,134.75,0.0,134.75
010719815C,1,1659C2,22,BF          ,1,246.75,0.0,246.75
010720088C,1,1659C2,22,BF          ,1,123.25,0.0,123.25
010721848C,1,1659C2,22,BF          ,1,175.25,0.0,175.25
010721849C,1,1659C2,22,BF          ,1,23.85,0.0,23.85
010722550C,1,1659C2,22,BF          ,1,40.11,0.0,40.11
010722734C,1,1659C2,22,BF          ,1,912.0,0.0,912.0
010723386C,1,1659C2,22,BF          ,1,852.0,0.0,852.0
010723387C,1,1659C2,22,BF          ,1,509.0,0.0,509.0
010723388C,1,1659C2,22,BF          ,1,882.0,0.0,882.0
010723524C,1,1659C2,22,BF          ,1,517.0,0.0,517.0
010724403C,1,1659C2,53,BF          ,1,1184.0,0.0,1184.0
010724510C,1,1659C2,22,BF          ,1,633.5,0.0,633.5
010725643C,1,1659C2,22,BF          ,1,30.44,0.0,30.44
010726104C,1,1658C1,53,BF          ,1,252.45,0.0,252.45
010726317C,1,1658C1,55,BF          ,1,19.78,0.0,19.78
010726318C,1,1658C1,55,BF          ,1,20.39,0.0,20.39
010726319C,1,1658C1,55,BF          ,1,20.05,0.0,20.05
010726922C,1,1659C2,22,BF          ,1,134.75,0.0,134.75
010729500C,1,1659C2,22,BF          ,1,181.0,0.0,181.0
010729999C,1,1659C2,22,BF          ,1,373.75,0.0,373.75
010730145C,1,1658C1,22,BF          ,1,23.76,0.0,23.76
010731296C,1,1658C1,22,BF          ,1,58.46,0.0,58.46
010731608C,1,1659C2,22,BF          ,1,271.0,0.0,271.0
010732078C,1,1659C2,22,BF          ,1,59.19,0.0,59.19
010732270C,1,1659C2,22,BF          ,1,125.75,0.0,125.75
010732271C,1,1659C2,22,BF          ,1,52.18,0.0,52.18
010732276C,1,1659C2,22,BF          ,1,150.25,0.0,150.25
010732278C,1,1659C2,55,BF          ,1,222.25,0.0,222.25
010732278C,2,980JPO,56,SU          ,2,0.0,0.0,0.0
010732280C,1,1659C2,22,BF          ,1,246.75,0.0,246.75
010732281C,1,1659C2,22,BF          ,1,230.5,0.0,230.5
010732975C,1,1659C2,45,BF          ,1,11.57,0.0,11.57
010733162C,1,1659C2,55,BF          ,1,49.09,0.0,49.09
010733472C,1,1659C2,44,BF          ,1,12.1,0.0,12.1
010733665C,1,1658C1,22,BF          ,1,40.97,0.0,40.97
010734951C,1,1659C2,45,BF          ,1,121.0,0.0,121.0
010734954C,1,1659C2,45,BF          ,1,112.75,0.0,112.75
010735585C,1,1659C2,22,BF          ,1,321.5,0.0,321.5
010735611C,1,1659C2,53,BF          ,1,300.7,0.0,300.7
010735781C,1,1658C1,50,BF          ,1,158.7,0.0,158.7
010735918C,1,1658C1,22,BF          ,1,32.94,0.0,32.94
010736035C,1,1659C2,53,BF          ,1,211.49,0.0,211.49
010736036C,1,1658C1,22,BF          ,1,382.0,0.0,382.0
010736703C,1,1659C2,22,BF          ,1,41.23,0.0,41.23
010736736C,1,1659C2,22,BF          ,1,134.75,0.0,134.75
010736738C,1,1659C2,55,BF          ,1,121.0,0.0,121.0
010737378C,1,1659C2,22,BF          ,1,325.5,0.0,325.5
010737417C,1,1659C2,45,BF          ,1,114.04,0.0,114.04
010738161C,1,1659C2,22,BF          ,1,92.83,0.0,92.83
010738207C,1,1659C2,22,BF          ,1,1420.0,0.0,1420.0
010738539C,1,1658C1,54,BF          ,1,58.46,0.0,58.46
010738672C,1,1659C2,22,BF          ,1,358.0,0.0,358.0
010738751C,1,1658C1,55,BF          ,1,38.72,0.0,38.72
010738752C,1,1658C1,55,BF          ,1,37.28,0.0,37.28
010738753C,1,1658C1,55,BF          ,1,36.62,0.0,36.62
010738936C,1,1659C2,22,BF          ,1,329.25,0.0,329.25
010739212C,1,1659C2,22,BF          ,1,165.24,0.0,165.24
010739794C,1,1659C2,22,BF          ,1,17.01,0.0,17.01
010739795C,1,1659C2,22,BF          ,1,10.74,0.0,10.74
010739886C,1,1658C1,22,BF          ,1,27.24,0.0,27.24
010739887C,1,1658C1,22,BF          ,1,16.59,0.0,16.59
010740836C,1,1659CR,53,BF          ,1,163.2,0.0,163.2
010740877C,1,1658C1,53,BF          ,1,30.59,0.0,30.59
010741231C,1,1659C2,22,BF          ,1,148.37,0.0,148.37
010741232C,1,1659C2,22,BF          ,1,49.9,0.0,49.9
010741302C,1,1659C2,22,BF          ,1,150.25,0.0,150.25
010742224C,1,1658C1,53,BF          ,1,72.75,0.0,72.75
010742225C,1,1658C1,22,BF          ,1,71.75,0.0,71.75
010742814C,1,1659CR,53,BF          ,1,155.75,0.0,155.75
010743074C,1,1659CR,53,BF          ,1,246.12,0.0,246.12
010743638C,1,1659CR,55,BF          ,1,269.65,0.0,269.65
010744412C,1,1659CR,53,BF          ,1,217.2,0.0,217.2
010744818C,1,1659C2,22,BF          ,1,77.56,0.0,77.56
010745344C,1,1659C2,53,BF          ,1,1689.4,0.0,1689.4
010745456C,1,1659C2,22,BF          ,1,128.5,0.0,128.5
010745640C,1,1659CR,53,BF          ,1,227.9,0.0,227.9
010745750C,1,1659C2,22,BF          ,1,125.75,0.0,125.75
010745751C,1,1659C2,22,BF          ,1,335.45,0.0,335.45
010745752C,1,1658C1,22,BF          ,1,12.23,0.0,12.23
