mpolicy,mseq,effective_date,date_added,record_sequence,claimnum,payee_source
010771832C,11,20201115,20201116,0,PS-010771832-011,OWNR
010771832C,12,20211115,20211115,0,PS-010771832-012,OWNR
010771832C,13,20221115,20221115,0,PS-010771832-013,OWNR
010771832C,14,20231115,20231115,0,PS-010771832-014,OWNR
010771832C,15,20241115,20241115,0,PS-010771832-015,OWNR
010771832C,16,20251115,20251117,0,PS-010771832-016,OWNR
010771833C,9,20181115,20181115,0,PS-010771833-009,OWNR
010771833C,10,20191115,20191115,0,PS-010771833-010,OWNR
010771833C,11,20201115,20201116,0,PS-010771833-011,OWNR
010771833C,12,20211115,20211115,0,PS-010771833-012,OWNR
010771833C,13,20221115,20221115,0,PS-010771833-013,OWNR
010771833C,14,20231115,20231115,0,PS-010771833-014,OWNR
010771833C,15,20241115,20241115,0,PS-010771833-015,OWNR
010771833C,16,20251115,20251117,0,PS-010771833-016,OWNR
010772668C,2,20181123,20181122,0,PS-010772668-002,OWNR
010772898C,8,20181126,20181126,0,PS-010772898-008,OWNR
010772898C,9,20191126,20191126,0,PS-010772898-009,OWNR
010772898C,10,20201126,20201125,0,PS-010772898-010,OWNR
010772898C,11,20211126,20211124,0,PS-010772898-011,OWNR
010772898C,12,20221126,20221128,0,PS-010772898-012,OWNR
010772898C,13,20231126,20231127,0,PS-010772898-013,OWNR
010772898C,14,20241126,20241126,0,PS-010772898-014,OWNR
010772957C,9,20181126,20181126,0,PS-010772957-009,OWNR
010772957C,10,20191126,20191126,0,PS-010772957-010,OWNR
010772957C,11,20201126,20201125,0,PS-010772957-011,OWNR
010772957C,12,20211126,20211124,0,PS-010772957-012,OWNR
010772957C,13,20221126,20221128,0,PS-010772957-013,OWNR
010772957C,14,20231126,20231127,0,PS-010772957-014,OWNR
010772957C,15,20241126,20241126,0,PS-010772957-015,OWNR
010772957C,16,20251126,20251126,0,PS-010772957-016,OWNR
010773107C,8,20171201,20180112,0,PS-010773107-008,OWNR
010773107C,9,20181201,20181203,0,PS-010773107-009,OWNR
010773107C,10,20191201,20191202,0,PS-010773107-010,OWNR
010773107C,11,20201201,20201201,0,PS-010773107-011,OWNR
010773107C,12,20211201,20211201,0,PS-010773107-012,OWNR
010773107C,13,20221201,20221201,0,PS-010773107-013,OWNR
010773107C,14,20231201,20231201,0,PS-010773107-014,OWNR
010773468C,5,20181205,20181205,0,PS-010773468-005,OWNR
010773468C,6,20191205,20191205,0,PS-010773468-006,OWNR
010773468C,7,20201205,20201207,0,PS-010773468-007,OWNR
010773468C,8,20211205,20211206,0,PS-010773468-008,OWNR
010773681C,9,20181201,20181203,0,PS-010773681-009,OWNR
010773681C,10,20191201,20191202,0,PS-010773681-010,OWNR
010773681C,11,20201201,20201201,0,PS-010773681-011,OWNR
010773681C,12,20211201,20211201,0,PS-010773681-012,OWNR
010773681C,13,20221201,20221201,0,PS-010773681-013,OWNR
010773681C,14,20231201,20231201,0,PS-010773681-014,OWNR
010773681C,15,20241201,20241202,0,PS-010773681-015,OWNR
010773681C,16,20251201,20251201,0,PS-010773681-016,OWNR
010773856C,3,20181205,20181205,0,PS-010773856-003,OWNR
010773856C,4,20191205,20191205,0,PS-010773856-004,OWNR
010774490C,9,20181210,20181210,0,PS-010774490-009,OWNR
010774490C,10,20191210,20191210,0,PS-010774490-010,OWNR
010774490C,11,20201210,20201210,0,PS-010774490-011,OWNR
010774490C,12,20211210,20211210,0,PS-010774490-012,OWNR
010774490C,13,20221210,20221212,0,PS-010774490-013,OWNR
010774490C,14,20231210,20231211,0,PS-010774490-014,OWNR
010774490C,15,20241210,20241210,0,PS-010774490-015,OWNR
010774490C,16,20251210,20251210,0,PS-010774490-016,OWNR
010774527C,9,20181210,20181210,0,PS-010774527-009,OWNR
010774527C,10,20191210,20191210,0,PS-010774527-010,OWNR
010774527C,11,20201210,20201210,0,PS-010774527-011,OWNR
010774527C,12,20211210,20211210,0,PS-010774527-012,OWNR
010774527C,13,20221210,20221212,0,PS-010774527-013,OWNR
010774527C,14,20231210,20231211,0,PS-010774527-014,OWNR
010774527C,15,20241210,20241210,0,PS-010774527-015,OWNR
010774527C,16,20251210,20251210,0,PS-010774527-016,OWNR
010774772C,9,20181216,20181217,0,PS-010774772-009,OWNR
010774772C,10,20191216,20191216,0,PS-010774772-010,OWNR
010774772C,11,20201216,20201216,0,PS-010774772-011,OWNR
010774772C,12,20211216,20211216,0,PS-010774772-012,OWNR
010774772C,13,20221216,20221216,0,PS-010774772-013,OWNR
010774772C,14,20231216,20231218,0,PS-010774772-014,OWNR
010774772C,15,20241216,20241216,0,PS-010774772-015,OWNR
010774772C,16,20251216,20251216,0,PS-010774772-016,OWNR
010774773C,7,20181216,20181217,0,PS-010774773-007,OWNR
010774773C,8,20191216,20191216,0,PS-010774773-008,OWNR
010774773C,9,20201216,20201216,0,PS-010774773-009,OWNR
010774773C,10,20211216,20211216,0,PS-010774773-010,OWNR
010774773C,11,20221216,20221216,0,PS-010774773-011,OWNR
010774773C,12,20231216,20231218,0,PS-010774773-012,OWNR
010774794C,9,20180116,20180116,0,PS-010774794-009,OWNR
010774794C,10,20190116,20190116,0,PS-010774794-010,OWNR
010774794C,11,20200116,20200116,0,PS-010774794-011,OWNR
010774794C,12,20210116,20210118,0,PS-010774794-012,OWNR
010774794C,13,20220116,20220117,0,PS-010774794-013,OWNR
010774794C,14,20230116,20230116,0,PS-010774794-014,OWNR
010774794C,15,20240116,20240116,0,PS-010774794-015,OWNR
010774794C,16,20250116,20250116,0,PS-010774794-016,OWNR
010774973C,7,20201215,20210114,0,PS-010774973-007,OWNR
010774973C,8,20211215,20211215,0,PS-010774973-008,OWNR
010774973C,9,20221215,20221215,0,PS-010774973-009,OWNR
010774973C,10,20231215,20231215,0,PS-010774973-010,OWNR
010774973C,11,20241215,20241216,0,PS-010774973-011,OWNR
010774973C,12,20251215,20251215,0,PS-010774973-012,OWNR
010775244C,9,20181218,20181218,0,PS-010775244-009,OWNR
010775244C,10,20191218,20191218,0,PS-010775244-010,OWNR
010775244C,11,20201218,20201218,0,PS-010775244-011,OWNR
010775244C,12,20211218,20211220,0,PS-010775244-012,OWNR
010775244C,13,20221218,20221219,0,PS-010775244-013,OWNR
010775244C,14,20231218,20231218,0,PS-010775244-014,OWNR
010775244C,15,20241218,20241218,0,PS-010775244-015,OWNR
010775244C,16,20251218,20251218,0,PS-010775244-016,OWNR
010775323C,3,20181228,20181228,0,PS-010775323-003,OWNR
010775323C,4,20191228,20191230,0,PS-010775323-004,OWNR
010775418C,9,20181219,20181219,0,PS-010775418-009,OWNR
010775418C,10,20191219,20191219,0,PS-010775418-010,OWNR
010775418C,11,20201219,20201221,0,PS-010775418-011,OWNR
010775418C,12,20211219,20211220,0,PS-010775418-012,OWNR
010775418C,13,20221219,20221219,0,PS-010775418-013,OWNR
010775418C,14,20231219,20231219,0,PS-010775418-014,OWNR
010775418C,15,20241219,20241220,0,PS-010775418-015,OWNR
010775418C,16,20251219,20251219,0,PS-010775418-016,OWNR
010775722C,9,20181220,20181220,0,PS-010775722-009,OWNR
010775722C,10,20191220,20191220,0,PS-010775722-010,OWNR
010775722C,11,20201220,20201221,0,PS-010775722-011,OWNR
010775722C,12,20211220,20211220,0,PS-010775722-012,OWNR
010775722C,13,20221220,20221220,0,PS-010775722-013,OWNR
010775722C,14,20231220,20231220,0,PS-010775722-014,OWNR
010775722C,15,20241220,20241220,0,PS-010775722-015,OWNR
010775722C,16,20251220,20251222,0,PS-010775722-016,OWNR
010775723C,10,20180114,20180115,0,PS-010775723-010,OWNR
010775723C,11,20190114,20190114,0,PS-010775723-011,OWNR
010775723C,12,20200114,20200114,0,PS-010775723-012,OWNR
010775723C,13,20210114,20210114,0,PS-010775723-013,OWNR
010775723C,14,20220114,20220114,0,PS-010775723-014,OWNR
010775723C,15,20230114,20230116,0,PS-010775723-015,OWNR
010775723C,16,20240114,20240115,0,PS-010775723-016,OWNR
010775723C,17,20250114,20250114,0,PS-010775723-017,OWNR
010775723C,18,20260114,20260114,0,PS-010775723-018,OWNR
010776027C,3,20181227,20181227,0,PS-010776027-003,OWNR
010776027C,4,20191227,20191227,0,PS-010776027-004,OWNR
010776442C,4,20180113,20180115,0,PS-010776442-004,OWNR
010776442C,5,20190113,20190114,0,PS-010776442-005,OWNR
010776442C,6,20200113,20200113,0,PS-010776442-006,OWNR
010776445C,8,20180216,20180216,0,PS-010776445-008,OWNR
010776445C,9,20190216,20190218,0,PS-010776445-009,OWNR
010776445C,10,20200216,20200217,0,PS-010776445-010,OWNR
010776445C,11,20210216,20210216,0,PS-010776445-011,OWNR
010776445C,12,20220216,20220216,0,PS-010776445-012,OWNR
010776445C,13,20230216,20230216,0,PS-010776445-013,OWNR
010776445C,14,20240216,20240216,0,PS-010776445-014,OWNR
010776450C,9,20180113,20180115,0,PS-010776450-009,OWNR
010776450C,10,20190113,20190114,0,PS-010776450-010,OWNR
010776450C,11,20200113,20200113,0,PS-010776450-011,OWNR
010776450C,12,20210113,20210113,0,PS-010776450-012,OWNR
010776450C,13,20220113,20220113,0,PS-010776450-013,OWNR
010776450C,14,20230113,20230113,0,PS-010776450-014,OWNR
010776450C,15,20240113,20240115,0,PS-010776450-015,OWNR
010776450C,16,20250113,20250113,0,PS-010776450-016,OWNR
010776502C,10,20180102,20180102,0,PS-010776502-010,OWNR
010776502C,11,20190102,20190102,0,PS-010776502-011,OWNR
010776502C,12,20200102,20200102,0,PS-010776502-012,OWNR
010776502C,13,20210102,20210104,0,PS-010776502-013,OWNR
010776502C,14,20220102,20220103,0,PS-010776502-014,OWNR
010776502C,15,20230102,20230103,0,PS-010776502-015,OWNR
010776502C,16,20240102,20240102,0,PS-010776502-016,OWNR
010776502C,17,20250102,20250102,0,PS-010776502-017,OWNR
010776502C,18,20260102,20260102,0,PS-010776502-018,OWNR
010776651C,10,20180115,20190813,0,PS-010776651-010,OWNR
010776651C,11,20190115,20190813,0,PS-010776651-011,OWNR
010776651C,12,20200115,20200115,0,PS-010776651-012,OWNR
010776651C,13,20210115,20210115,0,PS-010776651-013,OWNR
010776651C,14,20220115,20220117,0,PS-010776651-014,OWNR
010776651C,15,20230115,20230116,0,PS-010776651-015,OWNR
010776651C,16,20240115,20240115,0,PS-010776651-016,OWNR
010776651C,17,20250115,20250115,0,PS-010776651-017,OWNR
010776651C,18,20260115,20260115,0,PS-010776651-018,OWNR
010776672C,7,20190115,20190813,0,PS-010776672-007,OWNR
010776672C,8,20200115,20200115,0,PS-010776672-008,OWNR
010776672C,9,20210115,20210115,0,PS-010776672-009,OWNR
010776672C,10,20220115,20220117,0,PS-010776672-010,OWNR
010776672C,11,20230115,20230116,0,PS-010776672-011,OWNR
010776672C,12,20240115,20240115,0,PS-010776672-012,OWNR
010776813C,7,20180115,20180115,0,PS-010776813-007,OWNR
010776813C,8,20190115,20190115,0,PS-010776813-008,OWNR
010776813C,9,20200115,20200115,0,PS-010776813-009,OWNR
010776813C,10,20210115,20210115,0,PS-010776813-010,OWNR
010776813C,11,20220115,20220117,0,PS-010776813-011,OWNR
010776813C,12,20230115,20230116,0,PS-010776813-012,OWNR
010776814C,4,20180115,20180115,0,PS-010776814-004,OWNR
010776814C,5,20190115,20190115,0,PS-010776814-005,OWNR
010776814C,6,20200115,20200115,0,PS-010776814-006,OWNR
010776831C,10,20180115,20180115,0,PS-010776831-010,OWNR
010776831C,11,20190115,20190115,0,PS-010776831-011,OWNR
010776831C,12,20200115,20200115,0,PS-010776831-012,OWNR
010776831C,13,20210115,20210115,0,PS-010776831-013,OWNR
010776831C,14,20220115,20220117,0,PS-010776831-014,OWNR
010776831C,15,20230115,20230116,0,PS-010776831-015,OWNR
010776831C,16,20240115,20240115,0,PS-010776831-016,OWNR
010776831C,17,20250115,20250115,0,PS-010776831-017,OWNR
010776831C,18,20260115,20260115,0,PS-010776831-018,OWNR
010776832C,10,20180115,20180115,0,PS-010776832-010,OWNR
010776832C,11,20190115,20190115,0,PS-010776832-011,OWNR
010776832C,12,20200115,20200115,0,PS-010776832-012,OWNR
010776832C,13,20210115,20210115,0,PS-010776832-013,OWNR
010776832C,14,20220115,20220117,0,PS-010776832-014,OWNR
010776832C,15,20230115,20230116,0,PS-010776832-015,OWNR
010776832C,16,20240115,20240115,0,PS-010776832-016,OWNR
010776832C,17,20250115,20250115,0,PS-010776832-017,OWNR
010776832C,18,20260115,20260115,0,PS-010776832-018,OWNR
010777059C,8,20180205,20180205,0,PS-010777059-008,OWNR
010777059C,9,20190205,20190205,0,PS-010777059-009,OWNR
010777059C,10,20200205,20200205,0,PS-010777059-010,OWNR
010777059C,11,20210205,20210205,0,PS-010777059-011,OWNR
010777059C,12,20220205,20220207,0,PS-010777059-012,OWNR
010777059C,13,20230205,20230206,0,PS-010777059-013,OWNR
010777059C,14,20240205,20240205,0,PS-010777059-014,OWNR
010777793C,7,20180310,20180312,0,PS-010777793-007,OWNR
010777793C,8,20190310,20190311,0,PS-010777793-008,OWNR
010777793C,9,20200310,20200310,0,PS-010777793-009,OWNR
010777793C,10,20210310,20210310,0,PS-010777793-010,OWNR
010777793C,11,20220310,20220310,0,PS-010777793-011,OWNR
010777793C,12,20230310,20230310,0,PS-010777793-012,OWNR
010778142C,3,20180123,20180123,0,PS-010778142-003,OWNR
010778142C,4,20190123,20190123,0,PS-010778142-004,OWNR
010778464C,10,20180114,20180115,0,PS-010778464-010,OWNR
010778464C,11,20190114,20190114,0,PS-010778464-011,OWNR
010778464C,12,20200114,20200114,0,PS-010778464-012,OWNR
010778464C,13,20210114,20210114,0,PS-010778464-013,OWNR
010778464C,14,20220114,20220114,0,PS-010778464-014,OWNR
010778464C,15,20230114,20230116,0,PS-010778464-015,OWNR
010778464C,16,20240114,20240115,0,PS-010778464-016,OWNR
010778464C,17,20250114,20250114,0,PS-010778464-017,OWNR
010778464C,18,20260114,20260114,0,PS-010778464-018,OWNR
010778474C,5,20180203,20180405,0,PS-010778474-005,OWNR
010778474C,6,20190203,20190204,0,PS-010778474-006,OWNR
010778474C,7,20200203,20200203,0,PS-010778474-007,OWNR
010778474C,8,20210203,20210203,0,PS-010778474-008,OWNR
010778653C,10,20180123,20180123,0,PS-010778653-010,OWNR
010778653C,11,20190123,20190123,0,PS-010778653-011,OWNR
010778653C,12,20200123,20200123,0,PS-010778653-012,OWNR
010778653C,13,20210123,20210125,0,PS-010778653-013,OWNR
010778653C,14,20220123,20220124,0,PS-010778653-014,OWNR
010778653C,15,20230123,20230123,0,PS-010778653-015,OWNR
010778653C,16,20240123,20240123,0,PS-010778653-016,OWNR
010778653C,17,20250123,20250123,0,PS-010778653-017,OWNR
010778653C,18,20260123,20260123,0,PS-010778653-018,OWNR
010779031C,10,20180306,20180306,0,PS-010779031-010,OWNR
010779031C,11,20190306,20190306,0,PS-010779031-011,OWNR
010779031C,12,20200306,20200306,0,PS-010779031-012,OWNR
010779031C,13,20210306,20210308,0,PS-010779031-013,OWNR
010779031C,14,20220306,20220307,0,PS-010779031-014,OWNR
010779031C,15,20230306,20230306,0,PS-010779031-015,OWNR
010779031C,16,20240306,20240306,0,PS-010779031-016,OWNR
010779031C,17,20250306,20250306,0,PS-010779031-017,OWNR
010779031C,18,20260306,20260306,0,PS-010779031-018,OWNR
010779074C,6,20180223,20180223,0,PS-010779074-006,OWNR
010779074C,7,20190223,20190225,0,PS-010779074-007,OWNR
010779074C,8,20200223,20200224,0,PS-010779074-008,OWNR
010779074C,9,20210223,20210223,0,PS-010779074-009,OWNR
010779074C,10,20220223,20220223,0,PS-010779074-010,OWNR
010779191C,3,20180127,20180129,0,PS-010779191-003,OWNR
010779191C,4,20190127,20190128,0,PS-010779191-004,OWNR
010779551C,10,20180201,20180201,0,PS-010779551-010,OWNR
010779551C,11,20190201,20190201,0,PS-010779551-011,OWNR
010779551C,12,20200201,20200203,0,PS-010779551-012,OWNR
010779551C,13,20210201,20210201,0,PS-010779551-013,OWNR
010779551C,14,20220201,20220201,0,PS-010779551-014,OWNR
010779551C,15,20230201,20230201,0,PS-010779551-015,OWNR
010779551C,16,20240201,20240201,0,PS-010779551-016,OWNR
010779551C,17,20250201,20250203,0,PS-010779551-017,OWNR
010779551C,18,20260201,20260202,0,PS-010779551-018,OWNR
010779552C,3,20180201,20180201,0,PS-010779552-003,OWNR
010779552C,4,20190201,20190402,0,PS-010779552-004,OWNR
010780003C,3,20180207,20180207,0,PS-010780003-003,OWNR
010780003C,4,20190207,20190207,0,PS-010780003-004,OWNR
010780131C,2,20180203,20180205,0,PS-010780131-002,OWNR
010780393C,10,20180201,20180201,0,PS-010780393-010,OWNR
010780393C,11,20190201,20190201,0,PS-010780393-011,OWNR
010780393C,12,20200201,20200203,0,PS-010780393-012,OWNR
010780393C,13,20210201,20210201,0,PS-010780393-013,OWNR
010780393C,14,20220201,20220201,0,PS-010780393-014,OWNR
010780393C,15,20230201,20230201,0,PS-010780393-015,OWNR
010780393C,16,20240201,20240201,0,PS-010780393-016,OWNR
010780393C,17,20250201,20250203,0,PS-010780393-017,OWNR
010780393C,18,20260201,20260202,0,PS-010780393-018,OWNR
010780403C,3,20180226,20180226,0,PS-010780403-003,OWNR
010780403C,4,20190226,20190226,0,PS-010780403-004,OWNR
010780591C,7,20230209,20230207,0,PS-010780591-007,OWNR
010780591C,6,20230207,20230207,0,PS-010780591-006,OWNR
010780591C,8,20240209,20240209,0,PS-010780591-008,OWNR
010780591C,9,20250209,20250210,0,PS-010780591-009,OWNR
010780591C,10,20260209,20260209,0,PS-010780591-010,OWNR
010780791C,6,20181210,20181210,0,PS-010780791-006,OWNR
010780791C,7,20191210,20191210,0,PS-010780791-007,OWNR
010780791C,8,20201210,20201210,0,PS-010780791-008,OWNR
010780791C,9,20211210,20211210,0,PS-010780791-009,OWNR
010780791C,10,20221210,20221212,0,PS-010780791-010,OWNR
010781128C,10,20180218,20180219,0,PS-010781128-010,OWNR
010781128C,11,20190218,20190218,0,PS-010781128-011,OWNR
010781128C,12,20200218,20200218,0,PS-010781128-012,OWNR
010781128C,13,20210218,20210218,0,PS-010781128-013,OWNR
010781128C,14,20220218,20220218,0,PS-010781128-014,OWNR
010781128C,15,20230218,20230220,0,PS-010781128-015,OWNR
010781128C,16,20240218,20240219,0,PS-010781128-016,OWNR
010781128C,17,20250218,20250218,0,PS-010781128-017,OWNR
010781128C,18,20260218,20260218,0,PS-010781128-018,OWNR
010781713C,5,20180213,20180213,0,PS-010781713-005,OWNR
010781713C,6,20190213,20190213,0,PS-010781713-006,OWNR
010781713C,7,20200213,20200213,0,PS-010781713-007,OWNR
010781713C,8,20210213,20210215,0,PS-010781713-008,OWNR
010782062C,10,20180218,20180219,0,PS-010782062-010,OWNR
010782062C,11,20190218,20190218,0,PS-010782062-011,OWNR
010782062C,12,20200218,20200218,0,PS-010782062-012,OWNR
010782062C,13,20210218,20210218,0,PS-010782062-013,OWNR
010782062C,14,20220218,20220218,0,PS-010782062-014,OWNR
010782062C,15,20230218,20230220,0,PS-010782062-015,OWNR
010782062C,16,20240218,20240219,0,PS-010782062-016,OWNR
010782062C,17,20250218,20250218,0,PS-010782062-017,OWNR
010782062C,18,20260218,20260218,0,PS-010782062-018,OWNR
010782064C,10,20180226,20180226,0,PS-010782064-010,OWNR
010782064C,11,20190226,20190226,0,PS-010782064-011,OWNR
010782064C,12,20200226,20200226,0,PS-010782064-012,OWNR
010782064C,13,20210226,20210226,0,PS-010782064-013,OWNR
010782064C,14,20220226,20220228,0,PS-010782064-014,OWNR
010782064C,15,20230226,20230227,0,PS-010782064-015,OWNR
010782064C,16,20240226,20240226,0,PS-010782064-016,OWNR
010782064C,17,20250226,20250226,0,PS-010782064-017,OWNR
010782064C,18,20260226,20260226,0,PS-010782064-018,OWNR
010782640C,10,20180218,20180219,0,PS-010782640-010,OWNR
010782640C,11,20190218,20190218,0,PS-010782640-011,OWNR
010782640C,12,20200218,20200218,0,PS-010782640-012,OWNR
010782640C,13,20210218,20210218,0,PS-010782640-013,OWNR
010782640C,14,20220218,20220218,0,PS-010782640-014,OWNR
010782640C,15,20230218,20230220,0,PS-010782640-015,OWNR
010782640C,16,20240218,20240219,0,PS-010782640-016,OWNR
010782640C,17,20250218,20250218,0,PS-010782640-017,OWNR
010782640C,18,20260218,20260218,0,PS-010782640-018,OWNR
010782822C,2,20180301,20180301,0,PS-010782822-002,OWNR
010783278C,10,20180313,20180313,0,PS-010783278-010,OWNR
010783278C,11,20190313,20190313,0,PS-010783278-011,OWNR
010783278C,12,20200313,20200313,0,PS-010783278-012,OWNR
010783278C,13,20210313,20210315,0,PS-010783278-013,OWNR
010783278C,14,20220313,20220314,0,PS-010783278-014,OWNR
010783278C,15,20230313,20230313,0,PS-010783278-015,OWNR
010783278C,16,20240313,20240313,0,PS-010783278-016,OWNR
010783278C,17,20250313,20250313,0,PS-010783278-017,OWNR
010783278C,18,20260313,20260313,0,PS-010783278-018,OWNR
010783502C,5,20180523,20180523,0,PS-010783502-005,OWNR
010783502C,6,20190523,20190523,0,PS-010783502-006,OWNR
010783502C,7,20200523,20200526,0,PS-010783502-007,OWNR
010783502C,8,20210523,20210524,0,PS-010783502-008,OWNR
010783785C,10,20180227,20180227,0,PS-010783785-010,OWNR
010783785C,11,20190227,20190227,0,PS-010783785-011,OWNR
010783785C,12,20200227,20200227,0,PS-010783785-012,OWNR
010783785C,13,20210227,20210226,0,PS-010783785-013,OWNR
010783785C,14,20220227,20220228,0,PS-010783785-014,OWNR
010783785C,15,20230227,20230227,0,PS-010783785-015,OWNR
010783785C,16,20240227,20240227,0,PS-010783785-016,OWNR
010783785C,17,20250227,20250227,0,PS-010783785-017,OWNR
010783785C,18,20260227,20260227,0,PS-010783785-018,OWNR
010783786C,10,20180227,20180227,0,PS-010783786-010,OWNR
010783786C,11,20190227,20190227,0,PS-010783786-011,OWNR
010783786C,12,20200227,20200227,0,PS-010783786-012,OWNR
010783786C,13,20210227,20210226,0,PS-010783786-013,OWNR
010783786C,14,20220227,20220228,0,PS-010783786-014,OWNR
010783786C,15,20230227,20230227,0,PS-010783786-015,OWNR
010783786C,16,20240227,20240227,0,PS-010783786-016,OWNR
010783786C,17,20250227,20250227,0,PS-010783786-017,OWNR
010783786C,18,20260227,20260227,0,PS-010783786-018,OWNR
010783867C,10,20180307,20180307,0,PS-010783867-010,OWNR
010783867C,11,20190307,20190307,0,PS-010783867-011,OWNR
010783867C,12,20200307,20200309,0,PS-010783867-012,OWNR
010783867C,13,20210307,20210308,0,PS-010783867-013,OWNR
010783867C,14,20220307,20220307,0,PS-010783867-014,OWNR
010783867C,15,20230307,20230307,0,PS-010783867-015,OWNR
010783867C,16,20240307,20240307,0,PS-010783867-016,OWNR
010783867C,17,20250307,20250307,0,PS-010783867-017,OWNR
010783867C,18,20260307,20260309,0,PS-010783867-018,OWNR
010783883C,4,20180316,20180316,0,PS-010783883-004,OWNR
010783883C,5,20190316,20190318,0,PS-010783883-005,OWNR
010783883C,6,20200316,20200316,0,PS-010783883-006,OWNR
010784045C,2,20180226,20180226,0,PS-010784045-002,OWNR
010784054C,2,20180304,20180305,0,PS-010784054-002,OWNR
010784074C,8,20180311,20180312,0,PS-010784074-008,OWNR
010784074C,9,20190311,20190311,0,PS-010784074-009,OWNR
010784074C,10,20200311,20200311,0,PS-010784074-010,OWNR
010784074C,11,20210311,20210311,0,PS-010784074-011,OWNR
010784074C,12,20220311,20220311,0,PS-010784074-012,OWNR
010784074C,13,20230311,20230313,0,PS-010784074-013,OWNR
010784074C,14,20240311,20240311,0,PS-010784074-014,OWNR
010784075C,10,20180305,20180305,0,PS-010784075-010,OWNR
010784075C,11,20190305,20190305,0,PS-010784075-011,OWNR
010784075C,12,20200305,20200305,0,PS-010784075-012,OWNR
010784075C,13,20210305,20210305,0,PS-010784075-013,OWNR
010784075C,14,20220305,20220307,0,PS-010784075-014,OWNR
010784075C,15,20230305,20230306,0,PS-010784075-015,OWNR
010784075C,16,20240305,20240305,0,PS-010784075-016,OWNR
010784075C,17,20250305,20250305,0,PS-010784075-017,OWNR
010784075C,18,20260305,20260305,0,PS-010784075-018,OWNR
010784261C,4,20180305,20180305,0,PS-010784261-004,OWNR
010784261C,5,20190305,20190305,0,PS-010784261-005,OWNR
010784261C,6,20200305,20200305,0,PS-010784261-006,OWNR
010784370C,10,20180525,20180525,0,PS-010784370-010,OWNR
010784370C,11,20190525,20190528,0,PS-010784370-011,OWNR
010784370C,12,20200525,20200526,0,PS-010784370-012,OWNR
010784370C,13,20210525,20210525,0,PS-010784370-013,OWNR
010784370C,14,20220525,20220525,0,PS-010784370-014,OWNR
010784370C,15,20230525,20230525,0,PS-010784370-015,OWNR
010784370C,16,20240525,20240528,0,PS-010784370-016,OWNR
010784370C,17,20250525,20250527,0,PS-010784370-017,OWNR
010784370C,18,20260525,20260526,0,PS-010784370-018,OWNR
010784372C,6,20180311,20180312,0,PS-010784372-006,OWNR
010784372C,7,20190311,20190311,0,PS-010784372-007,OWNR
010784372C,8,20200311,20200311,0,PS-010784372-008,OWNR
010784372C,9,20210311,20210311,0,PS-010784372-009,OWNR
010784372C,10,20220311,20220311,0,PS-010784372-010,OWNR
010784529C,7,20180404,20180523,0,PS-010784529-007,OWNR
010784529C,8,20190404,20190404,0,PS-010784529-008,OWNR
010784529C,9,20200404,20200406,0,PS-010784529-009,OWNR
010784529C,10,20210404,20210405,0,PS-010784529-010,OWNR
010784529C,11,20220404,20220404,0,PS-010784529-011,OWNR
010784529C,12,20230404,20230404,0,PS-010784529-012,OWNR
010784914C,10,20180303,20180305,0,PS-010784914-010,OWNR
010784914C,11,20190303,20190304,0,PS-010784914-011,OWNR
010784914C,12,20200303,20200303,0,PS-010784914-012,OWNR
010784914C,13,20210303,20210303,0,PS-010784914-013,OWNR
010784914C,14,20220303,20220303,0,PS-010784914-014,OWNR
010784914C,15,20230303,20230303,0,PS-010784914-015,OWNR
010784914C,16,20240303,20240304,0,PS-010784914-016,OWNR
010784914C,17,20250303,20250303,0,PS-010784914-017,OWNR
010784914C,18,20260303,20260303,0,PS-010784914-018,OWNR
010784918C,2,20180310,20180312,0,PS-010784918-002,OWNR
010784922C,3,20180317,20180319,0,PS-010784922-003,OWNR
010784922C,4,20190317,20190318,0,PS-010784922-004,OWNR
010784936C,10,20180314,20180314,0,PS-010784936-010,OWNR
010784936C,11,20190314,20190314,0,PS-010784936-011,OWNR
010784936C,12,20200314,20200316,0,PS-010784936-012,OWNR
010784936C,13,20210314,20210315,0,PS-010784936-013,OWNR
010784936C,14,20220314,20220314,0,PS-010784936-014,OWNR
010784936C,15,20230314,20230314,0,PS-010784936-015,OWNR
010784936C,16,20240314,20240314,0,PS-010784936-016,OWNR
010784936C,17,20250314,20250314,0,PS-010784936-017,OWNR
010784936C,18,20260314,20260316,0,PS-010784936-018,OWNR
010784946C,5,20180305,20180410,0,PS-010784946-005,OWNR
010784946C,6,20190305,20190305,0,PS-010784946-006,OWNR
010784946C,7,20200305,20200305,0,PS-010784946-007,OWNR
010784946C,8,20210305,20210305,0,PS-010784946-008,OWNR
010784950C,3,20180314,20180314,0,PS-010784950-003,OWNR
010784950C,4,20190314,20190314,0,PS-010784950-004,OWNR
010785163C,10,20180212,20180212,0,PS-010785163-010,OWNR
010785163C,11,20190212,20190212,0,PS-010785163-011,OWNR
010785163C,12,20200212,20200212,0,PS-010785163-012,OWNR
010785163C,13,20210212,20210212,0,PS-010785163-013,OWNR
010785163C,14,20220212,20220214,0,PS-010785163-014,OWNR
010785163C,15,20230212,20230213,0,PS-010785163-015,OWNR
010785163C,16,20240212,20240212,0,PS-010785163-016,OWNR
010785163C,17,20250212,20250212,0,PS-010785163-017,OWNR
010785163C,18,20260212,20260212,0,PS-010785163-018,OWNR
