bucket,type_code,coverage_id,rt_rows,paa_rows,rt_age_min,rt_age_max,rt_dur_min,rt_dur_max,paa_seq_count,note
RT_TYPE_NOT_IN_PAA,PN,619 DT,4270,0,0,60,1,65,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,621 END85,7290,0,0,80,1,85,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,646 ART,192,0,0,95,1,1,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,666 WL,10080,0,0,95,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,670 GL85-8,7730,0,0,85,1,90,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,690 DT 65,4270,0,0,60,1,65,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,960 LP65,4270,0,0,60,1,65,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,960 OL,10080,0,0,95,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,960 PO,10080,0,0,95,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,961 ME65,4270,0,0,60,1,65,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,980 END65,4270,0,0,60,1,65,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,L01 10Y MA,1720,0,0,85,1,10,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,L10 LP95,24475,0,0,85,1,90,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,L10 LP95SR,8135,0,0,85,1,90,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,SL,659 CEN II,14,0,0,0,1,14,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,SL,668 SPWL,10,0,0,0,1,10,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,TP,659 CEN II,19780,0,0,85,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,TP,687J 30MRG,3060,0,0,50,1,30,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,TX,659 CEN II,19780,0,0,85,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,UF,659 CEN II,1,0,0,0,1,1,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
