source_file,source_row_number,source_coverage_id,resolved_plan,attempted_plan,authoritative_plan,is_authorized,authority_source,authority_column_used,resolution_path,emitted_to_quikplan,governance_status
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,98,980 PUA,280PUA,280PUA,280PUA,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,99,991 PWL,1991PL,1991PL,1991PL,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,100,DISCHO20 B,9DIS20,9DIS20,9DIS20,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,101,DISCHO2475,9DIS24,9DIS25,9DIS24,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,102,DISCHO247B,9DS24B,DISCHO247B,9DS24B,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,103,DISCHO247C,9DS24C,9DIS25,9DS24C,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,104,DISCHO25,9DIS25,9DIS25,,N,MASTER_CROSSWALK_LEGACY_FALLBACK,crosswalk_ql_plan_code,MASTER_CROSSWALK_LEGACY_FALLBACK,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,105,DISCHO29,9DIS29,DISCHO29,9DIS29,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,106,DISCHO70,9DIS70,9DIS70,9DIS70,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,107,DISCHO80,9DIS80,9DIS80,9DIS80,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,108,DISCHO90,9DIS90,9DIS90,9DIS90,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,109,L01 10Y LT,5L0110,5L0110,5L0110,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,110,L01 10Y MA,5L01MA,L01 10Y MA,5L01MA,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,111,L05 10Y LT,5L0510,5L0510,5L0510,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,112,L07 5Y LT,5L075Y,5L075Y,5L075Y,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,113,L10 ADB,9ADB10,9ADB10,9ADB10,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,114,L10 CDT,5CDT10,5CDT10,5CDT10,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,115,L10 GPO,9GPO10,9GPO10,9GPO10,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,116,L10 JPO,9JPO10,9JPO10,9JPO10,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,117,L10 LP95,1L1095,1L1095,1L1095,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,118,L10 LP95SR,1L10SR,1L10SR,1L10SR,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,119,L10 PRE97,1L10OD,L10 PRE97,1L10OD,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,120,L10 PREUNI,1L10PR,L10 PREUNI,1L10PR,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,121,L10 SDT,7SDT10,7SDT10,7SDT10,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,122,L10 SPSWP,910SWP,L10 SPSWP,910SWP,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,123,L10 SR OLD,1L10SO,1L10SO,1L10SO,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,124,L10 WP,9WPL10,9WPL10,9WPL10,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,125,L10 WP CDT,9CDTWP,9CDTWP,9CDTWP,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,126,L10 WP OLD,9OLDWP,9OLDWP,9OLDWP,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,127,L10 WP SRN,910RWP,L10 WP SRN,910RWP,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,128,L14,1L14SC,1L14SC,1L14SC,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,129,L15,1L15GD,1L15GD,1L15GD,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,130,L15 ADB,9ADB15,9ADB15,9ADB15,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,131,L16,1L16GD,1L16GD,1L16GD,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,132,L16POLFEE,9L16PF,9L16PF,9L16PF,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,133,L17 1,10L171,10L171,10L171,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,134,L17 1 JPO,117JPO,117JPO,117JPO,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,135,L17 2+,10L172,10L172,10L172,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,136,L17 2+ JPO,17MJPO,17MJPO,17MJPO,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,137,L17 BASE,1L17SP,1L17SP,1L17SP,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,138,SAL ADB,9SLADB,9SLADB,9SLADB,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,139,SAL ML,1SALML,1SALML,1SALML,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,140,SAL MULTPL,1SALMI,1SALMI,1SALMI,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,141,SAL OL,1SALOL,1SALOL,1SALOL,Y,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,142,WP 646,9WP646,WP 646,9WP646,N,PRODUCT_CATALOG_CROSSWALK,crosswalk_ql_plan_code,PRODUCT_CATALOG_AUTHORITATIVE,N,UNAUTHORIZED
