QLA,CLASS,BEFORE_LEN,AFTER_LEN,DELTA_LEN,GAINED_BAUERLY_PATTERN,BEFORE_HAS_PNOTE,AFTER_HAS_PNOTE
010789213C,MEMOTEXT_CHANGED,389,682,293,False,True,True
010942232C,MEMOTEXT_CHANGED,916,1208,292,False,True,True
018737AC,NEW_MEMOKEY,0,292,292,,,
010772915C,MEMOTEXT_CHANGED,126,417,291,False,True,True
010452169C,MEMOTEXT_CHANGED,3076,3367,291,False,True,True
011220582C,MEMOTEXT_CHANGED,1757,2047,290,False,True,True
011273480C,MEMOTEXT_CHANGED,524,813,289,False,True,True
011187405C,MEMOTEXT_CHANGED,724,1013,289,False,True,True
011196281C,MEMOTEXT_CHANGED,300,589,289,False,True,True
018253C,NEW_MEMOKEY,0,289,289,,,
010773468C,MEMOTEXT_CHANGED,936,1225,289,False,True,True
010425720C,MEMOTEXT_CHANGED,2411,2700,289,False,True,True
011204579C,MEMOTEXT_CHANGED,1168,1456,288,False,True,True
010883563C,MEMOTEXT_CHANGED,166,454,288,False,False,True
011211045C,MEMOTEXT_CHANGED,1245,1533,288,False,True,True
011185059C,MEMOTEXT_CHANGED,5105,5392,287,False,True,True
011177441C,MEMOTEXT_CHANGED,773,1060,287,False,True,True
010950970C,MEMOTEXT_CHANGED,2812,3099,287,False,True,True
010844919C,MEMOTEXT_CHANGED,3686,3973,287,False,True,True
010834689C,MEMOTEXT_CHANGED,777,1064,287,False,True,True
010803051C,MEMOTEXT_CHANGED,666,952,286,False,True,True
010833740C,MEMOTEXT_CHANGED,1341,1627,286,False,True,True
010857638C,MEMOTEXT_CHANGED,1372,1657,285,False,True,True
010830330C,NEW_MEMOKEY,0,285,285,,,
010822238C,MEMOTEXT_CHANGED,1516,1801,285,False,True,True
011186243C,MEMOTEXT_CHANGED,536,821,285,False,False,True
010403922C,MEMOTEXT_CHANGED,332,617,285,False,True,True
015000069C,MEMOTEXT_CHANGED,356,640,284,False,False,True
010772916C,MEMOTEXT_CHANGED,296,580,284,False,True,True
011261438C,MEMOTEXT_CHANGED,1357,1640,283,False,True,True
011107879C,MEMOTEXT_CHANGED,582,865,283,False,True,True
010795609C,MEMOTEXT_CHANGED,697,980,283,False,True,True
011185537C,MEMOTEXT_CHANGED,400,683,283,False,True,True
010809333C,MEMOTEXT_CHANGED,1639,1921,282,False,True,True
010495113C,MEMOTEXT_CHANGED,3211,3493,282,False,True,True
011217684C,MEMOTEXT_CHANGED,110,392,282,False,True,True
010807842C,MEMOTEXT_CHANGED,4216,4497,281,False,True,True
011254827C,MEMOTEXT_CHANGED,99,380,281,False,True,True
011221211C,MEMOTEXT_CHANGED,106,386,280,False,False,True
010794629C,MEMOTEXT_CHANGED,126,406,280,False,False,True
010841421C,MEMOTEXT_CHANGED,205,485,280,False,True,True
010771654C,MEMOTEXT_CHANGED,457,736,279,False,True,True
011130753C,MEMOTEXT_CHANGED,1190,1469,279,False,True,True
011203228C,MEMOTEXT_CHANGED,1553,1832,279,False,True,True
011269384C,MEMOTEXT_CHANGED,1099,1377,278,False,True,True
011123322C,MEMOTEXT_CHANGED,276,554,278,False,False,True
010738161C,MEMOTEXT_CHANGED,9874,10152,278,False,True,True
011179951C,MEMOTEXT_CHANGED,593,870,277,False,True,True
011217617C,MEMOTEXT_CHANGED,1152,1429,277,False,True,True
010852748C,MEMOTEXT_CHANGED,1664,1941,277,False,True,True
010845863C,MEMOTEXT_CHANGED,347,624,277,False,False,True
011158909C,MEMOTEXT_CHANGED,66,343,277,False,True,True
011147930C,MEMOTEXT_CHANGED,833,1109,276,False,True,True
011145881C,MEMOTEXT_CHANGED,720,996,276,False,False,True
010586005C,MEMOTEXT_CHANGED,13188,13464,276,False,True,True
010783066C,MEMOTEXT_CHANGED,2196,2472,276,False,True,True
010803782C,MEMOTEXT_CHANGED,359,635,276,False,False,True
011203904C,MEMOTEXT_CHANGED,376,652,276,False,True,True
010872404C,MEMOTEXT_CHANGED,2542,2817,275,False,False,True
010899761C,MEMOTEXT_CHANGED,5713,5987,274,False,True,True
010804489C,MEMOTEXT_CHANGED,1368,1641,273,False,True,True
010395411C,MEMOTEXT_CHANGED,537,810,273,False,False,True
010896144C,MEMOTEXT_CHANGED,311,584,273,False,True,True
010717447C,MEMOTEXT_CHANGED,758,1031,273,False,False,True
010843553C,MEMOTEXT_CHANGED,639,912,273,False,False,True
010389651C,MEMOTEXT_CHANGED,549,821,272,False,False,True
010723386C,MEMOTEXT_CHANGED,3460,3732,272,False,True,True
011074898C,MEMOTEXT_CHANGED,67,339,272,False,True,True
010791497C,MEMOTEXT_CHANGED,266,538,272,False,True,True
011155011C,MEMOTEXT_CHANGED,365,636,271,False,True,True
010755885C,MEMOTEXT_CHANGED,388,659,271,False,True,True
010718278C,MEMOTEXT_CHANGED,1834,2105,271,False,False,True
010889364C,MEMOTEXT_CHANGED,973,1244,271,False,True,True
010914378C,MEMOTEXT_CHANGED,1746,2017,271,False,True,True
010434419C,MEMOTEXT_CHANGED,1116,1387,271,False,True,True
018737BC,MEMOTEXT_CHANGED,87,357,270,False,True,True
010843137C,MEMOTEXT_CHANGED,570,840,270,False,True,True
011157556C,MEMOTEXT_CHANGED,130,400,270,False,True,True
010789547C,MEMOTEXT_CHANGED,525,795,270,False,False,True
010797765C,MEMOTEXT_CHANGED,535,804,269,False,False,True
010786872C,NEW_MEMOKEY,0,269,269,,,
010889177C,MEMOTEXT_CHANGED,177,446,269,False,False,True
010969227C,MEMOTEXT_CHANGED,1036,1305,269,False,True,True
010780393C,MEMOTEXT_CHANGED,346,615,269,False,False,True
010440371C,MEMOTEXT_CHANGED,722,990,268,False,True,True
010858518C,MEMOTEXT_CHANGED,407,675,268,False,True,True
010411499C,MEMOTEXT_CHANGED,1417,1685,268,False,True,True
011189325C,MEMOTEXT_CHANGED,71,338,267,False,True,True
011259930C,MEMOTEXT_CHANGED,503,770,267,False,True,True
010838364C,MEMOTEXT_CHANGED,2768,3035,267,False,True,True
010756540C,MEMOTEXT_CHANGED,2697,2964,267,False,False,True
010867962C,MEMOTEXT_CHANGED,87,354,267,False,True,True
011206462C,MEMOTEXT_CHANGED,1994,2261,267,False,True,True
011064567C,MEMOTEXT_CHANGED,343,609,266,False,True,True
011199383C,MEMOTEXT_CHANGED,355,620,265,False,False,True
011120375C,MEMOTEXT_CHANGED,592,856,264,False,False,True
010798024C,MEMOTEXT_CHANGED,175,439,264,False,False,True
010883246C,MEMOTEXT_CHANGED,588,852,264,False,True,True
011142695C,MEMOTEXT_CHANGED,862,1125,263,False,True,True
010767222C,MEMOTEXT_CHANGED,1232,1495,263,False,True,True
011220581C,MEMOTEXT_CHANGED,834,1097,263,False,True,True
011229737C,MEMOTEXT_CHANGED,1384,1647,263,False,True,True
011000026C,MEMOTEXT_CHANGED,191,453,262,False,True,True
010763063C,MEMOTEXT_CHANGED,1633,1895,262,False,False,True
011105232C,MEMOTEXT_CHANGED,643,905,262,False,True,True
011204293C,MEMOTEXT_CHANGED,135,397,262,False,False,True
011013545C,NEW_MEMOKEY,0,261,261,,,
011272310C,MEMOTEXT_CHANGED,4402,4663,261,False,True,True
010752477C,MEMOTEXT_CHANGED,3186,3446,260,False,True,True
011077008C,MEMOTEXT_CHANGED,275,535,260,False,False,True
011196134C,MEMOTEXT_CHANGED,1313,1572,259,False,True,True
010788426C,MEMOTEXT_CHANGED,1499,1758,259,False,False,True
011054985C,MEMOTEXT_CHANGED,1849,2108,259,False,True,True
010820996C,MEMOTEXT_CHANGED,723,981,258,False,True,True
011010387C,MEMOTEXT_CHANGED,1122,1380,258,False,False,True
010897517C,MEMOTEXT_CHANGED,264,522,258,False,False,True
010849668C,MEMOTEXT_CHANGED,671,929,258,False,False,True
011174600C,MEMOTEXT_CHANGED,1386,1643,257,False,True,True
010745811C,MEMOTEXT_CHANGED,626,882,256,False,False,True
010723524C,MEMOTEXT_CHANGED,478,734,256,False,True,True
010466978C,MEMOTEXT_CHANGED,378,634,256,False,True,True
010394249C,MEMOTEXT_CHANGED,136,391,255,False,True,True
011163086C,MEMOTEXT_CHANGED,2026,2280,254,False,False,True
010437794C,MEMOTEXT_CHANGED,2348,2602,254,False,True,True
011139778C,MEMOTEXT_CHANGED,2307,2561,254,False,True,True
011198370C,NEW_MEMOKEY,0,254,254,,,
010743832C,MEMOTEXT_CHANGED,357,611,254,False,False,True
010768208C,MEMOTEXT_CHANGED,167,420,253,False,False,True
010859282C,MEMOTEXT_CHANGED,176,429,253,False,False,True
011103130C,NEW_MEMOKEY,0,253,253,,,
010454003C,MEMOTEXT_CHANGED,176,429,253,False,False,True
011227429C,MEMOTEXT_CHANGED,201,454,253,False,False,True
011048440C,MEMOTEXT_CHANGED,126,378,252,False,False,True
010845548C,MEMOTEXT_CHANGED,346,598,252,False,True,True
010889547C,MEMOTEXT_CHANGED,2440,2692,252,False,False,True
010502820C,NEW_MEMOKEY,0,252,252,,,
010772840C,MEMOTEXT_CHANGED,908,1159,251,False,False,True
010947866C,MEMOTEXT_CHANGED,515,765,250,False,True,True
011122810C,NEW_MEMOKEY,0,250,250,,,
011269382C,MEMOTEXT_CHANGED,625,875,250,False,True,True
011086709C,MEMOTEXT_CHANGED,812,1062,250,False,True,True
010806350C,MEMOTEXT_CHANGED,4112,4362,250,False,False,True
011200210C,MEMOTEXT_CHANGED,135,385,250,False,False,True
01ML8522C,NEW_MEMOKEY,0,249,249,,,
010789992C,NEW_MEMOKEY,0,249,249,,,
010798018C,MEMOTEXT_CHANGED,1673,1921,248,False,True,True
010892695C,MEMOTEXT_CHANGED,653,901,248,False,True,True
011251747C,MEMOTEXT_CHANGED,391,639,248,False,False,True
011130547C,MEMOTEXT_CHANGED,13017,13264,247,False,False,True
010783102C,MEMOTEXT_CHANGED,2169,2416,247,False,True,True
011138044C,MEMOTEXT_CHANGED,614,860,246,False,True,True
010782018C,NEW_MEMOKEY,0,246,246,,,
011271994C,MEMOTEXT_CHANGED,6906,7151,245,False,True,True
011203122C,MEMOTEXT_CHANGED,934,1179,245,False,True,True
010754480C,MEMOTEXT_CHANGED,2135,2380,245,False,False,True
010782818C,MEMOTEXT_CHANGED,2646,2891,245,False,True,True
010823906C,MEMOTEXT_CHANGED,340,584,244,False,True,True
011162365C,MEMOTEXT_CHANGED,167,411,244,False,False,True
011062607C,MEMOTEXT_CHANGED,588,831,243,False,False,True
011189940C,MEMOTEXT_CHANGED,495,738,243,False,False,True
010442906C,MEMOTEXT_CHANGED,1814,2056,242,False,False,True
010915533C,MEMOTEXT_CHANGED,1987,2229,242,False,True,True
011188865C,MEMOTEXT_CHANGED,748,990,242,False,True,True
011207685C,MEMOTEXT_CHANGED,1202,1443,241,False,False,True
010881301C,MEMOTEXT_CHANGED,758,999,241,False,True,True
010403109C,MEMOTEXT_CHANGED,1064,1303,239,False,True,True
011146916C,MEMOTEXT_CHANGED,264,503,239,False,True,True
010873140C,MEMOTEXT_CHANGED,244,483,239,False,True,True
010506789C,MEMOTEXT_CHANGED,642,881,239,False,True,True
011005348C,MEMOTEXT_CHANGED,1732,1970,238,False,True,True
011001984C,MEMOTEXT_CHANGED,963,1201,238,False,True,True
010782675C,MEMOTEXT_CHANGED,431,669,238,False,True,True
011261619C,MEMOTEXT_CHANGED,539,776,237,False,False,True
011213201C,MEMOTEXT_CHANGED,1573,1809,236,False,False,True
010469430C,MEMOTEXT_CHANGED,1092,1328,236,False,True,True
011197715C,MEMOTEXT_CHANGED,1125,1361,236,False,True,True
018252C,NEW_MEMOKEY,0,236,236,,,
010987095C,MEMOTEXT_CHANGED,472,708,236,False,True,True
01ML8584C,MEMOTEXT_CHANGED,137,372,235,False,True,True
010817956C,MEMOTEXT_CHANGED,718,953,235,False,True,True
014130C,MEMOTEXT_CHANGED,381,616,235,False,True,True
011264376C,MEMOTEXT_CHANGED,357,592,235,False,False,True
010456114C,MEMOTEXT_CHANGED,199,434,235,False,True,True
010367132C,MEMOTEXT_CHANGED,438,673,235,False,False,True
010841471C,MEMOTEXT_CHANGED,187,421,234,False,True,True
011131443C,MEMOTEXT_CHANGED,315,549,234,False,True,True
011136147C,MEMOTEXT_CHANGED,1126,1360,234,False,False,True
010789348C,MEMOTEXT_CHANGED,1010,1244,234,False,True,True
010924474C,MEMOTEXT_CHANGED,86,320,234,False,True,True
010811700C,MEMOTEXT_CHANGED,86,319,233,False,True,True
010787390C,MEMOTEXT_CHANGED,474,707,233,False,True,True
010756034C,MEMOTEXT_CHANGED,1066,1299,233,False,True,True
011192032C,MEMOTEXT_CHANGED,1146,1379,233,False,True,True
011141741C,MEMOTEXT_CHANGED,246,477,231,False,False,True
011283990C,NEW_MEMOKEY,0,231,231,,,
010901833C,MEMOTEXT_CHANGED,999,1230,231,False,True,True
011162328C,MEMOTEXT_CHANGED,264,495,231,False,True,True
010412525C,NEW_MEMOKEY,0,230,230,,,
011194618C,MEMOTEXT_CHANGED,833,1063,230,False,True,True
011191513C,MEMOTEXT_CHANGED,486,716,230,False,True,True
010774107C,MEMOTEXT_CHANGED,906,1136,230,False,False,True
010920793C,NEW_MEMOKEY,0,229,229,,,
011182104C,MEMOTEXT_CHANGED,176,405,229,False,False,True
011219543C,MEMOTEXT_CHANGED,217,445,228,False,True,True
010752703C,MEMOTEXT_CHANGED,769,997,228,False,True,True
010476803C,MEMOTEXT_CHANGED,289,517,228,False,True,True
010764400C,MEMOTEXT_CHANGED,1138,1366,228,False,True,True
010779031C,MEMOTEXT_CHANGED,339,567,228,False,True,True
010974838C,NEW_MEMOKEY,0,227,227,,,
011178930C,MEMOTEXT_CHANGED,1595,1822,227,False,True,True
011216797C,MEMOTEXT_CHANGED,862,1089,227,False,True,True
010380049C,MEMOTEXT_CHANGED,382,608,226,False,False,True
010756929C,MEMOTEXT_CHANGED,161,387,226,False,False,True
011227527C,MEMOTEXT_CHANGED,1749,1975,226,False,True,True
010723523C,MEMOTEXT_CHANGED,1720,1946,226,False,True,True
011110363C,MEMOTEXT_CHANGED,614,839,225,False,False,True
011136667C,MEMOTEXT_CHANGED,378,603,225,False,True,True
011133663C,MEMOTEXT_CHANGED,379,604,225,False,True,True
010457291C,MEMOTEXT_CHANGED,970,1195,225,False,True,True
010915619C,MEMOTEXT_CHANGED,224,449,225,False,True,True
011040022C,MEMOTEXT_CHANGED,486,710,224,False,True,True
011215903C,NEW_MEMOKEY,0,224,224,,,
010445719C,MEMOTEXT_CHANGED,235,459,224,False,True,True
011131163C,MEMOTEXT_CHANGED,209,433,224,False,True,True
010396147C,MEMOTEXT_CHANGED,874,1098,224,False,True,True
011157373C,NEW_MEMOKEY,0,224,224,,,
010779130C,MEMOTEXT_CHANGED,121,344,223,False,True,True
010475850C,MEMOTEXT_CHANGED,564,787,223,False,True,True
011115534C,MEMOTEXT_CHANGED,2174,2396,222,False,True,True
010367133C,MEMOTEXT_CHANGED,438,660,222,False,False,True
011210919C,MEMOTEXT_CHANGED,1035,1257,222,False,False,True
010893394C,NEW_MEMOKEY,0,222,222,,,
010803417C,MEMOTEXT_CHANGED,21280,21502,222,False,True,True
011061723C,MEMOTEXT_CHANGED,1734,1956,222,False,False,True
011180968C,MEMOTEXT_CHANGED,965,1187,222,False,True,True
011050114C,MEMOTEXT_CHANGED,395,617,222,False,False,True
010445091C,MEMOTEXT_CHANGED,784,1005,221,False,True,True
011115690C,MEMOTEXT_CHANGED,2050,2271,221,False,True,True
011274754C,MEMOTEXT_CHANGED,5526,5747,221,False,True,True
010776002C,MEMOTEXT_CHANGED,240,460,220,False,True,True
011098913C,MEMOTEXT_CHANGED,4149,4369,220,False,True,True
010768635C,MEMOTEXT_CHANGED,276,496,220,False,True,True
010810691C,MEMOTEXT_CHANGED,448,668,220,False,True,True
011189885C,MEMOTEXT_CHANGED,652,872,220,False,True,True
010799472C,MEMOTEXT_CHANGED,107,326,219,False,True,True
010883239C,MEMOTEXT_CHANGED,152,371,219,False,True,True
010842969C,MEMOTEXT_CHANGED,111,330,219,False,True,True
010920798C,NEW_MEMOKEY,0,219,219,,,
010879203C,MEMOTEXT_CHANGED,459,678,219,False,True,True
010776157C,MEMOTEXT_CHANGED,1508,1727,219,False,True,True
018284CC,NEW_MEMOKEY,0,218,218,,,
010367131C,MEMOTEXT_CHANGED,619,837,218,False,False,True
011196569C,MEMOTEXT_CHANGED,327,545,218,False,True,True
010795565C,MEMOTEXT_CHANGED,332,550,218,False,True,True
010917172C,MEMOTEXT_CHANGED,684,901,217,False,True,True
011014739C,MEMOTEXT_CHANGED,1584,1801,217,False,True,True
010841783C,MEMOTEXT_CHANGED,580,796,216,False,False,True
010766910C,MEMOTEXT_CHANGED,613,829,216,False,True,True
010986137C,MEMOTEXT_CHANGED,982,1198,216,False,True,True
010816928C,MEMOTEXT_CHANGED,448,663,215,False,True,True
010331157C,MEMOTEXT_CHANGED,310,525,215,False,True,True
01122D991C,MEMOTEXT_CHANGED,304,519,215,False,True,True
011190599C,MEMOTEXT_CHANGED,175,389,214,False,False,True
010810272C,MEMOTEXT_CHANGED,2750,2964,214,False,False,True
011092140C,MEMOTEXT_CHANGED,446,659,213,False,True,True
010778913C,MEMOTEXT_CHANGED,1073,1286,213,False,True,True
010764158C,MEMOTEXT_CHANGED,3246,3458,212,False,False,True
010854307C,MEMOTEXT_CHANGED,1497,1709,212,False,True,True
010872406C,MEMOTEXT_CHANGED,2732,2944,212,False,False,True
010820835C,MEMOTEXT_CHANGED,2426,2638,212,False,False,True
010844324C,MEMOTEXT_CHANGED,923,1133,210,False,True,True
011047683C,MEMOTEXT_CHANGED,1079,1289,210,False,False,True
011210918C,MEMOTEXT_CHANGED,1035,1245,210,False,False,True
010810273C,MEMOTEXT_CHANGED,2284,2493,209,False,False,True
011101252C,MEMOTEXT_CHANGED,855,1064,209,False,True,True
011235719C,MEMOTEXT_CHANGED,704,912,208,False,True,True
010724403C,MEMOTEXT_CHANGED,404,612,208,False,True,True
010886851C,MEMOTEXT_CHANGED,175,383,208,False,False,True
011202381C,MEMOTEXT_CHANGED,259,467,208,False,True,True
01ML8211C,MEMOTEXT_CHANGED,356,564,208,False,True,True
011139998C,MEMOTEXT_CHANGED,1119,1327,208,False,True,True
01ML8225C,NEW_MEMOKEY,0,207,207,,,
011124666C,MEMOTEXT_CHANGED,791,997,206,False,True,True
010846539C,MEMOTEXT_CHANGED,1035,1241,206,False,False,True
011112998C,NEW_MEMOKEY,0,206,206,,,
010730780C,MEMOTEXT_CHANGED,1158,1363,205,False,True,True
010779074C,MEMOTEXT_CHANGED,662,867,205,False,True,True
010439435C,MEMOTEXT_CHANGED,1347,1551,204,False,False,True
011193421C,MEMOTEXT_CHANGED,1537,1741,204,False,True,True
011086069C,MEMOTEXT_CHANGED,2688,2892,204,False,True,True
010818718C,NEW_MEMOKEY,0,204,204,,,
018237EC,NEW_MEMOKEY,0,204,204,,,
011254241C,NEW_MEMOKEY,0,204,204,,,
010831077C,MEMOTEXT_CHANGED,166,369,203,False,False,True
015000466C,MEMOTEXT_CHANGED,1723,1926,203,False,False,True
010800475C,NEW_MEMOKEY,0,202,202,,,
010840477C,MEMOTEXT_CHANGED,370,572,202,False,True,True
011153424C,MEMOTEXT_CHANGED,399,601,202,False,True,True
010756442C,MEMOTEXT_CHANGED,391,592,201,False,False,True
011182857C,MEMOTEXT_CHANGED,1181,1382,201,False,True,True
010766679C,MEMOTEXT_CHANGED,255,456,201,False,False,True
011210611C,MEMOTEXT_CHANGED,3855,4056,201,False,False,True
011176525C,NEW_MEMOKEY,0,201,201,,,
011014276C,MEMOTEXT_CHANGED,505,705,200,False,True,True
010914384C,MEMOTEXT_CHANGED,445,645,200,False,True,True
010748070C,MEMOTEXT_CHANGED,4288,4488,200,False,True,True
011155232C,MEMOTEXT_CHANGED,182,382,200,False,True,True
011196570C,MEMOTEXT_CHANGED,176,375,199,False,False,True
011229738C,MEMOTEXT_CHANGED,1006,1205,199,False,False,True
010828463C,MEMOTEXT_CHANGED,618,817,199,False,True,True
011053076C,MEMOTEXT_CHANGED,528,726,198,False,True,True
010840776C,MEMOTEXT_CHANGED,1039,1237,198,False,True,True
010149295C,MEMOTEXT_CHANGED,165,363,198,False,False,True
011197559C,MEMOTEXT_CHANGED,419,617,198,False,True,True
018237DC,MEMOTEXT_CHANGED,242,440,198,False,True,True
010436599C,MEMOTEXT_CHANGED,1417,1614,197,False,True,True
018645CC,NEW_MEMOKEY,0,197,197,,,
011163083C,MEMOTEXT_CHANGED,685,882,197,False,True,True
010517231C,MEMOTEXT_CHANGED,517,714,197,False,True,True
010780597C,MEMOTEXT_CHANGED,177,372,195,False,False,True
010803681C,MEMOTEXT_CHANGED,177,372,195,False,False,True
011215024C,NEW_MEMOKEY,0,195,195,,,
011184993C,MEMOTEXT_CHANGED,557,752,195,False,True,True
010900142C,NEW_MEMOKEY,0,195,195,,,
010839714C,MEMOTEXT_CHANGED,882,1077,195,False,True,True
01ML8597C,NEW_MEMOKEY,0,194,194,,,
011196571C,NEW_MEMOKEY,0,194,194,,,
010899718C,MEMOTEXT_CHANGED,3305,3497,192,False,False,True
011193336C,MEMOTEXT_CHANGED,413,605,192,False,True,True
011196525C,NEW_MEMOKEY,0,192,192,,,
011152369C,MEMOTEXT_CHANGED,613,805,192,False,True,True
010832740C,MEMOTEXT_CHANGED,2088,2280,192,False,False,True
010471933C,MEMOTEXT_CHANGED,106,297,191,False,True,True
011077285C,NEW_MEMOKEY,0,190,190,,,
010833595C,MEMOTEXT_CHANGED,176,366,190,False,False,True
010868188C,MEMOTEXT_CHANGED,662,852,190,False,False,True
010874797C,NEW_MEMOKEY,0,190,190,,,
010872109C,NEW_MEMOKEY,0,190,190,,,
011047684C,MEMOTEXT_CHANGED,1079,1268,189,False,False,True
01FG8033CC,MEMOTEXT_CHANGED,67,256,189,False,True,True
011132389C,MEMOTEXT_CHANGED,233,422,189,False,True,True
010418088C,MEMOTEXT_CHANGED,788,977,189,False,True,True
011045847C,MEMOTEXT_CHANGED,402,591,189,False,True,True
011085980C,MEMOTEXT_CHANGED,275,464,189,False,False,True
010801730C,MEMOTEXT_CHANGED,614,803,189,False,False,True
018237GC,NEW_MEMOKEY,0,188,188,,,
010900145C,MEMOTEXT_CHANGED,355,543,188,False,True,True
011025088C,MEMOTEXT_CHANGED,248,436,188,False,True,True
010899717C,MEMOTEXT_CHANGED,3304,3491,187,False,False,True
011235718C,NEW_MEMOKEY,0,187,187,,,
011274946C,NEW_MEMOKEY,0,187,187,,,
014075AC,NEW_MEMOKEY,0,187,187,,,
011109446C,MEMOTEXT_CHANGED,1027,1214,187,False,False,True
01ML8151C,MEMOTEXT_CHANGED,328,514,186,False,True,True
010814971C,MEMOTEXT_CHANGED,290,476,186,False,True,True
011226092C,MEMOTEXT_CHANGED,323,509,186,False,True,True
010782357C,MEMOTEXT_CHANGED,251,436,185,False,True,True
011110270C,MEMOTEXT_CHANGED,822,1007,185,False,True,True
010426961C,NEW_MEMOKEY,0,185,185,,,
011023481C,MEMOTEXT_CHANGED,2569,2754,185,False,False,True
010757817C,MEMOTEXT_CHANGED,634,818,184,False,True,True
010763377C,NEW_MEMOKEY,0,184,184,,,
010781117C,MEMOTEXT_CHANGED,108,291,183,False,True,True
010875937C,NEW_MEMOKEY,0,183,183,,,
011197430C,MEMOTEXT_CHANGED,1422,1604,182,False,True,True
011140826C,MEMOTEXT_CHANGED,556,738,182,False,True,True
018258BC,NEW_MEMOKEY,0,182,182,,,
011047682C,MEMOTEXT_CHANGED,2333,2514,181,False,True,True
011015419C,MEMOTEXT_CHANGED,241,422,181,False,True,True
010806082C,MEMOTEXT_CHANGED,730,911,181,False,True,True
010458744C,NEW_MEMOKEY,0,181,181,,,
01ML4134C,MEMOTEXT_CHANGED,357,537,180,False,True,True
010868189C,MEMOTEXT_CHANGED,766,945,179,False,False,True
011246931C,MEMOTEXT_CHANGED,202,381,179,False,True,True
010748404C,MEMOTEXT_CHANGED,636,813,177,False,True,True
010436727C,MEMOTEXT_CHANGED,414,591,177,False,True,True
010784074C,MEMOTEXT_CHANGED,399,576,177,False,True,True
010773575C,MEMOTEXT_CHANGED,2312,2488,176,False,False,True
010784946C,MEMOTEXT_CHANGED,423,599,176,False,True,True
015000070C,MEMOTEXT_CHANGED,356,532,176,False,False,True
018712FC,NEW_MEMOKEY,0,175,175,,,
011191414C,NEW_MEMOKEY,0,175,175,,,
010776062C,MEMOTEXT_CHANGED,256,430,174,False,False,True
010771352C,MEMOTEXT_CHANGED,104,278,174,False,True,True
011128980C,MEMOTEXT_CHANGED,624,798,174,False,True,True
011150820C,MEMOTEXT_CHANGED,374,548,174,False,True,True
011178457C,MEMOTEXT_CHANGED,104,278,174,False,True,True
010773243C,MEMOTEXT_CHANGED,477,651,174,False,False,True
011094545C,MEMOTEXT_CHANGED,248,422,174,False,True,True
010500769C,MEMOTEXT_CHANGED,118,291,173,False,True,True
018499AC,NEW_MEMOKEY,0,173,173,,,
010766527C,MEMOTEXT_CHANGED,296,469,173,False,False,True
018465DC,NEW_MEMOKEY,0,172,172,,,
010431738C,MEMOTEXT_CHANGED,1177,1349,172,False,True,True
010756938C,MEMOTEXT_CHANGED,742,914,172,False,True,True
011194752C,MEMOTEXT_CHANGED,605,777,172,False,True,True
010792701C,MEMOTEXT_CHANGED,337,509,172,False,True,True
010463420C,MEMOTEXT_CHANGED,263,435,172,False,True,True
011033416C,MEMOTEXT_CHANGED,177,349,172,False,True,True
010434747C,MEMOTEXT_CHANGED,252,423,171,False,True,True
011106029C,MEMOTEXT_CHANGED,421,592,171,False,False,True
010752698C,MEMOTEXT_CHANGED,176,347,171,False,False,True
010746005C,MEMOTEXT_CHANGED,410,581,171,False,True,True
011195589C,MEMOTEXT_CHANGED,297,467,170,False,True,True
010928491C,MEMOTEXT_CHANGED,761,931,170,False,False,True
010747438C,MEMOTEXT_CHANGED,326,496,170,False,True,True
010815416C,MEMOTEXT_CHANGED,356,525,169,False,False,True
011182070C,MEMOTEXT_CHANGED,120,289,169,False,True,True
010785777C,MEMOTEXT_CHANGED,457,626,169,False,True,True
010978232C,MEMOTEXT_CHANGED,537,706,169,False,False,True
010826525C,MEMOTEXT_CHANGED,316,484,168,False,False,True
011191041C,MEMOTEXT_CHANGED,485,653,168,False,True,True
010459653C,MEMOTEXT_CHANGED,356,524,168,False,False,True
011261107C,MEMOTEXT_CHANGED,83,251,168,False,True,True
010786015C,MEMOTEXT_CHANGED,397,564,167,False,True,True
010788086C,NEW_MEMOKEY,0,167,167,,,
010778262C,MEMOTEXT_CHANGED,309,476,167,False,True,True
010853287C,MEMOTEXT_CHANGED,916,1083,167,False,False,True
010382426C,MEMOTEXT_CHANGED,924,1091,167,False,False,True
010815643C,MEMOTEXT_CHANGED,129,295,166,False,False,True
011191886C,NEW_MEMOKEY,0,166,166,,,
010460406C,NEW_MEMOKEY,0,166,166,,,
011069372C,NEW_MEMOKEY,0,165,165,,,
011224365C,MEMOTEXT_CHANGED,97,262,165,False,True,True
010769184C,MEMOTEXT_CHANGED,305,470,165,False,False,True
010785164C,MEMOTEXT_CHANGED,1092,1257,165,False,True,True
010793722C,MEMOTEXT_CHANGED,170,334,164,False,True,True
010836583C,NEW_MEMOKEY,0,164,164,,,
011106030C,MEMOTEXT_CHANGED,275,439,164,False,False,True
011180646C,MEMOTEXT_CHANGED,653,817,164,False,True,True
011175626C,MEMOTEXT_CHANGED,107,271,164,False,True,True
011065353C,MEMOTEXT_CHANGED,276,439,163,False,False,True
011091795C,MEMOTEXT_CHANGED,665,828,163,False,True,True
010850346C,MEMOTEXT_CHANGED,2336,2499,163,False,False,True
010815945C,NEW_MEMOKEY,0,163,163,,,
010769227C,MEMOTEXT_CHANGED,865,1027,162,False,True,True
