mpolicy,policy_digits,population,is_teacher_death,cso_total_paid,death_mpaid,death_mintamt,death_rows,death_claimstats,payee_sum_mamount,payee_rows,residual_cso_minus_death_mpaid,payee_minus_death_mpaid,non_death_rows,non_death_families,non_death_mpaid_sum_DO_NOT_ADD_TO_CSO,pactg_row_count,pactg_layer_totals_json,proposed_rule_class,proposed_rule_note,cso_plan_code,cso_last_pd_date
9010781778C,9010781778,MISSING_ERIC_SUPPLY,N,6000.0,0.0,0.0,0,,0.0,0,6000.0,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164401,2018-02-07 00:00:00
9010781863C,9010781863,AVAILABLE_MATCH,N,15197.07,15197.07,0.0,1,2,15197.07,1,0.0,0.0,0,,0.0,64,"{""clearing_death"": 15197.07, ""payout_death_claim_payment"": 15197.07, ""unclassified"": 1462.17}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2023-02-15 00:00:00
9010781900C,9010781900,MISSING_ERIC_SUPPLY,N,6280.58,0.0,0.0,0,,0.0,0,6280.58,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164402,2017-08-08 00:00:00
9010782018C,9010782018,AVAILABLE_MATCH,N,29519.06,29519.06,0.0,1,2,29519.06,1,0.0,0.0,0,,0.0,84,"{""clearing_death"": 29519.06, ""payout_death_claim_payment"": 29519.06, ""unclassified"": 3198.69}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,165901,2024-10-09 00:00:00
9010782357C,9010782357,AVAILABLE_MATCH,N,19358.82,19358.82,0.0,1,2,19358.82,1,0.0,0.0,0,,0.0,81,"{""clearing_death"": 19197.24, ""interest_death_benefit"": 161.58, ""payout_death_claim_payment"": 19358.82, ""unclassified"": 2064.6}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2024-03-05 00:00:00
9010782592C,9010782592,AVAILABLE_MATCH,N,6963.37,6963.37,0.0,1,2,6963.37,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 6900.0, ""interest_death_benefit"": 63.37, ""payout_death_claim_payment"": 6963.37}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2021-07-26 00:00:00
9010782822C,9010782822,AVAILABLE_MATCH,N,5054.02,5054.02,0.0,1,2,5251.37,5,0.0,197.35,1,PARTIAL_SURRENDER,197.35,9,"{""clearing_death"": 5000.0, ""interest_death_benefit"": 54.02, ""partial_surrender"": 197.35, ""payout_death_claim_payment"": 5054.02, ""reinstatement_clearing"": 197.35, ""unapplied_intraco"": 197.35}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2018-10-12 00:00:00
9010783086C,9010783086,AVAILABLE_MATCH,N,38709.03,38709.03,0.0,1,2,38709.03,2,0.0,0.0,0,,0.0,83,"{""clearing_death"": 38456.13, ""interest_death_benefit"": 252.9, ""payout_death_claim_payment"": 38709.03, ""unclassified"": 4181.58}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2024-07-11 00:00:00
9010783102C,9010783102,AVAILABLE_MATCH,N,25000.0,25000.0,0.0,1,2,25000.0,1,0.0,0.0,0,,0.0,2,"{""clearing_death"": 25000.0, ""payout_death_claim_payment"": 25000.0}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,155902,2022-03-09 00:00:00
9010783502C,9010783502,AVAILABLE_MISMATCH,N,7168.54,21316.36,0.0,1,2,22272.96,13,-14147.82,956.6,4,PARTIAL_SURRENDER,956.6,25,"{""clearing_death"": 14147.82, ""interest_death_benefit"": 94.63, ""partial_surrender"": 956.6, ""payout_death_claim_payment"": 21316.36, ""reinstatement_clearing"": 956.6, ""reinstatement_endow_loop"": 7073.91, ""unapplied_intraco"": 956.6}",HEADER_PAYEE_MISALIGN,Death MPAID and economic payee sum disagree,164402,2022-02-01 00:00:00
9010783755C,9010783755,MISSING_ERIC_SUPPLY,N,200100.42,0.0,0.0,0,,0.0,0,200100.42,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,566801,2018-02-08 00:00:00
9010783784C,9010783784,MISSING_ERIC_SUPPLY,N,16464.1,0.0,0.0,0,,0.0,0,16464.1,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164401,2017-11-29 00:00:00
9010783883C,9010783883,AVAILABLE_MATCH,N,22827.5,22827.5,0.0,1,2,24829.85,4,0.0,2002.35,3,PARTIAL_SURRENDER,2002.35,12,"{""clearing_death"": 22660.3, ""interest_death_benefit"": 167.2, ""partial_surrender"": 2002.35, ""payout_death_claim_payment"": 22827.5, ""reinstatement_clearing"": 2002.35, ""unapplied_intraco"": 2002.35}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2020-12-17 00:00:00
9010784045C,9010784045,AVAILABLE_MATCH,N,5000.0,5000.0,0.0,1,2,5263.2,2,0.0,263.2,1,PARTIAL_SURRENDER,263.2,5,"{""clearing_death"": 5000.0, ""partial_surrender"": 263.2, ""payout_death_claim_payment"": 5000.0, ""reinstatement_clearing"": 263.2, ""unapplied_intraco"": 263.2}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2018-08-06 00:00:00
9010784074C,9010784074,AVAILABLE_MATCH,N,50000.0,50000.0,0.0,1,2,52530.5,8,0.0,2530.5,7,PARTIAL_SURRENDER,2530.5,23,"{""clearing_death"": 50000.0, ""partial_surrender"": 2530.5, ""payout_death_claim_payment"": 50000.0, ""reinstatement_clearing"": 2530.5, ""unapplied_intraco"": 2530.5}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,155901,2024-11-18 00:00:00
9010784250C,9010784250,AVAILABLE_MATCH,N,3480.13,3480.13,0.0,1,2,3480.13,1,0.0,0.0,0,,0.0,2,"{""clearing_death"": 3480.13, ""payout_death_claim_payment"": 3480.13}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2019-11-05 00:00:00
9010784372C,9010784372,AVAILABLE_MATCH,N,8632.48,8632.48,0.0,1,2,9764.53,6,0.0,1132.05,5,PARTIAL_SURRENDER,1132.05,18,"{""clearing_death"": 8600.0, ""interest_death_benefit"": 32.48, ""partial_surrender"": 1132.05, ""payout_death_claim_payment"": 8632.48, ""reinstatement_clearing"": 1132.05, ""unapplied_intraco"": 1132.05}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2023-02-22 00:00:00
9010784529C,9010784529,AVAILABLE_MATCH,N,17802.73,17802.73,0.0,1,2,19835.53,7,0.0,2032.8,6,PARTIAL_SURRENDER,2032.8,29,"{""clearing_death"": 17802.73, ""partial_surrender"": 2032.8, ""payout_death_claim_payment"": 17802.73, ""payout_related"": 59.62, ""reinstatement_clearing"": 2032.8, ""unapplied_intraco"": 2092.42, ""unclassified"": 208.67}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2024-05-08 00:00:00
9010784767C,9010784767,AVAILABLE_MATCH,N,10548.96,10548.96,0.0,1,2,10548.96,1,0.0,0.0,0,,0.0,24,"{""clearing_death"": 10499.2, ""interest_death_benefit"": 49.76, ""payout_death_claim_payment"": 10548.96, ""unclassified"": 381.14}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2019-07-30 00:00:00
9010784922C,9010784922,AVAILABLE_MATCH,N,6100.0,6100.0,0.0,1,2,6731.2,3,0.0,631.2,2,PARTIAL_SURRENDER,631.2,8,"{""clearing_death"": 6100.0, ""partial_surrender"": 631.2, ""payout_death_claim_payment"": 6100.0, ""reinstatement_clearing"": 631.2, ""unapplied_intraco"": 631.2}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2019-12-04 00:00:00
9010784946C,9010784946,AVAILABLE_MATCH,N,10331.09,10331.09,0.0,1,2,11199.89,5,0.0,868.8,4,PARTIAL_SURRENDER,868.8,20,"{""clearing_death"": 10299.98, ""interest_death_benefit"": 31.11, ""partial_surrender"": 868.8, ""payout_death_claim_payment"": 10331.09, ""payout_related"": 58.64, ""reinstatement_clearing"": 868.8, ""reversal"": 58.64, ""unapplied_intraco"": 1044.72}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2021-06-22 00:00:00
9010785049C,9010785049,MISSING_ERIC_SUPPLY,N,15651.06,0.0,0.0,0,,0.0,0,15651.06,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,155901,2020-05-15 00:00:00
9010785298C,9010785298,AVAILABLE_MATCH,N,7117.49,7117.49,0.0,1,2,7117.49,1,0.0,0.0,0,,0.0,17,"{""clearing_death"": 7117.49, ""payout_death_claim_payment"": 7117.49, ""unapplied_intraco"": 616.84}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2019-11-20 00:00:00
9010785325C,9010785325,MISSING_ERIC_SUPPLY,N,8805.99,0.0,0.0,0,,0.0,0,8805.99,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164401,2017-07-05 00:00:00
9010785777C,9010785777,IN_OUTPUT_NO_DEATH_HEADER,N,9000.0,0.0,0.0,0,,352.51,1,9000.0,352.51,1,PARTIAL_SURRENDER,352.51,5,"{""clearing_death"": 9000.0, ""partial_surrender"": 352.51, ""payout_death_claim_payment"": 9000.0, ""reinstatement_clearing"": 352.51, ""unapplied_intraco"": 352.51}",NO_DEATH_CLAIM_ROW,Policy in Output but no DEATH_CLAIM/CLAIMSTAT 1|2 header; do not use PS/surrender amounts,164402,2018-10-02 00:00:00
9010785932C,9010785932,MISSING_ERIC_SUPPLY,N,11926.31,0.0,0.0,0,,0.0,0,11926.31,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164402,2022-06-14 00:00:00
9010786015C,9010786015,IN_OUTPUT_NO_DEATH_HEADER,N,10000.0,0.0,0.0,0,,2722.3,7,10000.0,2722.3,7,PARTIAL_SURRENDER,2722.3,23,"{""clearing_death"": 10000.0, ""partial_surrender"": 2722.3, ""payout_death_claim_payment"": 10000.0, ""reinstatement_clearing"": 2722.3, ""unapplied_intraco"": 2722.3}",NO_DEATH_CLAIM_ROW,Policy in Output but no DEATH_CLAIM/CLAIMSTAT 1|2 header; do not use PS/surrender amounts,164401,2025-01-03 00:00:00
9010786152C,9010786152,AVAILABLE_MISMATCH,N,7935.67,0.0,0.0,1,2,1086.0,5,7935.67,1086.0,5,PARTIAL_SURRENDER,1086.0,27,"{""clearing_death"": 15848.64, ""interest_death_benefit"": 18.26, ""partial_surrender"": 1086.0, ""payout_death_claim_payment"": 3965.62, ""payout_related"": 3970.05, ""reinstatement_clearing"": 1086.0, ""reinstatement_related"": 6.91, ""reversal"": 19800.44, ""unapplied_intraco"": 1092.91}",MISSING_DEATH_MPAID_BUT_PACTG_PAYOUT,CSO paid > 0 but death MPAID=0; open PACTG 0094/1058 payout exists,164402,2022-06-30 00:00:00
9010786153C,9010786153,IN_OUTPUT_NO_DEATH_HEADER,N,5141.0,0.0,0.0,0,,311.5,2,5141.0,311.5,2,PARTIAL_SURRENDER,311.5,10,"{""clearing_death"": 10000.0, ""partial_surrender"": 311.5, ""payout_death_claim_payment"": 5141.0, ""reinstatement_clearing"": 311.5, ""unapplied_intraco"": 452.5}",NO_DEATH_CLAIM_ROW,Policy in Output but no DEATH_CLAIM/CLAIMSTAT 1|2 header; do not use PS/surrender amounts,164402,2020-05-21 00:00:00
9010786237C,9010786237,AVAILABLE_MATCH,N,5127.42,5127.42,0.0,1,2,6122.12,8,0.0,994.7,7,PARTIAL_SURRENDER,994.7,29,"{""clearing_death"": 5000.0, ""interest_death_benefit"": 127.42, ""partial_surrender"": 994.7, ""payout_death_claim_payment"": 5127.42, ""reinstatement_clearing"": 994.7, ""reversal"": 710.5, ""unapplied_intraco"": 994.7}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2025-09-10 00:00:00
9010786240C,9010786240,AVAILABLE_MATCH,N,10500.0,10500.0,0.0,1,2,11099.16,3,0.0,599.16,2,PARTIAL_SURRENDER,599.16,8,"{""clearing_death"": 10500.0, ""partial_surrender"": 599.16, ""payout_death_claim_payment"": 10500.0, ""reinstatement_clearing"": 599.16, ""unapplied_intraco"": 599.16}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2019-06-07 00:00:00
9010786243C,9010786243,AVAILABLE_MATCH,N,21899.8,21899.8,0.0,1,2,21899.8,2,0.0,0.0,0,,0.0,3,"{""clearing_death"": 21899.8, ""payout_death_claim_payment"": 21899.8}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,165901,2020-08-25 00:00:00
9010786312C,9010786312,AVAILABLE_MATCH,N,14961.58,14961.58,0.0,1,2,16753.42,8,0.0,1791.84,6,PARTIAL_SURRENDER,1791.84,21,"{""clearing_death"": 14961.58, ""partial_surrender"": 1791.84, ""payout_death_claim_payment"": 14961.58, ""reinstatement_clearing"": 1791.84, ""unapplied_intraco"": 1791.84}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2023-08-16 00:00:00
9010786490C,9010786490,AVAILABLE_MATCH,N,19667.67,19667.67,0.0,1,2,20355.73,2,0.0,688.06,1,PARTIAL_SURRENDER,688.06,5,"{""clearing_death"": 19667.67, ""partial_surrender"": 688.06, ""payout_death_claim_payment"": 19667.67, ""reinstatement_clearing"": 688.06, ""unapplied_intraco"": 688.06}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2018-11-28 00:00:00
9010786562C,9010786562,MISSING_ERIC_SUPPLY,N,16741.81,0.0,0.0,0,,0.0,0,16741.81,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164402,2017-07-27 00:00:00
9010786824C,9010786824,AVAILABLE_MATCH,N,25546.19,25546.19,0.0,1,2,0.0,0,0.0,-25546.19,0,,0.0,51,"{""clearing_death"": 25118.83, ""interest_death_benefit"": 427.36, ""payout_death_claim_payment"": 25546.19, ""unclassified"": 1329.24}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,155902,2021-09-27 00:00:00
9010786878C,9010786878,AVAILABLE_MATCH,N,13826.04,13826.04,0.0,1,2,13826.04,2,0.0,0.0,0,,0.0,61,"{""clearing_death"": 13826.04, ""payout_death_claim_payment"": 13826.04, ""unapplied_intraco"": 3318.0}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2025-01-13 00:00:00
9010786886C,9010786886,AVAILABLE_MATCH,N,17030.96,17030.96,0.0,1,2,0.0,0,0.0,-17030.96,0,,0.0,16,"{""clearing_death"": 17030.96, ""payout_death_claim_payment"": 17030.96, ""unapplied_intraco"": 2041.92}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2021-08-16 00:00:00
9010786975C,9010786975,MISSING_ERIC_SUPPLY,N,7969.59,0.0,0.0,0,,0.0,0,7969.59,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164401,2017-07-19 00:00:00
9010787147C,9010787147,AVAILABLE_MATCH,N,28644.09,28644.09,0.0,1,2,31522.59,11,0.0,2878.5,6,PARTIAL_SURRENDER,2878.5,34,"{""clearing_death"": 28441.67, ""interest_death_benefit"": 202.42, ""partial_surrender"": 2878.5, ""payout_death_claim_payment"": 28644.09, ""payout_related"": 84.44, ""reinstatement_clearing"": 2878.5, ""unapplied_intraco"": 2962.94, ""unclassified"": 295.54}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,155902,2024-04-17 00:00:00
9010787390C,9010787390,AVAILABLE_MATCH,N,40058.84,40058.84,0.0,1,2,40058.84,2,0.0,0.0,0,,0.0,11,"{""clearing_death"": 40058.84, ""payout_death_claim_payment"": 40058.84, ""unclassified"": 650.37}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,155801,2018-08-06 00:00:00
9010787511C,9010787511,AVAILABLE_MATCH,N,31832.34,31832.34,0.0,1,2,0.0,0,0.0,-31832.34,0,,0.0,83,"{""clearing_death"": 31832.34, ""payout_death_claim_payment"": 31832.34, ""unclassified"": 3044.34}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,155901,2024-07-31 00:00:00
9010788197C,9010788197,AVAILABLE_MATCH,N,25076.71,25076.71,0.0,1,2,25076.71,1,0.0,0.0,0,,0.0,45,"{""clearing_death"": 25076.71, ""payout_death_claim_payment"": 25076.71, ""unapplied_intraco"": 5369.7}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,155801,2023-05-22 00:00:00
9010788421C,9010788421,AVAILABLE_MATCH,N,8455.82,8455.82,0.0,1,2,8455.82,1,0.0,0.0,0,,0.0,10,"{""clearing_death"": 8455.82, ""payout_death_claim_payment"": 8455.82, ""unclassified"": 86.85}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2018-07-20 00:00:00
9010788428C,9010788428,MISSING_ERIC_SUPPLY,N,1213.93,0.0,0.0,0,,0.0,0,1213.93,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164402,2017-03-28 00:00:00
9010789095C,9010789095,AVAILABLE_MATCH,N,5000.0,5000.0,0.0,1,2,5710.5,6,0.0,710.5,5,PARTIAL_SURRENDER,710.5,17,"{""clearing_death"": 5000.0, ""partial_surrender"": 710.5, ""payout_death_claim_payment"": 5000.0, ""reinstatement_clearing"": 710.5, ""unapplied_intraco"": 710.5}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2022-06-01 00:00:00
9010789348C,9010789348,AVAILABLE_MATCH,N,8505.58,8505.58,0.0,1,2,9476.93,6,0.0,971.35,5,PARTIAL_SURRENDER,971.35,65,"{""clearing_death"": 8488.76, ""interest_death_benefit"": 16.82, ""partial_surrender"": 971.35, ""payout_death_claim_payment"": 8505.58, ""payout_related"": 47.34, ""reinstatement_clearing"": 971.35, ""unapplied_intraco"": 1018.69, ""unclassified"": 710.1}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2025-05-30 00:00:00
9010789351C,9010789351,AVAILABLE_MATCH,N,53331.73,53331.73,0.0,1,2,63198.23,8,0.0,9866.5,7,PARTIAL_SURRENDER,9866.5,24,"{""clearing_death"": 53243.31, ""interest_death_benefit"": 88.42, ""partial_surrender"": 9866.5, ""payout_death_claim_payment"": 53331.73, ""reinstatement_clearing"": 9866.5, ""unapplied_intraco"": 9866.5}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,155901,2025-03-24 00:00:00
9010789375C,9010789375,AVAILABLE_MATCH,N,6960.43,6960.43,0.0,1,2,6960.43,4,0.0,0.0,0,,0.0,12,"{""clearing_death"": 6960.43, ""payout_death_claim_payment"": 6960.43, ""unapplied_intraco"": 892.2}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2020-10-22 00:00:00
9010789384C,9010789384,AVAILABLE_MATCH,N,33462.29,33462.29,0.0,1,2,33462.29,1,0.0,0.0,0,,0.0,6,"{""clearing_death"": 33462.29, ""payout_death_claim_payment"": 33462.29, ""unclassified"": 181.65}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2018-04-23 00:00:00
9010789525C,9010789525,AVAILABLE_MATCH,N,14613.2,14613.2,0.0,1,2,14613.2,1,0.0,0.0,0,,0.0,63,"{""clearing_death"": 14613.2, ""payout_death_claim_payment"": 14613.2, ""unclassified"": 1417.8}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2023-01-26 00:00:00
9010789992C,9010789992,AVAILABLE_MATCH,N,25110.99,25110.99,0.0,1,2,25615.49,3,0.0,504.5,2,PARTIAL_SURRENDER,504.5,19,"{""clearing_death"": 25000.0, ""interest_death_benefit"": 110.99, ""partial_surrender"": 504.5, ""payout_death_claim_payment"": 25110.99, ""reinstatement_clearing"": 504.5, ""unapplied_intraco"": 3027.0}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,165901,2025-01-15 00:00:00
9010790013C,9010790013,MISSING_ERIC_SUPPLY,N,25308.13,0.0,0.0,0,,0.0,0,25308.13,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,566801,2017-08-08 00:00:00
9010790176C,9010790176,AVAILABLE_MATCH,N,20000.0,20000.0,0.0,1,2,23212.0,6,0.0,3212.0,5,PARTIAL_SURRENDER,3212.0,17,"{""clearing_death"": 20000.0, ""partial_surrender"": 3212.0, ""payout_death_claim_payment"": 20000.0, ""reinstatement_clearing"": 3212.0, ""unapplied_intraco"": 3212.0}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2024-04-10 00:00:00
9010790543C,9010790543,AVAILABLE_MATCH,N,29479.09,29479.09,0.0,1,2,0.0,0,0.0,-29479.09,0,,0.0,11,"{""clearing_death"": 29479.09, ""payout_death_claim_payment"": 29479.09, ""unapplied_intraco"": 4011.2}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2022-01-11 00:00:00
9010790755C,9010790755,AVAILABLE_MATCH,N,8177.72,8177.72,0.0,1,2,8177.72,4,0.0,0.0,0,,0.0,6,"{""clearing_death"": 7404.78, ""interest_death_benefit"": 772.94, ""payout_death_claim_payment"": 8177.72}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,165902,2024-02-29 00:00:00
9010790756C,9010790756,MISSING_ERIC_SUPPLY,N,6531.24,0.0,0.0,0,,0.0,0,6531.24,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,155901,2024-02-29 00:00:00
9010791078C,9010791078,AVAILABLE_MATCH,N,7638.55,7638.55,0.0,1,2,7638.55,1,0.0,0.0,0,,0.0,12,"{""clearing_death"": 7597.62, ""interest_death_benefit"": 40.93, ""payout_death_claim_payment"": 7638.55, ""unapplied_intraco"": 1189.6}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2022-02-10 00:00:00
9010791176C,9010791176,AVAILABLE_MATCH,N,12121.41,12121.41,0.0,1,2,12121.41,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 11912.23, ""interest_death_benefit"": 209.18, ""payout_death_claim_payment"": 12121.41}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2018-07-09 00:00:00
9010791461C,9010791461,MISSING_ERIC_SUPPLY,N,54935.64,0.0,0.0,0,,0.0,0,54935.64,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164402,2017-11-22 00:00:00
9010791462C,9010791462,AVAILABLE_MATCH,N,5000.0,5000.0,0.0,1,2,5000.0,1,0.0,0.0,0,,0.0,2,"{""clearing_death"": 5000.0, ""payout_death_claim_payment"": 5000.0}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2022-01-10 00:00:00
9010791466C,9010791466,AVAILABLE_MATCH,N,6300.0,6300.0,0.0,1,2,6300.0,1,0.0,0.0,0,,0.0,2,"{""clearing_death"": 6300.0, ""payout_death_claim_payment"": 6300.0}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2019-04-09 00:00:00
9010792038C,9010792038,AVAILABLE_MATCH,N,12421.63,12421.63,0.0,1,2,0.0,0,0.0,-12421.63,0,,0.0,6,"{""clearing_death"": 12391.23, ""interest_death_benefit"": 30.4, ""payout_death_claim_payment"": 12421.63, ""unapplied_intraco"": 526.4}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2018-05-25 00:00:00
9010792295C,9010792295,MISSING_ERIC_SUPPLY,N,9913.22,0.0,0.0,0,,0.0,0,9913.22,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164402,2017-08-07 00:00:00
9010792701C,9010792701,AVAILABLE_MATCH,N,10738.04,10738.04,0.0,1,2,0.0,0,0.0,-10738.04,0,,0.0,8,"{""clearing_death"": 10718.83, ""interest_death_benefit"": 19.21, ""payout_death_claim_payment"": 10738.04, ""unapplied_intraco"": 868.8}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2019-11-05 00:00:00
9010792997C,9010792997,AVAILABLE_MATCH,N,11500.0,11500.0,0.0,1,2,12677.32,5,0.0,1177.32,4,PARTIAL_SURRENDER,1177.32,14,"{""clearing_death"": 11500.0, ""partial_surrender"": 1177.32, ""payout_death_claim_payment"": 11500.0, ""reinstatement_clearing"": 1177.32, ""unapplied_intraco"": 1177.32}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2022-05-05 00:00:00
9010793137C,9010793137,MISSING_ERIC_SUPPLY,N,2915.42,0.0,0.0,0,,0.0,0,2915.42,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,164402,2018-09-27 00:00:00
9010793722C,9010793722,AVAILABLE_MATCH,N,14481.98,14481.98,0.0,1,2,14481.98,3,0.0,0.0,0,,0.0,53,"{""clearing_death"": 14481.98, ""payout_death_claim_payment"": 14481.98, ""unapplied_intraco"": 1332.48}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2020-01-09 00:00:00
9010793737C,9010793737,AVAILABLE_MATCH,N,11139.25,11139.25,0.0,1,2,11967.05,5,0.0,827.8,4,PARTIAL_SURRENDER,827.8,15,"{""clearing_death"": 11089.09, ""interest_death_benefit"": 50.16, ""partial_surrender"": 827.8, ""payout_death_claim_payment"": 11139.25, ""reinstatement_clearing"": 827.8, ""unapplied_intraco"": 827.8}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2021-07-26 00:00:00
9010794095C,9010794095,AVAILABLE_MATCH,N,16885.06,16885.06,0.0,1,2,16885.06,1,0.0,0.0,0,,0.0,136,"{""clearing_death"": 16885.06, ""payout_death_claim_payment"": 16885.06, ""unclassified"": 1559.56}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2022-10-18 00:00:00
9010794437C,9010794437,MISSING_ERIC_SUPPLY,N,50000.0,0.0,0.0,0,,0.0,0,50000.0,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,155901,2017-05-08 00:00:00
9010794518C,9010794518,AVAILABLE_MATCH,N,8135.51,8135.51,0.0,1,2,8453.76,2,0.0,318.25,1,PARTIAL_SURRENDER,318.25,5,"{""clearing_death"": 8135.51, ""partial_surrender"": 318.25, ""payout_death_claim_payment"": 8135.51, ""reinstatement_clearing"": 318.25, ""unapplied_intraco"": 318.25}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164401,2019-06-25 00:00:00
9010794520C,9010794520,AVAILABLE_MATCH,N,5016.0,5016.0,0.0,1,2,5187.05,3,0.0,171.05,1,PARTIAL_SURRENDER,171.05,6,"{""clearing_death"": 5016.0, ""partial_surrender"": 171.05, ""payout_death_claim_payment"": 5016.0, ""reinstatement_clearing"": 171.05, ""unapplied_intraco"": 171.05}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,164402,2018-07-20 00:00:00
9010794748C,9010794748,MISSING_ERIC_SUPPLY,N,25000.0,0.0,0.0,0,,0.0,0,25000.0,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,165902,2017-12-13 00:00:00
