mpolicy,event_role,effective_date,amount,debit_account,credit_account,debit_code,credit_code,date_reversed,rule_reason,policy_category,derived_amount
9011114950C,INCLUDED_ECO_CANDIDATE,20220125,4335.79,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4335.79
9011124666C,INCLUDED_ECO_CANDIDATE,20180517,3028.55,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3028.55
9011136476C,INCLUDED_ECO_CANDIDATE,20181108,1116.83,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,1116.83
9011139998C,INCLUDED_ECO_CANDIDATE,20201015,5000.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5000.00
9011141382C,INCLUDED_ECO_CANDIDATE,20240621,3760.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3760.00
9011142178C,INCLUDED_ECO_CANDIDATE,20180807,5164.3,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5165.88
9011142178C,INCLUDED_ECO_CANDIDATE,20180807,5165.88,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5165.88
9011142178C,LOOP_REISSUE_DATE_MARKER,20180914,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,5165.88
9011143630C,INCLUDED_ECO_CANDIDATE,20240126,3000.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3000.00
9011147930C,INCLUDED_ECO_CANDIDATE,20220708,5017.89,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5017.89
9011148847C,INCLUDED_ECO_CANDIDATE,20200118,4967.12,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4967.12
9011150801C,INCLUDED_ECO_CANDIDATE,20221230,5027.29,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5027.29
9011150973C,INCLUDED_ECO_CANDIDATE,20210601,5000.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5000.00
9011153243C,LOOP_REISSUE_DATE_MARKER,20200127,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9011154752C,INCLUDED_ECO_CANDIDATE,20200219,3642.14,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3642.14
9011154868C,LOOP_REISSUE_DATE_MARKER,20230314,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9011154868C,LOOP_REISSUE_DATE_MARKER,20230504,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9011154868C,LOOP_REISSUE_DATE_MARKER,20230508,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9011158069C,LOOP_REISSUE_DATE_MARKER,20220301,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9011161880C,INCLUDED_ECO_CANDIDATE,20210129,5025.35,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5025.35
9011175485C,LOOP_REISSUE_DATE_MARKER,20200417,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9011178455C,INCLUDED_ECO_CANDIDATE,20180227,8617.79,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,8617.79
9011180887C,INCLUDED_ECO_CANDIDATE,20220629,5026.16,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5027.06
9011180887C,INCLUDED_ECO_CANDIDATE,20220629,5027.06,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5027.06
9011180887C,LOOP_REISSUE_DATE_MARKER,20220815,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,5027.06
9011180907C,INCLUDED_ECO_CANDIDATE,20210510,5015.22,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5015.22
9011181080C,INCLUDED_ECO_CANDIDATE,20240708,1918.83,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,1918.83
9011182954C,INCLUDED_ECO_CANDIDATE,20210503,2611.97,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,2611.97
9011183532C,INCLUDED_ECO_CANDIDATE,20180702,5024.81,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5024.81
9011185059C,INCLUDED_ECO_CANDIDATE,20250721,16790.37,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,16790.37
9011187300C,INCLUDED_ECO_CANDIDATE,20190625,6913.03,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,6913.03
9011189754C,INCLUDED_ECO_CANDIDATE,20190218,4185.03,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4185.03
9011189786C,INCLUDED_ECO_CANDIDATE,20200223,7032.33,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,7032.33
9011189786C,INCLUDED_ECO_CANDIDATE,20200424,7032.33,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,7032.33
9011189855C,INCLUDED_ECO_CANDIDATE,20190903,5008.76,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5008.76
9011190411C,INCLUDED_ECO_CANDIDATE,20200910,5021.72,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5021.72
9011191392C,INCLUDED_ECO_CANDIDATE,20230828,5008.19,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5008.19
9011191513C,INCLUDED_ECO_CANDIDATE,20180410,1400.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,2060.34
9011191513C,INCLUDED_ECO_CANDIDATE,20180410,660.34,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,2060.34
9011193674C,LOOP_REISSUE_DATE_MARKER,20191203,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9011194070C,INCLUDED_ECO_CANDIDATE,20220224,5022.34,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5022.34
9011194752C,INCLUDED_ECO_CANDIDATE,20180730,3023.21,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3025.62
9011194752C,INCLUDED_ECO_CANDIDATE,20180730,3000.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3025.62
9011194752C,INCLUDED_ECO_CANDIDATE,20180730,25.62,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3025.62
9011194752C,LOOP_REISSUE_DATE_MARKER,20180911,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,3025.62
9011194768C,INCLUDED_ECO_CANDIDATE,20210415,45216.44,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,45216.44
9011195093C,INCLUDED_ECO_CANDIDATE,20201202,5025.5,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5025.50
9011195486C,INCLUDED_ECO_CANDIDATE,20181117,4067.21,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4067.21
9011195599C,INCLUDED_ECO_CANDIDATE,20200507,10000.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10000.00
9011196134C,INCLUDED_ECO_CANDIDATE,20200314,25654.52,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,76963.55
9011196134C,INCLUDED_ECO_CANDIDATE,20200314,25654.52,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,76963.55
9011196134C,INCLUDED_ECO_CANDIDATE,20200314,25654.51,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,76963.55
9011196569C,INCLUDED_ECO_CANDIDATE,20180614,5017.68,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5017.68
9011197062C,INCLUDED_ECO_CANDIDATE,20200218,5027.91,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5027.91
9011197715C,INCLUDED_ECO_CANDIDATE,20201207,9411.61,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9411.61
9011198540C,INCLUDED_ECO_CANDIDATE,20220625,5000.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5000.00
9011202381C,INCLUDED_ECO_CANDIDATE,20200514,1520.65,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3041.31
9011202381C,INCLUDED_ECO_CANDIDATE,20200514,1520.66,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3041.31
9011203904C,INCLUDED_ECO_CANDIDATE,20250216,5011.27,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5011.27
9011205919C,INCLUDED_ECO_CANDIDATE,20190601,7555.09,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,7555.09
9011209262C,INCLUDED_ECO_CANDIDATE,20191122,7681.39,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,7681.39
9011209469C,INCLUDED_ECO_CANDIDATE,20190417,14454.37,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,28908.74
9011209469C,INCLUDED_ECO_CANDIDATE,20190417,14454.37,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,28908.74
9011210149C,INCLUDED_ECO_CANDIDATE,20200623,23938.07,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,23938.07
9011217617C,INCLUDED_ECO_CANDIDATE,20211027,6066.91,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,6066.91
9011235627C,INCLUDED_ECO_CANDIDATE,20180217,12155.58,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,12155.58
9011244378C,INCLUDED_ECO_CANDIDATE,20230118,29591.33,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,29591.33
9011246246C,INCLUDED_ECO_CANDIDATE,20221227,8483.41,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,8557.29
9011246246C,INCLUDED_ECO_CANDIDATE,20221227,8557.29,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,8557.29
9011246246C,LOOP_REISSUE_DATE_MARKER,20230322,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,8557.29
9011253007C,INCLUDED_ECO_CANDIDATE,20180509,1960.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9800.65
9011253007C,INCLUDED_ECO_CANDIDATE,20180509,1960.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9800.65
9011253007C,INCLUDED_ECO_CANDIDATE,20180509,1960.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9800.65
9011253007C,INCLUDED_ECO_CANDIDATE,20180509,1960.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9800.65
9011253007C,INCLUDED_ECO_CANDIDATE,20180509,1960.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9800.65
9011257022C,INCLUDED_ECO_CANDIDATE,20200526,8821.6,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11415.05
9011257022C,INCLUDED_ECO_CANDIDATE,20200526,1296.73,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11415.05
9011257022C,INCLUDED_ECO_CANDIDATE,20200526,1296.72,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11415.05
9011257043C,INCLUDED_ECO_CANDIDATE,20201115,9684.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9684.13
9011259940C,INCLUDED_ECO_CANDIDATE,20190711,5019.5,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5019.50
9011261538C,INCLUDED_ECO_CANDIDATE,20180602,5029.73,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5036.19
9011261538C,INCLUDED_ECO_CANDIDATE,20180602,5036.19,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5036.19
9011261538C,LOOP_REISSUE_DATE_MARKER,20180724,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,5036.19
9011261538C,LOOP_REISSUE_DATE_MARKER,20180913,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,5036.19
9011261538C,LOOP_REISSUE_DATE_MARKER,20181226,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,5036.19
9011262631C,INCLUDED_ECO_CANDIDATE,20201126,7484.1,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11746.31
9011262631C,INCLUDED_ECO_CANDIDATE,20201126,4262.21,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11746.31
9011268907C,INCLUDED_ECO_CANDIDATE,20190706,5047.61,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5047.61
9011273881C,INCLUDED_ECO_CANDIDATE,20250202,8605.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11505.55
9011273881C,INCLUDED_ECO_CANDIDATE,20250202,2900.42,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11505.55
9011273882C,INCLUDED_ECO_CANDIDATE,20230413,6700.42,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11580.89
9011273882C,INCLUDED_ECO_CANDIDATE,20230413,4880.47,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11580.89
9015000171C,INCLUDED_ECO_CANDIDATE,20210810,3450.89,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3450.89
9015000181C,INCLUDED_ECO_CANDIDATE,20191005,4213.73,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4213.73
