MPOLICY,MDEP_BEFORE,MDEP_AFTER,MINTYTD_BEFORE,MINTYTD_AFTER,MINTDATE_BEFORE,MINTDATE_AFTER,MDEPINT
010477512C,0.0,0.0,0.0,0.0,,,4.00
010477513C,0.0,0.0,0.0,0.0,,,4.00
010477989C,0.0,0.0,0.0,0.0,,,4.00
010478048C,0.0,0.0,0.0,0.0,,,4.00
010478213C,0.0,0.0,0.0,0.0,,,4.00
010478214C,0.0,0.0,0.0,0.0,,,4.00
010478259C,0.0,0.0,0.0,0.0,,,4.00
010478260C,0.0,0.0,0.0,0.0,,,4.00
010478285C,0.0,0.0,0.0,0.0,,,4.00
010478574C,0.0,0.0,0.0,0.0,,,4.00
010478890C,0.0,0.0,0.0,0.0,,,4.00
010479749C,0.0,0.0,0.0,0.0,,,4.00
010480683C,0.0,0.0,0.0,0.0,,,4.00
010481459C,0.0,6093.5,0.0,0.0,,20251231,4.00
010483380C,0.0,0.0,0.0,0.0,,,4.00
010483386C,0.0,0.0,0.0,0.0,,,4.00
010484578C,0.0,0.0,0.0,0.0,,,4.00
010484821C,0.0,0.0,0.0,0.0,,,4.00
010484864C,0.0,0.0,0.0,0.0,,,4.00
010486919C,0.0,0.0,0.0,0.0,,,4.00
010486961C,0.0,0.0,0.0,0.0,,,4.00
010486964C,0.0,0.0,0.0,0.0,,,4.00
010487125C,0.0,0.0,0.0,0.0,,,4.00
010487396C,0.0,0.0,0.0,0.0,,,4.00
010487886C,0.0,0.0,0.0,0.0,,,4.00
010487888C,0.0,0.0,0.0,0.0,,,4.00
010488273C,0.0,0.0,0.0,0.0,,,4.00
010488274C,0.0,0.0,0.0,0.0,,,4.00
010488878C,0.0,0.0,0.0,0.0,,,4.00
010489508C,0.0,0.0,0.0,0.0,,,4.00
010491000C,0.0,0.0,0.0,0.0,,,4.00
010492604C,0.0,4493.23,0.0,0.0,,20251231,4.00
010494171C,0.0,0.0,0.0,0.0,,,4.00
010494229C,0.0,608.16,0.0,0.0,,20210611,4.00
010495113C,0.0,3404.65,0.0,0.0,,20251231,4.00
010495120C,0.0,0.0,0.0,0.0,,,4.00
010495122C,0.0,0.0,0.0,0.0,,,4.00
010496486C,0.0,0.0,0.0,0.0,,,4.00
010497263C,0.0,0.0,0.0,0.0,,,4.00
010497264C,0.0,0.0,0.0,0.0,,,4.00
010497363C,0.0,0.0,0.0,0.0,,,4.00
010497768C,0.0,263.2,0.0,0.0,,20231231,4.00
010498153C,0.0,0.0,0.0,0.0,,,4.00
010498260C,0.0,0.0,0.0,0.0,,,4.00
010498617C,0.0,3151.02,0.0,0.0,,20230115,4.00
010499269C,0.0,0.0,0.0,0.0,,,4.00
010499349C,0.0,0.0,0.0,0.0,,,4.00
010499674C,0.0,0.0,0.0,0.0,,,4.00
010499702C,0.0,0.0,0.0,0.0,,,4.00
010500671C,0.0,0.0,0.0,0.0,,,4.00
010500769C,0.0,0.0,0.0,0.0,,,4.00
010501142C,0.0,0.0,0.0,0.0,,,4.00
010501466C,0.0,0.0,0.0,0.0,,,4.00
010501836C,0.0,0.0,0.0,0.0,,,4.00
010502776C,0.0,0.0,0.0,0.0,,,4.00
010502820C,0.0,0.0,0.0,0.0,,,4.00
010502995C,0.0,0.0,0.0,0.0,,,4.00
010502996C,0.0,0.0,0.0,0.0,,,4.00
010503391C,0.0,4788.64,0.0,12.62,,20260128,4.00
010503560C,0.0,0.0,0.0,0.0,,,4.00
010505294C,0.0,0.0,0.0,0.0,,,4.00
010505297C,0.0,0.0,0.0,0.0,,,4.00
010505481C,0.0,0.0,0.0,0.0,,,4.00
010505549C,0.0,0.0,0.0,0.0,,20221202,4.00
010506408C,0.0,0.0,0.0,0.0,,,4.00
010506497C,0.0,0.0,0.0,0.0,,,4.00
010506789C,0.0,0.0,0.0,0.0,,,4.00
010506832C,0.0,0.0,0.0,0.0,,,4.00
010507004C,0.0,3193.36,0.0,29.96,,20260410,4.00
010507005C,0.0,1240.38,0.0,11.64,,20260410,4.00
010507705C,0.0,0.0,0.0,0.0,,,4.00
010510553C,0.0,0.0,0.0,0.0,,,4.00
010510671C,0.0,0.0,0.0,0.0,,20220621,4.00
010510979C,0.0,0.0,0.0,0.0,,,4.00
010511203C,0.0,5213.61,0.0,0.0,,20251231,4.00
010511240C,0.0,0.0,0.0,0.0,,,4.00
010511355C,0.0,0.0,0.0,0.0,,,4.00
010511795C,0.0,0.0,0.0,0.0,,,4.00
010512061C,0.0,0.0,0.0,0.0,,,4.00
010513607C,0.0,0.0,0.0,0.0,,,4.00
010513627C,0.0,0.0,0.0,0.0,,,4.00
010513711C,0.0,0.0,0.0,0.0,,,4.00
010513712C,0.0,0.0,0.0,0.0,,,4.00
010513848C,0.0,11089.82,0.0,0.0,,20251231,4.00
010513849C,0.0,5749.01,0.0,0.0,,20251231,4.00
010514051C,0.0,4048.89,0.0,0.0,,20241117,4.00
010514052C,0.0,0.0,0.0,0.0,,,4.00
010515598C,0.0,0.0,0.0,0.0,,,4.00
010516211C,0.0,0.0,0.0,0.0,,,4.00
010516466C,0.0,0.0,0.0,0.0,,,4.00
010517231C,0.0,0.0,0.0,0.0,,,4.00
010518048C,0.0,0.0,0.0,0.0,,,4.00
010518049C,0.0,0.0,0.0,0.0,,,4.00
010518050C,0.0,0.0,0.0,0.0,,,4.00
010518051C,0.0,0.0,0.0,0.0,,,4.00
010518545C,0.0,0.0,0.0,0.0,,,4.00
010520217C,0.0,0.0,0.0,0.0,,,4.00
010520451C,0.0,1475.58,0.0,0.0,,20251231,4.00
010521160C,0.0,1870.49,0.0,0.0,,20230107,4.00
010521213C,0.0,0.0,0.0,0.0,,,4.00
010521651C,0.0,0.0,0.0,0.0,,,4.00
010521756C,0.0,0.0,0.0,0.0,,,4.00
010523058C,0.0,0.0,0.0,0.0,,,4.00
010523097C,0.0,7217.65,0.0,24.45,,20260205,4.00
010524029C,0.0,0.0,0.0,0.0,,,4.00
010524282C,0.0,0.0,0.0,0.0,,,4.00
010525250C,0.0,0.0,0.0,0.0,,,4.00
010526232C,0.0,0.0,0.0,0.0,,,4.00
010526522C,0.0,0.0,0.0,0.0,,,4.00
010526524C,0.0,0.0,0.0,0.0,,,4.00
010526526C,0.0,0.0,0.0,0.0,,,4.00
010527102C,0.0,0.0,0.0,0.0,,,4.00
010527103C,0.0,0.0,0.0,0.0,,,4.00
010527336C,0.0,651.46,0.0,5.75,,20260404,4.00
010529613C,0.0,0.0,0.0,0.0,,,4.00
010529973C,0.0,0.0,0.0,0.0,,,4.00
010529993C,0.0,0.0,0.0,0.0,,,4.00
010530033C,0.0,0.0,0.0,0.0,,,4.00
010532612C,0.0,0.0,0.0,0.0,,,4.00
010538650C,0.0,0.0,0.0,0.0,,,4.00
010539198C,0.0,0.0,0.0,0.0,,,4.00
010540774C,0.0,0.0,0.0,0.0,,,4.00
010540781C,0.0,0.0,0.0,0.0,,,4.00
010541669C,0.0,0.0,0.0,0.0,,,4.00
010542288C,0.0,10427.22,0.0,0.0,,20251231,4.00
010543558C,0.0,0.0,0.0,0.0,,,4.00
010543559C,0.0,0.0,0.0,0.0,,,4.00
010544182C,0.0,0.0,0.0,0.0,,,4.00
010544183C,0.0,1900.26,0.0,0.0,,20251231,4.00
010545196C,0.0,0.0,0.0,0.0,,,4.00
010545623C,0.0,0.0,0.0,0.0,,,4.00
010546961C,0.0,0.0,0.0,0.0,,,4.00
010546964C,0.0,0.0,0.0,0.0,,,4.00
010547021C,0.0,0.0,0.0,0.0,,,4.00
010547488C,0.0,0.0,0.0,0.0,,,4.00
010547892C,0.0,0.0,0.0,0.0,,,4.00
010548366C,0.0,0.0,0.0,0.0,,,4.00
010549966C,0.0,0.0,0.0,0.0,,20200828,4.00
010550088C,0.0,0.0,0.0,0.0,,,4.00
010550564C,0.0,0.0,0.0,0.0,,,4.00
010552856C,0.0,0.0,0.0,0.0,,,4.00
010555054C,0.0,0.0,0.0,0.0,,,4.00
010555714C,0.0,2515.41,0.0,0.0,,20251231,4.00
010556634C,0.0,0.0,0.0,0.0,,,4.00
010556736C,0.0,0.0,0.0,0.0,,,4.00
010557142C,0.0,0.0,0.0,0.0,,,4.00
010559537C,0.0,0.0,0.0,0.0,,,4.00
010560185C,0.0,0.0,0.0,0.0,,,4.00
010564241C,0.0,0.0,0.0,0.0,,,4.00
010565013C,0.0,0.0,0.0,0.0,,,4.00
010567983C,0.0,0.0,0.0,0.0,,,4.00
010576755C,0.0,0.0,0.0,0.0,,,4.00
010578323C,0.0,0.0,0.0,0.0,,,4.00
010578820C,0.0,0.0,0.0,0.0,,,4.00
010580464C,0.0,0.0,0.0,0.0,,,4.00
010580685C,0.0,0.0,0.0,0.0,,,4.00
010581795C,0.0,0.0,0.0,0.0,,,4.00
010583923C,0.0,0.0,0.0,0.0,,,4.00
010586005C,0.0,0.0,0.0,0.0,,,4.00
010590419C,0.0,0.0,0.0,0.0,,,4.00
010591112C,0.0,0.0,0.0,0.0,,,4.00
010598049C,0.0,0.0,0.0,0.0,,,4.00
010598050C,0.0,0.0,0.0,0.0,,,4.00
010607249C,0.0,0.0,0.0,0.0,,,4.00
010615191C,0.0,0.0,0.0,0.0,,,4.00
010615192C,0.0,0.0,0.0,0.0,,,4.00
010639996C,0.0,0.0,0.0,0.0,,,4.00
010653595C,0.0,1023.69,0.0,0.0,,20221006,4.00
010653596C,0.0,1015.93,0.0,0.0,,20221006,4.00
010713704C,0.0,0.0,0.0,0.0,,,4.50
010713705C,0.0,0.0,0.0,0.0,,,4.50
010713707C,0.0,0.0,0.0,0.0,,,4.50
010715467C,0.0,0.0,0.0,0.0,,,4.50
010716973C,0.0,0.0,0.0,0.0,,,4.50
010716974C,0.0,0.0,0.0,0.0,,,4.50
010717034C,0.0,0.0,0.0,0.0,,,4.50
010717447C,0.0,0.0,0.0,0.0,,,4.50
010718276C,0.0,0.0,0.0,0.0,,,4.50
010718277C,0.0,0.0,0.0,0.0,,,4.50
010718278C,0.0,0.0,0.0,0.0,,,4.50
010718309C,0.0,0.0,0.0,0.0,,,4.50
010718495C,0.0,0.0,0.0,0.0,,,4.50
010719553C,0.0,0.0,0.0,0.0,,,4.50
010719815C,0.0,0.0,0.0,0.0,,,4.50
010720088C,0.0,0.0,0.0,0.0,,,4.50
010720759C,0.0,0.0,0.0,0.0,,,4.50
010721848C,0.0,0.0,0.0,0.0,,,4.50
010721849C,0.0,0.0,0.0,0.0,,,4.50
010722345C,0.0,0.0,0.0,0.0,,,4.50
010722516C,0.0,0.0,0.0,0.0,,,4.50
010722550C,0.0,0.0,0.0,0.0,,,4.50
010722734C,0.0,0.0,0.0,0.0,,,4.50
010723386C,0.0,0.0,0.0,0.0,,,4.50
010723387C,0.0,0.0,0.0,0.0,,,4.50
010723388C,0.0,0.0,0.0,0.0,,,4.50
010723523C,0.0,0.0,0.0,0.0,,,4.50
010723524C,0.0,0.0,0.0,0.0,,,4.50
010724403C,0.0,0.0,0.0,0.0,,,4.50
010724510C,0.0,0.0,0.0,0.0,,,4.50
010725643C,0.0,0.0,0.0,0.0,,,4.50
010726104C,0.0,0.0,0.0,0.0,,,4.50
010726317C,0.0,0.0,0.0,0.0,,,4.50
010726318C,0.0,0.0,0.0,0.0,,,4.50
010726319C,0.0,0.0,0.0,0.0,,,4.50
010726922C,0.0,0.0,0.0,0.0,,,4.50
010728696C,0.0,0.0,0.0,0.0,,,4.50
010728947C,0.0,1875.38,0.0,0.0,,20251231,4.00
010729500C,0.0,0.0,0.0,0.0,,,4.50
010729999C,0.0,0.0,0.0,0.0,,,4.50
010730145C,0.0,0.0,0.0,0.0,,,4.50
010730647C,0.0,0.0,0.0,0.0,,,4.50
010730780C,0.0,0.0,0.0,0.0,,,4.50
010731277C,0.0,0.0,0.0,0.0,,,4.50
010731278C,0.0,0.0,0.0,0.0,,,4.50
010731296C,0.0,0.0,0.0,0.0,,,4.50
010731608C,0.0,0.0,0.0,0.0,,,4.50
010731970C,0.0,0.0,0.0,0.0,,,4.50
010732078C,0.0,0.0,0.0,0.0,,,4.50
010732270C,0.0,0.0,0.0,0.0,,,4.50
010732271C,0.0,0.0,0.0,0.0,,,4.50
010732276C,0.0,0.0,0.0,0.0,,,4.50
010732278C,0.0,0.0,0.0,0.0,,,4.50
010732280C,0.0,0.0,0.0,0.0,,,4.50
010732281C,0.0,0.0,0.0,0.0,,,4.50
010732975C,0.0,0.0,0.0,0.0,,,4.50
010733162C,0.0,0.0,0.0,0.0,,,4.50
010733472C,0.0,0.0,0.0,0.0,,,4.50
010733564C,0.0,0.0,0.0,0.0,,,4.50
010733665C,0.0,0.0,0.0,0.0,,,4.50
010734462C,0.0,0.0,0.0,0.0,,,4.50
010734951C,0.0,0.0,0.0,0.0,,,4.50
010734954C,0.0,0.0,0.0,0.0,,,4.50
010735160C,0.0,0.0,0.0,0.0,,,4.50
010735585C,0.0,0.0,0.0,0.0,,,4.50
010735611C,0.0,0.0,0.0,0.0,,,4.50
010735781C,0.0,0.0,0.0,0.0,,,4.50
010735918C,0.0,0.0,0.0,0.0,,,4.50
010736035C,0.0,0.0,0.0,0.0,,,4.50
010736036C,0.0,0.0,0.0,0.0,,,4.50
010736283C,0.0,0.0,0.0,0.0,,,4.50
010736643C,0.0,0.0,0.0,0.0,,,4.50
010736702C,0.0,0.0,0.0,0.0,,,4.50
010736703C,0.0,0.0,0.0,0.0,,,4.50
010736736C,0.0,0.0,0.0,0.0,,,4.50
010736738C,0.0,0.0,0.0,0.0,,,4.50
010736935C,0.0,0.0,0.0,0.0,,,4.50
010737378C,0.0,0.0,0.0,0.0,,,4.50
010737417C,0.0,0.0,0.0,0.0,,,4.50
010737619C,0.0,0.0,0.0,0.0,,,4.50
010738161C,0.0,0.0,0.0,0.0,,,4.50
010738207C,0.0,0.0,0.0,0.0,,,4.50
010738539C,0.0,0.0,0.0,0.0,,,4.50
010738672C,0.0,0.0,0.0,0.0,,,4.50
010738751C,0.0,0.0,0.0,0.0,,,4.50
010738752C,0.0,0.0,0.0,0.0,,,4.50
010738753C,0.0,0.0,0.0,0.0,,,4.50
010738936C,0.0,0.0,0.0,0.0,,,4.50
010739212C,0.0,0.0,0.0,0.0,,,4.50
010739794C,0.0,0.0,0.0,0.0,,,4.50
010739795C,0.0,0.0,0.0,0.0,,,4.50
010739886C,0.0,0.0,0.0,0.0,,,4.50
010739887C,0.0,0.0,0.0,0.0,,,4.50
010740132C,0.0,0.0,0.0,0.0,,,4.50
010740836C,0.0,0.0,0.0,0.0,,,4.50
010740877C,0.0,0.0,0.0,0.0,,,4.50
010741231C,0.0,0.0,0.0,0.0,,,4.50
010741232C,0.0,0.0,0.0,0.0,,,4.50
010741234C,0.0,0.0,0.0,0.0,,,4.50
010741302C,0.0,0.0,0.0,0.0,,,4.50
010741334C,0.0,0.0,0.0,0.0,,,4.50
010741943C,0.0,0.0,0.0,0.0,,,4.50
010742224C,0.0,0.0,0.0,0.0,,,4.50
010742225C,0.0,0.0,0.0,0.0,,,4.50
010742814C,0.0,0.0,0.0,0.0,,,4.50
010743074C,0.0,0.0,0.0,0.0,,,4.50
010743082C,0.0,0.0,0.0,0.0,,,4.50
010743395C,0.0,0.0,0.0,0.0,,,4.50
010743638C,0.0,0.0,0.0,0.0,,,4.50
010743832C,0.0,0.0,0.0,0.0,,,4.50
010744223C,0.0,0.0,0.0,0.0,,,4.50
010744412C,0.0,0.0,0.0,0.0,,,4.50
010744489C,0.0,0.0,0.0,0.0,,,4.50
010744818C,0.0,0.0,0.0,0.0,,,4.50
010745169C,0.0,0.0,0.0,0.0,,,4.50
010745344C,0.0,0.0,0.0,0.0,,,4.50
010745456C,0.0,0.0,0.0,0.0,,,4.50
010745640C,0.0,0.0,0.0,0.0,,,4.50
010745749C,0.0,0.0,0.0,0.0,,,4.50
010745750C,0.0,0.0,0.0,0.0,,,4.50
010745751C,0.0,0.0,0.0,0.0,,,4.50
010745752C,0.0,0.0,0.0,0.0,,,4.50
010745811C,0.0,0.0,0.0,0.0,,,4.50
010746005C,0.0,0.0,0.0,0.0,,,4.50
010746173C,0.0,0.0,0.0,0.0,,,4.50
010746424C,0.0,0.0,0.0,0.0,,,4.50
010746498C,0.0,0.0,0.0,0.0,,,4.50
010746670C,0.0,0.0,0.0,0.0,,,4.50
010746844C,0.0,0.0,0.0,0.0,,,4.50
010746846C,0.0,0.0,0.0,0.0,,,4.50
010747013C,0.0,0.0,0.0,0.0,,,4.50
010747186C,0.0,0.0,0.0,0.0,,,4.50
010747241C,0.0,0.0,0.0,0.0,,,4.50
010747243C,0.0,0.0,0.0,0.0,,,4.50
010747320C,0.0,0.0,0.0,0.0,,,4.50
010747437C,0.0,0.0,0.0,0.0,,,4.50
010747438C,0.0,0.0,0.0,0.0,,,4.50
010747636C,0.0,0.0,0.0,0.0,,,4.50
010747875C,0.0,0.0,0.0,0.0,,,4.50
010747876C,0.0,0.0,0.0,0.0,,,4.50
010748070C,0.0,0.0,0.0,0.0,,,4.50
010748073C,0.0,0.0,0.0,0.0,,,4.50
010748253C,0.0,0.0,0.0,0.0,,,4.50
010748300C,0.0,0.0,0.0,0.0,,,4.50
010748334C,0.0,0.0,0.0,0.0,,,4.50
010748335C,0.0,0.0,0.0,0.0,,,4.50
010748404C,0.0,0.0,0.0,0.0,,,4.50
010748432C,0.0,0.0,0.0,0.0,,,4.50
010748517C,0.0,0.0,0.0,0.0,,,4.50
010748556C,0.0,0.0,0.0,0.0,,,4.50
010749038C,0.0,0.0,0.0,0.0,,,4.50
010749041C,0.0,0.0,0.0,0.0,,,4.50
010749042C,0.0,0.0,0.0,0.0,,,4.50
010749053C,0.0,0.0,0.0,0.0,,,4.50
010749054C,0.0,0.0,0.0,0.0,,,4.50
010749401C,0.0,0.0,0.0,0.0,,,4.50
010749459C,0.0,0.0,0.0,0.0,,,4.50
010749463C,0.0,0.0,0.0,0.0,,,4.50
010749628C,0.0,0.0,0.0,0.0,,,4.50
010749842C,0.0,0.0,0.0,0.0,,,4.50
010749843C,0.0,0.0,0.0,0.0,,,4.50
010749849C,0.0,0.0,0.0,0.0,,,4.50
010749906C,0.0,0.0,0.0,0.0,,,4.50
010749907C,0.0,0.0,0.0,0.0,,,4.50
010749942C,0.0,0.0,0.0,0.0,,,4.50
010749968C,0.0,0.0,0.0,0.0,,,4.50
010750265C,0.0,0.0,0.0,0.0,,,4.50
010750754C,0.0,0.0,0.0,0.0,,,4.50
010750755C,0.0,0.0,0.0,0.0,,,4.50
010750812C,0.0,0.0,0.0,0.0,,,4.50
010750813C,0.0,0.0,0.0,0.0,,,4.50
010751057C,0.0,0.0,0.0,0.0,,,4.50
010751933C,0.0,0.0,0.0,0.0,,,4.50
010751934C,0.0,0.0,0.0,0.0,,,4.50
010751937C,0.0,0.0,0.0,0.0,,,4.50
010752132C,0.0,0.0,0.0,0.0,,,4.50
010752133C,0.0,0.0,0.0,0.0,,,4.50
010752138C,0.0,0.0,0.0,0.0,,,4.50
010752477C,0.0,0.0,0.0,0.0,,,4.50
010752513C,0.0,0.0,0.0,0.0,,,4.50
010752580C,0.0,0.0,0.0,0.0,,,4.50
010752698C,0.0,0.0,0.0,0.0,,,4.50
010752699C,0.0,0.0,0.0,0.0,,,4.50
010752702C,0.0,0.0,0.0,0.0,,,4.50
010752703C,0.0,0.0,0.0,0.0,,,4.50
010752831C,0.0,0.0,0.0,0.0,,,4.50
010753311C,0.0,0.0,0.0,0.0,,,4.50
010753409C,0.0,0.0,0.0,0.0,,,4.50
010753675C,0.0,0.0,0.0,0.0,,,4.50
010753676C,0.0,0.0,0.0,0.0,,,4.50
010753687C,0.0,0.0,0.0,0.0,,,4.50
010754231C,0.0,0.0,0.0,0.0,,,4.50
010754233C,0.0,0.0,0.0,0.0,,,4.50
010754235C,0.0,0.0,0.0,0.0,,,4.50
010754355C,0.0,0.0,0.0,0.0,,,4.50
010754359C,0.0,0.0,0.0,0.0,,,4.50
010754480C,0.0,0.0,0.0,0.0,,,4.50
010754485C,0.0,0.0,0.0,0.0,,,4.50
010754538C,0.0,0.0,0.0,0.0,,,4.50
010754539C,0.0,0.0,0.0,0.0,,,4.50
010754898C,0.0,0.0,0.0,0.0,,,4.50
010754964C,0.0,0.0,0.0,0.0,,,4.50
010755152C,0.0,0.0,0.0,0.0,,,4.50
010755271C,0.0,0.0,0.0,0.0,,,4.50
010755495C,0.0,0.0,0.0,0.0,,,4.50
010755885C,0.0,0.0,0.0,0.0,,,4.50
010756020C,0.0,0.0,0.0,0.0,,,4.50
010756024C,0.0,0.0,0.0,0.0,,,4.50
010756033C,0.0,0.0,0.0,0.0,,,4.50
010756034C,0.0,0.0,0.0,0.0,,,4.50
010756091C,0.0,0.0,0.0,0.0,,,4.50
010756212C,0.0,0.0,0.0,0.0,,,4.50
010756279C,0.0,0.0,0.0,0.0,,,4.50
010756442C,0.0,0.0,0.0,0.0,,,4.50
010756540C,0.0,0.0,0.0,0.0,,,4.50
010756833C,0.0,0.0,0.0,0.0,,,4.50
010756895C,0.0,0.0,0.0,0.0,,,4.50
010756906C,0.0,0.0,0.0,0.0,,,4.50
010756909C,0.0,0.0,0.0,0.0,,,4.50
010756916C,0.0,0.0,0.0,0.0,,,4.50
010756925C,0.0,0.0,0.0,0.0,,,4.50
010756926C,0.0,0.0,0.0,0.0,,,4.50
010756927C,0.0,0.0,0.0,0.0,,,4.50
010756928C,0.0,0.0,0.0,0.0,,,4.50
010756929C,0.0,0.0,0.0,0.0,,,4.50
010756931C,0.0,0.0,0.0,0.0,,,4.50
010756934C,0.0,0.0,0.0,0.0,,,4.50
010756936C,0.0,0.0,0.0,0.0,,,4.50
010756937C,0.0,0.0,0.0,0.0,,,4.50
010756938C,0.0,0.0,0.0,0.0,,,4.50
010756939C,0.0,0.0,0.0,0.0,,,4.50
010756940C,0.0,0.0,0.0,0.0,,,4.50
010756941C,0.0,0.0,0.0,0.0,,,4.50
010756972C,0.0,0.0,0.0,0.0,,,4.50
010757042C,0.0,0.0,0.0,0.0,,,4.50
010757071C,0.0,0.0,0.0,0.0,,,4.50
010757392C,0.0,0.0,0.0,0.0,,,4.50
010757508C,0.0,0.0,0.0,0.0,,,4.50
010757536C,0.0,0.0,0.0,0.0,,,4.50
010757538C,0.0,0.0,0.0,0.0,,,4.50
010757541C,0.0,0.0,0.0,0.0,,,4.50
010757542C,0.0,0.0,0.0,0.0,,,4.50
010757551C,0.0,0.0,0.0,0.0,,,4.50
010757553C,0.0,0.0,0.0,0.0,,,4.50
010757561C,0.0,0.0,0.0,0.0,,,4.50
010757606C,0.0,0.0,0.0,0.0,,,4.50
010757607C,0.0,0.0,0.0,0.0,,,4.50
010757801C,0.0,0.0,0.0,0.0,,,4.50
010757817C,0.0,0.0,0.0,0.0,,,4.50
010757826C,0.0,0.0,0.0,0.0,,,4.50
010757827C,0.0,0.0,0.0,0.0,,,4.50
010757840C,0.0,0.0,0.0,0.0,,,4.50
010758074C,0.0,0.0,0.0,0.0,,,4.50
010758447C,0.0,0.0,0.0,0.0,,,4.50
010758520C,0.0,0.0,0.0,0.0,,,4.50
010758538C,0.0,0.0,0.0,0.0,,,4.50
010758540C,0.0,0.0,0.0,0.0,,,4.50
010758549C,0.0,0.0,0.0,0.0,,,4.50
010758550C,0.0,0.0,0.0,0.0,,,4.50
010758573C,0.0,0.0,0.0,0.0,,,4.50
010758940C,0.0,0.0,0.0,0.0,,,4.50
010759008C,0.0,0.0,0.0,0.0,,,4.50
010759357C,0.0,0.0,0.0,0.0,,,4.50
010759385C,0.0,0.0,0.0,0.0,,,4.50
010759529C,0.0,0.0,0.0,0.0,,,4.50
010759530C,0.0,0.0,0.0,0.0,,,4.50
010759537C,0.0,0.0,0.0,0.0,,,4.50
010759541C,0.0,0.0,0.0,0.0,,,4.50
010759548C,0.0,0.0,0.0,0.0,,,4.50
010759550C,0.0,0.0,0.0,0.0,,,4.50
010759552C,0.0,0.0,0.0,0.0,,,4.50
010759555C,0.0,0.0,0.0,0.0,,,4.50
010759559C,0.0,0.0,0.0,0.0,,,4.50
010759705C,0.0,0.0,0.0,0.0,,,4.50
010759932C,0.0,0.0,0.0,0.0,,,4.50
010760069C,0.0,0.0,0.0,0.0,,,4.50
010760160C,0.0,0.0,0.0,0.0,,,4.50
010760294C,0.0,0.0,0.0,0.0,,,4.50
010760295C,0.0,0.0,0.0,0.0,,,4.50
010760296C,0.0,0.0,0.0,0.0,,,4.50
010760297C,0.0,0.0,0.0,0.0,,,4.50
010760298C,0.0,0.0,0.0,0.0,,,4.50
010760304C,0.0,0.0,0.0,0.0,,,4.50
010760306C,0.0,0.0,0.0,0.0,,,4.50
010760840C,0.0,0.0,0.0,0.0,,,4.50
010760851C,0.0,0.0,0.0,0.0,,,4.50
010760865C,0.0,0.0,0.0,0.0,,,4.50
010760872C,0.0,0.0,0.0,0.0,,,4.50
010760873C,0.0,0.0,0.0,0.0,,,4.50
010760874C,0.0,0.0,0.0,0.0,,,4.50
010760931C,0.0,0.0,0.0,0.0,,,4.50
010760942C,0.0,0.0,0.0,0.0,,,4.50
010760943C,0.0,0.0,0.0,0.0,,,4.50
010761092C,0.0,0.0,0.0,0.0,,,4.50
010761357C,0.0,0.0,0.0,0.0,,,4.50
010761450C,0.0,0.0,0.0,0.0,,,4.00
010761552C,0.0,0.0,0.0,0.0,,,4.50
010761554C,0.0,0.0,0.0,0.0,,,4.50
010761635C,0.0,0.0,0.0,0.0,,,4.50
010761639C,0.0,0.0,0.0,0.0,,,4.50
010761653C,0.0,0.0,0.0,0.0,,,4.50
010761672C,0.0,0.0,0.0,0.0,,,4.50
010761673C,0.0,0.0,0.0,0.0,,,4.50
010761674C,0.0,0.0,0.0,0.0,,,4.50
010761804C,0.0,0.0,0.0,0.0,,,4.50
010761870C,0.0,0.0,0.0,0.0,,,4.50
010761874C,0.0,0.0,0.0,0.0,,,4.50
010761882C,0.0,0.0,0.0,0.0,,,4.50
010761885C,0.0,0.0,0.0,0.0,,,4.50
010761913C,0.0,0.0,0.0,0.0,,,4.50
010761943C,0.0,0.0,0.0,0.0,,,4.50
010761965C,0.0,0.0,0.0,0.0,,,4.50
010761966C,0.0,0.0,0.0,0.0,,,4.50
010762047C,0.0,0.0,0.0,0.0,,,4.50
010762068C,0.0,0.0,0.0,0.0,,,4.50
010762076C,0.0,0.0,0.0,0.0,,,4.50
010762079C,0.0,0.0,0.0,0.0,,,4.50
010762319C,0.0,0.0,0.0,0.0,,,4.50
010762331C,0.0,0.0,0.0,0.0,,,4.50
010762332C,0.0,0.0,0.0,0.0,,,4.50
010762461C,0.0,0.0,0.0,0.0,,,4.00
010762558C,0.0,0.0,0.0,0.0,,,4.50
010762559C,0.0,0.0,0.0,0.0,,,4.50
010762560C,0.0,0.0,0.0,0.0,,,4.50
010762678C,0.0,0.0,0.0,0.0,,,4.50
010763006C,0.0,0.0,0.0,0.0,,,4.50
010763012C,0.0,0.0,0.0,0.0,,,4.50
010763063C,0.0,0.0,0.0,0.0,,,4.50
010763377C,0.0,0.0,0.0,0.0,,,4.50
010763378C,0.0,0.0,0.0,0.0,,,4.50
010763416C,0.0,0.0,0.0,0.0,,,4.50
010763450C,0.0,0.0,0.0,0.0,,,4.50
010764120C,0.0,0.0,0.0,0.0,,,4.50
010764121C,0.0,0.0,0.0,0.0,,,4.50
010764124C,0.0,0.0,0.0,0.0,,,4.50
010764158C,0.0,0.0,0.0,0.0,,,4.00
010764248C,0.0,0.0,0.0,0.0,,,4.00
010764250C,0.0,0.0,0.0,0.0,,,4.00
010764319C,0.0,0.0,0.0,0.0,,,4.50
010764321C,0.0,0.0,0.0,0.0,,,4.50
010764322C,0.0,0.0,0.0,0.0,,,4.50
010764339C,0.0,0.0,0.0,0.0,,,4.50
