prototype_claimnum,sequence_number,reconstructed_claim_id,derivation_candidate_id,enhanced_settlement_group_id,policy_number,claim_family,derivation_confidence,lineage_source
CLM0001527,1527,RC-9010787669-1-SURRENDER_CLAIM-C6-20240327,QDC-RC-9010787669-1-SURRENDER_CLAIM-C6-20240327,ESG-9010787669-RC-9010787669-1-SURRENDER_CLAIM-C6-20240327-SOLO,9010787669,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001528,1528,RC-9010787669-1-SURRENDER_CLAIM-C7-20250327,QDC-RC-9010787669-1-SURRENDER_CLAIM-C7-20250327,ESG-9010787669-RC-9010787669-1-SURRENDER_CLAIM-C7-20250327-SOLO,9010787669,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001529,1529,RC-9010787669-1-SURRENDER_CLAIM-C8-20260327,QDC-RC-9010787669-1-SURRENDER_CLAIM-C8-20260327,ESG-9010787669-RC-9010787669-1-SURRENDER_CLAIM-C8-20260327-SOLO,9010787669,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001530,1530,RC-9010788197-1-DEATH_CLAIM-C0-20230509,QDC-RC-9010788197-1-DEATH_CLAIM-C0-20230509,ESG-9010788197-RC-9010788197-1-DEATH_CLAIM-C0-20230509-SOLO,9010788197,DEATH_CLAIM,MODERATE_CONFIDENCE,phase10b_quikclms_derivation
CLM0001531,1531,RC-9010788421-1-DEATH_CLAIM-C0-20180304,QDC-RC-9010788421-1-DEATH_CLAIM-C0-20180304,ESG-9010788421-RC-9010788421-1-DEATH_CLAIM-C0-20180304-SOLO,9010788421,DEATH_CLAIM,MODERATE_CONFIDENCE,phase10b_quikclms_derivation
CLM0001532,1532,RC-9010788426-1-DISBURSEMENT_CLAIM-C0-20240404,QDC-RC-9010788426-1-DISBURSEMENT_CLAIM-C0-20240404,ESG-9010788426-RC-9010788426-1-DISBURSEMENT_CLAIM-C0-20240404-SOLO,9010788426,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001533,1533,RC-9010788426-2-SURRENDER_CLAIM-C0-20240403,QDC-RC-9010788426-2-SURRENDER_CLAIM-C0-20240403,ESG-9010788426-RC-9010788426-2-SURRENDER_CLAIM-C0-20240403-SOLO,9010788426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001534,1534,RC-9010789095-1-DEATH_CLAIM-C0-20220511,QDC-RC-9010789095-1-DEATH_CLAIM-C0-20220511,ESG-9010789095-RC-9010789095-1-DEATH_CLAIM-C0-20220511-SOLO,9010789095,DEATH_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001535,1535,RC-9010789348-1-DEATH_CLAIM-C0-20250516,QDC-RC-9010789348-1-DEATH_CLAIM-C0-20250516,ESG-9010789348-RC-9010789348-1-DEATH_CLAIM-C0-20250516-SOLO,9010789348,DEATH_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001536,1536,RC-9010789348-1-DISBURSEMENT_CLAIM-C0-20210716,QDC-RC-9010789348-1-DISBURSEMENT_CLAIM-C0-20210716,ESG-9010789348-RC-9010789348-1-DISBURSEMENT_CLAIM-C0-20210716-SOLO,9010789348,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001537,1537,RC-9010789351-1-DEATH_CLAIM-C0-20250228,QDC-RC-9010789351-1-DEATH_CLAIM-C0-20250228,ESG-9010789351-RC-9010789351-1-DEATH_CLAIM-C0-20250228-SOLO,9010789351,DEATH_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001538,1538,RC-9010789375-1-DEATH_CLAIM-C0-20200926,QDC-RC-9010789375-1-DEATH_CLAIM-C0-20200926,ESG-9010789375-RC-9010789375-1-DEATH_CLAIM-C0-20200926-SOLO,9010789375,DEATH_CLAIM,MODERATE_CONFIDENCE,phase10b_quikclms_derivation
CLM0001539,1539,RC-9010789384-1-DEATH_CLAIM-C0-20180328,QDC-RC-9010789384-1-DEATH_CLAIM-C0-20180328,ESG-9010789384-RC-9010789384-1-DEATH_CLAIM-C0-20180328-SOLO,9010789384,DEATH_CLAIM,MODERATE_CONFIDENCE,phase10b_quikclms_derivation
CLM0001540,1540,RC-9010789525-1-DEATH_CLAIM-C0-20221228,QDC-RC-9010789525-1-DEATH_CLAIM-C0-20221228,ESG-9010789525-RC-9010789525-1-DEATH_CLAIM-C0-20221228-SOLO,9010789525,DEATH_CLAIM,MODERATE_CONFIDENCE,phase10b_quikclms_derivation
CLM0001541,1541,RC-9010789531-1-SURRENDER_CLAIM-C0-20180403,QDC-RC-9010789531-1-SURRENDER_CLAIM-C0-20180403,ESG-9010789531-RC-9010789531-1-SURRENDER_CLAIM-C0-20180403-SOLO,9010789531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001542,1542,RC-9010789531-1-SURRENDER_CLAIM-C1-20190403,QDC-RC-9010789531-1-SURRENDER_CLAIM-C1-20190403,ESG-9010789531-RC-9010789531-1-SURRENDER_CLAIM-C1-20190403-SOLO,9010789531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001543,1543,RC-9010789532-1-SURRENDER_CLAIM-C0-20180212,QDC-RC-9010789532-1-SURRENDER_CLAIM-C0-20180212,ESG-9010789532-RC-9010789532-1-SURRENDER_CLAIM-C0-20180212-SOLO,9010789532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001544,1544,RC-9010789532-2-SURRENDER_CLAIM-C0-20180412,QDC-RC-9010789532-2-SURRENDER_CLAIM-C0-20180412,ESG-9010789532-RC-9010789532-2-SURRENDER_CLAIM-C0-20180412-SOLO,9010789532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001545,1545,RC-9010789546-1-SURRENDER_CLAIM-C0-20230417,QDC-RC-9010789546-1-SURRENDER_CLAIM-C0-20230417,ESG-9010789546-RC-9010789546-1-SURRENDER_CLAIM-C0-20230417-SOLO,9010789546,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001546,1546,RC-9010789547-1-DISBURSEMENT_CLAIM-C0-20251017,QDC-RC-9010789547-1-DISBURSEMENT_CLAIM-C0-20251017,ESG-9010789547-RC-9010789547-1-DISBURSEMENT_CLAIM-C0-20251017-SOLO,9010789547,DISBURSEMENT_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001547,1547,RC-9010789547-1-SURRENDER_CLAIM-C0-20180118,QDC-RC-9010789547-1-SURRENDER_CLAIM-C0-20180118,ESG-9010789547-RC-9010789547-1-SURRENDER_CLAIM-C0-20180118-SOLO,9010789547,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001548,1548,RC-9010789547-1-SURRENDER_CLAIM-C1-20180619,QDC-RC-9010789547-1-SURRENDER_CLAIM-C1-20180619,ESG-9010789547-RC-9010789547-1-SURRENDER_CLAIM-C1-20180619-SOLO,9010789547,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001549,1549,RC-9010789547-1-SURRENDER_CLAIM-C2-20181018,QDC-RC-9010789547-1-SURRENDER_CLAIM-C2-20181018,ESG-9010789547-RC-9010789547-1-SURRENDER_CLAIM-C2-20181018-SOLO,9010789547,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001550,1550,RC-9010789547-1-SURRENDER_CLAIM-C3-20181218,QDC-RC-9010789547-1-SURRENDER_CLAIM-C3-20181218,ESG-9010789547-RC-9010789547-1-SURRENDER_CLAIM-C3-20181218-SOLO,9010789547,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001551,1551,RC-9010789992-1-DEATH_CLAIM-C0-20241206,QDC-RC-9010789992-1-DEATH_CLAIM-C0-20241206,ESG-9010789992-RC-9010789992-1-DEATH_CLAIM-C0-20241206-SOLO,9010789992,DEATH_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001552,1552,RC-9010790176-1-DEATH_CLAIM-C0-20240318,QDC-RC-9010790176-1-DEATH_CLAIM-C0-20240318,ESG-9010790176-RC-9010790176-1-DEATH_CLAIM-C0-20240318-SOLO,9010790176,DEATH_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001553,1553,RC-9010790531-1-SURRENDER_CLAIM-C0-20180406,QDC-RC-9010790531-1-SURRENDER_CLAIM-C0-20180406,ESG-9010790531-RC-9010790531-1-SURRENDER_CLAIM-C0-20180406-SOLO,9010790531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001554,1554,RC-9010790531-1-SURRENDER_CLAIM-C1-20190406,QDC-RC-9010790531-1-SURRENDER_CLAIM-C1-20190406,ESG-9010790531-RC-9010790531-1-SURRENDER_CLAIM-C1-20190406-SOLO,9010790531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001555,1555,RC-9010790531-1-SURRENDER_CLAIM-C2-20200406,QDC-RC-9010790531-1-SURRENDER_CLAIM-C2-20200406,ESG-9010790531-RC-9010790531-1-SURRENDER_CLAIM-C2-20200406-SOLO,9010790531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001556,1556,RC-9010790531-1-SURRENDER_CLAIM-C3-20210406,QDC-RC-9010790531-1-SURRENDER_CLAIM-C3-20210406,ESG-9010790531-RC-9010790531-1-SURRENDER_CLAIM-C3-20210406-SOLO,9010790531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001557,1557,RC-9010790531-1-SURRENDER_CLAIM-C4-20220406,QDC-RC-9010790531-1-SURRENDER_CLAIM-C4-20220406,ESG-9010790531-RC-9010790531-1-SURRENDER_CLAIM-C4-20220406-SOLO,9010790531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001558,1558,RC-9010790531-1-SURRENDER_CLAIM-C5-20230406,QDC-RC-9010790531-1-SURRENDER_CLAIM-C5-20230406,ESG-9010790531-RC-9010790531-1-SURRENDER_CLAIM-C5-20230406-SOLO,9010790531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001559,1559,RC-9010790531-1-SURRENDER_CLAIM-C6-20240406,QDC-RC-9010790531-1-SURRENDER_CLAIM-C6-20240406,ESG-9010790531-RC-9010790531-1-SURRENDER_CLAIM-C6-20240406-SOLO,9010790531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001560,1560,RC-9010790531-1-SURRENDER_CLAIM-C7-20250406,QDC-RC-9010790531-1-SURRENDER_CLAIM-C7-20250406,ESG-9010790531-RC-9010790531-1-SURRENDER_CLAIM-C7-20250406-SOLO,9010790531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001561,1561,RC-9010790531-1-SURRENDER_CLAIM-C8-20260406,QDC-RC-9010790531-1-SURRENDER_CLAIM-C8-20260406,ESG-9010790531-RC-9010790531-1-SURRENDER_CLAIM-C8-20260406-SOLO,9010790531,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001562,1562,RC-9010790532-1-SURRENDER_CLAIM-C0-20180406,QDC-RC-9010790532-1-SURRENDER_CLAIM-C0-20180406,ESG-9010790532-RC-9010790532-1-SURRENDER_CLAIM-C0-20180406-SOLO,9010790532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001563,1563,RC-9010790532-1-SURRENDER_CLAIM-C1-20190406,QDC-RC-9010790532-1-SURRENDER_CLAIM-C1-20190406,ESG-9010790532-RC-9010790532-1-SURRENDER_CLAIM-C1-20190406-SOLO,9010790532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001564,1564,RC-9010790532-1-SURRENDER_CLAIM-C2-20200406,QDC-RC-9010790532-1-SURRENDER_CLAIM-C2-20200406,ESG-9010790532-RC-9010790532-1-SURRENDER_CLAIM-C2-20200406-SOLO,9010790532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001565,1565,RC-9010790532-1-SURRENDER_CLAIM-C3-20210406,QDC-RC-9010790532-1-SURRENDER_CLAIM-C3-20210406,ESG-9010790532-RC-9010790532-1-SURRENDER_CLAIM-C3-20210406-SOLO,9010790532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001566,1566,RC-9010790532-1-SURRENDER_CLAIM-C4-20220406,QDC-RC-9010790532-1-SURRENDER_CLAIM-C4-20220406,ESG-9010790532-RC-9010790532-1-SURRENDER_CLAIM-C4-20220406-SOLO,9010790532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001567,1567,RC-9010790532-1-SURRENDER_CLAIM-C5-20230406,QDC-RC-9010790532-1-SURRENDER_CLAIM-C5-20230406,ESG-9010790532-RC-9010790532-1-SURRENDER_CLAIM-C5-20230406-SOLO,9010790532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001568,1568,RC-9010790532-1-SURRENDER_CLAIM-C6-20240406,QDC-RC-9010790532-1-SURRENDER_CLAIM-C6-20240406,ESG-9010790532-RC-9010790532-1-SURRENDER_CLAIM-C6-20240406-SOLO,9010790532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001569,1569,RC-9010790532-1-SURRENDER_CLAIM-C7-20250406,QDC-RC-9010790532-1-SURRENDER_CLAIM-C7-20250406,ESG-9010790532-RC-9010790532-1-SURRENDER_CLAIM-C7-20250406-SOLO,9010790532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001570,1570,RC-9010790532-1-SURRENDER_CLAIM-C8-20260406,QDC-RC-9010790532-1-SURRENDER_CLAIM-C8-20260406,ESG-9010790532-RC-9010790532-1-SURRENDER_CLAIM-C8-20260406-SOLO,9010790532,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001571,1571,RC-9010790543-1-DEATH_CLAIM-C0-20211110,QDC-RC-9010790543-1-DEATH_CLAIM-C0-20211110,ESG-9010790543-RC-9010790543-1-DEATH_CLAIM-C0-20211110-SOLO,9010790543,DEATH_CLAIM,LOW_CONFIDENCE,phase10b_quikclms_derivation
CLM0001572,1572,RC-9010790754-1-SURRENDER_CLAIM-C0-20180422,QDC-RC-9010790754-1-SURRENDER_CLAIM-C0-20180422,ESG-9010790754-RC-9010790754-1-SURRENDER_CLAIM-C0-20180422-SOLO,9010790754,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001573,1573,RC-9010790754-1-SURRENDER_CLAIM-C1-20190422,QDC-RC-9010790754-1-SURRENDER_CLAIM-C1-20190422,ESG-9010790754-RC-9010790754-1-SURRENDER_CLAIM-C1-20190422-SOLO,9010790754,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001574,1574,RC-9010790754-1-SURRENDER_CLAIM-C2-20200413,QDC-RC-9010790754-1-SURRENDER_CLAIM-C2-20200413,ESG-9010790754-RC-9010790754-1-SURRENDER_CLAIM-C2-20200413-SOLO,9010790754,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001575,1575,RC-9010790754-1-SURRENDER_CLAIM-C3-20210422,QDC-RC-9010790754-1-SURRENDER_CLAIM-C3-20210422,ESG-9010790754-RC-9010790754-1-SURRENDER_CLAIM-C3-20210422-SOLO,9010790754,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001576,1576,RC-9010790754-1-SURRENDER_CLAIM-C4-20220419,QDC-RC-9010790754-1-SURRENDER_CLAIM-C4-20220419,ESG-9010790754-RC-9010790754-1-SURRENDER_CLAIM-C4-20220419-SOLO,9010790754,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001577,1577,RC-9010790754-1-SURRENDER_CLAIM-C5-20230411,QDC-RC-9010790754-1-SURRENDER_CLAIM-C5-20230411,ESG-9010790754-RC-9010790754-1-SURRENDER_CLAIM-C5-20230411-SOLO,9010790754,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001578,1578,RC-9010790754-1-SURRENDER_CLAIM-C6-20240418,QDC-RC-9010790754-1-SURRENDER_CLAIM-C6-20240418,ESG-9010790754-RC-9010790754-1-SURRENDER_CLAIM-C6-20240418-SOLO,9010790754,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001579,1579,RC-9010790754-1-SURRENDER_CLAIM-C7-20250416,QDC-RC-9010790754-1-SURRENDER_CLAIM-C7-20250416,ESG-9010790754-RC-9010790754-1-SURRENDER_CLAIM-C7-20250416-SOLO,9010790754,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001580,1580,RC-9010790754-1-SURRENDER_CLAIM-C8-20260421,QDC-RC-9010790754-1-SURRENDER_CLAIM-C8-20260421,ESG-9010790754-RC-9010790754-1-SURRENDER_CLAIM-C8-20260421-SOLO,9010790754,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001581,1581,RC-9010790755-1-DEATH_CLAIM-C0-20210826,QDC-RC-9010790755-1-DEATH_CLAIM-C0-20210826,ESG-9010790755-RC-9010790755-1-DEATH_CLAIM-C0-20210826-SOLO,9010790755,DEATH_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001582,1582,RC-9010790782-1-SURRENDER_CLAIM-C0-20180108,QDC-RC-9010790782-1-SURRENDER_CLAIM-C0-20180108,ESG-9010790782-RC-9010790782-1-SURRENDER_CLAIM-C0-20180108-SOLO,9010790782,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001583,1583,RC-9010791078-1-DEATH_CLAIM-C0-20211222,QDC-RC-9010791078-1-DEATH_CLAIM-C0-20211222,ESG-9010791078-RC-9010791078-1-DEATH_CLAIM-C0-20211222-SOLO,9010791078,DEATH_CLAIM,MODERATE_CONFIDENCE,phase10b_quikclms_derivation
CLM0001584,1584,RC-9010791176-1-DEATH_CLAIM-C0-20180204,QDC-RC-9010791176-1-DEATH_CLAIM-C0-20180204,ESG-9010791176-RC-9010791176-1-DEATH_CLAIM-C0-20180204-SOLO,9010791176,DEATH_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001585,1585,RC-9010791462-1-DEATH_CLAIM-C0-20211213,QDC-RC-9010791462-1-DEATH_CLAIM-C0-20211213,ESG-9010791462-RC-9010791462-1-DEATH_CLAIM-C0-20211213-SOLO,9010791462,DEATH_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001586,1586,RC-9010791466-1-DEATH_CLAIM-C0-20190317,QDC-RC-9010791466-1-DEATH_CLAIM-C0-20190317,ESG-9010791466-RC-9010791466-1-DEATH_CLAIM-C0-20190317-SOLO,9010791466,DEATH_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001587,1587,RC-9010791498-1-SURRENDER_CLAIM-C0-20180501,QDC-RC-9010791498-1-SURRENDER_CLAIM-C0-20180501,ESG-9010791498-RC-9010791498-1-SURRENDER_CLAIM-C0-20180501-SOLO,9010791498,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001588,1588,RC-9010791498-1-SURRENDER_CLAIM-C1-20190501,QDC-RC-9010791498-1-SURRENDER_CLAIM-C1-20190501,ESG-9010791498-RC-9010791498-1-SURRENDER_CLAIM-C1-20190501-SOLO,9010791498,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001589,1589,RC-9010791498-1-SURRENDER_CLAIM-C2-20200501,QDC-RC-9010791498-1-SURRENDER_CLAIM-C2-20200501,ESG-9010791498-RC-9010791498-1-SURRENDER_CLAIM-C2-20200501-SOLO,9010791498,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001590,1590,RC-9010791498-1-SURRENDER_CLAIM-C3-20210501,QDC-RC-9010791498-1-SURRENDER_CLAIM-C3-20210501,ESG-9010791498-RC-9010791498-1-SURRENDER_CLAIM-C3-20210501-SOLO,9010791498,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001591,1591,RC-9010791498-1-SURRENDER_CLAIM-C4-20220501,QDC-RC-9010791498-1-SURRENDER_CLAIM-C4-20220501,ESG-9010791498-RC-9010791498-1-SURRENDER_CLAIM-C4-20220501-SOLO,9010791498,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001592,1592,RC-9010791498-1-SURRENDER_CLAIM-C5-20230501,QDC-RC-9010791498-1-SURRENDER_CLAIM-C5-20230501,ESG-9010791498-RC-9010791498-1-SURRENDER_CLAIM-C5-20230501-SOLO,9010791498,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001593,1593,RC-9010791498-1-SURRENDER_CLAIM-C6-20240501,QDC-RC-9010791498-1-SURRENDER_CLAIM-C6-20240501,ESG-9010791498-RC-9010791498-1-SURRENDER_CLAIM-C6-20240501-SOLO,9010791498,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001594,1594,RC-9010791498-1-SURRENDER_CLAIM-C7-20250501,QDC-RC-9010791498-1-SURRENDER_CLAIM-C7-20250501,ESG-9010791498-RC-9010791498-1-SURRENDER_CLAIM-C7-20250501-SOLO,9010791498,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001595,1595,RC-9010792038-1-DEATH_CLAIM-C0-20180506,QDC-RC-9010792038-1-DEATH_CLAIM-C0-20180506,ESG-9010792038-RC-9010792038-1-DEATH_CLAIM-C0-20180506-SOLO,9010792038,DEATH_CLAIM,LOW_CONFIDENCE,phase10b_quikclms_derivation
CLM0001596,1596,RC-9010792296-1-DEATH_CLAIM-C0-20200820,QDC-RC-9010792296-1-DEATH_CLAIM-C0-20200820,ESG-9010792296-RC-9010792296-1-DEATH_CLAIM-C0-20200820-SOLO,9010792296,DEATH_CLAIM,MODERATE_CONFIDENCE,phase10b_quikclms_derivation
CLM0001597,1597,RC-9010792541-1-SURRENDER_CLAIM-C0-20180424,QDC-RC-9010792541-1-SURRENDER_CLAIM-C0-20180424,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C0-20180424-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001598,1598,RC-9010792541-1-SURRENDER_CLAIM-C1-20190424,QDC-RC-9010792541-1-SURRENDER_CLAIM-C1-20190424,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C1-20190424-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001599,1599,RC-9010792541-1-SURRENDER_CLAIM-C10-20240724,QDC-RC-9010792541-1-SURRENDER_CLAIM-C10-20240724,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C10-20240724-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001600,1600,RC-9010792541-1-SURRENDER_CLAIM-C11-20250424,QDC-RC-9010792541-1-SURRENDER_CLAIM-C11-20250424,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C11-20250424-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001601,1601,RC-9010792541-1-SURRENDER_CLAIM-C12-20250724,QDC-RC-9010792541-1-SURRENDER_CLAIM-C12-20250724,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C12-20250724-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001602,1602,RC-9010792541-1-SURRENDER_CLAIM-C2-20191024,QDC-RC-9010792541-1-SURRENDER_CLAIM-C2-20191024,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C2-20191024-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001603,1603,RC-9010792541-1-SURRENDER_CLAIM-C3-20200124,QDC-RC-9010792541-1-SURRENDER_CLAIM-C3-20200124,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C3-20200124-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001604,1604,RC-9010792541-1-SURRENDER_CLAIM-C4-20200424,QDC-RC-9010792541-1-SURRENDER_CLAIM-C4-20200424,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C4-20200424-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001605,1605,RC-9010792541-1-SURRENDER_CLAIM-C5-20210424,QDC-RC-9010792541-1-SURRENDER_CLAIM-C5-20210424,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C5-20210424-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001606,1606,RC-9010792541-1-SURRENDER_CLAIM-C6-20220124,QDC-RC-9010792541-1-SURRENDER_CLAIM-C6-20220124,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C6-20220124-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001607,1607,RC-9010792541-1-SURRENDER_CLAIM-C7-20220424,QDC-RC-9010792541-1-SURRENDER_CLAIM-C7-20220424,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C7-20220424-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001608,1608,RC-9010792541-1-SURRENDER_CLAIM-C8-20230424,QDC-RC-9010792541-1-SURRENDER_CLAIM-C8-20230424,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C8-20230424-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001609,1609,RC-9010792541-1-SURRENDER_CLAIM-C9-20240424,QDC-RC-9010792541-1-SURRENDER_CLAIM-C9-20240424,ESG-9010792541-RC-9010792541-1-SURRENDER_CLAIM-C9-20240424-SOLO,9010792541,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0001610,1610,RC-9010792701-1-DEATH_CLAIM-C0-20191024,QDC-RC-9010792701-1-DEATH_CLAIM-C0-20191024,ESG-9010792701-RC-9010792701-1-DEATH_CLAIM-C0-20191024-SOLO,9010792701,DEATH_CLAIM,LOW_CONFIDENCE,phase10b_quikclms_derivation
CLM0001611,1611,RC-9010792705-1-SURRENDER_CLAIM-C0-20180503,QDC-RC-9010792705-1-SURRENDER_CLAIM-C0-20180503,ESG-9010792705-RC-9010792705-1-SURRENDER_CLAIM-C0-20180503-SOLO,9010792705,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
