dependency_id,consumer_table,consumer_field,provider_table,provider_field,dependency_type,severity_if_changed,notes,affected_row_count
DEP-RB-Sync_Rulebook_quikplan-PLAN-COVERAGE_ID,quikplan,PLAN,COVERAGE_ID,COVERAGE_ID,RULEBOOK_ROUTING,HIGH,Map to crosswalk via engine,
DEP-RB-Sync_Rulebook_quikplan-FORM-POLICY_FORM_NUM,quikplan,FORM,POLICY_FORM_NUM,POLICY_FORM_NUM,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-PLANTYPE-,quikplan,PLANTYPE,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-GDVARYGP-,quikplan,GDVARYGP,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-GDVARYDB-,quikplan,GDVARYDB,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-GDVARYCV-,quikplan,GDVARYCV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-GDVARYTV-,quikplan,GDVARYTV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-GDVARYDV-,quikplan,GDVARYDV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-UWVARYGP-,quikplan,UWVARYGP,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-UWVARYDB-,quikplan,UWVARYDB,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-UWVARYCV-,quikplan,UWVARYCV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-UWVARYTV-,quikplan,UWVARYTV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-UWVARYDV-,quikplan,UWVARYDV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-BDVARYGP-,quikplan,BDVARYGP,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-BDVARYDB-,quikplan,BDVARYDB,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-BDVARYCV-,quikplan,BDVARYCV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-BDVARYTV-,quikplan,BDVARYTV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-BDVARYDV-,quikplan,BDVARYDV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-STVARYGP-,quikplan,STVARYGP,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-STVARYDB-,quikplan,STVARYDB,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-STVARYCV-,quikplan,STVARYCV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-STVARYTV-,quikplan,STVARYTV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-STVARYDV-,quikplan,STVARYDV,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-PLANNAME-DESCRIPTION,quikplan,PLANNAME,DESCRIPTION,DESCRIPTION,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikplan-HRIGPKEY-,quikplan,HRIGPKEY,DEFAULT/RULEBOOK,Default_Value,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikridr-MPLAN-PLAN_CODE,quikridr,MPLAN,PLAN_CODE,PLAN_CODE,RULEBOOK_ROUTING,HIGH,,
DEP-RB-Sync_Rulebook_quikactg-MPLAN-PLAN_CODE,quikactg,MPLAN,PLAN_CODE,PLAN_CODE,RULEBOOK_ROUTING,HIGH,Use Master_Crosswalk.csv PLAN crosswalk into QLAdmin plan code,
DEP-KEY-plan,validation_pipeline,PLAN,quikplan,PLAN,VALIDATION_KEY,ERROR,Defined in validation_config/key_definitions.json,
