lifepro_coverage_id,lifepro_description,lifepro_form,crosswalk_ql_plan_code,crosswalk_ql_form,master_crosswalk_plan_map,pcomp_match,rulebook_source_fields,output_plan,output_form,output_descr,plan_transform_method,quikridr_mplan_dependency_count,lineage_path,lineage_integrity
8034 J30MT,Disability Waiver of Premium Joint 30 MT,8034,934JWP,8034 J30MT,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,8034 J30MT,8034,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,PASSTHROUGH,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8042 STR,Spouse Term Rider,8042,542STR,8042 STR,542STR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,542STR,8042,SPOUSE TERM RIDER,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8042STR WP,8042 STR Waiver of Premium,NA,9STRWP,8042STR WP,9STRWP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9STRWP,,8042 STR WAIVER OF PREMIUM,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8043 CTR,Dependent Child Term Rider,8043,543CTR,8043 CTR,543CTR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,543CTR,8043,DEPENDENT CHILD TERM RIDER,QL_CROSSWALK,10,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8043CTR WP,8043 CTR WAIVER OF PREMIUM,NA,943CWP,8043CTR WP,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,8043CTR WP,,8043 CTR WAIVER OF PREMIUM,PASSTHROUGH,12,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8046 JPO,Juvenile Future Purchase Option Rider,8046,9JPO46,8046 JPO,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,8046 JPO,8046,JUVENILE FUTURE PURCHASE OPTION RIDER,PASSTHROUGH,20,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8115,Disability Waiver of Premium Rider,8115,9L05WP,8115,9L05WP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9L05WP,8115,DISABILITY WAIVER OF PREMIUM RIDER,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8115 L01,Disability Waiver of Premium Rider,8115,9L01WP,8115 L01,9L01WP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9L01WP,8115,DISABILITY WAIVER OF PREMIUM RIDER,QL_CROSSWALK,44,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
826,Paid Up Spouse Term Rider,826,560STR,826,560STR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,560STR,826,PAID UP SPOUSE TERM RIDER,QL_CROSSWALK,5,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
828,Child's Term Insurance,828,528CTR,828,528CTR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,528CTR,828,CHILD'S TERM INSURANCE,QL_CROSSWALK,7,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8286 GI 1,Juvenile Future Purchase Option,8286,986JPO,8286 GI 1,986JPO,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,986JPO,8286,JUVENILE FUTURE PURCHASE OPTION,QL_CROSSWALK,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8286 GI 2+,Juvenile Future Purchase Option,8286,982JPO,8286 GI 2+,982JPO,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,982JPO,8286,JUVENILE FUTURE PURCHASE OPTION,QL_CROSSWALK,6,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
863,Monthly Income Rider,863,A60MIR,863,A60MIR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,A60MIR,863,MONTHLY INCOME RIDER,QL_CROSSWALK,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
889 960,960 Guarantee Insurability Option,889,960GIO,889 960,960GIO,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,960GIO,889,960 GUARANTEE INSURABILITY OPTION,QL_CROSSWALK,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
896 DAR,Deposit Annuity Rider,896,A96DAR,896 DAR,A96DAR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,A96DAR,896,DEPOSIT ANNUITY RIDER,QL_CROSSWALK,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
897 666,Additional Insureds 666 WL,666,1666AI,897 666,1666AI,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1666AI,666,ADDITIONAL INSUREDS 666 WL,QL_CROSSWALK,8,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
960 65 PUA,Paid Up Adds - Life Paid Up at Age 65,960,165PUA,960 65 PUA,165PUA,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,165PUA,960,PAID UP ADDS - LIFE PAID UP AT AGE 65,QL_CROSSWALK,16,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
960 LP PUA,Paid Up Adds - Life PU at Age 85-88,960,185PUA,960 LP PUA,185PUA,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,185PUA,960,PAID UP ADDS - LIFE PU AT AGE 85-88,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
960 LP65,Life Paid Up at Age 65,960,196065,960 LP65,196065,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,196065,960,LIFE PAID UP AT AGE 65,QL_CROSSWALK,26,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
960 LP85-M,Life Paid Up at Age 85-88,960,196085,960 LP85-M,196085,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,196085,960,LIFE PAID UP AT AGE 85-88,QL_CROSSWALK,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
960 OL,Ordinary Whole Life,960,1960OL,960 OL,1960OL,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1960OL,960,ORDINARY WHOLE LIFE,QL_CROSSWALK,80,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
960 OL PUA,Paid Up Adds - Ordinary Whole Life,960,1OLPUA,960 OL PUA,1OLPUA,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1OLPUA,960,PAID UP ADDS - ORDINARY WHOLE LIFE,QL_CROSSWALK,32,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
960 PO,Preferred Ordinary Whole Life,960,1960PO,960 PO,1960PO,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1960PO,960,PREFERRED ORDINARY WHOLE LIFE,QL_CROSSWALK,40,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
960 PO PUA,Paid Up Adds - Pref Ordinary Whole Life,960,1POPUA,960 PO PUA,1POPUA,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1POPUA,960,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,QL_CROSSWALK,22,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
961 ME65,Modified Endowment at 65,961,2961ME,961 ME65,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,961 ME65,961,MODIFIED ENDOWMENT AT 65,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
961 PUA,Paid Up Adds - Modified Endowment at 65,961,261PUA,961 PUA,,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,961 PUA,961,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
970 JEB,Juvenile Est Build PU at 85 Life,970,1970JB,970 JEB,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,970 JEB,970,JUVENILE EST BUILD PU AT 85 LIFE,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
970 PUA,Paid Up Adds - Juv Est Build PU at 85,970,1970PA,970 PUA,,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,970 PUA,970,PAID UP ADDS - JUV EST BUILD PU AT 85,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
980 END65,Endowment at Age 65,980,280END,980 END65,280END,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,280END,980,ENDOWMENT AT AGE 65,QL_CROSSWALK,6,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
980 PUA,Paid Up Adds - Endowment at Age 65,960,280PUA,980 PUA,280PUA,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,280PUA,960,PAID UP ADDS - ENDOWMENT AT AGE 65,QL_CROSSWALK,3,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
991 PWL,Pension Whole Life,991,1991PL,991 PWL,1991PL,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1991PL,991,PENSION WHOLE LIFE,QL_CROSSWALK,3,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
DISCHO2475,Home Office Discount - 24.75%,,9DIS24,DISCHO2475,9DIS25,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9DIS25,,HOME OFFICE DISCOUNT - 24.75%,MASTER_CROSSWALK,34,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
DISCHO247B,Home Office Discount - 24.75%,,9DS24B,DISCHO247B,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,DISCHO247B,,HOME OFFICE DISCOUNT - 24.75%,PASSTHROUGH,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
DISCHO247C,Home Office Discount - 24.75%,,9DS24C,DISCHO247C,9DIS25,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9DIS25,,HOME OFFICE DISCOUNT - 24.75%,MASTER_CROSSWALK,34,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
DISCHO29,Home Office Discount 29% - ModeRule 37,,9DIS29,DISCHO29,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,DISCHO29,,HOME OFFICE DISCOUNT 29% - MODERULE 37,PASSTHROUGH,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
DISCHO70,Home Office Discount - 70/13%,,9DIS70,DISCHO70,9DIS70,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9DIS70,,HOME OFFICE DISCOUNT - 70/13%,QL_CROSSWALK,3,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L01 10Y LT,Ten Year Level Term to Age 95,L10,5L0110,L01 10Y LT,5L0110,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,5L0110,L10,TEN YEAR LEVEL TERM TO AGE 95,QL_CROSSWALK,220,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L01 10Y MA,Ten Year Level Term to Age 95,L10,5L01MA,L01 10Y MA,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,L01 10Y MA,L10,TEN YEAR LEVEL TERM TO AGE 95,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L05 10Y LT,Ten Year Term to Age 85,L05,5L0510,L05 10Y LT,5L0510,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,5L0510,L05,TEN YEAR TERM TO AGE 85,QL_CROSSWALK,20,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L07 5Y LT,Five Year Term to Age 85,L07,5L075Y,L07 5Y LT,5L075Y,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,5L075Y,L07,FIVE YEAR TERM TO AGE 85,QL_CROSSWALK,8,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 ADB,L10 Accidental Death Benefit,8140,9ADB10,L10 ADB,9ADB10,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9ADB10,8140,L10 ACCIDENTAL DEATH BENEFIT,QL_CROSSWALK,45,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 CDT,L10 CHILD TERM RIDER,8142,5CDT10,L10 CDT,5CDT10,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,5CDT10,8142,L10 CHILD TERM RIDER,QL_CROSSWALK,23,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 GPO,L10 GPO OLD,8143,9GPO10,L10 GPO,9GPO10,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9GPO10,8143,L10 GPO OLD,QL_CROSSWALK,10,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 JPO,L10 Juvenile Purchase Option - OLD,8144,9JPO10,L10 JPO,9JPO10,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9JPO10,8144,L10 JUVENILE PURCHASE OPTION - OLD,QL_CROSSWALK,111,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 LP95,L10 - LPU95     POST 1997 LIFE,L10,1L1095,L10 LP95,1L1095,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1L1095,L10,L10 - LPU95     POST 1997 LIFE,QL_CROSSWALK,382,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 LP95SR,L10 - LPU95   POST 1997  Senior Life,L10,1L10SR,L10 LP95SR,1L10SR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1L10SR,L10,L10 - LPU95   POST 1997  SENIOR LIFE,QL_CROSSWALK,159,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 PRE97,L10 - LPU95       PRE 1997,L10,1L10OD,L10 OLD,,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,L10 PRE97,L10,L10 - LPU95       PRE 1997,PASSTHROUGH,286,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 PREUNI,L10 - LPU95       PRE 1997,L10 UNI,1L10PR,L10 PREUNI,,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,L10 PREUNI,L10 UNI,L10 - LPU95       PRE 1997,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 SDT,L10 Spouse Decreasing Term,8141,7SDT10,L10 SDT,7SDT10,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,7SDT10,8141,L10 SPOUSE DECREASING TERM,QL_CROSSWALK,3,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 SPSWP,L10 Spouse WP,8139,910SWP,L10 SPSWP,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,L10 SPSWP,8139,L10 SPOUSE WP,PASSTHROUGH,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 SR OLD,L10 - LPU95  SR.     PRE 1997,L10,1L10SO,L10 SR OLD,1L10SO,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1L10SO,L10,L10 - LPU95  SR.     PRE 1997,QL_CROSSWALK,449,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 WP,L10 Waiver of Premium   Post 1997,8139,9WPL10,L10 WP,9WPL10,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9WPL10,8139,L10 WAIVER OF PREMIUM   POST 1997,QL_CROSSWALK,51,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 WP CDT,L10 Child WP,8139,9CDTWP,L10 WP CDT,9CDTWP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9CDTWP,8139,L10 CHILD WP,QL_CROSSWALK,10,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 WP OLD,Waiver of Premium - L10,8139,9OLDWP,L10 WP OLD,9OLDWP,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9OLDWP,8139,WAIVER OF PREMIUM - L10,QL_CROSSWALK,24,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L10 WP SRN,L10 Waiver of Premium   Post 1997,8139,910RWP,L10 WP SRN,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,L10 WP SRN,8139,L10 WAIVER OF PREMIUM   POST 1997,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L14,Whole Life,L14,1L14SC,L14,1L14SC,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1L14SC,L14,WHOLE LIFE,QL_CROSSWALK,232,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L15 ADB,Inherent Accidental Death (3 yr) for L15,L15 INHER,9ADB15,L15 ADB,9ADB15,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9ADB15,L15 INHER,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,QL_CROSSWALK,11,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L17 1,Single Premium Whole Life,L17,10L171,L17 1,10L171,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,10L171,L17,SINGLE PREMIUM WHOLE LIFE,QL_CROSSWALK,7,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L17 1 JPO,Single Premium Whole Life,L17,117JPO,L17 1 JPO,117JPO,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,117JPO,L17,SINGLE PREMIUM WHOLE LIFE,QL_CROSSWALK,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L17 2+,Single Premium Whole Life,L17,10L172,L17 2+,10L172,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,10L172,L17,SINGLE PREMIUM WHOLE LIFE,QL_CROSSWALK,3,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
L17 2+ JPO,Single Premium Whole Life,L17,17MJPO,L17 2+ JPO,17MJPO,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,17MJPO,L17,SINGLE PREMIUM WHOLE LIFE,QL_CROSSWALK,6,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
SAL ADB,SAL Accidental Death Benefit,SAL ADB,9SLADB,SAL ADB,9SLADB,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9SLADB,SAL ADB,SAL ACCIDENTAL DEATH BENEFIT,QL_CROSSWALK,6,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
SAL ML,Modified Life,SAL ML,1SALML,SAL ML,1SALML,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1SALML,SAL ML,MODIFIED LIFE,QL_CROSSWALK,152,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
SAL MULTPL,Multiple Insureds SAL Modified Life,SAL ML,1SALMI,SAL MULTPL,1SALMI,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1SALMI,SAL ML,MULTIPLE INSUREDS SAL MODIFIED LIFE,QL_CROSSWALK,153,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
SAL OL,Ordinary Whole Life,,1SALOL,SAL OL,1SALOL,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1SALOL,,ORDINARY WHOLE LIFE,QL_CROSSWALK,11,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
WP 646,Waiver of Premium,0823,9WP646,WP 646,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,WP 646,0823,WAIVER OF PREMIUM,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
,,,,,1L15GD,,quikridr.PLAN_CODE->MPLAN,1L15GD,,,RIDR_ONLY_ORPHAN,11,quikridr PLAN_CODE -> MPLAN (no quikplan catalog row),ORPHAN_MPLAN
