output_plan,lifepro_coverage_id,target_field,current_output_value,crosswalk_authoritative_value,lifepro_source_value,current_logic_authority,recommended_authority,alignment_status,conflict_flag,governance_action
980JPO,1580 JPO,FORM,1580,1580 JPO,1580,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
980JPO,1580 JPO,DESCR,JUVENILE FUTURE PURCHASE OPTION RIDER,Juvenile Future Purchase Option Rider,Juvenile Future Purchase Option Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
980JPO,1580 JPO,PLANNAME,JUVENILE FUTURE PURCHASE OPTION RIDER,"Juv Fut Purch Op - 658 CEN I, 659 CEN II",Juvenile Future Purchase Option Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9595WP,1595,PLAN,9595WP,,1595,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9595WP,1595,FORM,1596,1595,1596,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9595WP,1595,DESCR,DISABILITY WAIVER OF PREMIUM,Disability Waiver of Premium,Disability Waiver of Premium,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9595WP,1595,PLANNAME,DISABILITY WAIVER OF PREMIUM,Disability Wavier of Prem - 667 ART,Disability Waiver of Premium,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
996ADB,1596,PLAN,996ADB,,1596,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
996ADB,1596,FORM,1596,1596,1596,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number,ALIGNED,NONE,CONFIRMED
996ADB,1596,DESCR,ACCIDENTAL DEATH BENEFIT RIDER,Accidental Death Benefit Rider,Accidental Death Benefit Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
996ADB,1596,PLANNAME,ACCIDENTAL DEATH BENEFIT RIDER,"Accidental DB - L05 10Y LT, L07 5Y LT",Accidental Death Benefit Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1596 667,1596 667,PLAN,1596 667,967ADB,1596 667,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1596 667,1596 667,FORM,1596,1596 667,1596,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1596 667,1596 667,DESCR,ACCIDENTAL DEATH BENEFIT RIDER,Accidental Death Benefit Rider,Accidental Death Benefit Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1596 667,1596 667,PLANNAME,ACCIDENTAL DEATH BENEFIT RIDER,Accidental Death Benefit Rider,Accidental Death Benefit Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
901ADB,1596 L01,PLAN,901ADB,,1596 L01,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
901ADB,1596 L01,FORM,1596,1596 L01,1596,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
901ADB,1596 L01,DESCR,ACCIDENTAL DEATH BENEFIT RIDER,Accidental Death Benefit Rider,Accidental Death Benefit Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
901ADB,1596 L01,PLANNAME,ACCIDENTAL DEATH BENEFIT RIDER,Accidental DB Rider -  L01 10Y LT,Accidental Death Benefit Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
619 CH PU,619 CH PU,PLAN,619 CH PU,719CTR,619 CH PU,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
619 CH PU,619 CH PU,FORM,619,619 CH PU,619,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
619 CH PU,619 CH PU,DESCR,DECR TERM PAID UP FOR CHILD,Decr Term Paid Up for Child,Decr Term Paid Up for Child,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
619 CH PU,619 CH PU,PLANNAME,DECR TERM PAID UP FOR CHILD,Decr Term Paid Up for Child,Decr Term Paid Up for Child,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
7619DT,619 DT,PLAN,7619DT,,619 DT,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
7619DT,619 DT,FORM,619,619 DT,619,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
7619DT,619 DT,DESCR,DECREASING TERM,Decreasing Term,Decreasing Term,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
7619DT,619 DT,PLANNAME,DECREASING TERM,Decreasing Term to age 65,Decreasing Term,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
719CDT,619 DT CH,PLAN,719CDT,,619 DT CH,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
719CDT,619 DT CH,FORM,619,619 DT CH,619,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
719CDT,619 DT CH,DESCR,CHILD DECREASING TERM,Child Decreasing Term,Child Decreasing Term,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
719CDT,619 DT CH,PLANNAME,CHILD DECREASING TERM,Child Decreasing Term - 619 DT,Child Decreasing Term,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
719SDT,619 DT SP,PLAN,719SDT,,619 DT SP,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
719SDT,619 DT SP,FORM,619,619 DT SP,619,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
719SDT,619 DT SP,DESCR,SPOUSE DECREASING TERM,Spouse Decreasing Term,Spouse Decreasing Term,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
719SDT,619 DT SP,PLANNAME,SPOUSE DECREASING TERM,Spouse Decreasing Term - 619 DT,Spouse Decreasing Term,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
7619PU,619 SPS PU,PLAN,7619PU,,619 SPS PU,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
7619PU,619 SPS PU,FORM,619,619 SPS PU,619,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
7619PU,619 SPS PU,DESCR,DECREASING TERM PAID UP FOR SPOUSE,Decreasing Term Paid Up for Spouse,Decreasing Term Paid Up for Spouse,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
7619PU,619 SPS PU,PLANNAME,DECREASING TERM PAID UP FOR SPOUSE,Decreasing Term to age 65,Decreasing Term Paid Up for Spouse,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
221END,621 END85,PLAN,221END,,621 END85,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
221END,621 END85,FORM,620,621 END85,620,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
221END,621 END85,DESCR,ENDOWMENT AT AGE 85,Endowment at Age 85,Endowment at Age 85,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
221END,621 END85,PLANNAME,ENDOWMENT AT AGE 85,Endowment at Age 85,Endowment at Age 85,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
621 PUA,621 PUA,PLAN,621 PUA,121PUA,621 PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
621 PUA,621 PUA,FORM,620,621 PUA,620,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
621 PUA,621 PUA,DESCR,PAID UP ADDS - ENDOWMENT AT AGE 85,Paid Up Adds - Endowment at Age 85,Paid Up Adds - Endowment at Age 85,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
621 PUA,621 PUA,PLANNAME,PAID UP ADDS - ENDOWMENT AT AGE 85,Paid Up Adds - Endowment at Age 85,Paid Up Adds - Endowment at Age 85,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
222END,622 END85,PLAN,222END,,622 END85,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
222END,622 END85,FORM,620,622 END85,620,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
222END,622 END85,DESCR,20 PAY ENDOWMENT AT AGE 85,20 Pay Endowment at Age 85,20 Pay Endowment at Age 85,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
222END,622 END85,PLANNAME,20 PAY ENDOWMENT AT AGE 85,"Endowment at age 85, Prem Pay for 20Yr",20 Pay Endowment at Age 85,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
630 JEB,630 JEB,PLAN,630 JEB,130JEB,630 JEB,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
630 JEB,630 JEB,FORM,620,630 JEB,620,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
630 JEB,630 JEB,DESCR,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,Juvenile Estate Builder Life Pd Up at 65,Juvenile Estate Builder Life Pd Up at 65,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
630 JEB,630 JEB,PLANNAME,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,Juvenile Estate Builder Life Pd Up at 65,Juvenile Estate Builder Life Pd Up at 65,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
646 ART,646 ART,PLAN,646 ART,5646AT,646 ART,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
646 ART,646 ART,FORM,667,646 ART,667,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
646 ART,646 ART,DESCR,ANNUAL RENEWABLE TERM,Annual Renewable Term,Annual Renewable Term,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
646 ART,646 ART,PLANNAME,ANNUAL RENEWABLE TERM,Annual Renewable Term,Annual Renewable Term,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
7647FP,647 FLP,PLAN,7647FP,,647 FLP,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
7647FP,647 FLP,FORM,647,647 FLP,647,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
7647FP,647 FLP,DESCR,FAMILY LIFE DECREASING TERM,Family Life Decreasing Term,Family Life Decreasing Term,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
7647FP,647 FLP,PLANNAME,FAMILY LIFE DECREASING TERM,Family Life Decr Term - 647 FLP,Family Life Decreasing Term,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
7647CH,647 FLP CH,PLAN,7647CH,,647 FLP CH,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
7647CH,647 FLP CH,FORM,647,647 FLP CH,647,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
7647CH,647 FLP CH,DESCR,CHILD - FAMILY LIFE DECREASING TERM,Child - Family Life Decreasing Term,Child - Family Life Decreasing Term,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
7647CH,647 FLP CH,PLANNAME,CHILD - FAMILY LIFE DECREASING TERM,Child Family Decr Term - 647 FLP,Child - Family Life Decreasing Term,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
7647SP,647 FLP SP,PLAN,7647SP,,647 FLP SP,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
7647SP,647 FLP SP,FORM,647,647 FLP SP,647,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
7647SP,647 FLP SP,DESCR,SPOUSE - FAMILY LIFE DECREASING TERM,Spouse - Family Life Decreasing Term,Spouse - Family Life Decreasing Term,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
7647SP,647 FLP SP,PLANNAME,SPOUSE - FAMILY LIFE DECREASING TERM,Spouse Family Life Decr Term - 647 FLP,Spouse - Family Life Decreasing Term,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1658C1,658 CEN I,PLAN,1658C1,,658 CEN I,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1658C1,658 CEN I,FORM,658,658 CEN I,658,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1658C1,658 CEN I,DESCR,INTEREST-SENSITIVE WHOLE LIFE,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1658C1,658 CEN I,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, CV, Loan Options, GDB",Interest-Sensitive Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1658CS,658 CEN SD,PLAN,1658CS,,658 CEN SD,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1658CS,658 CEN SD,FORM,658,658 CEN SD,658,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1658CS,658 CEN SD,DESCR,INTEREST-SENSITIVE WHOLE LIFE,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1658CS,658 CEN SD,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, Fixed Premium",Interest-Sensitive Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1659C2,659 CEN II,PLAN,1659C2,,659 CEN II,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1659C2,659 CEN II,FORM,659,659 CEN II,659,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1659C2,659 CEN II,DESCR,INTEREST-SENSITIVE WHOLE LIFE,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1659C2,659 CEN II,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, Fixed Prem Op, Van",Interest-Sensitive Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1659CS,659 CEN SD,PLAN,1659CS,,659 CEN SD,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1659CS,659 CEN SD,FORM,659,659 CEN SD,659,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1659CS,659 CEN SD,DESCR,INTEREST-SENSITIVE WHOLE LIFE,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1659CS,659 CEN SD,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: Fixed Prem Op, Van, GDB",Interest-Sensitive Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1659CR,659 CEN SR,PLAN,1659CR,,659 CEN SR,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1659CR,659 CEN SR,FORM,659,659 CEN SR,659,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1659CR,659 CEN SR,DESCR,INTEREST-SENSITIVE WHOLE LIFE,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1659CR,659 CEN SR,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, Fixed Prem Op, Van",Interest-Sensitive Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1659SR,659 SR GD,PLAN,1659SR,,659 SR GD,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1659SR,659 SR GD,FORM,659,659 SR GD,659,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1659SR,659 SR GD,DESCR,INTEREST-SENSITIVE WHOLE LIFE,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1659SR,659 SR GD,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: Van Prem, Loan Op, GDB",Interest-Sensitive Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
265PUA,665 PUA,PLAN,265PUA,,665 PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
265PUA,665 PUA,FORM,665,665 PUA,665,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
265PUA,665 PUA,DESCR,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,Paid Up Adds - Statesman Mod Endow at 95,Paid Up Adds - Statesman Mod Endow at 95,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
265PUA,665 PUA,PLANNAME,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,PUAs for 665 STME95,Paid Up Adds - Statesman Mod Endow at 95,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
2665ST,665 STME95,PLAN,2665ST,,665 STME95,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
2665ST,665 STME95,FORM,665,665 STME95,665,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
2665ST,665 STME95,DESCR,STATESMAN MOD ENDOW AT 95,Statesman Mod Endow at 95,Statesman Mod Endow at 95,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
2665ST,665 STME95,PLANNAME,STATESMAN MOD ENDOW AT 95,Modified Premium Endowment at age 95,Statesman Mod Endow at 95,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1666WL,666 WL,PLAN,1666WL,,666 WL,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1666WL,666 WL,FORM,666,666 WL,666,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1666WL,666 WL,DESCR,MULTIPLE INSUREDS WHOLE LIFE,Multiple Insureds Whole Life,Multiple Insureds Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1666WL,666 WL,PLANNAME,MULTIPLE INSUREDS WHOLE LIFE,"WL, Guar Rates & CV, DB Increases",Multiple Insureds Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
