lifepro_coverage_id,description,policy_form_num,exhibit_code,exhibit_classification,plan_type_lifepro,max_issue_as_rider,pcomp_component_type,pcomp_component_classification,pcomp_component_count,recommended_qla_domain,current_output_plan,current_output_form,quikridr_reference_count,quikridr_mphase1_rows,quikridr_mphase_gt1_rows,semantic_collision_flag,review_priority,business_review_notes
897 666,Additional Insureds 666 WL,666,WHO,WHOLE_LIFE_BASE,L,0,OR,RIDER_OPTIONAL,1,QUIKPLAN_BASE,1666AI,666,8,0,8,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
960 65 PUA,Paid Up Adds - Life Paid Up at Age 65,960,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,165PUA,960,16,0,16,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
960 LP PUA,Paid Up Adds - Life PU at Age 85-88,960,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,185PUA,960,1,0,1,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
960 LP65,Life Paid Up at Age 65,960,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,196065,960,26,26,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
960 LP85-M,Life Paid Up at Age 85-88,960,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,196085,960,4,4,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
960 OL,Ordinary Whole Life,960,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1960OL,960,80,77,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
960 OL PUA,Paid Up Adds - Ordinary Whole Life,960,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,1OLPUA,960,32,0,32,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
960 PO,Preferred Ordinary Whole Life,960,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1960PO,960,40,40,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
960 PO PUA,Paid Up Adds - Pref Ordinary Whole Life,960,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,1POPUA,960,22,0,22,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
961 ME65,Modified Endowment at 65,961,END,ENDOWMENT_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,961 ME65,961,1,1,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
961 PUA,Paid Up Adds - Modified Endowment at 65,961,END,ENDOWMENT_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,961 PUA,961,1,0,1,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
970 JEB,Juvenile Est Build PU at 85 Life,970,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,970 JEB,970,1,1,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
970 PUA,Paid Up Adds - Juv Est Build PU at 85,970,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,970 PUA,970,1,0,1,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
980 END65,Endowment at Age 65,980,END,ENDOWMENT_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,280END,980,6,5,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
980 PUA,Paid Up Adds - Endowment at Age 65,960,END,ENDOWMENT_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,280PUA,960,3,0,3,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
991 PWL,Pension Whole Life,991,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1991PL,991,3,3,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
DISCHO2475,Home Office Discount - 24.75%,,NPE,NON_PAR_ENDOWMENT,L,0,SC,RIDER_SPECIAL,1,QUIKPLAN_BASE,9DIS25,,34,0,34,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
DISCHO247B,Home Office Discount - 24.75%,,NPE,NON_PAR_ENDOWMENT,L,0,SC,RIDER_SPECIAL,1,QUIKPLAN_BASE,9DIS25,,36,0,36,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
DISCHO247C,Home Office Discount - 24.75%,,NPE,NON_PAR_ENDOWMENT,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,9DIS25,,34,0,34,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
DISCHO29,Home Office Discount 29% - ModeRule 37,,NPE,NON_PAR_ENDOWMENT,L,0,SC,RIDER_SPECIAL,1,QUIKPLAN_BASE,DISCHO29,,2,0,2,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
DISCHO70,Home Office Discount - 70/13%,,NPE,NON_PAR_ENDOWMENT,L,0,SR,RIDER_SPECIAL,1,QUIKPLAN_BASE,9DIS70,,3,0,3,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L01 10Y LT,Ten Year Level Term to Age 95,L10,TPO,TERM_PAID_UP,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,5L0110,L10,220,216,4,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L01 10Y MA,Ten Year Level Term to Age 95,L10,TPO,TERM_PAID_UP,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,5L0110,L10,221,217,4,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L05 10Y LT,Ten Year Term to Age 85,L05,TPO,TERM_PAID_UP,L,0,,UNKNOWN_COMPONENT,0,SEMANTIC_REVIEW_REQUIRED,5L0510,L05,20,20,0,NONE,MEDIUM,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L07 5Y LT,Five Year Term to Age 85,L07,TPO,TERM_PAID_UP,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,5L075Y,L07,8,8,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 ADB,L10 Accidental Death Benefit,8140,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,1,QUIKRIDR_RIDER,9ADB10,8140,45,0,45,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 CDT,L10 CHILD TERM RIDER,8142,OTI,OTHER_TERM_ISSUE,L,25000,CR,RIDER_CHILD,1,QUIKRIDR_RIDER,5CDT10,8142,23,0,23,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 GPO,L10 GPO OLD,8143,SUP,SUPPLEMENTAL_COVERAGE,L,0,GI,RIDER_GUARANTEED_INSURABILITY,1,QUIKRIDR_RIDER,9GPO10,8143,10,0,10,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 JPO,L10 Juvenile Purchase Option - OLD,8144,SUP,SUPPLEMENTAL_COVERAGE,L,0,GI,RIDER_GUARANTEED_INSURABILITY,1,QUIKRIDR_RIDER,9JPO10,8144,111,0,111,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 LP95,L10 - LPU95     POST 1997 LIFE,L10,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1L1095,L10,382,378,4,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 LP95SR,L10 - LPU95   POST 1997  Senior Life,L10,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1L10SR,L10,159,159,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 PRE97,L10 - LPU95       PRE 1997,L10,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,L10 PRE97,L10,143,142,1,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 PREUNI,L10 - LPU95       PRE 1997,L10 UNI,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,L10 PRE97,L10,144,143,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 SDT,L10 Spouse Decreasing Term,8141,OTD,OTHER_TERM,L,100000,OR,RIDER_OPTIONAL,1,QUIKRIDR_RIDER,7SDT10,8141,3,0,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 SPSWP,L10 Spouse WP,8139,SUP,SUPPLEMENTAL_COVERAGE,L,100000,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,L10 SPSWP,8139,2,0,2,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 SR OLD,L10 - LPU95  SR.     PRE 1997,L10,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1L10SO,L10,449,441,8,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 WP,L10 Waiver of Premium   Post 1997,8139,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9WPL10,8139,51,0,51,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 WP CDT,L10 Child WP,8139,SUP,SUPPLEMENTAL_COVERAGE,L,25000,WP,RIDER_WAIVER_PREMIUM,2,QUIKRIDR_RIDER,9CDTWP,8139,10,0,10,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 WP OLD,Waiver of Premium - L10,8139,SUP,SUPPLEMENTAL_COVERAGE,L,0,,UNKNOWN_COMPONENT,0,QUIKRIDR_RIDER,9OLDWP,8139,24,0,24,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L10 WP SRN,L10 Waiver of Premium   Post 1997,8139,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9WPL10,8139,52,0,52,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L14,Whole Life,L14,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1L14SC,L14,232,232,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L15 ADB,Inherent Accidental Death (3 yr) for L15,L15 INHER,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,1,QUIKRIDR_RIDER,9ADB15,L15 INHER,11,0,11,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L17 1,Single Premium Whole Life,L17,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,1668SP,668,160,80,80,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L17 1 JPO,Single Premium Whole Life,L17,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,1668SP,668,160,80,80,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L17 2+,Single Premium Whole Life,L17,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,1668SP,668,160,80,80,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
L17 2+ JPO,Single Premium Whole Life,L17,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,1668SP,668,160,80,80,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
SAL ADB,SAL Accidental Death Benefit,SAL ADB,NPE,NON_PAR_ENDOWMENT,L,0,AD,RIDER_ACCIDENTAL_DEATH,1,QUIKPLAN_BASE,9SLADB,SAL ADB,6,0,6,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
SAL ML,Modified Life,SAL ML,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1SALML,SAL ML,152,152,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
SAL MULTPL,Multiple Insureds SAL Modified Life,SAL ML,WHO,WHOLE_LIFE_BASE,L,0,OR,RIDER_OPTIONAL,1,QUIKPLAN_BASE,1SALMI,SAL ML,153,0,153,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
SAL OL,Ordinary Whole Life,,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1960OL,960,80,77,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
WP 646,Waiver of Premium,0823,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,9665WP,0823,2,0,2,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
