PLAN,TYPE_CODE,AGE,DURATION,VALUE,TARGET_TABLE,TARGET_FIELD,FIELD_CAPACITY,OVERFLOW_AMOUNT
2665ST,DB,3,42,26880.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,3,43,26880.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,3,44,26880.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,3,45,26880.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,3,46,26880.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,3,47,26880.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,3,48,26880.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,3,49,26880.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,3,50,26880.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,3,51,26880.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16880.01
2665ST,DB,4,1,26520.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,2,26520.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,3,26520.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,4,26520.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,5,26520.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,6,26520.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,7,26520.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,8,26520.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,9,26520.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,10,26520.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,11,26520.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,12,26520.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,13,26520.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,14,26520.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,15,26520.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,16,26520.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,17,26520.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,18,26520.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,19,26520.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,20,26520.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,21,26520.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,22,26520.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,23,26520.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,24,26520.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,25,26520.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,26,26520.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,27,26520.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,28,26520.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,29,26520.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,30,26520.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,31,26520.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,32,26520.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,33,26520.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,34,26520.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,35,26520.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,36,26520.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,37,26520.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,38,26520.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,39,26520.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,40,26520.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,41,26520.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,42,26520.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,43,26520.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,44,26520.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,45,26520.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,46,26520.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,47,26520.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,48,26520.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,49,26520.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,50,26520.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,51,26520.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,52,26520.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,53,26520.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,54,26520.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,55,26520.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,56,26520.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,4,57,26520.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",16520.01
2665ST,DB,5,1,25902.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,2,25902.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,3,25902.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,4,25902.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,5,25902.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,6,25902.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,7,25902.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,8,25902.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,9,25902.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,10,25902.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,11,25902.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,12,25902.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,13,25902.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,14,25902.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,15,25902.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,16,25902.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,17,25902.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,18,25902.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,19,25902.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,20,25902.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,21,25902.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,22,25902.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,23,25902.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,24,25902.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,25,25902.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,26,25902.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,27,25902.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,28,25902.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,29,25902.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,30,25902.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,31,25902.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,32,25902.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,33,25902.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,34,25902.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,35,25902.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,36,25902.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,37,25902.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,38,25902.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,39,25902.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,40,25902.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,41,25902.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,42,25902.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,43,25902.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,44,25902.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,45,25902.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,46,25902.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,47,25902.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,48,25902.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,5,49,25902.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15902.01
2665ST,DB,6,1,25290.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,2,25290.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,3,25290.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,4,25290.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,5,25290.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,6,25290.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,7,25290.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,8,25290.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,9,25290.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,10,25290.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,11,25290.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,12,25290.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,13,25290.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,14,25290.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,15,25290.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,16,25290.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,17,25290.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,18,25290.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,19,25290.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,20,25290.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,21,25290.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,22,25290.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,23,25290.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,24,25290.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,25,25290.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,26,25290.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,27,25290.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,28,25290.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,29,25290.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,30,25290.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,31,25290.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,32,25290.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,33,25290.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,34,25290.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,35,25290.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,36,25290.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,37,25290.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,38,25290.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,39,25290.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,40,25290.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,41,25290.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,42,25290.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,43,25290.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,44,25290.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,45,25290.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,46,25290.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,47,25290.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,6,48,25290.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",15290.01
2665ST,DB,7,1,24654.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,2,24654.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,3,24654.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,4,24654.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,5,24654.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,6,24654.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,7,24654.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,8,24654.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,9,24654.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,10,24654.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,11,24654.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,12,24654.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,13,24654.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,14,24654.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,15,24654.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,16,24654.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,17,24654.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,18,24654.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,19,24654.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,20,24654.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,21,24654.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,22,24654.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,23,24654.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,24,24654.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,25,24654.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,26,24654.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,27,24654.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,28,24654.0000000,QuikDbs,DB7,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,29,24654.0000000,QuikDbs,DB8,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,30,24654.0000000,QuikDbs,DB9,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,31,24654.0000000,QuikDbs,DB0,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,32,24654.0000000,QuikDbs,DB1,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,33,24654.0000000,QuikDbs,DB2,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,34,24654.0000000,QuikDbs,DB3,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,35,24654.0000000,QuikDbs,DB4,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,36,24654.0000000,QuikDbs,DB5,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
2665ST,DB,7,37,24654.0000000,QuikDbs,DB6,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",14654.01
