lifepro_coverage_id,ql_plan_code,ql_form_number,ql_plan_description,ql_friendly_name,source_file
8034 30MRG,934SWP,8034 30MRG,Disability Waiver of Premium 30MRG,Disability Waiver of Premium 30MRG,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8034 J30MT,934JWP,8034 J30MT,Disability Waiver of Premium Joint 30 MT,Disability Waiver of Premium Joint 30 MT,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8043CTR WP,943CWP,8043CTR WP,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
8046 JPO,9JPO46,8046 JPO,Juvenile Future Purchase Option Rider,Juvenile Future Purchase Option Rider,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
961 ME65,2961ME,961 ME65,Modified Endowment at 65,Modified Endowment at 65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
961 PUA,261PUA,961 PUA,Paid Up Adds - Modified Endowment at 65,Paid Up Adds - Modified Endowment at 65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
970 JEB,1970JB,970 JEB,Juvenile Est Build PU at 85 Life,Juvenile Est Build PU at 85 Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
970 PUA,1970PA,970 PUA,Paid Up Adds - Juv Est Build PU at 85,Paid Up Adds - Juv Est Build PU at 85,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L01 10Y MA,5L01MA,L01 10Y MA,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 PRE97,1L10OD,L10 OLD,L10 - LPU95       PRE 1997,L10 PRE97 vs L10 OLD,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 PREUNI,1L10PR,L10 PREUNI,L10 - LPU95       PRE 1997,L10 PREUNI,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 SPSWP,910SWP,L10 SPSWP,L10 Spouse WP,L10 Spouse WP,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L10 WP SRN,910RWP,L10 WP SRN,L10 Waiver of Premium   Post 1997,L10 Waiver of Premium   Post 1997,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
WP 646,9WP646,WP 646,Waiver of Premium,Waiver of Premium,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
DISCHO20 B,9DIS20,DISCHO20 B,Home Office Discount 20% 1yr,Home Office Discount 20% 1yr,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
DISCHO2475,9DIS24,DISCHO2475,Home Office Discount - 24.75%,"Discnt 24.75% - L10 LP95, L10 OLD, 619DT",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
DISCHO247B,9DS24B,DISCHO247B,Home Office Discount - 24.75%,Home Office Discount - 24.75%,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
DISCHO247C,9DS24C,DISCHO247C,Home Office Discount - 24.75%,Home Office Discount - 24.75%,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
DISCHO25,9DIS25,DISCHO25,Home Office Discount - 25%-10Yr,Home Office Discount - 25%-10Yr,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
DISCHO29,9DIS29,DISCHO29,Home Office Discount 29% - ModeRule 37,Home Office Discount 29% - ModeRule 37,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
DISCHO70,9DIS70,DISCHO70,Home Office Discount - 70/13%,Discount 70/13% -  L01 10Y LT,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
DISCHO80,9DIS80,DISCHO80,Home Office Discount 80% 1 yr,Home Office Discount 80% 1 yr,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
DISCHO90,9DIS90,DISCHO90,Home Office Discount 90% 1 yr,Home Office Discount 90% 1 yr,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
